collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"111","foil","en","Freyalise, Llanowar's Fury","","1","cb67310a-da5d-4932-8694-2ad6afe5aeae","cma","Commander Anthology"
"92","","en","Beastmaster Ascension","","1","7123ca13-e5b9-4667-a4c8-39da1a121377","cma","Commander Anthology"
"208","","en","Assault Suit","","1","bcc50d1e-fcc8-4f19-8e1a-9209725521ec","cma","Commander Anthology"
"97","","en","Collective Unconscious","","1","3b64755f-1381-4537-a12d-48da274993e6","cma","Commander Anthology"
"213","","en","Commander's Sphere","","1","b25e8d51-6903-45d5-95c2-1b1cd313c4d7","cma","Commander Anthology"
"98","","en","Creeperhulk","","1","e450cbd1-1d08-44ab-be87-95674dfc96cf","cma","Commander Anthology"
"246","","en","Crystal Vein","","1","1c28ab69-1a46-45af-a331-1f52f99a9da3","cma","Commander Anthology"
"100","","en","Desert Twister","","1","38b6ac26-651f-4557-a993-7a65c5ddf35f","cma","Commander Anthology"
"101","","en","Drove of Elves","","1","8d134465-8d7d-458b-99e5-e6aa6d285214","cma","Commander Anthology"
"103","","en","Elvish Mystic","","1","e23da36a-66b6-4bf6-ae76-2240e9f916b6","cma","Commander Anthology"
"102","","en","Elvish Archdruid","","1","bf485c27-cba7-485e-8562-f315a927b2f3","cma","Commander Anthology"
"104","","en","Elvish Skysweeper","","1","a26c340e-ccfb-4e91-ab10-a8b7714a9089","cma","Commander Anthology"
"105","","en","Elvish Visionary","","1","a21ea3d4-da4e-4330-a860-68967c5dc03f","cma","Commander Anthology"
"106","","en","Essence Warden","","1","31ca84d1-30a6-432b-966c-089fb6652a89","cma","Commander Anthology"
"247","","en","Evolving Wilds","","1","a0061e91-c980-4ce2-a25a-340899e05049","cma","Commander Anthology"
"217","","en","Emerald Medallion","","1","f18ee3bf-9c22-4ff0-856e-e76024b06fe4","cma","Commander Anthology"
"109","","en","Farhaven Elf","","1","86f8c26d-0752-444f-adfa-1bebcc15f493","cma","Commander Anthology"
"108","","en","Ezuri, Renegade Leader","","1","e0249e38-fa32-4465-b350-8d906706697a","cma","Commander Anthology"
"110","","en","Fresh Meat","","1","6f1cf818-2715-47b0-958e-235e815e4481","cma","Commander Anthology"
"250","","en","Gargoyle Castle","","1","f5b10ad6-5526-4134-a273-d6e052a454e9","cma","Commander Anthology"
