collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Caesar, Legion's Emperor","","1","246a7176-98bc-4f54-aa61-38747420f178","pip","Fallout"
"7","foil","en","Mr. House, President and CEO","","1","23eb3cf7-c90d-4bfa-b125-4fbcb5614468","pip","Fallout"
"50","","en","V.A.T.S.","","1","512df222-0db0-4b24-9372-d0c01b181b91","pip","Fallout"
"16","","en","Gary Clone","","1","a45346ac-54a9-4fda-bde7-92ff75ac34f7","pip","Fallout"
"259","","en","Command Tower","","1","952cb8cb-633c-468f-8ef5-54ff91ddfb22","pip","Fallout"
"107","","en","Legate Lanius, Caesar's Ace","","1","f14eb369-b8e3-4abf-9e77-79d1fe5b426f","pip","Fallout"
"224","","en","Arcane Signet","","1","8bafeaa8-5e77-4303-b30a-23fd137b7c35","pip","Fallout"
"239","","en","Sol Ring","","1","e675f7e2-5c9f-4912-8fdd-daaeda284a3d","pip","Fallout"
"253","","en","Ash Barrens","","1","78a90148-5ed9-42db-a64f-4735676d82e3","pip","Fallout"
"146","","en","Desolate Mire","","1","05f38637-8cdc-42bb-b164-85596b6b14b9","pip","Fallout"
"263","","en","Evolving Wilds","","1","912837ca-054a-49a8-a5c5-5e65631b0575","pip","Fallout"
"279","","en","Path of Ancestry","","1","ff6415d9-14fb-4a58-aa86-bf2063037684","pip","Fallout"
"65","","en","Powder Ganger","","1","7bb57c73-a454-450d-9db9-67501bf4559d","pip","Fallout"
"220","","en","Ruinous Ultimatum","","1","8fe3d5d4-7fa3-47ba-9963-23814bce063d","pip","Fallout"
"313","","en","Terramorphic Expanse","","1","548805de-3e2e-4f1f-aafc-d89fddf8288a","pip","Fallout"
"29","","en","Yes Man, Personal Securitron","","1","8e2fac8c-a574-4414-ac68-632fc822ddbb","pip","Fallout"
"258","","en","Clifftop Retreat","","1","e6454d4c-5820-4cb8-b625-3d9a09778513","pip","Fallout"
"312","","en","Temple of Triumph","","1","76721cda-494e-4c77-8b0f-43238a35c040","pip","Fallout"
"131","","en","ED-E, Lonesome Eyebot","","1","b319f0e1-6f18-4fea-9f72-a21da5513aa4","pip","Fallout"
"106","","en","Kellogg, Dangerous Mind","","1","f2b22b32-be24-48e3-aa81-9256190df02c","pip","Fallout"
"209","","en","Anguished Unmaking","","1","272e0f42-a881-4ee2-94a5-2c740863aa74","pip","Fallout"
"217","","en","General's Enforcer","","1","682373ca-d358-4a21-8cbe-4a41d8636b42","pip","Fallout"
"102","","en","Elder Arthur Maxson","","1","049771b0-69ad-4f2d-8567-47e8a87b4496","pip","Fallout"
"147","","en","Diamond City","","1","3e9bd49a-e9f1-4543-b04a-777a9e5a55ec","pip","Fallout"
"135","","en","Luck Bobblehead","","1","13281945-47ff-464d-96ef-9b26ef6783fa","pip","Fallout"
