collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"379","foil","en","Zndrsplt, Eye of Wisdom","","1","d5dfd236-b1da-4552-b94f-ebf6bb9dafdf","sld","Secret Lair Drop"
"380","foil","en","Okaun, Eye of Chaos","","1","94eea6e3-20bc-4dab-90ba-3113c120fb90","sld","Secret Lair Drop"
"MRD-90","foil","en","Fiery Gambit","","1","6e2f138d-a39d-4bff-b334-9f556311881b","plst","The List"
"383","foil","en","Krark's Thumb","","1","9f63277b-e139-46c8-b9e3-0cfb647f44cc","sld","Secret Lair Drop"
"381","foil","en","Propaganda","","1","3e3f0bcd-0796-494d-bf51-94b33c1671e9","sld","Secret Lair Drop"
"382","foil","en","Stitch in Time","","1","087c3a0d-c710-4451-989e-596b55352184","sld","Secret Lair Drop"
"CMR-353","foil","en","Path of Ancestry","","1","a674d18a-a710-434a-a833-50ee9b95a23d","plst","The List"
"UMA-250","foil","en","Rogue's Passage","","1","6aa3c430-1a41-415d-8736-3541b5b6b4c6","plst","The List"
"M10-52","foil","en","Fabricate","","1","6f6fe03c-91b5-4555-a93f-39935f5fe881","plst","The List"
"GRN-192","foil","en","Niv-Mizzet, Parun","","1","4825e7cb-53ae-4e4b-bb37-8d8eb414772c","plst","The List"
"ZNR-71","foil","en","Negate","","1","1dc492d5-ec52-4ab3-813e-acb40b0b6d5a","plst","The List"
"2XM-267","foil","en","Lightning Greaves","","1","e5ed8037-0450-4668-9f50-3abf367d7661","plst","The List"
"CMR-346","foil","en","Thought Vessel","","1","671d3d4b-e4ab-4d40-a3fd-1db1e52501a7","plst","The List"
"IMA-241","foil","en","Izzet Boilerworks","","1","56451d43-93b0-4237-a889-6a662cfc3e67","plst","The List"
"A25-234","foil","en","Swiftfoot Boots","","1","9c316917-1569-4d95-8729-3b7a0fc39465","plst","The List"
"A25-243","foil","en","Myriad Landscape","","1","96d7382a-adaf-4cff-b31e-d648ee6ba834","plst","The List"
"IMA-219","foil","en","Mind Stone","","1","3aed2452-915a-4a84-8408-6722425201f8","plst","The List"
"CM2-4","foil","en","Daretti, Scrap Savant","","1","e18a9acc-70c6-4cf0-b73a-fdf7ce8e3535","plst","The List"
"WAR-68","foil","en","Spark Double","","1","0b649145-426f-4576-a71c-6ee5d3981243","plst","The List"
"CMR-162","foil","en","Blasphemous Act","","1","40eb7856-95f7-4a62-bc99-b5d0852606ad","plst","The List"
"DGM-94","foil","en","Ral Zarek","","1","cd865c54-7381-4940-8b30-b8a94b58090e","plst","The List"
"CMR-189","foil","en","Krark, the Thumbless","","1","24614006-d99f-44b6-8ec1-29b48a1713d0","plst","The List"
"M11-221","foil","en","Whispersilk Cloak","","1","8b49e2c5-c447-45f4-979d-68556f6cd647","plst","The List"
