collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"180","foil","en","Kaalia of the Vast","","1","5c509c36-43a8-454e-80fc-321f41981049","cma","Commander Anthology"
"2","","en","Akroma's Vengeance","","1","d6c3adf9-d400-4a2d-ba24-90806597a03e","cma","Commander Anthology"
"207","","en","Armillary Sphere","","1","0c1afa73-cd98-4a4c-b9fe-3a84d4e7aeda","cma","Commander Anthology"
"5","","en","Archangel of Strife","","1","b15514f0-0dd8-4e49-a56e-ed829f4c9623","cma","Commander Anthology"
"238","","en","Akoum Refuge","","1","a5e40b42-9057-4844-aa7e-de0a82215640","cma","Commander Anthology"
"173","","en","Angel of Despair","","1","a42ca3ec-6ebf-4fb1-a393-1616ea013843","cma","Commander Anthology"
"75","","en","Akroma, Angel of Fury","","1","a290de9b-ee56-42bd-b7b1-e76bc53da7c7","cma","Commander Anthology"
"76","","en","Anger","","1","dbbf7a16-8d04-4886-afab-51c6bf150e90","cma","Commander Anthology"
"4","","en","Angelic Arbiter","","1","6f2833f5-283d-4e86-8caf-f4f97432622e","cma","Commander Anthology"
"77","","en","Avatar of Slaughter","","1","f1f459f5-8607-476f-a399-f4a0359f3b10","cma","Commander Anthology"
"175","","en","Bladewing the Risen","","1","23756a9f-033a-4c8f-97ad-2cc2b4414f20","cma","Commander Anthology"
"242","","en","Barren Moor","","1","a32e9314-f743-42e5-8e1f-139262bc6d06","cma","Commander Anthology"
"6","","en","Bathe in Light","","1","d1d6dc01-278e-44cc-a488-7e3c2f2e0861","cma","Commander Anthology"
"174","","en","Basandra, Battle Seraph","","1","6e5baa27-3f6b-49bb-9927-5afc21b9cc3f","cma","Commander Anthology"
"244","","en","Boros Garrison","","1","8d7771f1-4311-46ae-afee-c9ac8ff7310e","cma","Commander Anthology"
"243","","en","Bojuka Bog","","1","2e508f2f-f5c7-4c15-a3ae-6d75cd0469a2","cma","Commander Anthology"
"212","","en","Boros Signet","","1","4d40227d-fda3-4a7e-bd6b-3b0384bdeb66","cma","Commander Anthology"
"199","","en","Boros Guildmage","","1","412cecdc-d6aa-4bda-947f-5c959cb76f41","cma","Commander Anthology"
