collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"29","foil","en","Breya, Etherium Shaper","","1","8b585ce8-77a3-4755-8aa6-aee83724bbab","c16","Commander 2016"
"281","","en","Arcane Sanctum","","1","d15c35b2-ecec-4b63-afd5-25392bf58486","c16","Commander 2016"
"27","","en","Ancient Excavation","","1","191f2e4f-2441-472a-b660-d20c07aeec20","c16","Commander 2016"
"56","","en","Ash Barrens","","1","9d7ac112-bb20-4ea4-b797-5d21f6b7c121","c16","Commander 2016"
"51","","en","Armory Automaton","","1","cc0be4ff-c346-4c22-8357-9a2383a53469","c16","Commander 2016"
"282","","en","Azorius Chancery","","1","16389f46-fd96-4a11-ba78-0867cab80282","c16","Commander 2016"
"107","","en","Beacon of Unrest","","1","bbf0f0e4-5b79-4e49-b876-99196323200f","c16","Commander 2016"
"181","","en","Baleful Strix","","1","8b088449-2968-4f11-91b5-5e1f0a833725","c16","Commander 2016"
"244","","en","Blinkmoth Urn","","1","1016fb10-82b5-465a-8f33-ec54f9785544","c16","Commander 2016"
"283","","en","Boros Garrison","","1","8e6a7b29-d028-41d0-badc-49b514972cfe","c16","Commander 2016"
"284","","en","Buried Ruin","","1","9405ceb1-112b-4cef-8c3f-2a22c7eb6692","c16","Commander 2016"
"245","","en","Bonehoard","","1","9069c746-d0aa-4e6d-b352-58e582f033b2","c16","Commander 2016"
"248","","en","Commander's Sphere","","1","28e23091-dc18-4964-af54-0ab282811a06","c16","Commander 2016"
"286","","en","Command Tower","","1","6a759aca-50a4-44ba-8a9d-a764da55bfb7","c16","Commander 2016"
"86","","en","Chief Engineer","","1","8c67872b-f375-42b9-b81c-3c8c52c0c24e","c16","Commander 2016"
"6","","en","Coastal Breach","","1","bf8b550a-c86f-4684-a4f6-14e75172324f","c16","Commander 2016"
"249","","en","Cranial Plating","","1","169b74e2-72cf-47df-b128-b632313cd24c","c16","Commander 2016"
"287","","en","Crumbling Necropolis","","1","80b0c087-4642-4297-aa1c-27d17fb879b9","c16","Commander 2016"
"12","","en","Curse of Vengeance","","1","22e7d0e3-a87c-414f-8f12-314083539a2a","c16","Commander 2016"
"123","","en","Daretti, Scrap Savant","","1","19e63f83-4587-4ff8-b75b-d0185f6a911c","c16","Commander 2016"
"288","","en","Darksteel Citadel","","1","4d1d61d9-65de-4d9b-a1f5-f0702f74a7ce","c16","Commander 2016"
"290","","en","Dimir Aqueduct","","1","7b108bfd-f32d-49d4-9f3c-666799b3dd0d","c16","Commander 2016"
"64","","en","Dispeller's Capsule","","1","0710e943-8882-4a31-973b-1bb07d545af8","c16","Commander 2016"
"252","","en","Etched Oracle","","1","89c98ee9-ecfb-4d02-a6fe-df153c8691ab","c16","Commander 2016"
"8","","en","Faerie Artisans","","1","ff05c503-2536-48f5-a639-480614a2e5f8","c16","Commander 2016"
"89","","en","Etherium Sculptor","","1","86e072aa-4234-416d-b83e-cdc4f511a6d9","c16","Commander 2016"
"294","","en","Evolving Wilds","","1","2b3c0b62-39d7-4710-b3ce-f9d614a09841","c16","Commander 2016"
"90","","en","Ethersworn Adjudicator","","1","f84cedf6-2ad7-4b94-95b3-70deb03ef23b","c16","Commander 2016"
"253","","en","Everflowing Chalice","","1","63ee2346-e151-45a4-90c1-cf1d63ec35f0","c16","Commander 2016"
"109","","en","Executioner's Capsule","","1","81c1fe5e-375a-4ca0-a0fe-a3b0d36b0e7c","c16","Commander 2016"
"295","","en","Exotic Orchard","","1","a95134ee-68d3-44d8-9098-403f100dc73b","c16","Commander 2016"
"199","","en","Filigree Angel","","1","afee5684-e9ff-4451-b3e9-184c2e83fb36","c16","Commander 2016"
"254","","en","Fellwar Stone","","1","d140a606-e9d0-4fda-af38-1fca5d5c8c17","c16","Commander 2016"
"128","","en","Hellkite Tyrant","","1","16937c7d-72c8-4640-8000-e4d2dc664a93","c16","Commander 2016"
