collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"8","","en","Zimone, Mystery Unraveler","","1","30f23588-5064-48d9-a271-039df757f8d2","dsc","Duskmourn: House of Horror Commander"
"216","","en","Growing Dread","","1","5479ac50-8335-4c6a-be99-750a44e24f25","dsk","Duskmourn: House of Horror"
"193","","en","Overgrown Zealot","","1","96d68d29-499a-4864-be18-bd98fda0d173","dsk","Duskmourn: House of Horror"
"269","","en","Terramorphic Expanse","","1","b379c8f1-817c-4f18-8f58-45c40504433e","dsk","Duskmourn: House of Horror"
"13","","en","Glitch Interpreter","","1","d68b8dff-32b0-4e96-82f0-4d4ceb92861d","dsc","Duskmourn: House of Horror Commander"
"14","","en","They Came from the Pipes","","1","74c900b3-6db0-4bd9-afd2-d193e4aca09c","dsc","Duskmourn: House of Horror Commander"
"35","","en","Shriekwood Devourer","","1","bd73c214-f6b6-49e9-b6e8-af6b1f1fb0f0","dsc","Duskmourn: House of Horror Commander"
"32","","en","Disorienting Choice","","1","a756a35d-a630-41a2-8b3d-6f1bafd7409a","dsc","Duskmourn: House of Horror Commander"
"33","","en","Experimental Lab // Staff Room","","1","0ee64079-76f2-49da-bd62-3d22dc1ec0c0","dsc","Duskmourn: House of Horror Commander"
"39","","en","Giggling Skitterspike","","1","fba20e7e-9581-4a9b-bdda-5c85d3450d4c","dsc","Duskmourn: House of Horror Commander"
"30","","en","Curator Beastie","","1","83eafcd9-0918-43a8-a1be-13deec424235","dsc","Duskmourn: House of Horror Commander"
"15","","en","Zimone's Hypothesis","","1","ada2b522-219a-44be-98c1-83a02efdd709","dsc","Duskmourn: House of Horror Commander"
"2","","en","Kianne, Corrupted Memory","","1","d970c966-9a89-4c4c-ac73-8cf8fffe7721","dsc","Duskmourn: House of Horror Commander"
"72","","en","Cackling Counterpart","","1","eb26e2dd-a81b-46a5-9208-c6b3d2548fbb","dsc","Duskmourn: House of Horror Commander"
"80","","en","Beast Within","","1","15d24a9b-05a0-4759-80eb-22743ed5c228","dsc","Duskmourn: House of Horror Commander"
"92","","en","Arcane Signet","","1","211a1d86-7257-4621-ae05-c2b235c063f0","dsc","Duskmourn: House of Horror Commander"
"88","","en","Growth Spiral","","1","1e10e2b4-9639-41ae-8b8e-253224d3d513","dsc","Duskmourn: House of Horror Commander"
"96","","en","Command Tower","","1","129d1bbd-83ad-4953-bf6d-b55989b2529c","dsc","Duskmourn: House of Horror Commander"
"94","","en","Sol Ring","","1","82f1a8a3-7fdb-49a3-9649-b5c0b4755cd5","dsc","Duskmourn: House of Horror Commander"
"260","","en","Ash Barrens","","1","a881be73-7b22-418f-bf20-a07400b3b836","dsc","Duskmourn: House of Horror Commander"
"81","","en","Citanul Hierophants","","1","f378ee17-bf8b-4a83-b42e-86da10817dba","dsc","Duskmourn: House of Horror Commander"
"197","","en","Scute Swarm","","1","ea630ba1-22f9-4a10-bdc6-0d03128214f4","dsc","Duskmourn: House of Horror Commander"
"206","","en","Worldspine Wurm","","1","edb684f3-7787-4e54-96a2-61f95b6494a8","dsc","Duskmourn: House of Horror Commander"
"170","","en","Ashaya, Soul of the Wild","","1","0a74b4e6-f6c9-4fef-a83c-a285a541e720","dsc","Duskmourn: House of Horror Commander"
"172","","en","Beanstalk Giant // Fertile Footsteps","","1","71096773-69dd-4fb7-a088-e0fe096eaf6b","dsc","Duskmourn: House of Horror Commander"
"274","","en","Evolving Wilds","","1","e524216c-ed35-49a3-868f-7ad0a0027a80","dsc","Duskmourn: House of Horror Commander"
"176","","en","Deathmist Raptor","","1","ed6e6cf5-8fb7-4ba6-943a-e5aa14a3ee92","dsc","Duskmourn: House of Horror Commander"
"119","","en","Kheru Spellsnatcher","","1","610f4f2b-e5ed-463b-9d9b-0f7b3f3e99c8","dsc","Duskmourn: House of Horror Commander"
"313","","en","Temple of the False God","","1","23d62c88-3a7a-4eef-8ec4-ff1243e6ce93","dsc","Duskmourn: House of Horror Commander"
"112","","en","Body of Knowledge","","1","185b2e8f-ab37-42e4-b3a1-f38b19a2e05a","dsc","Duskmourn: House of Horror Commander"
"190","","en","Multani, Yavimaya's Avatar","","1","61337cf3-709d-4886-9c9b-0c346677f026","dsc","Duskmourn: House of Horror Commander"
"209","","en","Yedora, Grave Gardener","","1","7b852b55-bee1-46fc-87e4-5c01b90bbd43","dsc","Duskmourn: House of Horror Commander"
