collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Obuun, Mul Daya Ancestor","","1","8319b155-0fba-4d30-9481-bf01afbd3457","znc","Zendikar Rising Commander"
"229","","en","Murasa Rootgrazer","","1","e70b3b78-9bdc-449b-82a9-c2fc3dd7f120","znr","Zendikar Rising"
"201","","en","Roiling Regrowth","","1","fa259096-b24f-414c-af59-301bed4b4627","znr","Zendikar Rising"
"3","","en","Trove Warden","","1","3336593c-c83c-48e7-9173-2c2b74b94d3b","znc","Zendikar Rising Commander"
"6","","en","Geode Rager","","1","28f684e5-a263-4841-b297-a094c76d906f","znc","Zendikar Rising Commander"
"82","","en","Sporemound","","1","8d104172-fad9-466a-910b-23863bd1a205","znc","Zendikar Rising Commander"
"15","","en","Emeria Angel","","1","491c6b65-244e-4146-9fbc-6eb00e78e1b7","znc","Zendikar Rising Commander"
"122","","en","Boros Garrison","","1","9bddfae4-f928-4209-96c5-a483f9c20823","znc","Zendikar Rising Commander"
"121","","en","Blighted Woodland","","1","5005cb1a-ea29-4a5e-959c-21fdf1997575","znc","Zendikar Rising Commander"
"123","","en","Boros Guildgate","","1","62512962-8d98-4e18-a910-39abd72229ce","znc","Zendikar Rising Commander"
"58","","en","Abundance","","1","73a44759-1fa4-4a96-b668-316851e8a35a","znc","Zendikar Rising Commander"
"10","","en","Admonition Angel","","1","a6e7713d-6054-46a7-a8bc-f09e7a81a571","znc","Zendikar Rising Commander"
"59","","en","Acidic Slime","","1","2baac648-a789-403f-a490-a6f6c65f5eb5","znc","Zendikar Rising Commander"
"9","","en","Abzan Falconer","","1","42560ce5-c7ac-422f-8f22-e2fb043861b7","znc","Zendikar Rising Commander"
"60","","en","Armorcraft Judge","","1","0893ada6-d7dd-4913-8c94-a780fc559859","znc","Zendikar Rising Commander"
"61","","en","Beanstalk Giant // Fertile Footsteps","","1","1f4495c3-46be-4b9c-bedf-7998e313662b","znc","Zendikar Rising Commander"
"106","","en","Arcane Signet","","1","89ed88b1-c2b8-4c6e-87a6-168035b2f8c8","znc","Zendikar Rising Commander"
"11","","en","Banishing Light","","1","d35bad68-e1a9-4cdc-bd68-cee4ccebef6c","znc","Zendikar Rising Commander"
"62","","en","Circuitous Route","","1","6130036c-2cb7-4216-9bfe-0b751d653529","znc","Zendikar Rising Commander"
"70","","en","Inspiring Call","","1","6221f00b-39dc-423a-bace-1bc15e1e91f7","znc","Zendikar Rising Commander"
"72","","en","Khalni Heart Expedition","","1","fc9c99e7-1e0a-4012-9b6e-6d2299b22269","znc","Zendikar Rising Commander"
"73","","en","Kodama's Reach","","1","d1a6d4f8-31e8-46b1-a0e3-5a0f9da112fd","znc","Zendikar Rising Commander"
"132","","en","Jungle Shrine","","1","57e7fedd-3e02-462d-b13e-32c34eedd069","znc","Zendikar Rising Commander"
"71","","en","Keeper of Fables","","1","3e7d8c13-bfab-4501-8773-64adbfeb0957","znc","Zendikar Rising Commander"
"17","","en","Hour of Revelation","","1","ddb53e90-f91e-4da9-ab70-5460958c6c99","znc","Zendikar Rising Commander"
"69","","en","Harrow","","1","f8095ca6-2f5f-497f-8b78-7e530ac31d22","znc","Zendikar Rising Commander"
"131","","en","Gruul Turf","","1","296e140d-3510-4bbf-8c96-9b361bb369ee","znc","Zendikar Rising Commander"
"68","","en","Harmonize","","1","35c74267-2c54-4883-b96a-5e912e5bde32","znc","Zendikar Rising Commander"
"130","","en","Gruul Guildgate","","1","e62b42cf-abdb-4807-bb7d-4009faf92635","znc","Zendikar Rising Commander"
"91","","en","Ground Assault","","1","570edcbb-5770-4589-9941-787bf9d139bd","znc","Zendikar Rising Commander"
"20","","en","Retreat to Emeria","","1","9f18221f-e900-48ef-9b8e-e8ee52b31939","znc","Zendikar Rising Commander"
"78","","en","Retreat to Kazandu","","1","a4b9e374-bc7e-4e43-8efd-5cb7b965ac2b","znc","Zendikar Rising Commander"
"77","","en","Rampaging Baloths","","1","7c4d6cce-ef92-47b9-a65b-870024f71e83","znc","Zendikar Rising Commander"
"79","","en","Return of the Wildspeaker","","1","cbbfd12c-9d16-4abe-83e9-ef5fa5977631","znc","Zendikar Rising Commander"
"80","","en","Rites of Flourishing","","1","ab014d5a-aec5-4ea8-bfb4-1392f43c1b30","znc","Zendikar Rising Commander"
"116","","en","Sandstone Oracle","","1","e8df2b87-9671-4827-9ee9-5c6d6bb50aac","znc","Zendikar Rising Commander"
"81","","en","Satyr Wayfinder","","1","84cb8203-88e4-4a3b-9334-91b70c747091","znc","Zendikar Rising Commander"
"140","","en","Selesnya Sanctuary","","1","c6d7a00e-f828-43c1-bcbe-ea04589dc4ed","znc","Zendikar Rising Commander"
"117","","en","Scaretiller","","1","83ad06e3-c498-49f8-b8d4-34d044ede097","znc","Zendikar Rising Commander"
"139","","en","Selesnya Guildgate","","1","e9b50917-6b95-41b8-86c7-1f4c8204d099","znc","Zendikar Rising Commander"
"119","","en","Seer's Sundial","","1","814e5257-464e-4451-8bee-780d80d8dec5","znc","Zendikar Rising Commander"
"22","","en","Together Forever","","1","0ee24937-a282-4cf4-8daa-114e68285094","znc","Zendikar Rising Commander"
"74","","en","The Mending of Dominaria","","1","726feeb3-6403-4f23-8415-a4a6878faf61","znc","Zendikar Rising Commander"
"142","","en","Terramorphic Expanse","","1","660d83ac-e159-4f5e-936c-51ee19fed53c","znc","Zendikar Rising Commander"
"105","","en","Treacherous Terrain","","1","5fb6efb3-bde3-4e29-8637-265e5c1da616","znc","Zendikar Rising Commander"
"85","","en","Tuskguard Captain","","1","1faffaf0-6be6-458f-b0f1-e3e74627c406","znc","Zendikar Rising Commander"
"88","","en","Zendikar's Roil","","1","60297593-2438-48d7-9414-48af114a93d2","znc","Zendikar Rising Commander"
"86","","en","Waker of the Wilds","","1","4124807b-15f9-46d7-8b0b-d4f1b3587d99","znc","Zendikar Rising Commander"
"87","","en","Yavimaya Elder","","1","8549396b-f525-412d-9ff6-60b6a6b66a18","znc","Zendikar Rising Commander"
"12","","en","Condemn","","1","b28100b4-f4ee-4e1c-be50-508dd01e846a","znc","Zendikar Rising Commander"
"124","","en","Command Tower","","1","50976f27-1878-46b0-a3c9-ac53616905ac","znc","Zendikar Rising Commander"
"125","","en","Cryptic Caves","","1","204acb48-a705-4c5f-b462-2bcb3bc75fa4","znc","Zendikar Rising Commander"
"13","","en","Crush Contraband","","1","bc566018-5d35-44cc-adc4-76e09be9e47f","znc","Zendikar Rising Commander"
"14","","en","Elite Scaleguard","","1","817002d2-1150-4769-b9de-f363b69ffb8a","znc","Zendikar Rising Commander"
"63","","en","Elvish Rejuvenator","","1","db9168c5-7da7-402c-91e5-734898694e22","znc","Zendikar Rising Commander"
"64","","en","Embodiment of Insight","","1","2f3d83f7-b087-4e9b-8e98-6b9b060d0627","znc","Zendikar Rising Commander"
"67","","en","Fertilid","","1","4532020f-c6b5-43e6-946b-a4491c1785b3","znc","Zendikar Rising Commander"
"16","","en","Emeria Shepherd","","1","a99dd58d-9fed-4d85-9bb5-f9c91834cab8","znc","Zendikar Rising Commander"
"129","","en","Evolving Wilds","","1","46ee12e6-569e-446a-9600-b1eac394e213","znc","Zendikar Rising Commander"
"65","","en","Evolution Sage","","1","969bf351-c7df-4eb0-8065-9b8d5233f8f3","znc","Zendikar Rising Commander"
"66","","en","Far Wanderings","","1","db67c59e-a9fb-4580-a8cc-ac5ef6c07440","znc","Zendikar Rising Commander"
"95","","en","Naya Charm","","1","8d999a15-34a4-4a1e-862e-569b91948786","znc","Zendikar Rising Commander"
"93","","en","Living Twister","","1","d2f5e2c4-7a58-4666-b28f-d8e459547724","znc","Zendikar Rising Commander"
"135","","en","Myriad Landscape","","1","99d861db-bb12-4fa8-9122-167e7e7898ec","znc","Zendikar Rising Commander"
"136","","en","Naya Panorama","","1","4ba615a5-ad3a-4ad1-ab5f-69d7a3e4cf34","znc","Zendikar Rising Commander"
"94","","en","Mina and Denn, Wildborn","","1","374b5d57-fd20-4062-9ec2-24ac557d9dde","znc","Zendikar Rising Commander"
"75","","en","Multani, Yavimaya's Avatar","","1","88733b6d-6d45-4318-ae49-623929231d17","znc","Zendikar Rising Commander"
"18","","en","Kor Cartographer","","1","975ad85f-1314-4707-974d-2f49b11b9490","znc","Zendikar Rising Commander"
"134","","en","Krosan Verge","","1","8d6adf14-e1ee-4248-bad2-67f209e686f6","znc","Zendikar Rising Commander"
"19","","en","Planar Outburst","","1","5b72535d-16dc-4b03-a18e-0da4a7cc901e","znc","Zendikar Rising Commander"
"76","","en","Nissa's Renewal","","1","288c0c3e-48a9-4ea5-ac8b-7071fc0a3fc7","znc","Zendikar Rising Commander"
"97","","en","Omnath, Locus of Rage","","1","08c14bb4-c9d9-41ce-a075-a441522a52c6","znc","Zendikar Rising Commander"
"137","","en","Needle Spires","","1","5e1903c2-6b22-4e2c-99fa-8e259fff29c5","znc","Zendikar Rising Commander"
"84","","en","Sylvan Advocate","","1","7f5ac7ee-52e0-4c30-83cd-d27c29c19dbc","znc","Zendikar Rising Commander"
"120","","en","Sol Ring","","1","8a5edac3-855a-4820-b913-44de5b29b7d0","znc","Zendikar Rising Commander"
"102","","en","Struggle // Survive","","1","92f0a448-fc11-4a1e-ab87-5a02b72a481c","znc","Zendikar Rising Commander"
"104","","en","Sylvan Reclamation","","1","7999b93a-b18d-4d82-99ec-719e481b0c00","znc","Zendikar Rising Commander"
"83","","en","Springbloom Druid","","1","76ccbb7c-6563-4ed0-a812-f94b002b7618","znc","Zendikar Rising Commander"
"21","","en","Sun Titan","","1","ef3e7352-5768-4d4e-befb-560b9d10a178","znc","Zendikar Rising Commander"
"384","","en","Forest","","10","2b90e88b-60a3-4d1d-bb8c-14633e5005a5","znr","Zendikar Rising"
