collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Dihada, Binder of Wills","","1","ddeb54d6-a600-42b9-98df-20f8d58caed8","dmc","Dominaria United Commander"
"271","","en","Mountain","","5","a82f782e-abc8-4b92-a193-17b2c383f765","dmu","Dominaria United"
"268","","en","Swamp","","5","5a846f00-ccb9-4ee2-8358-7c7722258601","dmu","Dominaria United"
"262","","en","Plains","","6","5822b027-369d-46da-b6dd-c31207e2f449","dmu","Dominaria United"
"236","","en","Temple of Malice","","1","0b5d626b-c04e-4573-ab07-cf0143baa8b7","dmc","Dominaria United Commander"
"177","","en","Arcane Signet","","1","1bf50ef8-e7e8-4099-ba91-0d7c31b04541","dmc","Dominaria United Commander"
"204","","en","Command Tower","","1","77a679dd-220c-4fbe-a158-a8db57f55b86","dmc","Dominaria United Commander"
"98","","en","The Circle of Loyalty","","1","81910ade-a742-4ed7-ab15-bca95850f8b5","dmc","Dominaria United Commander"
"127","","en","Thrill of Possibility","","1","9752ed44-dc5e-4f73-9422-c1d267b60a3c","dmc","Dominaria United Commander"
"199","","en","Bojuka Bog","","1","c6525da7-49d9-4c92-a319-35a63dabadc6","dmc","Dominaria United Commander"
"118","","en","Alesha, Who Smiles at Death","","1","7ae9ff8c-1cc8-4b10-9641-2c79648fd6c2","dmc","Dominaria United Commander"
"208","","en","Evolving Wilds","","1","b2f20d21-6666-4851-a293-469152c347cf","dmc","Dominaria United Commander"
"122","","en","Faithless Looting","","1","84c3b38c-a6f7-49a2-8c47-d91b6be0a967","dmc","Dominaria United Commander"
"161","","en","Mortify","","1","ff33c675-04cb-429d-8568-57487edee25e","dmc","Dominaria United Commander"
"115","","en","Night's Whisper","","1","2a16686d-a4eb-46c4-98a9-dcc87b89872e","dmc","Dominaria United Commander"
"103","","en","Odric, Lunarch Marshal","","1","a2d5c9f2-8f58-40ac-a01c-f4ac4ab4d7f0","dmc","Dominaria United Commander"
"224","","en","Orzhov Basilica","","1","b4895407-2ff7-4a68-b47e-eb9733c95451","dmc","Dominaria United Commander"
"117","","en","Read the Bones","","1","ef841309-60fa-4956-bc3f-dcf1ef55de94","dmc","Dominaria United Commander"
"227","","en","Reliquary Tower","","1","2bdb402f-b3a9-499c-8b00-31a36c3cba89","dmc","Dominaria United Commander"
"190","","en","Sol Ring","","1","beebe533-29b9-4041-ab66-0a8233c50d56","dmc","Dominaria United Commander"
"110","","en","Ambition's Cost","","1","2341686a-1b75-431a-8c89-d723ce3a867f","dmc","Dominaria United Commander"
"237","","en","Temple of Silence","","1","3b7db6c9-509a-4556-b855-338c34e3cb9b","dmc","Dominaria United Commander"
"238","","en","Temple of Triumph","","1","506e6398-174b-42ce-a326-2c74671c3777","dmc","Dominaria United Commander"
"108","","en","Zetalpa, Primal Dawn","","1","77bcb902-70c0-4406-bbcf-49d23fd71a68","dmc","Dominaria United Commander"
"182","","en","Fellwar Stone","","1","5bf29f9d-0745-4aab-b7fc-7b04ba2eeaba","dmc","Dominaria United Commander"
"200","","en","Boros Garrison","","1","d7cd5af5-67de-4d4d-b84f-5f2c95bee52e","dmc","Dominaria United Commander"
"181","","en","Commander's Sphere","","1","e6458206-bfbd-4f4c-b2cf-e2853a939d50","dmc","Dominaria United Commander"
"239","","en","Terramorphic Expanse","","1","74d8849c-fe0d-4749-9165-a22f8643888a","dmc","Dominaria United Commander"
"139","","en","Adriana, Captain of the Guard","","1","01c2337d-1c3c-4c5e-8b06-dc8a8c56164e","dmc","Dominaria United Commander"
"213","","en","Geier Reach Sanitarium","","1","0b9fa570-770d-45a7-9b87-2def6992a22b","dmc","Dominaria United Commander"
