collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"8","foil","en","Osgir, the Reconstructor","","1","5815fe6e-e26b-4918-a090-55d6442722c1","c21","Commander 2021"
"367","","en","Plains","","8","49f7e5de-1fa8-406e-a411-fc8a11937000","stx","Strixhaven: School of Mages"
"372","","en","Mountain","","12","9660fb20-f499-4f7a-9f25-e463f095ab90","stx","Strixhaven: School of Mages"
"222","","en","Reconstruct History","","1","3e565e38-43d5-482e-a911-ce525dfee74f","stx","Strixhaven: School of Mages"
"268","","en","Lorehold Campus","","1","d35461cf-becf-4399-8329-64b4496b7fc2","stx","Strixhaven: School of Mages"
"26","","en","Secret Rendezvous","","1","39528cf0-343e-499b-a69f-c5c3c2898c25","stx","Strixhaven: School of Mages"
"225","","en","Rip Apart","","1","b3b5b510-fd5c-415d-98b0-386e7508f7af","stx","Strixhaven: School of Mages"
"18","","en","Losheel, Clockwork Scholar","","1","db1d67fe-bffe-45ad-af6a-cb131ddb1a12","c21","Commander 2021"
"53","","en","Laelia, the Blade Reforged","","1","a3bb2881-e8fb-4fba-a9f9-d93e6ca24378","c21","Commander 2021"
"16","","en","Excavation Technique","","1","32ffc8eb-9518-455c-ada5-8b7596896dcf","c21","Commander 2021"
"11","","en","Angel of the Ruins","","1","ea96229a-5c33-4f79-97d4-059947dd7617","c21","Commander 2021"
"57","","en","Ruin Grinder","","1","56dd8c18-052b-4684-8ffa-f7d49af25759","c21","Commander 2021"
"48","","en","Battlemage's Bracers","","1","1a14aad2-47f0-4d21-9fcf-5ca171faffaf","c21","Commander 2021"
"19","","en","Monologue Tax","","1","e9449f23-6a14-453b-8bb6-5cf85ed7a851","c21","Commander 2021"
"12","","en","Archaeomancer's Map","","1","703d0bdc-01a0-4ba8-8536-e7425dfb3b1f","c21","Commander 2021"
"47","","en","Audacious Reshapers","","1","ec593c8a-b5ef-45a1-ac19-45937a876038","c21","Commander 2021"
"50","","en","Cursed Mirror","","1","458a01ea-f161-43a4-a6db-88f6418b9c6d","c21","Commander 2021"
"80","","en","Study Hall","","1","a3de9859-98b6-4efe-847a-43bac5b1ef9f","c21","Commander 2021"
"79","","en","Triplicate Titan","","1","568dd5a6-86f4-4039-87d7-812120c8ab94","c21","Commander 2021"
"13","","en","Bronze Guardian","","1","8cd5cc66-2ade-4142-9269-7d9905b029e5","c21","Commander 2021"
"15","","en","Digsite Engineer","","1","d79b8974-796c-4f88-a0cb-5afbaf26fd24","c21","Commander 2021"
"75","","en","Wake the Past","","1","aeae7fda-05f5-40af-90cc-b80521ee0521","c21","Commander 2021"
"276","","en","Ancient Den","","1","0a508907-a127-45cd-898a-e936bc08391f","c21","Commander 2021"
"234","","en","Arcane Signet","","1","01b186af-8825-4257-80fd-9c1ecdb21414","c21","Commander 2021"
"236","","en","Boros Locket","","1","c61204b7-02c2-41be-8841-0b261798de7a","c21","Commander 2021"
"237","","en","Bosh, Iron Golem","","1","09fb3b1f-c3a0-4da4-9b29-eff81fc1d562","c21","Commander 2021"
"163","","en","Combustible Gearhulk","","1","57166f39-44b2-47ec-a4cb-39d3f7ffd5e0","c21","Commander 2021"
"239","","en","Commander's Sphere","","1","1c1fda5d-f519-4b27-9fc6-1a617d0fc79b","c21","Commander 2021"
"164","","en","Daretti, Scrap Savant","","1","fa393eeb-bccc-453c-b783-6b0ff445c3a6","c21","Commander 2021"
"285","","en","Darksteel Citadel","","1","2ba7597d-6d76-45b8-b172-342999e401bd","c21","Commander 2021"
"242","","en","Duplicant","","1","e9592749-f1a4-4ac4-bb6b-071c5906cad5","c21","Commander 2021"
"169","","en","Feldon of the Third Path","","1","97879ddb-b00b-4f24-b901-af19c436b9f1","c21","Commander 2021"
"168","","en","Faithless Looting","","1","1d6e5cc9-bd48-41b6-ac20-5a3e38aecdc5","c21","Commander 2021"
"292","","en","Great Furnace","","1","f0ac295e-93e4-490b-b8a3-a9794c7f56e4","c21","Commander 2021"
"244","","en","Hedron Archive","","1","f8900980-6e0d-4d78-91a7-60a2e8cc92a5","c21","Commander 2021"
"172","","en","Hellkite Tyrant","","1","67d15ee6-916f-4ac9-a4d2-4a9bd389d451","c21","Commander 2021"
"245","","en","Ichor Wellspring","","1","1ccdb407-ac8f-4736-89d3-ab0d086096ea","c21","Commander 2021"
"251","","en","Mind Stone","","1","8c899cbd-cddd-43f9-a95d-a6e5af990362","c21","Commander 2021"
"250","","en","Meteor Golem","","1","5d096068-0740-4b28-8c05-f5a5b7109ab9","c21","Commander 2021"
"253","","en","Myr Battlesphere","","1","79d3ab85-0de2-4a6f-8ed0-c32853025520","c21","Commander 2021"
"261","","en","Sculpting Steel","","1","7752f944-9e03-4604-b330-0c0aeee2d627","c21","Commander 2021"
"263","","en","Sol Ring","","1","4cbc6901-6a4a-4d0a-83ea-7eefa3b35021","c21","Commander 2021"
"264","","en","Solemn Simulacrum","","1","1fb27404-b112-4f1c-b6f3-54520edfd724","c21","Commander 2021"
"266","","en","Steel Hellkite","","1","4c145019-385d-4a16-b28b-bb9699c95e53","c21","Commander 2021"
"267","","en","Steel Overseer","","1","3f1b0b1f-a152-4bc8-923c-1b3a7f151295","c21","Commander 2021"
"181","","en","Thopter Engineer","","1","03ba03d0-c2fd-44fa-809e-3873e1c3e968","c21","Commander 2021"
"271","","en","Thousand-Year Elixir","","1","95c2d832-5244-4236-81d5-2920aa2e281e","c21","Commander 2021"
"210","","en","Boros Charm","","1","22dc1c3a-0110-4925-a745-e51b20553027","c21","Commander 2021"
"238","","en","Burnished Hart","","1","bdf2d103-8614-4cc1-be90-a8b331eff0d2","c21","Commander 2021"
"161","","en","Chain Reaction","","1","87687369-ebe8-49ba-8445-9ea3bef334a0","c21","Commander 2021"
"86","","en","Cleansing Nova","","1","11f1b6cd-d89a-4468-a097-7a54efe22f2c","c21","Commander 2021"
"88","","en","Dispatch","","1","6e5caadb-9438-460a-852b-123719635550","c21","Commander 2021"
"220","","en","Jor Kadeen, the Prevailer","","1","576d86b5-2541-4ebc-8992-73248af7c805","c21","Commander 2021"
"248","","en","Key to the City","","1","f2103bba-f367-45ed-9b2c-bf31bb2926a5","c21","Commander 2021"
"318","","en","Slayers' Stronghold","","1","d72b33dd-942d-4374-8f9a-7382303bee2b","c21","Commander 2021"
"319","","en","Sunhome, Fortress of the Legion","","1","15e9f92d-638d-46c2-9f8e-f741db1a4a40","c21","Commander 2021"
"106","","en","Sun Titan","","1","dfbf6204-f08e-4bdc-904d-d617dabdfdd8","c21","Commander 2021"
"327","","en","Temple of Triumph","","1","c0516f04-127a-44de-8d49-e40d3fe192e3","c21","Commander 2021"
"87","","en","Darksteel Mutation","","1","ba7d679c-4105-4196-9444-fd2f42f59272","c21","Commander 2021"
"89","","en","Dispeller's Capsule","","1","ebecd3d1-15ed-4501-89af-4718a212332d","c21","Commander 2021"
"173","","en","Hoard-Smelter Dragon","","1","d5eb5f59-1d0c-402a-8b06-108bf1dc8b4e","c21","Commander 2021"
"171","","en","Hellkite Igniter","","1","c0c94fc4-17d7-4752-9667-c20c19e65f01","c21","Commander 2021"
"177","","en","Pia Nalaar","","1","9d2502c8-bf80-404c-9a9a-b843d355fcaa","c21","Commander 2021"
"257","","en","Pilgrim's Eye","","1","f5773b53-82ed-43e7-b516-a32a128604ff","c21","Commander 2021"
"309","","en","Phyrexia's Core","","1","8d8df09f-d22f-4f29-b920-358433f81b76","c21","Commander 2021"
"100","","en","Return to Dust","","1","59713368-9626-4466-9be4-8ca08e03a888","c21","Commander 2021"
"178","","en","Quicksmith Genius","","1","7fed8df9-600c-4502-83a3-883724f2f7c6","c21","Commander 2021"
"101","","en","Rout","","1","15ce585a-67fc-4e7a-92ff-a27292179dfa","c21","Commander 2021"
"260","","en","Scrap Trawler","","1","bf1e1b54-2f97-4d33-807a-99ca38f21777","c21","Commander 2021"
"102","","en","Sanctum Gargoyle","","1","7678e008-f054-485d-ae21-6b97f83dd824","c21","Commander 2021"
"272","","en","Unstable Obelisk","","1","6821525c-91e5-4264-91bf-5095422e0751","c21","Commander 2021"
"278","","en","Battlefield Forge","","1","24bf3126-d962-40da-a2bb-84faf7cae05a","c21","Commander 2021"
"282","","en","Boros Garrison","","1","768f5949-831d-4aa8-b35a-719c36cb7134","c21","Commander 2021"
"252","","en","Mycosynth Wellspring","","1","c11c16ff-1786-4426-86b0-d7beb7a71798","c21","Commander 2021"
"284","","en","Command Tower","","1","b53a112c-671c-4312-af56-53fdb735829b","c21","Commander 2021"
"288","","en","Exotic Orchard","","1","b45cbc0e-3f5c-4f27-9463-3cffb0f63e3c","c21","Commander 2021"
"289","","en","Forgotten Cave","","1","62b0b5f8-6b51-4fa5-85ae-290475525a9d","c21","Commander 2021"
"304","","en","Myriad Landscape","","1","7eadf4ea-1fd8-4f35-baf6-c9e7ce706795","c21","Commander 2021"
"312","","en","Rogue's Passage","","1","ba61e204-825b-49e6-b713-c44f714b7539","c21","Commander 2021"
"315","","en","Secluded Steppe","","1","69b876f8-4f4e-4eaa-904c-fa99f543e319","c21","Commander 2021"
"326","","en","Temple of the False God","","1","dfc7261b-cf34-4bdb-a0f4-704e22ac3865","c21","Commander 2021"
"7","foil","en","Alibou, Ancient Witness","","1","fd2fc2d4-c4fb-4dcb-93fa-aaf8c1182f15","c21","Commander 2021"
