collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Anhelo, the Painter","","1","462e887d-6b91-4b31-9487-2780ffe8943f","ncc","New Capenna Commander"
"199","","en","Maestros Charm","","1","3dcdedb6-3c24-4a29-b9b9-27cc47d8ee56","snc","Streets of New Capenna"
"47","","en","A Little Chat","","1","4d7424b6-b56a-47b7-8204-294d3dca925f","snc","Streets of New Capenna"
"251","","en","Maestros Theater","","1","51eb4a44-a5c8-49ed-b440-2462626bb638","snc","Streets of New Capenna"
"177","","en","Cormela, Glamour Thief","","1","221ac34a-94ed-4c49-afad-b19cac541731","snc","Streets of New Capenna"
"44","","en","Audacious Swap","","1","816cb69f-8c9f-4a1e-90d4-8c304501876c","ncc","New Capenna Commander"
"26","","en","Flawless Forgery","","1","1c808629-ee2b-4f3e-a316-7182fbc38d34","ncc","New Capenna Commander"
"75","","en","Maestros Confluence","","1","c823c045-5331-4fe3-ba20-cdfef12c44e9","ncc","New Capenna Commander"
"37","","en","Make an Example","","1","b4ed0e64-c7d8-49a2-9d00-21076484da0a","ncc","New Capenna Commander"
"25","","en","Extravagant Replication","","1","6a6f55d7-d689-43eb-a59a-b8be88269ee6","ncc","New Capenna Commander"
"43","","en","Xander's Pact","","1","2154df0d-9d35-4a67-aeff-c9f224b969a2","ncc","New Capenna Commander"
"34","","en","Body Count","","1","024bf289-2802-4f11-aebf-9373ffbd9c46","ncc","New Capenna Commander"
"70","","en","Cryptic Pursuit","","1","a9cab677-6065-46d4-bc00-10e32de1aed7","ncc","New Capenna Commander"
"80","","en","Syrix, Carrier of the Flame","","1","492d484b-9af6-4055-9893-627b56c69544","ncc","New Capenna Commander"
"53","","en","Spellbinding Soprano","","1","248d71f9-89ef-492e-a854-a890f7d91ef8","ncc","New Capenna Commander"
"84","","en","Smuggler's Buggy","","1","0c635ea1-6395-4b28-86e7-6e136c95ca8a","ncc","New Capenna Commander"
"45","","en","Determined Iteration","","1","6c3d8fc5-bef5-4625-8832-43afa997dbe3","ncc","New Capenna Commander"
"35","","en","Dogged Detective","","1","db794d5d-79e3-41a4-97ff-46442d87ca3b","ncc","New Capenna Commander"
"30","","en","Sinister Concierge","","1","434a43a4-cd03-4ddf-8e36-edff02be33b2","ncc","New Capenna Commander"
"40","","en","Waste Management","","1","0f979e7a-4e7b-4b7b-b4eb-cefa3c02d64f","ncc","New Capenna Commander"
"230","","en","Preordain","","1","d10b9be3-d4ff-4e3c-b0d5-5ab2c4e6d684","ncc","New Capenna Commander"
"229","","en","Ponder","","1","44dcfc0c-b23d-48be-bf3a-a6fc6806c5e1","ncc","New Capenna Commander"
"250","","en","Feed the Swarm","","1","0c8edbe0-cc47-4c83-89be-b2e10c996665","ncc","New Capenna Commander"
"231","","en","River's Rebuke","","1","fc2a70b1-bce6-43c3-94e1-ab9a7bb2638a","ncc","New Capenna Commander"
"267","","en","Double Vision","","1","1b597992-8e11-41a0-ac87-33fffd82b993","ncc","New Capenna Commander"
"273","","en","Rekindling Phoenix","","1","1a9945ec-0996-434e-b177-97203eabaf24","ncc","New Capenna Commander"
"360","","en","Arcane Signet","","1","f3ee9829-f4c0-44a0-8252-4097402e2f8d","ncc","New Capenna Commander"
"379","","en","Sol Ring","","1","e1187999-521d-4ed0-8673-6eb8f3c58bb8","ncc","New Capenna Commander"
"378","","en","Rakdos Signet","","1","c814aaf3-09c7-4983-adf6-448edc0cf391","ncc","New Capenna Commander"
"395","","en","Command Tower","","1","43a32bdf-c430-46a0-9d23-8b8e8468391b","ncc","New Capenna Commander"
"400","","en","Exotic Orchard","","1","7ebb6c13-e495-4953-a036-b99426e507ef","ncc","New Capenna Commander"
"403","","en","Foreboding Ruins","","1","39fe4a43-22a9-4c05-8c57-bca3a61e935e","ncc","New Capenna Commander"
"260","","en","Skyclave Shade","","1","b4bdcf1d-3387-4e21-9159-9294af1ab0b4","ncc","New Capenna Commander"
"257","","en","Puppeteer Clique","","1","172afdb2-8c79-416d-86ce-836c0d2cac49","ncc","New Capenna Commander"
"371","","en","Lightning Greaves","","1","205430f6-2d00-4dce-98c7-3d24a8ae73fc","ncc","New Capenna Commander"
"431","","en","Sunken Hollow","","1","0fb2782e-6fe9-4383-9ba4-02d21b7cb4d7","ncc","New Capenna Commander"
"442","","en","Thriving Moor","","1","68dd1c4b-25c2-4a03-bd8f-07f794f818bb","ncc","New Capenna Commander"
"398","","en","Darkwater Catacombs","","1","622e89db-4717-40cb-bac8-ccdca6c06be8","ncc","New Capenna Commander"
"363","","en","Commander's Sphere","","1","e4330ad8-ce2c-47bd-8956-c5e19bdbf4e0","ncc","New Capenna Commander"
"367","","en","Fellwar Stone","","1","68c3d065-0519-4472-ae6e-23f58af5e859","ncc","New Capenna Commander"
"221","","en","Fact or Fiction","","1","5ee2bd1f-9e2f-4d7c-87ab-7a5987b3d9de","ncc","New Capenna Commander"
"222","","en","Frantic Search","","1","57ab2d8f-6804-46fb-9dec-5fd230333ffd","ncc","New Capenna Commander"
"384","","en","Wayfarer's Bauble","","1","a7fe884a-1ffd-4d12-9513-a4500af255ac","ncc","New Capenna Commander"
"365","","en","Dimir Signet","","1","7dc9f4a4-fbbf-448b-a2ee-720868968586","ncc","New Capenna Commander"
"419","","en","Path of Ancestry","","1","cdeb7d54-053f-45ee-8062-c3c1f40d27ce","ncc","New Capenna Commander"
"369","","en","Izzet Signet","","1","932dff99-8cc1-4ce5-951c-974bd2632dd2","ncc","New Capenna Commander"
"432","","en","Temple of Epiphany","","1","a50cd03f-60df-4c76-a7dc-1daa9e7980b7","ncc","New Capenna Commander"
"219","","en","Dig Through Time","","1","2b0c111a-236f-449a-95b1-274a1dfa546d","ncc","New Capenna Commander"
"331","","en","Bedevil","","1","c0c8694d-e8fe-42d0-8c00-78b1505541e2","ncc","New Capenna Commander"
"428","","en","Smoldering Marsh","","1","e0e4a509-09bb-41e5-a37a-53d98c7f2e04","ncc","New Capenna Commander"
"426","","en","Shadowblood Ridge","","1","5bf29166-4314-4464-a810-9c7487e98107","ncc","New Capenna Commander"
"344","","en","Kess, Dissident Mage","","1","e83e6d7a-3af0-4955-8004-2310f051e306","ncc","New Capenna Commander"
"249","","en","Dread Summons","","1","5fcac17f-8fdc-4cb2-a4c5-ea44155ce852","ncc","New Capenna Commander"
"386","","en","Ash Barrens","","1","5233b31f-a179-4ae9-95a2-2ff75b374edf","ncc","New Capenna Commander"
