collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"37","foil","en","Anje Falkenrath","","1","913dd06f-ed2f-4128-9c9d-9cd0d8a55425","c19","Commander 2019"
"227","","en","Ash Barrens","","1","d78e34c2-6a1e-4559-9b3f-ac45d330d515","c19","Commander 2019"
"209","","en","Armillary Sphere","","1","5021f5e0-1fd9-4b2c-a3b7-b35ce6f5b5ba","c19","Commander 2019"
"22","","en","Anje's Ravager","","1","22924c44-5551-4a48-a574-dfef91a5d4d7","c19","Commander 2019"
"226","","en","Akoum Refuge","","1","51aecc57-f0cc-4e35-af38-ead25cf8a1b8","c19","Commander 2019"
"103","","en","Asylum Visitor","","1","f7b601c3-eb95-4140-8550-4a1ec616a0fa","c19","Commander 2019"
"14","","en","Archfiend of Spite","","1","1df2ca13-4062-4827-ae2f-c61cf88ba3b3","c19","Commander 2019"
"133","","en","Alchemist's Greeting","","1","7b68c607-27f2-4a00-9876-186b5a426764","c19","Commander 2019"
"134","","en","Avacyn's Judgment","","1","498584b6-b9f8-4648-8536-a4f542a2a374","c19","Commander 2019"
"230","","en","Bloodfell Caves","","1","b1a99862-adbe-43c5-8abd-835e377020a3","c19","Commander 2019"
"229","","en","Barren Moor","","1","c6ae4a0f-6b58-4a29-826e-cda2f115cdda","c19","Commander 2019"
"106","","en","Big Game Hunter","","1","497dc6f6-011e-4d42-aeaf-65d70741bee4","c19","Commander 2019"
"188","","en","Bloodhall Priest","","1","dde7ad2c-21fb-4f2c-96a6-59f8b0eafd19","c19","Commander 2019"
"53","","en","Bloodthirsty Blade","","1","42ceb92a-2f41-43d2-884b-b3362d611cfd","c19","Commander 2019"
"105","","en","Beacon of Unrest","","1","86572488-16e7-4df3-945a-93288cb0d5ce","c19","Commander 2019"
"15","","en","Bone Miser","","1","a7fa6901-e74f-448c-9d26-99a692092512","c19","Commander 2019"
"107","","en","Boneyard Parley","","1","04a82af7-309d-46f5-b3ec-ea301dfa042f","c19","Commander 2019"
"52","","en","Aeon Engine","","1","ea4dfdd7-f35a-45d6-9fc7-2c096f92dd5f","c19","Commander 2019"
"136","","en","Chaos Warp","","1","725fc7bf-fa82-497a-9256-ad55323d9a5f","c19","Commander 2019"
"235","","en","Cinder Barrens","","1","08136a39-bf9f-493c-92d6-178567647fb2","c19","Commander 2019"
"108","","en","Call to the Netherworld","","1","caccee1e-971d-4b92-9f9a-624865c508d9","c19","Commander 2019"
"109","","en","Champion of Stray Souls","","1","f0efbddb-c076-4552-b417-3608e0696a77","c19","Commander 2019"
"237","","en","Command Tower","","1","c328d8ac-97df-4240-ac38-7cab363c5da1","c19","Commander 2019"
"110","","en","Dark Withering","","1","b2752240-7358-4167-969b-a28eeea12fd1","c19","Commander 2019"
"16","","en","Curse of Fool's Wisdom","","1","9b77ded4-a8af-4065-8c4a-fd76e7cdcc59","c19","Commander 2019"
"242","","en","Exotic Orchard","","1","23de2dc2-348f-4eeb-ae0c-dda422d654b0","c19","Commander 2019"
"240","","en","Drownyard Temple","","1","c230b8c6-c3d7-41a8-8e8e-949195696d84","c19","Commander 2019"
"241","","en","Evolving Wilds","","1","b6f4f0c7-63c8-4d43-9ccb-920733980de0","c19","Commander 2019"
"111","","en","Doomed Necromancer","","1","a9d10079-3772-4838-b1ec-088d5e601ebe","c19","Commander 2019"
"112","","en","Faith of the Devoted","","1","5f8c5e6a-a161-4630-842a-4c8d4071d6e6","c19","Commander 2019"
"243","","en","Forgotten Cave","","1","66e8ac1f-ca01-46e2-b99e-6d5092afb27f","c19","Commander 2019"
"142","","en","Fiery Temper","","1","fc8282aa-5347-44c7-8397-609aed82bc8c","c19","Commander 2019"
"144","","en","Flayer of the Hatebound","","1","620e8ec3-aeea-498b-a54a-acd922c4bb60","c19","Commander 2019"
"113","","en","From Under the Floorboards","","1","cf31fec2-40d6-4810-8575-c7814bb4b6b4","c19","Commander 2019"
"246","","en","Geier Reach Sanitarium","","1","d922754a-37d0-42ec-9f55-134cf4f3bd1d","c19","Commander 2019"
"114","","en","Geth, Lord of the Vault","","1","2b060e36-225a-49b6-9b19-48ee90fd764c","c19","Commander 2019"
