collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"646","foil","en","Captain N'ghathrod","","1","55c02dc8-0743-400c-b334-ca029caf0463","clb","Commander Legends: Battle for Baldur's Gate"
"351","","en","Command Tower","","1","7eafe88e-ab38-442c-b147-bb01cc81178d","clb","Commander Legends: Battle for Baldur's Gate"
"298","","en","Arcane Signet","","1","5b245a5b-5a99-4d22-99ef-3f5bf49c3262","clb","Commander Legends: Battle for Baldur's Gate"
"325","","en","Mind Stone","","1","1969ddc0-ee6c-4c3d-a9dd-7f1c491609be","clb","Commander Legends: Battle for Baldur's Gate"
"662","","en","Aboleth Spawn","","1","51889b3f-082a-40e9-8be7-11f8c1a7a9a8","clb","Commander Legends: Battle for Baldur's Gate"
"666","","en","Grell Philosopher","","1","e18bb373-a0bb-4e3c-b7db-83f747820fcd","clb","Commander Legends: Battle for Baldur's Gate"
"670","","en","Brainstealer Dragon","","1","0984b1f1-dfc8-4cb9-90a3-e084950438bf","clb","Commander Legends: Battle for Baldur's Gate"
"673","","en","Uchuulon","","1","ecef5fca-72ec-4aee-af6e-ee5d6f6bc567","clb","Commander Legends: Battle for Baldur's Gate"
"671","","en","From the Catacombs","","1","08737950-4662-4d36-a1ea-6fd87e38c02b","clb","Commander Legends: Battle for Baldur's Gate"
"668","","en","Psionic Ritual","","1","9eb36d21-0136-4fee-a348-92a99b7c5305","clb","Commander Legends: Battle for Baldur's Gate"
"665","","en","Endless Evil","","1","804b3378-b330-45d2-9e2c-602ec080f285","clb","Commander Legends: Battle for Baldur's Gate"
"840","","en","Consuming Aberration","","1","464dbaf6-8430-45af-b982-9099e6c6e8a7","clb","Commander Legends: Battle for Baldur's Gate"
"756","","en","Guiltfeeder","","1","8276b064-60ba-4079-b790-e2eea831e35e","clb","Commander Legends: Battle for Baldur's Gate"
"771","","en","Sewer Nemesis","","1","cdb8d320-fecc-42c2-b9d8-a9f6dd44b36d","clb","Commander Legends: Battle for Baldur's Gate"
"723","","en","Grazilaxx, Illithid Scholar","","1","3de11222-c2fa-4544-a501-a02b31797259","clb","Commander Legends: Battle for Baldur's Gate"
"907","","en","Path of Ancestry","","1","43710f35-c43f-48bf-82e1-64ba5c3fa03e","clb","Commander Legends: Battle for Baldur's Gate"
"857","","en","Dimir Signet","","1","32c0ff83-04a7-4d5a-b901-6b8a698c5a4d","clb","Commander Legends: Battle for Baldur's Gate"
