collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"194","","en","Jeleva, Nephalia's Scourge","","1","83f9aeb8-05ba-49d9-a834-62f42fcd295b","c13","Commander 2013"
"68","","en","Annihilate","","1","595e8c26-672d-4978-87ec-9e0ed64ceaf0","c13","Commander 2013"
"272","","en","Akoum Refuge","","1","0b32023d-454a-456c-92fa-ebd591d2b854","c13","Commander 2013"
"29","","en","Arcane Melee","","1","9ea8fd24-311a-4745-804e-46b2abbe217a","c13","Commander 2013"
"235","","en","Armillary Sphere","","1","a87dd615-565d-4b79-a346-f8c6bb0a8340","c13","Commander 2013"
"69","","en","Army of the Damned","","1","1222d958-7f4b-44fe-91ee-93ef435a5857","c13","Commander 2013"
"30","","en","Augur of Bolas","","1","1337c056-7be9-4a04-a8c3-39d46ce34283","c13","Commander 2013"
"177","","en","Baleful Strix","","1","47ac0f77-1294-4de9-93d1-141a9f314f98","c13","Commander 2013"
"70","","en","Baleful Force","","1","3dff363d-7e9f-4764-a9ee-ec2f23239df6","c13","Commander 2013"
"278","","en","Bojuka Bog","","1","2ef9848c-fe7f-4434-8936-4074f67883af","c13","Commander 2013"
"103","","en","Charmbreaker Devils","","1","abb9f2cb-e5de-45a3-936f-685465cdbb70","c13","Commander 2013"
"281","","en","Command Tower","","1","7b2de1d7-0b13-423b-b0ca-31eb38b5b81f","c13","Commander 2013"
"181","","en","Crosis's Charm","","1","a586e329-b1e2-4b60-a914-7b9aa2c645c2","c13","Commander 2013"
"283","","en","Crumbling Necropolis","","1","495ec48c-1352-4bbe-b27f-53bf8e823ce0","c13","Commander 2013"
"182","","en","Cruel Ultimatum","","1","73430a6c-7196-4f6c-91d6-50fcc8b0eedb","c13","Commander 2013"
"105","","en","Curse of Chaos","","1","fd95b9aa-1abb-4a10-a622-51a2bb578d17","c13","Commander 2013"
"36","","en","Curse of Inertia","","1","5f6073c3-43aa-441f-98fe-0135f96ffa04","c13","Commander 2013"
"71","","en","Curse of Shallow Graves","","1","849996e2-fb62-428f-88f1-4ac419617395","c13","Commander 2013"
"284","","en","Dimir Guildgate","","1","deba1271-ca49-4318-b94a-7a6598807dc8","c13","Commander 2013"
"72","","en","Decree of Pain","","1","85a24793-2d19-4e29-bdb9-0b8e0ba90fd3","c13","Commander 2013"
"39","","en","Dismiss","","1","d64a483e-9e02-4d0b-b85f-5fe43f6101ac","c13","Commander 2013"
"40","","en","Diviner Spirit","","1","638d9c6b-d373-4b6d-afd6-7e8234e8f0a5","c13","Commander 2013"
"43","","en","Echo Mage","","1","8b76ba96-9630-44fb-849e-3c3848c03876","c13","Commander 2013"
"287","","en","Evolving Wilds","","1","f0244872-9cd7-4a23-87a5-7658fd4a8c2e","c13","Commander 2013"
"243","","en","Eye of Doom","","1","b48d431d-3ead-417e-8f2a-0189bd1ef9f3","c13","Commander 2013"
"44","","en","Fog Bank","","1","191bdf86-38dc-40c6-bf18-d95caf0c4a1f","c13","Commander 2013"
"107","","en","Fissure Vent","","1","c16cbb92-8d1e-44ec-a66a-57549042de19","c13","Commander 2013"
"45","","en","Guard Gomazoa","","1","08d6de22-a274-4a19-aa1a-cf88ae2fda5a","c13","Commander 2013"
"112","","en","Guttersnipe","","1","bb4bd882-1fa6-41a4-b82b-ec9f8e7f9b11","c13","Commander 2013"
"293","","en","Grixis Panorama","","1","523426a8-05a8-4415-b138-cd147be38944","c13","Commander 2013"
"192","","en","Grixis Charm","","1","20332354-a294-4448-a66f-533e6b546df6","c13","Commander 2013"
"47","","en","Illusionist's Gambit","","1","a00cc6ab-e97c-4eba-bc7e-49d77690433b","c13","Commander 2013"
"80","","en","Hooded Horror","","1","15414338-506b-458f-a067-1a2053373594","c13","Commander 2013"
"81","","en","Infest","","1","df59c670-2deb-49ad-911d-6b7b182f0b1a","c13","Commander 2013"
"113","","en","Incendiary Command","","1","925d6ae9-deb8-41a4-99de-fd6fc6924d3b","c13","Commander 2013"
"297","","en","Izzet Guildgate","","1","65caef6e-70f9-4841-8c4d-457748d292fa","c13","Commander 2013"
"296","","en","Izzet Boilerworks","","1","d7cbaf09-7125-4549-b1af-9874f14c4b1c","c13","Commander 2013"
"48","","en","Jace's Archivist","","1","853e58c2-c647-4b7a-8020-8782fa24a404","c13","Commander 2013"
"50","","en","Mnemonic Wall","","1","c8b1debf-9f5e-4635-a480-26e1c454eb9f","c13","Commander 2013"
"246","","en","Mirari","","1","7de1dfcf-f2e7-4c7c-8b00-c5d30a2d3f98","c13","Commander 2013"
"117","","en","Molten Disaster","","1","17ca6865-e894-4390-ba27-b7cc8b03a424","c13","Commander 2013"
"201","","en","Nekusar, the Mindrazer","","1","3f7f2417-12de-4e57-9714-d878880a1208","c13","Commander 2013"
"306","","en","Molten Slagheap","","1","3e0f846d-661b-4330-a32e-566cc13b258e","c13","Commander 2013"
"83","","en","Nightscape Familiar","","1","76c848f0-b9b5-4de6-8513-025fa863c347","c13","Commander 2013"
"251","","en","Obelisk of Grixis","","1","e45bffc0-a12e-4c0e-81de-8d5b91109330","c13","Commander 2013"
"51","","en","Opportunity","","1","bc0323fe-59a4-49f5-bdff-ba47229dd9d0","c13","Commander 2013"
"310","","en","Opal Palace","","1","e8b912d9-5682-4462-954a-b4c2eb1aebbb","c13","Commander 2013"
"202","","en","Nivix Guildmage","","1","92fb453e-6cbe-48c6-98ef-86069791c341","c13","Commander 2013"
"53","","en","Propaganda","","1","5bb7c8eb-6286-4fb9-a52e-f61930dc0217","c13","Commander 2013"
"85","","en","Phthisis","","1","8b1e6db5-e0a8-4d65-8640-abe788fe846f","c13","Commander 2013"
"89","","en","Price of Knowledge","","1","97f536be-7836-4c9a-befc-94590e602f26","c13","Commander 2013"
"54","","en","Prosperity","","1","69ebc3a4-94b8-45aa-a3bf-21cd435ff5cf","c13","Commander 2013"
"313","","en","Rakdos Carnarium","","1","e8f41cb8-1d86-4fef-9689-030625674b9d","c13","Commander 2013"
"314","","en","Rakdos Guildgate","","1","e7c71a39-42a5-4a77-99fa-b7b59339818a","c13","Commander 2013"
"315","","en","Rupture Spire","","1","622087fc-4e34-43cd-a46f-fd2c339b3905","c13","Commander 2013"
"259","","en","Sol Ring","","1","1b59533a-3e38-495d-873e-2f89fbd08494","c13","Commander 2013"
"57","","en","Skyscribing","","1","b6ef8e44-3b40-46c2-973e-8f857126a13e","c13","Commander 2013"
"215","","en","Soul Manipulation","","1","fc30f6fb-bfdc-4914-9f7c-e4c00802b196","c13","Commander 2013"
"122","","en","Starstorm","","1","439aa3eb-fa1f-46b2-a13a-369b6a88d97c","c13","Commander 2013"
"233","","en","Spiteful Visions","","1","e2475965-01a6-4a32-bca9-80018ab31d9a","c13","Commander 2013"
"59","","en","Strategic Planning","","1","372993c8-8a55-4c40-a543-26ce6b827544","c13","Commander 2013"
"94","","en","Sudden Spoiling","","1","14d8bf94-ba55-437f-ac69-ece24049944d","c13","Commander 2013"
"327","","en","Temple of the False God","","1","5b25c648-34a7-4293-8f91-1295bcdeceb0","c13","Commander 2013"
"60","","en","Tempt with Reflections","","1","ebb0070f-8686-4127-91c3-4f1488e2d995","c13","Commander 2013"
"263","","en","Swiftfoot Boots","","1","da8ac93d-3377-4768-8152-d988a090de2a","c13","Commander 2013"
"126","","en","Terra Ravager","","1","124dd668-ad84-45b9-9e04-1ea7cd2d7024","c13","Commander 2013"
"221","","en","Thraximundar","","1","199d862e-d043-47f1-b097-76877b260608","c13","Commander 2013"
"265","","en","Temple Bell","","1","5bc51134-3698-48b8-8a30-2064f9add2b1","c13","Commander 2013"
"63","","en","True-Name Nemesis","","1","e8c81cf6-e204-4fea-aaa1-4277366b31c7","c13","Commander 2013"
"65","","en","Vision Skeins","","1","b4b032de-808e-4c47-ba86-ac59609378e0","c13","Commander 2013"
"97","","en","Vampire Nighthawk","","1","88a78e21-e594-4051-bddb-a06beb087252","c13","Commander 2013"
"64","","en","Uyo, Silent Prophet","","1","50840915-545b-4de2-94bb-22a0b1e0dc7a","c13","Commander 2013"
"331","","en","Urza's Factory","","1","410b0cf2-fc2b-4fdd-b12f-10a65f504166","c13","Commander 2013"
"269","","en","Viseling","","1","38a6105e-a67b-4805-b50c-dea404f60fac","c13","Commander 2013"
"336","","en","Vivid Marsh","","1","e38203e9-acb8-4fa9-84f2-1a0560152503","c13","Commander 2013"
"334","","en","Vivid Creek","","1","724eedf6-94e1-474b-9ecf-10013bd8353c","c13","Commander 2013"
"270","","en","Wayfarer's Bauble","","1","c0f85420-17c8-4e54-941b-edc7231204b8","c13","Commander 2013"
"132","","en","Wild Ricochet","","1","9852c26b-3204-49f3-97db-2061763e428e","c13","Commander 2013"
"342","","en","Island","","9","950bb5f0-9aca-4e5c-8523-4ce25b3bb0ef","c13","Commander 2013"
"349","","en","Mountain","","5","daeda166-5add-4af1-bb6d-43ce5d754074","c13","Commander 2013"
"345","","en","Swamp","","8","0e02d146-925e-47b4-ae9a-8e5fc542ea08","c13","Commander 2013"
