collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","","en","Aminatou, Veil Piercer","","1","9f868023-6035-403d-ba91-7a4840c6c392","dsc","Duskmourn: House of Horror Commander"
"43","","en","Bottomless Pool // Locker Room","","1","606fe87c-d17b-4fa7-8e82-e7002d8229ef","dsk","Duskmourn: House of Horror"
"269","","en","Terramorphic Expanse","","1","b379c8f1-817c-4f18-8f58-45c40504433e","dsk","Duskmourn: House of Horror"
"92","","en","Arcane Signet","","1","211a1d86-7257-4621-ae05-c2b235c063f0","dsc","Duskmourn: House of Horror Commander"
"96","","en","Command Tower","","1","129d1bbd-83ad-4953-bf6d-b55989b2529c","dsc","Duskmourn: House of Horror Commander"
"94","","en","Sol Ring","","1","82f1a8a3-7fdb-49a3-9649-b5c0b4755cd5","dsc","Duskmourn: House of Horror Commander"
"260","","en","Ash Barrens","","1","a881be73-7b22-418f-bf20-a07400b3b836","dsc","Duskmourn: House of Horror Commander"
"17","","en","Cramped Vents // Access Maze","","1","7ba1e27e-ed0d-438c-9ec6-a48a04718512","dsc","Duskmourn: House of Horror Commander"
"9","","en","Redress Fate","","1","19f56096-f692-4719-af38-6a4955f2b65c","dsc","Duskmourn: House of Horror Commander"
"21","","en","Metamorphosis Fanatic","","1","16448d95-ee21-4def-b880-26f6f159c213","dsc","Duskmourn: House of Horror Commander"
"16","","en","Ancient Cellarspawn","","1","27e2477d-4f04-408d-8c39-8a886ac81f44","dsc","Duskmourn: House of Horror Commander"
"10","","en","Secret Arcade // Dusty Parlor","","1","fe050c16-9be5-42ef-988f-0531a8bb2352","dsc","Duskmourn: House of Horror Commander"
"73","","en","Ponder","","1","8cbab1d1-25cb-456f-8d1c-3d64eb7265ea","dsc","Duskmourn: House of Horror Commander"
"68","","en","Mesa Enchantress","","1","c4f9e9fc-8b89-40ee-9b20-10e4a23e6333","dsc","Duskmourn: House of Horror Commander"
"11","","en","Soaring Lightbringer","","1","fc7895bf-a5fe-45bd-bc57-c4abe0703900","dsc","Duskmourn: House of Horror Commander"
"12","","en","Fear of Sleep Paralysis","","1","845e9d68-11a9-4759-a031-13464d337e12","dsc","Duskmourn: House of Horror Commander"
"69","","en","Moon-Blessed Cleric","","1","0555e095-8c6f-4436-80fe-99b641fad2df","dsc","Duskmourn: House of Horror Commander"
"70","","en","Terminus","","1","4c53c684-37f9-4b95-88be-a42b9600c47c","dsc","Duskmourn: House of Horror Commander"
"91","","en","Utter End","","1","1819a0af-0775-431d-9637-13f8f10830f5","dsc","Duskmourn: House of Horror Commander"
"71","","en","Aminatou's Augury","","1","503448da-d14f-4759-85b6-0db2e90e0241","dsc","Duskmourn: House of Horror Commander"
"74","","en","Portent","","1","5b360632-9c81-4b9c-8b9f-ac0b51c974a0","dsc","Duskmourn: House of Horror Commander"
"75","","en","Telling Time","","1","c2616749-699b-4928-8984-aba630d3397a","dsc","Duskmourn: House of Horror Commander"
"87","","en","Diabolic Vision","","1","c360753a-af32-4f1d-a1c7-c3f3c075ecc0","dsc","Duskmourn: House of Horror Commander"
"38","","en","Phenomenon Investigators","","1","57195155-6bdf-43c3-9f2e-11c31aef6b9c","dsc","Duskmourn: House of Horror Commander"
"100","","en","Monologue Tax","","1","4ba2c9b9-06bc-4bf2-8df5-f0748fb2b8eb","dsc","Duskmourn: House of Horror Commander"
"99","","en","Entreat the Angels","","1","ff4411bc-ed4e-4d54-9e1b-21fc77b0e415","dsc","Duskmourn: House of Horror Commander"
"103","","en","Sigil of the Empty Throne","","1","6875be24-1515-488f-a899-929c8e480dfd","dsc","Duskmourn: House of Horror Commander"
"117","","en","Extravagant Replication","","1","c8f6f1f4-a4ab-48dc-9520-0852e6b6ce20","dsc","Duskmourn: House of Horror Commander"
"149","","en","Nightmare Shepherd","","1","c03c1ad6-3122-4267-80d6-94ecf1ff3884","dsc","Duskmourn: House of Horror Commander"
"101","","en","Ondu Spiritdancer","","1","ee1c6432-54d7-4b57-a554-f7194d74e03c","dsc","Duskmourn: House of Horror Commander"
"224","","en","Life Insurance","","1","60e1921e-6c98-4c60-88f4-8fbb6f30236e","dsc","Duskmourn: House of Horror Commander"
"248","","en","Mind Stone","","1","f1f616f2-d69d-4763-8ff0-3eb05a543926","dsc","Duskmourn: House of Horror Commander"
"106","","en","Swords to Plowshares","","1","b16321b6-3e28-424b-ac72-038cc4ed6458","dsc","Duskmourn: House of Horror Commander"
"139","","en","The Eldest Reborn","","1","4d29351e-5608-40e8-8220-6c9635d48ad4","dsc","Duskmourn: House of Horror Commander"
"240","","en","Azorius Signet","","1","10f8b8fa-1d6e-4b5d-a871-914aa8b26ae6","dsc","Duskmourn: House of Horror Commander"
"110","","en","Arcane Denial","","1","9b3f47a9-65fb-4b53-8e52-1c4b678b5841","dsc","Duskmourn: House of Horror Commander"
"274","","en","Evolving Wilds","","1","e524216c-ed35-49a3-868f-7ad0a0027a80","dsc","Duskmourn: House of Horror Commander"
"253","","en","Solemn Simulacrum","","1","916e0c89-5614-4022-b095-9c714c476d13","dsc","Duskmourn: House of Horror Commander"
"283","","en","Hall of Heliod's Generosity","","1","f08dfd99-59fa-4a6c-bd69-c647f639de4d","dsc","Duskmourn: House of Horror Commander"
"120","","en","Mirrormade","","1","a26cbfbe-fbb8-4804-b065-ab2c42ddad9b","dsc","Duskmourn: House of Horror Commander"
"244","","en","Commander's Sphere","","1","a4ce6b63-0b38-4582-94d5-c733af087038","dsc","Duskmourn: House of Horror Commander"
"265","","en","Bojuka Bog","","1","e286c618-ef42-433f-ade9-0c1235a295e3","dsc","Duskmourn: House of Horror Commander"
"249","","en","Orzhov Signet","","1","4930d5ea-a6a9-4a87-9083-d5cd337cd7fa","dsc","Duskmourn: House of Horror Commander"
"259","","en","Arcane Sanctum","","1","c75eeb97-3249-4762-84b0-387f27fb255f","dsc","Duskmourn: House of Horror Commander"
"261","","en","Azorius Chancery","","1","50ef0ac3-e911-4d67-a751-8d86160ae843","dsc","Duskmourn: House of Horror Commander"
"291","","en","Obscura Storefront","","1","d8eaf8d2-8029-49d9-a94b-a72dc31fc81f","dsc","Duskmourn: House of Horror Commander"
"102","","en","Return to Dust","","1","3c3745c2-5509-4d6b-8f49-5cb93374edea","dsc","Duskmourn: House of Horror Commander"
"221","","en","Inkshield","","1","bf3af774-526e-4b64-a34f-407e6ef92d24","dsc","Duskmourn: House of Horror Commander"
"303","","en","Tainted Isle","","1","70e8e7e2-e9ea-4358-805e-c5110c8d8443","dsc","Duskmourn: House of Horror Commander"
"243","","en","Burnished Hart","","1","185660f1-584a-4098-aacd-df50fe5669d5","dsc","Duskmourn: House of Horror Commander"
"312","","en","Temple of Silence","","1","e185a110-9e65-4ecd-a051-16ac6967db3b","dsc","Duskmourn: House of Horror Commander"
"104","","en","Sphere of Safety","","1","5c4e3031-ffc2-4d4d-a9f9-e85820059315","dsc","Duskmourn: House of Horror Commander"
