collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Mishra, Eminent One","","1","7f5b1daa-ec45-48de-9496-6ca5b491a0dc","brc","The Brothers' War Commander"
"31","","en","Island","","5","fc8c4d2d-416c-4b8b-b46d-0e11f0e8245d","brc","The Brothers' War Commander"
"35","","en","Mountain","","4","7ba2d0d9-9b48-4edf-b1bb-e7f385ae97c8","brc","The Brothers' War Commander"
"33","","en","Swamp","","4","5205f782-e6af-4152-a15f-080935017e4b","brc","The Brothers' War Commander"
"205","","en","Temple of Deceit","","1","1f604a40-dbe4-464f-98da-69c8125614f0","brc","The Brothers' War Commander"
"208","","en","Temple of Malice","","1","7306c101-399b-4306-89b5-6c43cb582597","brc","The Brothers' War Commander"
"132","","en","Arcane Signet","","1","d5a30a51-3afb-45e9-aab6-40fec44ec55a","brc","The Brothers' War Commander"
"178","","en","Command Tower","","1","84b79453-bb88-4c23-8cdb-82ba57ea3bc5","brc","The Brothers' War Commander"
"81","","en","Emry, Lurker of the Loch","","1","aa6592b0-c809-4711-bb39-4c9a9e55657e","brc","The Brothers' War Commander"
"102","","en","Workshop Elders","","1","6912e6bd-6dc8-4e34-b2ab-edbc8f9c9943","brc","The Brothers' War Commander"
"174","","en","Ash Barrens","","1","e688045d-e26a-4063-bae4-89723d70c129","brc","The Brothers' War Commander"
"114","","en","Chaos Warp","","1","84b7ef85-5751-4dd1-9cde-1cbb8097bbba","brc","The Brothers' War Commander"
"179","","en","Crumbling Necropolis","","1","8eb526c9-706c-4845-b92a-880e6293f1ef","brc","The Brothers' War Commander"
"104","","en","Executioner's Capsule","","1","73a54823-a5fd-4055-a435-a6bdbd6bedff","brc","The Brothers' War Commander"
"84","","en","Fact or Fiction","","1","9cad13ca-5d81-456e-9294-e2d510b79392","brc","The Brothers' War Commander"
"116","","en","Faithless Looting","","1","b78f314a-a7c2-4441-9d46-67521ad570ba","brc","The Brothers' War Commander"
"187","","en","Great Furnace","","1","3fde36b4-95e0-4592-b67c-05548bbb1679","brc","The Brothers' War Commander"
"87","","en","Master Transmuter","","1","3437cd27-2bd4-4b4a-ad8b-7586d22f6c78","brc","The Brothers' War Commander"
"148","","en","Mind Stone","","1","6ff5cc3e-0179-442e-a0b0-48063dd59fb3","brc","The Brothers' War Commander"
"155","","en","Prophetic Prism","","1","90419b9e-f3f0-4d41-b8a3-e8264609780d","brc","The Brothers' War Commander"
"196","","en","Reliquary Tower","","1","fcc31eb5-d0aa-4b4d-8908-cad1bba7348a","brc","The Brothers' War Commander"
"160","","en","Sol Ring","","1","772edef7-2f17-4244-b1bb-4e7a53c253e1","brc","The Brothers' War Commander"
"99","","en","Thoughtcast","","1","e0aa9869-a05e-4a8b-8aa9-0224863a5fc5","brc","The Brothers' War Commander"
"168","","en","Thran Dynamo","","1","91437edc-21bb-4900-a7c2-4e9f303b0053","brc","The Brothers' War Commander"
"169","","en","Trading Post","","1","f01fae0b-1042-4cd6-bccb-37e30dae9a28","brc","The Brothers' War Commander"
"207","","en","Temple of Epiphany","","1","bb3bed3f-2efc-44b5-81d4-10c3c9c39276","brc","The Brothers' War Commander"
"141","","en","Fellwar Stone","","1","111e4a04-931f-45a1-ab3f-bf5cb22a98fc","brc","The Brothers' War Commander"
"113","","en","Blasphemous Act","","1","310abe1d-153e-44c7-974c-441a2fbc19bf","brc","The Brothers' War Commander"
"177","","en","Buried Ruin","","1","34e53bc3-f8af-4547-a694-d01c18bf56c1","brc","The Brothers' War Commander"
"135","","en","Commander's Sphere","","1","83191924-6c47-4f05-b774-84f84ccdc50d","brc","The Brothers' War Commander"
"181","","en","Darkwater Catacombs","","1","f42ef8fb-53ce-49bd-a464-b09a94801edd","brc","The Brothers' War Commander"
"138","","en","Dimir Signet","","1","1f03430e-2c3d-4317-b4bd-06c2059b7e34","brc","The Brothers' War Commander"
"182","","en","Dimir Aqueduct","","1","012b9371-45e0-4e06-ad7a-4c52d1d38262","brc","The Brothers' War Commander"
"185","","en","Exotic Orchard","","1","95d63eac-469f-454f-a575-7f19abb554cf","brc","The Brothers' War Commander"
"139","","en","Dreamstone Hedron","","1","27d2b870-eed5-46c1-a1a4-70169ddb2fb8","brc","The Brothers' War Commander"
"143","","en","Ichor Wellspring","","1","1a5313e8-b7d1-49c7-81de-4da99ba9733f","brc","The Brothers' War Commander"
"150","","en","Mycosynth Wellspring","","1","e11c8aa0-ea14-43a4-a341-29f01affe64a","brc","The Brothers' War Commander"
"153","","en","Oblivion Stone","","1","e8b06a3d-897e-423e-bae6-9bf21beb2aa5","brc","The Brothers' War Commander"
"162","","en","Spine of Ish Sah","","1","9ac31f11-17ec-4d6f-9425-38c511566590","brc","The Brothers' War Commander"
"210","","en","Terramorphic Expanse","","1","6c156c30-d681-4b3b-bcf9-3a1e85a8c7a1","brc","The Brothers' War Commander"
"171","","en","Wayfarer's Bauble","","1","f3af7c4d-5a2f-4cc6-907e-4b8104ad4aa1","brc","The Brothers' War Commander"
"122","","en","Brudiclad, Telchor Engineer","","1","b2068926-0a67-4cdf-8c80-103ec32564e9","brc","The Brothers' War Commander"
"192","","en","Path of Ancestry","","1","95c1557e-68dd-46be-9b1e-0a65e04fe739","brc","The Brothers' War Commander"
"129","","en","Silas Renn, Seeker Adept","","1","79b50fc8-9658-4837-ade8-2f34d12d3cc7","brc","The Brothers' War Commander"
"107","","en","Geth, Lord of the Vault","","1","82f6a6c6-2755-4a6b-a9f9-06cae30be4e0","brc","The Brothers' War Commander"
"142","","en","Hedron Archive","","1","677bf9ff-4e4b-495d-b56a-ed0f26c469ca","brc","The Brothers' War Commander"
"144","","en","Idol of Oblivion","","1","465f803f-0e4a-41b4-9160-10f76c05188e","brc","The Brothers' War Commander"
"188","","en","Izzet Boilerworks","","1","83b58eef-869d-487d-a765-bfb1891d7317","brc","The Brothers' War Commander"
"190","","en","Myriad Landscape","","1","09ae899f-e5ac-4b67-abf2-d55ad9ae58f3","brc","The Brothers' War Commander"
"194","","en","Rakdos Carnarium","","1","7af7868a-3bdd-42d6-a7db-fef5f9ff317c","brc","The Brothers' War Commander"
"165","","en","Strionic Resonator","","1","56d770bf-a8ad-4817-8342-b0dde94c538a","brc","The Brothers' War Commander"
"199","","en","Shadowblood Ridge","","1","9b4a6fb2-f6f4-437d-8ac4-797425cc294c","brc","The Brothers' War Commander"
"152","","en","Nihil Spellbomb","","1","4b148de1-6a85-4add-8b62-8b1172d2fe31","brc","The Brothers' War Commander"
"202","","en","Smoldering Marsh","","1","d6882120-e807-4695-af88-ddfec92f6127","brc","The Brothers' War Commander"
"156","","en","Rakdos Signet","","1","929fc40a-6d21-4907-8ab9-d68dcc1a0bc2","brc","The Brothers' War Commander"
"121","","en","Bedevil","","1","3291c839-d26a-47f8-a134-43f8758f082c","brc","The Brothers' War Commander"
"147","","en","Metalwork Colossus","","1","df3e046e-ff1b-4bee-8611-229d0088f5a1","brc","The Brothers' War Commander"
"91","","en","Padeem, Consul of Innovation","","1","0cb2569f-d4ea-47f8-b9ba-5436400c7e2e","brc","The Brothers' War Commander"
"111","","en","Abrade","","1","cccbc616-5592-4051-a066-a325209f349e","brc","The Brothers' War Commander"
"108","","en","Herald of Anguish","","1","fec860f2-6ef0-4b74-9672-72b4de2b55ca","brc","The Brothers' War Commander"
"158","","en","Servo Schematic","","1","723b5b4d-120c-4396-8e7c-ed62302f463d","brc","The Brothers' War Commander"
"96","","en","Thirst for Knowledge","","1","61e9ce52-b065-462d-a8b0-db79dfb4a1c8","brc","The Brothers' War Commander"
"198","","en","Seat of the Synod","","1","4277ebca-1c8d-4066-969a-28adf6445b3e","brc","The Brothers' War Commander"
"211","","en","Vault of Whispers","","1","f482fe5c-1ff5-46f8-befa-b84deaa29f45","brc","The Brothers' War Commander"
"118","","en","Slobad, Goblin Tinkerer","","1","0dce1a0c-66e9-469b-9d74-7b58fdde8ded","brc","The Brothers' War Commander"
"89","","en","Muzzio, Visionary Architect","","1","f6726c12-d484-4ab7-9d5d-2a1561602d3b","brc","The Brothers' War Commander"
"117","","en","Hellkite Igniter","","1","4bcb4383-8c72-4491-8f55-213ce8a2abbb","brc","The Brothers' War Commander"
"149","","en","Mirrorworks","","1","a762e84d-db04-4ede-bc0b-ddcfff9549af","brc","The Brothers' War Commander"
"126","","en","Jhoira, Weatherlight Captain","","1","dd968f54-03d3-4005-87cb-0bdc3318d71a","brc","The Brothers' War Commander"
"170","","en","Traxos, Scourge of Kroog","","1","513fd010-db79-4aa4-8186-776fc3e27750","brc","The Brothers' War Commander"
"106","","en","Feed the Swarm","","1","7d95a0e0-d609-451b-b045-85990eede219","brc","The Brothers' War Commander"
"146","","en","Lithoform Engine","","1","c579956f-900a-4574-a68b-3c1d92ea67b6","brc","The Brothers' War Commander"
"125","","en","Expressive Iteration","","1","c836e9ff-7e55-44b5-8e81-1e97b5de46cd","brc","The Brothers' War Commander"
"112","","en","Audacious Reshapers","","1","8100d73c-3ee4-4f26-96ec-97872dcad9eb","brc","The Brothers' War Commander"
"115","","en","Cursed Mirror","","1","a29473ee-1a11-42b8-8d14-34051208f35b","brc","The Brothers' War Commander"
"105","","en","Fain, the Broker","","1","41775788-2432-495a-8abd-6c8beaad3d27","brc","The Brothers' War Commander"
"183","","en","Drossforge Bridge","","1","707bc538-cdc1-49ca-9c36-3d6d5245d962","brc","The Brothers' War Commander"
"189","","en","Mistvault Bridge","","1","7ad684fb-cfb0-48b2-802f-bda96afafdc3","brc","The Brothers' War Commander"
"200","","en","Silverbluff Bridge","","1","75942d08-29f5-4e07-ae26-c94e0af57220","brc","The Brothers' War Commander"
"127","","en","Oni-Cult Anvil","","1","c275470f-83d2-4341-9757-a570ec19a181","brc","The Brothers' War Commander"
"88","","en","Mnemonic Sphere","","1","6dd6a9d8-6ac3-49be-a87e-4d91fa8d96a3","brc","The Brothers' War Commander"
"12","","en","Blast-Furnace Hellkite","","1","04c349f2-69b1-48dd-a547-f2b55f542700","brc","The Brothers' War Commander"
"7","","en","Glint Raker","","1","7520ee10-3ed1-40eb-86a0-3e463a5fba76","brc","The Brothers' War Commander"
"9","","en","Terisiare's Devastation","","1","494a9b67-cfd8-44cd-adbb-8e8a9eeca0d4","brc","The Brothers' War Commander"
"13","","en","Farid, Enterprising Salvager","","1","003367c7-6cb8-4451-8349-76ce5d21e367","brc","The Brothers' War Commander"
"16","","en","Machine God's Effigy","","1","637f69c2-ba24-42d1-9345-8ebdb04b6904","brc","The Brothers' War Commander"
"17","","en","Scavenged Brawler","","1","afd0ba67-cbb7-49fe-83a0-02e85a37d9d6","brc","The Brothers' War Commander"
"18","","en","Smelting Vat","","1","e5b82177-3795-470a-abff-a4a936b27430","brc","The Brothers' War Commander"
"20","","en","Wondrous Crucible","","1","f4cb4a2b-c48f-4d30-8e0d-f76579be1747","brc","The Brothers' War Commander"
"4","foil","en","Ashnod the Uncaring","","1","a76e8ab8-33bf-4a5a-b6a2-7046301b6c31","brc","The Brothers' War Commander"
