collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","The Wise Mothman","","1","3d6d6944-a364-41c2-b824-7a1bf6ad0d1e","pip","Fallout"
"44","","en","Feral Ghoul","","1","fbdef99d-6ce9-495d-a55b-e6ba799d3da7","pip","Fallout"
"91","","en","Alpha Deathclaw","","1","ca4c8b04-66af-4cb3-8003-9088d8344b20","pip","Fallout"
"37","","en","Radstorm","","1","d778cdec-8fc7-4174-bae1-4c8e8ccdfab3","pip","Fallout"
"259","","en","Command Tower","","1","952cb8cb-633c-468f-8ef5-54ff91ddfb22","pip","Fallout"
"89","","en","Agent Frank Horrigan","","1","91193a0b-9087-404f-b397-815e29d0fe12","pip","Fallout"
"199","","en","Guardian Project","","1","4e1b0ed2-dc94-471d-9ea4-1a17f3cbb81a","pip","Fallout"
"224","","en","Arcane Signet","","1","8bafeaa8-5e77-4303-b30a-23fd137b7c35","pip","Fallout"
"239","","en","Sol Ring","","1","e675f7e2-5c9f-4912-8fdd-daaeda284a3d","pip","Fallout"
"45","","en","Hancock, Ghoulish Mayor","","1","39bda1b4-3f02-4cbc-9573-f5b6e6c991d5","pip","Fallout"
"253","","en","Ash Barrens","","1","78a90148-5ed9-42db-a64f-4735676d82e3","pip","Fallout"
"263","","en","Evolving Wilds","","1","912837ca-054a-49a8-a5c5-5e65631b0575","pip","Fallout"
"47","","en","Nuclear Fallout","","1","e717e4b0-a8c1-4411-b18a-1d17e7225503","pip","Fallout"
"152","","en","Overflowing Basin","","1","75372ba1-85fb-4923-a62f-4050761c1471","pip","Fallout"
"279","","en","Path of Ancestry","","1","ff6415d9-14fb-4a58-aa86-bf2063037684","pip","Fallout"
"313","","en","Terramorphic Expanse","","1","548805de-3e2e-4f1f-aafc-d89fddf8288a","pip","Fallout"
"264","","en","Exotic Orchard","","1","75f07a84-2788-4f5b-bd76-701bab10f01b","pip","Fallout"
"311","","en","Temple of the False God","","1","22223010-1864-483d-b0af-50ca40bc3d0d","pip","Fallout"
"154","","en","Viridescent Bog","","1","ea4ce16b-39bb-4580-9c38-a7c6b9a33609","pip","Fallout"
"115","","en","Raul, Trouble Shooter","","1","3b73a314-b197-4954-a242-7d9096a406c1","pip","Fallout"
"42","","en","Bloatfly Swarm","","1","2d90b839-0808-435d-bcf3-aa7af414c44b","pip","Fallout"
"141","","en","Recon Craft Theta","","1","21aa59d3-e786-4ba0-9802-01b57597cda2","pip","Fallout"
"125","","en","Young Deathclaws","","1","64d5e6bd-de46-4bc2-854b-cc6cae713f98","pip","Fallout"
"111","","en","Mutational Advantage","","1","b1ff92f1-9dc7-48e6-9e7c-9ef4a88518cb","pip","Fallout"
"39","","en","Struggle for Project Purity","","1","04c60155-9337-4ea2-b9a2-5b72d96743ff","pip","Fallout"
"122","","en","Vault 87: Forced Evolution","","1","33bf267b-f41c-447a-aa35-0c01aad8a489","pip","Fallout"
"175","","en","Fraying Sanity","","1","72dbffda-f7cf-454f-b449-0fa7c6895add","pip","Fallout"
"200","","en","Hardened Scales","","1","7ecefd95-4eff-4403-83c1-c0c29a2f2a76","pip","Fallout"
"78","","en","Harold and Bob, First Numens","","1","d730ac69-20ec-4ef3-85ee-a5fd24e5f277","pip","Fallout"
"80","","en","Lumbering Megasloth","","1","53b92e8a-fadf-4568-8b30-2df68e6ff7cf","pip","Fallout"
"143","","en","Strength Bobblehead","","1","f9af73ad-625a-4260-8917-6a837f9fdf88","pip","Fallout"
"151","","en","Mariposa Military Base","","1","cd7be9d4-f9fa-44a3-9902-7e9e226ccf56","pip","Fallout"
"41","","en","Vexing Radgull","","1","91580910-fe0e-4cd9-9e73-821af23abfe7","pip","Fallout"
"51","","en","Vault 12: The Necropolis","","1","144cd9eb-9b15-40ce-8a48-919e72dbaa67","pip","Fallout"
"36","","en","Piper Wright, Publick Reporter","","1","916bf331-455a-4694-93d3-15dcf6971072","pip","Fallout"
"79","","en","Lily Bowen, Raging Grandma","","1","052dc548-d356-43fe-9484-665db7e1f505","pip","Fallout"
"94","","en","Atomize","","1","592cbafc-ab4e-461f-b64f-0bf9d83aaff3","pip","Fallout"
"138","","en","Nuka-Nuke Launcher","","1","68d5835b-c206-4884-bdcf-38c7cdc703f4","pip","Fallout"
"229","","en","Contagion Clasp","","1","0a5bd288-0488-4354-a201-717bdaa10d44","pip","Fallout"
"76","","en","Glowing One","","1","a1e36b92-aa88-4536-aebc-7e84a10d73fe","pip","Fallout"
"177","","en","Inexorable Tide","","1","89e857a2-389d-43f4-96aa-721e4ad1f3f1","pip","Fallout"
"32","","en","Jason Bright, Glowing Prophet","","1","48313997-fd94-486a-bf30-e9143a155814","pip","Fallout"
"109","","en","Marcus, Mutant Mayor","","1","15db5769-af10-4369-ab4c-db25adb22223","pip","Fallout"
"260","","en","Darkwater Catacombs","","1","15b3d4b7-972f-447f-a512-f40ceeba5d9c","pip","Fallout"
"262","","en","Drowned Catacomb","","1","e033971a-3460-43a1-abf6-6dab433a9c3f","pip","Fallout"
"197","","en","Farseek","","1","b2dd4d32-8cb8-4699-8e96-22746cf5ea57","pip","Fallout"
"265","","en","Fetid Pools","","1","1ae00e88-0dfc-477a-a982-0187efe753f2","pip","Fallout"
"216","","en","Find // Finality","","1","cbd4c04c-81b5-4026-a82a-4ae94ad50c01","pip","Fallout"
"201","","en","Harmonize","","1","7dd260f0-2bce-469a-9c40-7978db5776e9","pip","Fallout"
"267","","en","Hinterland Harbor","","1","758fdcf1-09b4-4eba-a5f1-242d68ba1aea","pip","Fallout"
"46","","en","Infesting Radroach","","1","5b51b691-e226-44c9-b7cb-26f19c060597","pip","Fallout"
"203","","en","Inspiring Call","","1","e7d7760a-16d9-4fe2-98f3-212cc2cf6d83","pip","Fallout"
"196","","en","Cultivate","","1","b149d9f6-c337-43cd-8f9e-1f864d039d9c","pip","Fallout"
"84","","en","Strong, the Brutish Thespian","","1","2bc79ed6-057b-439f-b2cd-58d5bcd8b551","pip","Fallout"
"276","","en","Nesting Grounds","","1","0a1cf348-7434-4b43-907a-87a86eac735f","pip","Fallout"
"301","","en","Tainted Wood","","1","8aed044e-d9c8-429f-b618-62446fa688cc","pip","Fallout"
"212","","en","Biomass Mutation","","1","8a3f731a-03d7-4dc9-a922-cc2250cee6ef","pip","Fallout"
"195","","en","Branching Evolution","","1","f4b2c132-0e57-4273-aa30-e78870647dc7","pip","Fallout"
"213","","en","Casualties of War","","1","6ea2451e-ad6e-4f76-ac76-0b8f4fabd0a9","pip","Fallout"
"75","","en","Cathedral Acolyte","","1","84118221-20a3-46a9-9e6e-a928b46a8633","pip","Fallout"
"245","","en","Talisman of Curiosity","","1","9544d0d1-f9bb-43a5-9c39-db187a6efe3b","pip","Fallout"
"246","","en","Talisman of Dominance","","1","4f294565-2bbc-49c6-9777-42160c0afe3e","pip","Fallout"
"296","","en","Sunken Hollow","","1","5cb4d725-cb54-4617-bbfd-45e2f2d3dec8","pip","Fallout"
"204","","en","Rampant Growth","","1","f4fad7e1-b57f-4652-879e-d97466948829","pip","Fallout"
"81","","en","Power Fist","","1","9e8f7fbc-bf2a-43c1-a88d-807c1e7dab69","pip","Fallout"
"219","","en","Putrefy","","1","bf308540-dd6d-4437-abe7-373a2c129455","pip","Fallout"
"82","","en","Rampaging Yao Guai","","1","63619236-a27a-4fdd-add6-7a295901f906","pip","Fallout"
"49","","en","Screeching Scorchbeast","","1","967dbb24-3073-4c33-bfdf-b3eb9e8fe443","pip","Fallout"
