collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"49","foil","en","Sevinne, the Chronoclasm","","1","2c209efe-b4dc-44a3-bd45-d647f5680cbe","c19","Commander 2019"
"228","","en","Azorius Chancery","","1","541776bb-8643-4742-873b-8bf211d6ee99","c19","Commander 2019"
"227","","en","Ash Barrens","","1","d78e34c2-6a1e-4559-9b3f-ac45d330d515","c19","Commander 2019"
"209","","en","Armillary Sphere","","1","5021f5e0-1fd9-4b2c-a3b7-b35ce6f5b5ba","c19","Commander 2019"
"210","","en","Azorius Locket","","1","6cdb0b3a-cf96-40d1-b3d2-2d87f6763097","c19","Commander 2019"
"23","","en","Backdraft Hellkite","","1","2af9027d-c1d2-49b6-b303-04e37d38e010","c19","Commander 2019"
"53","","en","Bloodthirsty Blade","","1","42ceb92a-2f41-43d2-884b-b3362d611cfd","c19","Commander 2019"
"233","","en","Boros Garrison","","1","a4a3a23c-544d-4ed4-90ad-dbf04f676af3","c19","Commander 2019"
"234","","en","Boros Guildgate","","1","28d6c68f-5e41-4b10-b4fa-8f7aee6b587b","c19","Commander 2019"
"211","","en","Burnished Hart","","1","cc80010d-f02a-4bd2-a36a-d17abbe922a0","c19","Commander 2019"
"82","","en","Clever Impersonator","","1","c0516453-3e6a-4b7f-8df6-72a6e207169a","c19","Commander 2019"
"135","","en","Burning Vengeance","","1","dbbfdc21-d8a0-4666-94e6-76b3fa083e76","c19","Commander 2019"
"1","","en","Cliffside Rescuer","","1","c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f","c19","Commander 2019"
"80","","en","Chemister's Insight","","1","caef3c0e-cb28-464a-8a50-ce149c06a01e","c19","Commander 2019"
"212","","en","Commander's Sphere","","1","6a628aff-7db5-4df9-9c3d-c58b0d7232a6","c19","Commander 2019"
"237","","en","Command Tower","","1","c328d8ac-97df-4240-ac38-7cab363c5da1","c19","Commander 2019"
"83","","en","Deep Analysis","","1","7a7a6d2d-be31-474b-811d-3802e32f3768","c19","Commander 2019"
"137","","en","Desperate Ravings","","1","b2e59ba7-e4e1-4c51-a34c-17a48850a0f5","c19","Commander 2019"
"138","","en","Devil's Play","","1","d46473a7-69f5-492b-845d-c8862a1fec85","c19","Commander 2019"
