collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"198","","en","Marath, Will of the Wild","","1","57afa796-db46-45ff-91bd-f02922e5f33d","c13","Commander 2013"
"5","","en","Archangel","","1","85160859-9a2d-470b-a924-4b1b4caba860","c13","Commander 2013"
"135","","en","Avenger of Zendikar","","1","e5ea8759-99a6-4659-8f50-fd71189b8dd4","c13","Commander 2013"
"136","","en","Baloth Woodcrasher","","1","d8af1377-72bb-4d93-80bd-2c927b02cc73","c13","Commander 2013"
"178","","en","Behemoth Sledge","","1","1cf41508-64c0-48ce-8bd3-e1ec554d085f","c13","Commander 2013"
"179","","en","Boros Charm","","1","2afdb457-a7e2-4e37-832a-dffefdb973e0","c13","Commander 2013"
"279","","en","Boros Garrison","","1","c468dd1c-6f0a-4679-9d33-17e17db8841d","c13","Commander 2013"
"280","","en","Boros Guildgate","","1","cd5bfeb1-22d5-434c-b379-6914aa007bdd","c13","Commander 2013"
"281","","en","Command Tower","","1","7b2de1d7-0b13-423b-b0ca-31eb38b5b81f","c13","Commander 2013"
"282","","en","Contested Cliffs","","1","5796e5e4-32a0-4fe3-9912-80684aee489d","c13","Commander 2013"
"139","","en","Cultivate","","1","792112c5-d13c-4c04-80c8-ac3e94e0cb77","c13","Commander 2013"
"105","","en","Curse of Chaos","","1","fd95b9aa-1abb-4a10-a622-51a2bb578d17","c13","Commander 2013"
"104","","en","Crater Hellion","","1","88e3a05a-d5c7-46d9-9a66-8de4b737e9dd","c13","Commander 2013"
"140","","en","Curse of Predation","","1","d28f824e-8cd4-4915-a46f-6e3c646c6378","c13","Commander 2013"
"9","","en","Darksteel Mutation","","1","df7d800b-0120-4036-81d7-dec60ccc8057","c13","Commander 2013"
"8","","en","Curse of the Forsaken","","1","5f0ff150-e9cc-4e20-96e4-6d6bce8d83c3","c13","Commander 2013"
"141","","en","Deadwood Treefolk","","1","69983244-a9c6-4025-91c6-a4742cb1db1e","c13","Commander 2013"
"285","","en","Drifting Meadow","","1","6b2cb78c-c0d6-45e3-a957-71d634fc34b2","c13","Commander 2013"
"242","","en","Druidic Satchel","","1","f3aaefb4-4662-434a-9c31-3f2c754ce9cc","c13","Commander 2013"
"142","","en","Drumhunter","","1","343ef398-576a-43b6-a32b-f916ccd63579","c13","Commander 2013"
"287","","en","Evolving Wilds","","1","f0244872-9cd7-4a23-87a5-7658fd4a8c2e","c13","Commander 2013"
"10","","en","Eternal Dragon","","1","2a57191e-58a8-4ba9-8b5d-5a4e5a08b404","c13","Commander 2013"
"188","","en","Fiery Justice","","1","ab5056f0-8297-4b83-9655-7ff385e309a8","c13","Commander 2013"
"289","","en","Forgotten Cave","","1","5b1535fc-8ace-4b5a-b492-a0ee09c42a9a","c13","Commander 2013"
"190","","en","Fires of Yavimaya","","1","82538d1b-7477-4d65-8aa2-e2b4ffec8d65","c13","Commander 2013"
"106","","en","Fireball","","1","4781099d-4ccc-4133-803e-bbd730395b8f","c13","Commander 2013"
"108","","en","From the Ashes","","1","4529a3d2-e4e6-4cca-bcea-16b51f69bbec","c13","Commander 2013"
"191","","en","Gahiji, Honored One","","1","573efd66-afe0-4555-b064-1528fd84c577","c13","Commander 2013"
"147","","en","Grazing Gladehart","","1","fc1b8c33-05f5-426f-99eb-0e1e185c7862","c13","Commander 2013"
"294","","en","Gruul Guildgate","","1","d5d7efbc-0863-4993-a6e9-58818378e8af","c13","Commander 2013"
"148","","en","Harmonize","","1","83da2456-0c5c-4b2b-8183-20c332566127","c13","Commander 2013"
"295","","en","Homeward Path","","1","1026e3bd-8906-40d2-bba9-e454fcb783c8","c13","Commander 2013"
"193","","en","Hull Breach","","1","6e8c6558-ff31-4511-942a-8fe88ac20f1f","c13","Commander 2013"
