collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"43","foil","en","Lord Windgrace","","1","213d6fb8-5624-4804-b263-51f339482754","c18","Commander 2018"
"127","","en","Acidic Slime","","1","abd6f5d1-7421-47f6-9e95-70372a365716","c18","Commander 2018"
"231","","en","Akoum Refuge","","1","6ccf2bd8-2557-481a-bdb5-0251f9792430","c18","Commander 2018"
"129","","en","Avenger of Zendikar","","1","2c105326-2a0e-4a9b-b3cd-81a14bbe983b","c18","Commander 2018"
"130","","en","Baloth Woodcrasher","","1","5c15f211-2c59-4b02-ac91-955f695816ec","c18","Commander 2018"
"236","","en","Blighted Woodland","","1","6cab6ff3-d561-4ba6-96a4-304dd1ee53b7","c18","Commander 2018"
"235","","en","Barren Moor","","1","b06aea08-b7e9-4400-820c-2b1fc6e34eae","c18","Commander 2018"
"14","","en","Bloodtracker","","1","ca3519c4-4d8c-4caf-bc93-6e6160a3d5b6","c18","Commander 2018"
"238","","en","Bojuka Bog","","1","9359b6b3-1195-49e1-b877-ef7a72cf308f","c18","Commander 2018"
"133","","en","Borderland Explorer","","1","b89b4fc3-19eb-436b-9ce9-5c71d96ea9b1","c18","Commander 2018"
"134","","en","Budoka Gardener // Dokai, Weaver of Life","","1","58164521-aeec-43fc-9db9-d595432dea6f","c18","Commander 2018"
"135","","en","Centaur Vinecrasher","","1","ef472cfa-9c26-440f-bb0b-ea9aee92e99d","c18","Commander 2018"
"171","","en","Charnelhoard Wurm","","1","10b936dd-fbec-4d03-8f6f-71e5e21029cb","c18","Commander 2018"
"121","","en","Chain Reaction","","1","cbcdb367-7e50-4f51-890a-5f8321762e3f","c18","Commander 2018"
"136","","en","Consign to Dust","","1","54cb25b6-049c-46dd-88a4-f3890e018db0","c18","Commander 2018"
"138","","en","Cultivate","","1","d6a8f239-0e6c-4454-a2f7-f1a8351864d5","c18","Commander 2018"
"175","","en","Decimate","","1","6551db26-83e8-4256-822b-122c35ee6097","c18","Commander 2018"
"240","","en","Command Tower","","1","6d28946e-a478-4e0b-b39b-ec0236ddc9a5","c18","Commander 2018"
"29","","en","Crash of Rhino Beetles","","1","c87715d6-4ce1-43d8-9909-e1d80c2d099f","c18","Commander 2018"
"174","","en","Deathreap Ritual","","1","8cad9fa8-833c-4d30-8928-2a6c6284cd0b","c18","Commander 2018"
"20","","en","Emissary of Grudges","","1","b8d3d78d-a18b-4ed2-a076-9893fbba94bc","c18","Commander 2018"
"143","","en","Explore","","1","fb1c4843-70cd-4b63-a714-5ed26bdf7d6d","c18","Commander 2018"
"144","","en","Explosive Vegetation","","1","6dc4351a-8cc9-4043-80b9-23794f576cbc","c18","Commander 2018"
"245","","en","Evolving Wilds","","1","b34c171f-8d86-429d-ad5d-f3cd64cce2b3","c18","Commander 2018"
"146","","en","Farhaven Elf","","1","77c5714f-7935-4547-89bb-47f448db047b","c18","Commander 2018"
"145","","en","Far Wanderings","","1","20f0a2eb-3650-47c4-a2ba-47703bf80fdc","c18","Commander 2018"
"123","","en","Flameblast Dragon","","1","c66293df-a50e-4c64-9482-a2af68288d76","c18","Commander 2018"
"22","","en","Fury Storm","","1","10dad353-7200-46de-96ad-4c457b94c62b","c18","Commander 2018"
"181","","en","Gaze of Granite","","1","7f7cb3c9-ed50-4f49-940f-b618b9fc2e39","c18","Commander 2018"
"246","","en","Forgotten Cave","","1","25cf2071-8518-4ca2-96d5-39ec7aad3123","c18","Commander 2018"
"58","","en","Forge of Heroes","","1","826ff8c2-8a1d-45f5-a7e2-d8bf826fcadc","c18","Commander 2018"
"182","","en","Grisly Salvage","","1","8b435b0b-dc51-4335-bedb-39639b4a41f5","c18","Commander 2018"
"251","","en","Grim Backwoods","","1","b9ece708-870f-4bbc-8920-119267030c46","c18","Commander 2018"
"252","","en","Gruul Turf","","1","e35f6346-2871-49fb-af42-6f9f20727626","c18","Commander 2018"
"148","","en","Grapple with the Past","","1","2fc31acb-dfb7-4ca7-85d9-53b8a7217676","c18","Commander 2018"
"249","","en","Golgari Rot Farm","","1","a96c8d2b-c91b-475d-b929-461adda983a9","c18","Commander 2018"
"150","","en","Harrow","","1","57f5bd8a-338f-48eb-857f-25f644ff84af","c18","Commander 2018"
"254","","en","Haunted Fengraf","","1","97a1d55a-39a8-4bf4-91b7-5565146c9c40","c18","Commander 2018"
"259","","en","Jungle Hollow","","1","082a689f-d028-466d-b4d5-cfd9ebcbd737","c18","Commander 2018"
"258","","en","Jund Panorama","","1","bb3f7107-acee-4369-b217-164ae9b79ed9","c18","Commander 2018"
"152","","en","Hunting Wilds","","1","0097101d-e63d-4785-8c68-5d2fca3ded78","c18","Commander 2018"
"31","","en","Loyal Guardian","","1","1fc62139-cbb3-43e2-852e-9242a8a53153","c18","Commander 2018"
"23","","en","Loyal Apprentice","","1","b5fef5fe-3e59-4fd6-8a88-7c1cee56892f","c18","Commander 2018"
"154","","en","Khalni Heart Expedition","","1","30f03a2c-30f8-45e4-9531-93bba8ace142","c18","Commander 2018"
"261","","en","Kazandu Refuge","","1","b768a2cb-dbf0-48ec-98c3-5a9b71a8c93c","c18","Commander 2018"
"16","","en","Loyal Subordinate","","1","f4df5ec3-86f2-4124-92a3-4a093667c0e2","c18","Commander 2018"
"262","","en","Khalni Garden","","1","3e0f6ae6-b303-405a-8efa-91de9692768e","c18","Commander 2018"
"184","","en","Lavalanche","","1","bae0c85b-c597-4502-971c-186a78b47673","c18","Commander 2018"
"156","","en","Moldgraf Monstrosity","","1","b20a1d49-699d-413e-985b-7890f3e7115e","c18","Commander 2018"
"114","","en","Moonlight Bargain","","1","662097e6-355f-4192-9fa7-4b8c22346a64","c18","Commander 2018"
"268","","en","Mountain Valley","","1","9558892f-c4e8-4849-8c3b-384780cfb183","c18","Commander 2018"
"269","","en","Myriad Landscape","","1","e447a118-32b8-4312-bb89-a3a0e6b89c71","c18","Commander 2018"
"24","","en","Nesting Dragon","","1","8b027eb1-9010-4700-a941-fa024a688d3e","c18","Commander 2018"
"187","","en","Putrefy","","1","0b30e2f2-834b-42b3-87c8-43ed1079b9f0","c18","Commander 2018"
"158","","en","Rampaging Baloths","","1","23086ce9-b1f6-4642-9146-45d40ad8c74f","c18","Commander 2018"
"273","","en","Rakdos Carnarium","","1","b892b2d1-9d9b-46ac-bad6-490de5b32fb8","c18","Commander 2018"
"25","","en","Reality Scramble","","1","34337c23-5dad-4ea3-84e9-aae7e34b2b17","c18","Commander 2018"
"274","","en","Rocky Tar Pit","","1","8412ed9f-bd94-454e-b0d5-8ca4f68e6641","c18","Commander 2018"
"189","","en","Rubblehulk","","1","e3bfd66f-8269-4765-87f3-38fcc25435be","c18","Commander 2018"
"275","","en","Savage Lands","","1","c281afba-c239-46e7-b8ba-04a01d24ca04","c18","Commander 2018"
"117","","en","Ruinous Path","","1","771305ca-f33d-4498-8e21-152ced7317ef","c18","Commander 2018"
"116","","en","Retreat to Hagra","","1","c80046c2-021f-448c-9f54-2a1a100ec0aa","c18","Commander 2018"
"160","","en","Sakura-Tribe Elder","","1","6912d171-5f26-45d3-9c6a-911e509d083a","c18","Commander 2018"
"221","","en","Seer's Sundial","","1","a92ce027-7a80-42ea-8c27-d2d455989b65","c18","Commander 2018"
"161","","en","Scute Mob","","1","28d10cf2-c40d-4748-add0-f9cdd606030c","c18","Commander 2018"
"190","","en","Savage Twister","","1","06ec1b2d-06dd-4364-a913-c34889b70fa1","c18","Commander 2018"
"222","","en","Sol Ring","","1","83a0f2eb-2f6d-4aaa-b7a9-ea06d5de7eca","c18","Commander 2018"
"119","","en","Stitch Together","","1","8423c98d-4cb6-4a70-8bf2-3ac24c025c4e","c18","Commander 2018"
"118","","en","Soul of Innistrad","","1","c3221d23-3130-4737-9fdd-1598d2722d04","c18","Commander 2018"
"285","","en","Temple of the False God","","1","1f799c15-8f84-4ca2-a55f-ed7784d09a9a","c18","Commander 2018"
"286","","en","Terramorphic Expanse","","1","fc282cec-c74a-4431-bbbc-e8febe71adf2","c18","Commander 2018"
"35","","en","Turntimber Sower","","1","cf2e7201-8dd9-4837-a472-b72050b65a8e","c18","Commander 2018"
"290","","en","Tranquil Thicket","","1","63c97e9f-e5da-4f77-be51-ef99093ca29c","c18","Commander 2018"
"195","","en","Zendikar Incarnate","","1","8d883c60-1512-4bcc-8a0c-3db5acce63e5","c18","Commander 2018"
"291","","en","Warped Landscape","","1","3d313741-af67-47fd-9beb-8abc7d554715","c18","Commander 2018"
"49","","en","Windgrace's Judgment","","1","d8b8f56c-091f-4932-9216-af58f7ea4bd7","c18","Commander 2018"
"36","","en","Whiptongue Hydra","","1","0005c844-787c-4f0c-8d25-85cec151642b","c18","Commander 2018"
"194","","en","Worm Harvest","","1","36b5c006-115f-441e-84d4-fbff390a2c00","c18","Commander 2018"
"50","","en","Xantcha, Sleeper Agent","","1","89b03b9a-7e20-47cb-bc64-23513acea855","c18","Commander 2018"
"166","","en","Yavimaya Elder","","1","d7822c60-809a-4a23-b342-0cdf457b3136","c18","Commander 2018"
"307","","en","Forest","","7","e630a714-3c2a-4c0b-9ad5-a8d45fa0c01b","c18","Commander 2018"
"41","foil","en","Gyrus, Waker of Corpses","","1","91585912-038d-4d26-b552-0e7c48ba1e4f","c18","Commander 2018"
"46","foil","en","Thantis, the Warweaver","","1","91c54ac0-0edc-406f-8a22-f2996f604f36","c18","Commander 2018"
"304","","en","Mountain","","5","f0c889dc-f043-45fd-81a4-9ae424343f46","c18","Commander 2018"
"301","","en","Swamp","","6","cb5fabce-2488-470a-82ce-e40992657811","c18","Commander 2018"
