collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Szarekh, the Silent King","","1","e11174b2-2423-4a6e-9dcf-ff550eee7e5a","40k","Warhammer 40,000 Commander"
"245★","foil","en","Mind Stone","","1","d0add078-6151-4331-8c2b-03e3e574e6a7","40k","Warhammer 40,000 Commander"
"243★","foil","en","Mask of Memory","","1","53bd3bf6-87fb-482f-9c07-4e9525ab0c82","40k","Warhammer 40,000 Commander"
"39★","foil","en","Lychguard","","1","cebafb28-d13c-4da2-96be-2be486d985df","40k","Warhammer 40,000 Commander"
"38★","foil","en","Lokhust Heavy Destroyer","","1","1ad67201-0613-4d4f-9b1d-898a882b3503","40k","Warhammer 40,000 Commander"
"202★","foil","en","Living Death","","1","825534a6-bc39-4f6c-ace7-3894452b143e","40k","Warhammer 40,000 Commander"
"37★","foil","en","Illuminor Szeras","","1","bc0cc588-f134-41f3-bf5c-aca24518c71a","40k","Warhammer 40,000 Commander"
"36★","foil","en","Hexmark Destroyer","","1","0c9d6f62-3946-48c8-9c51-21c577bff160","40k","Warhammer 40,000 Commander"
"240★","foil","en","Hedron Archive","","1","59b6d6d4-9bf7-4a5a-bf8f-2a8cae95709e","40k","Warhammer 40,000 Commander"
"201★","foil","en","Go for the Throat","","1","0c375c43-1dfd-401c-ab7b-a89da7d1be0b","40k","Warhammer 40,000 Commander"
"156★","foil","en","Ghost Ark","","1","0641ac68-75da-468a-af51-0520e6954d8d","40k","Warhammer 40,000 Commander"
"239★","foil","en","Gilded Lotus","","1","7059c4c9-549f-41eb-a7e3-903bc511f6c7","40k","Warhammer 40,000 Commander"
"237★","foil","en","Endless Atlas","","1","7f818737-d00f-4304-9f5c-b96137d6eb9b","40k","Warhammer 40,000 Commander"
"200★","foil","en","Dread Return","","1","33f2cd1a-cb25-4eb1-b9f8-2b113c45bcf8","40k","Warhammer 40,000 Commander"
"275★","foil","en","Desert of the Glorified","","1","e687fe1b-6a8e-4957-88e8-1ea1546632a2","40k","Warhammer 40,000 Commander"
"199★","foil","en","Defile","","1","f9c17d12-87e4-4ba3-88ec-3d7e338895a6","40k","Warhammer 40,000 Commander"
"197★","foil","en","Darkness","","1","d52b2d02-73b5-4143-b0f1-f225b79a152b","40k","Warhammer 40,000 Commander"
"33★","foil","en","Cryptek","","1","60c1f854-5826-4208-88fe-12a5dae8d18b","40k","Warhammer 40,000 Commander"
"155★","foil","en","Cryptothrall","","1","a4c20539-04d9-4fb1-be20-3dc97fffe5f4","40k","Warhammer 40,000 Commander"
"236★","foil","en","Cranial Plating","","1","99e3371e-dee3-4639-bcc6-63b5b82b4946","40k","Warhammer 40,000 Commander"
"154★","foil","en","Convergence of Dominion","","1","e953727b-9f83-47d0-b681-a628a8a44f67","40k","Warhammer 40,000 Commander"
"234★","foil","en","Commander's Sphere","","1","923f595f-6b6a-4a84-b9b5-2cd9962a213d","40k","Warhammer 40,000 Commander"
"32★","foil","en","Chronomancer","","1","260feb59-6039-48ac-b6ac-9b7e9ac1d05c","40k","Warhammer 40,000 Commander"
"153★","foil","en","Canoptek Wraith","","1","02e11c4e-15b3-41b5-8bf7-2eb8ebf1bef3","40k","Warhammer 40,000 Commander"
"152★","foil","en","Canoptek Tomb Sentinel","","1","02ed7f46-f58f-412a-8aa4-71f453ee3618","40k","Warhammer 40,000 Commander"
"151★","foil","en","Canoptek Spyder","","1","f9f9e09f-58b6-4e09-b130-de995ec5df89","40k","Warhammer 40,000 Commander"
"231★","foil","en","Caged Sun","","1","6497f3a0-d09f-41c7-b95f-9f5204836b8e","40k","Warhammer 40,000 Commander"
"194★","foil","en","Beacon of Unrest","","1","d64d2c32-245c-469a-9592-c31130b1c28b","40k","Warhammer 40,000 Commander"
"266★","foil","en","Barren Moor","","1","9b8b7509-1951-4364-92f7-c37b1319e9c7","40k","Warhammer 40,000 Commander"
"228★","foil","en","Arcane Signet","","1","d7ae86b7-d324-4c89-a5e1-8752a65a7816","40k","Warhammer 40,000 Commander"
"28★","foil","en","Anrakyr the Traveller","","1","3bf144d8-fc0e-4e21-87b9-4d32b545bead","40k","Warhammer 40,000 Commander"
"162★","foil","en","Night Scythe","","1","e08d01ae-a955-411e-a6f1-91cb1b7c99e6","40k","Warhammer 40,000 Commander"
"63★","foil","en","Their Number Is Legion","","1","79641b49-faa5-44f0-9197-e693c5f52bdb","40k","Warhammer 40,000 Commander"
"30★","foil","en","Biotransference","","1","1789c4ad-c258-469a-b875-f2d48976401d","40k","Warhammer 40,000 Commander"
"161★","foil","en","Necron Monolith","","1","c44a682a-9fc2-4ccc-8bc3-f83a8ce7e833","40k","Warhammer 40,000 Commander"
"52★","foil","en","Royal Warden","","1","3d17bec1-d180-4475-b54b-09719e85d7c3","40k","Warhammer 40,000 Commander"
"150★","foil","en","Canoptek Scarab Swarm","","1","b5025282-7bce-41fc-9af9-5f1e6704d69d","40k","Warhammer 40,000 Commander"
"34★","foil","en","Flayed One","","1","6296e73f-52ca-4ebd-b9eb-66ea393679fe","40k","Warhammer 40,000 Commander"
"65★","foil","en","Trazyn the Infinite","","1","68d6a4f6-96d5-4875-9011-6c315707395e","40k","Warhammer 40,000 Commander"
"5","foil","en","Imotekh the Stormlord","","1","286ff901-1faf-4a02-a37a-fa165989112f","40k","Warhammer 40,000 Commander"
"203★","foil","en","Mutilate","","1","1810cd19-7bd1-46ee-a262-713eec2307cc","40k","Warhammer 40,000 Commander"
"285★","foil","en","Myriad Landscape","","1","4e547eda-db7e-42b4-aeaf-c86d76a52a75","40k","Warhammer 40,000 Commander"
"246★","foil","en","Mystic Forge","","1","7aac1711-05e3-402a-a7a2-d8eade84ed32","40k","Warhammer 40,000 Commander"
"42★","foil","en","Necron Deathmark","","1","c2ac09ec-e06e-46f2-a0e2-a0bc5d18d675","40k","Warhammer 40,000 Commander"
"43★","foil","en","Necron Overlord","","1","18cdd4b0-d969-43f3-a1a1-c9ad3fedce10","40k","Warhammer 40,000 Commander"
"46★","foil","en","Out of the Tombs","","1","68e8f389-9323-49b8-84c9-f79c2c231eb0","40k","Warhammer 40,000 Commander"
"48★","foil","en","Plasmancer","","1","e57d28f7-9da9-405e-9760-b709c8b22746","40k","Warhammer 40,000 Commander"
"288★","foil","en","Polluted Mire","","1","bb6507bd-a619-48cb-9e1b-9ee8b5a81bd1","40k","Warhammer 40,000 Commander"
"51★","foil","en","Psychomancer","","1","32c7cab2-4fc9-4d53-ba67-902f72799d20","40k","Warhammer 40,000 Commander"
"291★","foil","en","Reliquary Tower","","1","9c8a875d-bbdd-4041-bfac-bc780dc9d942","40k","Warhammer 40,000 Commander"
"165★","foil","en","Resurrection Orb","","1","da739250-f9bc-4b02-964a-b1c0307ba572","40k","Warhammer 40,000 Commander"
"54★","foil","en","Sautekh Immortal","","1","b5c6995e-30b9-4bc1-89ec-f179b7de2e14","40k","Warhammer 40,000 Commander"
"166★","foil","en","Sceptre of Eternal Glory","","1","b04abe51-babe-4c93-a42a-424337de3984","40k","Warhammer 40,000 Commander"
"247★","foil","en","Sculpting Steel","","1","7d82acf5-7fcd-404d-be92-82e90539069f","40k","Warhammer 40,000 Commander"
"55★","foil","en","Shard of the Nightbringer","","1","52508e18-bdfa-442f-bb81-7fc21132fba8","40k","Warhammer 40,000 Commander"
"56★","foil","en","Shard of the Void Dragon","","1","04112aaa-4da1-43cf-99e9-440771ff1b9f","40k","Warhammer 40,000 Commander"
"57★","foil","en","Skorpekh Destroyer","","1","49e9b104-413b-4d07-9eb8-b335510747ba","40k","Warhammer 40,000 Commander"
"58★","foil","en","Skorpekh Lord","","1","ab2f2c6b-335f-4c95-9ef2-02f7b3efc7b7","40k","Warhammer 40,000 Commander"
"252★","foil","en","Sol Ring","","1","69c43267-e862-4c08-ae7b-0d400d31f297","40k","Warhammer 40,000 Commander"
"61★","foil","en","Technomancer","","1","e3c493a1-60a7-40e0-8cbc-820479c6402d","40k","Warhammer 40,000 Commander"
"62★","foil","en","Their Name Is Death","","1","9ea57442-b2ff-4799-b147-d683c0583236","40k","Warhammer 40,000 Commander"
"69★","foil","en","The War in Heaven","","1","6d4070ea-9674-4a5d-ad73-60d942447918","40k","Warhammer 40,000 Commander"
"259★","foil","en","Thought Vessel","","1","1e94d74a-c03c-4b17-ac5f-8bb373e5f0b5","40k","Warhammer 40,000 Commander"
