collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"170","foil","en","Szarekh, the Silent King","","1","12a3400d-7a8b-4bae-9a4f-c9a1bc741e68","40k","Warhammer 40,000 Commander"
"252","","en","Sol Ring","","1","e3450882-d791-4172-b02a-ee7fdb36acfc","40k","Warhammer 40,000 Commander"
"228","","en","Arcane Signet","","1","6b3f3fbb-0188-4eec-90c0-81c801d3a996","40k","Warhammer 40,000 Commander"
"266","","en","Barren Moor","","1","22a7ef45-0fa0-4924-955c-27da5f6d0098","40k","Warhammer 40,000 Commander"
"39","","en","Lychguard","","1","6737a276-b5e9-4c55-b995-ada96eca4e6e","40k","Warhammer 40,000 Commander"
"65","","en","Trazyn the Infinite","","1","1ae95cfb-1c3e-43cc-acfa-68f25b0f6e52","40k","Warhammer 40,000 Commander"
"46","","en","Out of the Tombs","","1","f1170bfa-9623-44c3-a15e-bd8c2627fe6e","40k","Warhammer 40,000 Commander"
"30","","en","Biotransference","","1","75a787a3-5838-4121-bbaf-745d22c4b0bc","40k","Warhammer 40,000 Commander"
"37","","en","Illuminor Szeras","","1","d161a190-3c85-4207-9d88-7ff9213efea8","40k","Warhammer 40,000 Commander"
"33","","en","Cryptek","","1","ea8483a2-9135-48d1-994d-9525d5ffcabb","40k","Warhammer 40,000 Commander"
"28","","en","Anrakyr the Traveller","","1","6ea09406-c65e-4ee4-9c74-0553e5110837","40k","Warhammer 40,000 Commander"
"63","","en","Their Number Is Legion","","1","f03c1eb4-1f47-4b65-8d8d-4057fb6997e1","40k","Warhammer 40,000 Commander"
"36","","en","Hexmark Destroyer","","1","66a4e78b-9600-4fec-94f0-65cf8ffce2dc","40k","Warhammer 40,000 Commander"
"34","","en","Flayed One","","1","b0ab96a5-0bcc-4732-8936-9522f3de3962","40k","Warhammer 40,000 Commander"
"155","","en","Cryptothrall","","1","086d94a0-763e-495e-b952-5c13383657c9","40k","Warhammer 40,000 Commander"
"154","","en","Convergence of Dominion","","1","e03d8676-f693-4155-b75f-dcbe2890ccb0","40k","Warhammer 40,000 Commander"
"153","","en","Canoptek Wraith","","1","06199f88-720f-484a-953e-9189bafbe173","40k","Warhammer 40,000 Commander"
"151","","en","Canoptek Spyder","","1","56ae1e4b-b620-480b-b6fc-66f2137d7d89","40k","Warhammer 40,000 Commander"
"150","","en","Canoptek Scarab Swarm","","1","3ce2021c-1422-4901-a554-2d4fab72c8e4","40k","Warhammer 40,000 Commander"
"43","","en","Necron Overlord","","1","62d70fd2-de4e-41c6-b3e5-147fffca8a20","40k","Warhammer 40,000 Commander"
