collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"41","foil","en","Saskia the Unyielding","","1","5b483db6-b614-4af1-820a-42a4ee0c8707","c16","Commander 2016"
"119","","en","Alesha, Who Smiles at Death","","1","3223610b-7a87-42c1-a6cc-b5f249ca8cb9","c16","Commander 2016"
"177","","en","Abzan Charm","","1","c13fbd5d-6ebe-4f7f-a2fb-2d1af4beea6f","c16","Commander 2016"
"56","","en","Ash Barrens","","1","9d7ac112-bb20-4ea4-b797-5d21f6b7c121","c16","Commander 2016"
"178","","en","Ankle Shanker","","1","544a06f8-75fe-41b6-81dc-c9a0358f03c5","c16","Commander 2016"
"179","","en","Artifact Mutation","","1","ad22e43b-e244-43f2-bb2a-f94b777a4602","c16","Commander 2016"
"180","","en","Aura Mutation","","1","0526debc-6eca-413e-b68c-50aa70927058","c16","Commander 2016"
"142","","en","Beastmaster Ascension","","1","5f9a9d51-2209-4d37-94ee-ca8105e10466","c16","Commander 2016"
"59","","en","Blind Obedience","","1","9bc548e8-22d2-4acd-8673-4efcbc57e754","c16","Commander 2016"
"121","","en","Breath of Fury","","1","a1fce58d-d754-4532-b4d0-4bb3cf108090","c16","Commander 2016"
"108","","en","Brutal Hordechief","","1","dfa94402-1613-4e65-8470-a05bf4bbb8a8","c16","Commander 2016"
"185","","en","Boros Charm","","1","dfa38f6a-177a-4f3a-9a05-325c715a94c5","c16","Commander 2016"
"285","","en","Caves of Koilos","","1","f755f54a-e5e7-4056-a677-520d40e1daf7","c16","Commander 2016"
"187","","en","Clan Defiance","","1","5c38fa58-d2b7-4745-80e2-8be504378f8c","c16","Commander 2016"
"248","","en","Commander's Sphere","","1","28e23091-dc18-4964-af54-0ab282811a06","c16","Commander 2016"
"286","","en","Command Tower","","1","6a759aca-50a4-44ba-8a9d-a764da55bfb7","c16","Commander 2016"
"16","","en","Charging Cinderhorn","","1","fc0b61f2-4bb7-4dfa-907c-71787930d58f","c16","Commander 2016"
"53","","en","Conqueror's Flail","","1","1644f535-9281-4a88-8fac-916bc0021d1d","c16","Commander 2016"
"191","","en","Crackling Doom","","1","de200da1-3f81-4ae0-90ab-46e23f0ba296","c16","Commander 2016"
"192","","en","Dauntless Escort","","1","a71699b8-9644-4b05-99c8-657442e2df73","c16","Commander 2016"
"17","","en","Divergent Transformations","","1","2fb220db-604d-4779-9f57-fbcaf5c92cbf","c16","Commander 2016"
"292","","en","Dragonskull Summit","","1","3fb05d9e-24b4-4cc6-bb75-fd801d183b69","c16","Commander 2016"
"149","","en","Farseek","","1","57fbbda5-cdb8-49d2-9147-1fb087fcfa8a","c16","Commander 2016"
"294","","en","Evolving Wilds","","1","2b3c0b62-39d7-4710-b3ce-f9d614a09841","c16","Commander 2016"
"22","","en","Evolutionary Escalation","","1","399d4b05-d671-4462-9d5d-4cfe3457727e","c16","Commander 2016"
"295","","en","Exotic Orchard","","1","a95134ee-68d3-44d8-9098-403f100dc73b","c16","Commander 2016"
"233","","en","Everlasting Torment","","1","28f857d3-661b-45cd-a8d3-65b9ac0a34c8","c16","Commander 2016"
"147","","en","Den Protector","","1","58ba1b95-270f-48b4-b842-1124a5f8ac34","c16","Commander 2016"
"18","","en","Frenzied Fugue","","1","d095412d-874b-4d5d-9672-6074bbc4fcf5","c16","Commander 2016"
"254","","en","Fellwar Stone","","1","d140a606-e9d0-4fda-af38-1fca5d5c8c17","c16","Commander 2016"
"256","","en","Gruul Signet","","1","a248b8f4-cad5-4e3d-a120-398d18a6e15b","c16","Commander 2016"
"300","","en","Gruul Turf","","1","a8ce122f-5424-4ac0-9d39-95d48e3d5049","c16","Commander 2016"
"299","","en","Grand Coliseum","","1","0ea85b58-a396-4ee9-ba77-afc0b0742cf1","c16","Commander 2016"
"31","","en","Grave Upheaval","","1","32b25bb5-723d-4af0-8661-60178f00f92b","c16","Commander 2016"
"126","","en","Grab the Reins","","1","d74d181c-6783-4472-a3b9-2f6780e2b89b","c16","Commander 2016"
"208","","en","Korozda Guildmage","","1","2bb31e43-adb6-494b-a3d6-7d0f1d817dab","c16","Commander 2016"
"304","","en","Jungle Shrine","","1","cb0c705b-cbb4-4837-9c62-fe069fff03ad","c16","Commander 2016"
"305","","en","Karplusan Forest","","1","6f1406d4-0568-40eb-8002-f882105cd11b","c16","Commander 2016"
"209","","en","Lavalanche","","1","f663e19d-fc82-4905-9a09-68b99e1287b6","c16","Commander 2016"
