collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Jared Carthalion","","1","5acffa48-9e3f-4ba3-a55f-d459307f46df","dmc","Dominaria United Commander"
"190","","en","Illuna, Apex of Wishes","","1","9fc99c81-d112-4811-9bba-77a14d904692","iko","Ikoria: Lair of Behemoths"
"237","","en","Flood Plain","","1","84503325-1e80-4f29-819d-be1d5eb05bd7","afc","Forgotten Realms Commander"
"14","","en","Two-Headed Hellkite","","1","8d5cf3a1-2228-4143-b07d-de082380b5e7","dmc","Dominaria United Commander"
"13","","en","Primeval Spawn","","1","cfa77c4f-b20b-40cc-9dc4-276be75109a8","dmc","Dominaria United Commander"
"11","","en","Fallaji Wayfarer","","1","bc2378b2-96e2-44ca-8434-9f06c26b183d","dmc","Dominaria United Commander"
"15","","en","Unite the Coalition","","1","e5ec8ad6-57ad-4bce-9c5e-a7205d5f4bea","dmc","Dominaria United Commander"
"12","","en","Iridian Maelstrom","","1","fe784eab-fd21-4812-8172-42af3eb18fe2","dmc","Dominaria United Commander"
"104","","en","Path to Exile","","1","9d607a40-608a-44cd-b946-02636b5bea9f","dmc","Dominaria United Commander"
"20","","en","Tiller Engine","","1","fa793e56-827c-4ba0-b330-4010a84e75f3","dmc","Dominaria United Commander"
"7","","en","Mana Cannons","","1","5ba12cfc-36d3-4f9c-950e-3ed8b8f105fd","dmc","Dominaria United Commander"
"18","","en","Obsidian Obelisk","","1","2dcf9804-ccd6-4a03-90ca-088388800e7f","dmc","Dominaria United Commander"
"164","","en","O-Kagachi, Vengeful Kami","","1","07a42ae6-c2ca-4028-a364-70c19ce125b3","dmc","Dominaria United Commander"
"163","","en","Nethroi, Apex of Death","","1","04b9b58f-4c01-48a5-afaf-b8a37165a83f","dmc","Dominaria United Commander"
"206","","en","Crystal Quarry","","1","55999d8e-50f8-4c8b-a0c3-f3256af62491","dmc","Dominaria United Commander"
"159","","en","Maelstrom Nexus","","1","a3107767-6c36-4982-8e0d-e100d5fca204","dmc","Dominaria United Commander"
"169","","en","Surrak Dragonclaw","","1","e8efe72d-3c01-4dd6-b3dd-0382ac09dc52","dmc","Dominaria United Commander"
"143","","en","Baleful Strix","","1","b451783a-8824-4eeb-8fd6-c9290ce7ccdb","dmc","Dominaria United Commander"
"197","","en","Bad River","","1","ca79caa8-9893-49be-bc39-f021adb28220","dmc","Dominaria United Commander"
"202","","en","Cascading Cataracts","","1","2f3fbd9b-91ab-4691-a916-e20db8ebc513","dmc","Dominaria United Commander"
"149","","en","Faeburrow Elder","","1","c817cf1f-c0fe-49ab-a8e9-1d09b4c15e57","dmc","Dominaria United Commander"
"220","","en","Murmuring Bosk","","1","5aca73a9-e90d-48c6-bdd9-9a3f4f552de3","dmc","Dominaria United Commander"
