collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","The Thirteenth Doctor","","1","0dc4ec90-1650-4b98-9350-66341394cf0b","who","Doctor Who"
"7","foil","en","Yasmin Khan","","1","12b09a4f-bb62-4766-8115-cae4d5cc4c12","who","Doctor Who"
"203","","en","Mountain","","3","49f1fe4e-8da1-4879-8129-bd8a440a45be","who","Doctor Who"
"205","","en","Forest","","4","15b3f35e-451e-4de6-a4f7-249287566964","who","Doctor Who"
"198","","en","Island","","4","ca98e0fb-5f07-40c8-9958-84379bcdc35c","who","Doctor Who"
"187","","en","TARDIS","","1","b059b1d8-3bfb-40c9-9344-addda43509ab","who","Doctor Who"
"152","","en","River Song","","1","a1efb084-d2a0-44c4-a89d-6445156bb298","who","Doctor Who"
"86","","en","The Flux","","1","026611f8-ae07-464f-afe5-6e94bcfac05e","who","Doctor Who"
"102","","en","The Foretold Soldier","","1","93391c14-a22c-4223-a980-5f98350c6a99","who","Doctor Who"
"103","","en","Fugitive of the Judoon","","1","e15f1891-4f80-4c68-8421-8e16ff8d6a6d","who","Doctor Who"
"115","","en","Bigger on the Inside","","1","8d1178ac-35b9-4086-8ad4-6c629d976ce2","who","Doctor Who"
"9","","en","Clara Oswald","","1","9a1ee042-6713-4e9e-9901-9b94d99d33f1","who","Doctor Who"
"94","","en","Ryan Sinclair","","1","42684d97-fce6-4a96-9c64-20e2cb382dca","who","Doctor Who"
"130","","en","The Fugitive Doctor","","1","fea8bd29-80a4-463f-b3bd-e15f4bd5f5ce","who","Doctor Who"
"134","","en","Heaven Sent","","1","5e14692f-f1c3-4d7f-8baf-3248621e36fb","who","Doctor Who"
"164","","en","The Twelfth Doctor","","1","2400d681-05ef-43b1-b720-c15ca4226c27","who","Doctor Who"
"188","","en","Gallifrey Council Chamber","","1","83d990f5-a7b7-4482-95e6-b03a397192e2","who","Doctor Who"
"189","","en","Ominous Cemetery","","1","2e843c57-fae3-4127-94e7-cad8c8bb9486","who","Doctor Who"
"186","","en","Sonic Screwdriver","","1","2a55d514-b670-4fe2-825b-9ba955977cac","who","Doctor Who"
