collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"649","foil","en","Nalia de'Arnise","","1","7a1294fd-9885-4dfd-8192-0ca074fc83f7","clb","Commander Legends: Battle for Baldur's Gate"
"351","","en","Command Tower","","1","7eafe88e-ab38-442c-b147-bb01cc81178d","clb","Commander Legends: Battle for Baldur's Gate"
"298","","en","Arcane Signet","","1","5b245a5b-5a99-4d22-99ef-3f5bf49c3262","clb","Commander Legends: Battle for Baldur's Gate"
"658","","en","Deep Gnome Terramancer","","1","cc75f9f1-5873-450f-a0b2-871b55036954","clb","Commander Legends: Battle for Baldur's Gate"
"669","","en","Black Market Connections","","1","d13cb0d3-3452-4c1f-81ec-024b4c45bbad","clb","Commander Legends: Battle for Baldur's Gate"
"659","","en","Harper Recruiter","","1","6bb131fd-d96f-43e0-a40d-fa6394a4b75c","clb","Commander Legends: Battle for Baldur's Gate"
"660","","en","Seasoned Dungeoneer","","1","7fee3f76-20a8-4621-84fb-ddf79c955532","clb","Commander Legends: Battle for Baldur's Gate"
"661","","en","Stick Together","","1","8d77a57a-e30b-46d7-acb8-1d164c7dff78","clb","Commander Legends: Battle for Baldur's Gate"
"684","","en","Multiclass Baldric","","1","dbb7927d-c3c4-4464-8ada-bcd8466b2012","clb","Commander Legends: Battle for Baldur's Gate"
"672","","en","Solemn Doomguide","","1","b467929d-5fc3-4104-8a29-a8157835f274","clb","Commander Legends: Battle for Baldur's Gate"
"690","","en","Crib Swap","","1","e13559d7-f86c-4958-a649-7f81bfb154a0","clb","Commander Legends: Battle for Baldur's Gate"
"704","","en","Priest of Ancient Lore","","1","8b6f7b89-1648-4c2b-8d68-88ad43267c6f","clb","Commander Legends: Battle for Baldur's Gate"
"841","","en","Despark","","1","83902f7a-b675-45a6-8d03-a4e82335547a","clb","Commander Legends: Battle for Baldur's Gate"
"907","","en","Path of Ancestry","","1","43710f35-c43f-48bf-82e1-64ba5c3fa03e","clb","Commander Legends: Battle for Baldur's Gate"
"882","","en","Bojuka Bog","","1","f8f1c157-cebc-45fe-9caa-1ea4b305ccfc","clb","Commander Legends: Battle for Baldur's Gate"
"760","","en","Malakir Blood-Priest","","1","bbbd64da-6071-49f4-87aa-066209ec1ae9","clb","Commander Legends: Battle for Baldur's Gate"
"900","","en","Mortuary Mire","","1","058f30e5-64a9-4d6b-b7a6-0fd95d460cae","clb","Commander Legends: Battle for Baldur's Gate"
"904","","en","Myriad Landscape","","1","276f49f9-019b-44cb-a551-0fba9851ecc7","clb","Commander Legends: Battle for Baldur's Gate"
"870","","en","Skullclamp","","1","d1877be5-fb98-4bd2-a754-dda1132ef8a0","clb","Commander Legends: Battle for Baldur's Gate"
"871","","en","Sol Ring","","1","199cde21-5bc3-49cd-acd4-bae3af6e5881","clb","Commander Legends: Battle for Baldur's Gate"
"687","","en","Austere Command","","1","3d24036e-075f-4991-a740-a9d943722ad2","clb","Commander Legends: Battle for Baldur's Gate"
"741","","en","Butcher of Malakir","","1","b23c18f8-a19f-406a-ad60-491087f9d660","clb","Commander Legends: Battle for Baldur's Gate"
"691","","en","Dusk // Dawn","","1","f295b713-1d6a-43fd-910d-fb35414bf58a","clb","Commander Legends: Battle for Baldur's Gate"
"753","","en","Gonti, Lord of Luxury","","1","4cedbfd3-907f-4042-98c1-6fe3fb8cbc01","clb","Commander Legends: Battle for Baldur's Gate"
"754","","en","Grim Haruspex","","1","f5c19b87-e114-46d4-9f6c-c02e838a08dd","clb","Commander Legends: Battle for Baldur's Gate"
"755","","en","Grim Hireling","","1","38326f48-548c-4b18-9ad2-0b7c23385deb","clb","Commander Legends: Battle for Baldur's Gate"
"848","","en","High Priest of Penance","","1","fc264fad-c541-4cc6-8b56-44abf3f1e8a0","clb","Commander Legends: Battle for Baldur's Gate"
"769","","en","Puppeteer Clique","","1","65fd8dba-0aca-4b47-9b4b-19d5c77cf8f3","clb","Commander Legends: Battle for Baldur's Gate"
"768","","en","Pontiff of Blight","","1","fa04c8f5-e174-4055-a98c-efec2f064d69","clb","Commander Legends: Battle for Baldur's Gate"
"749","","en","Dire Fleet Ravager","","1","887384de-403c-4cca-b542-ce0303100d42","clb","Commander Legends: Battle for Baldur's Gate"
"694","","en","Galepowder Mage","","1","222b4c5a-2cd0-4851-9f2f-8685a658ebb4","clb","Commander Legends: Battle for Baldur's Gate"
"695","","en","Glorious Protector","","1","3e63385a-e32f-4abc-aff6-bb022b2f56f7","clb","Commander Legends: Battle for Baldur's Gate"
"845","","en","Felisa, Fang of Silverquill","","1","18b8abf0-e8c3-4c19-bdf1-18aabe75a3de","clb","Commander Legends: Battle for Baldur's Gate"
"705","","en","Rumor Gatherer","","1","a7782044-616e-4d4f-b38f-93320ba19797","clb","Commander Legends: Battle for Baldur's Gate"
"846","","en","Firja's Retribution","","1","e7d1bbe5-c63e-4a8d-b79a-0dcca221a726","clb","Commander Legends: Battle for Baldur's Gate"
"686","","en","Archpriest of Iona","","1","0b0b1acd-68e5-4922-8b51-06fa7eda984c","clb","Commander Legends: Battle for Baldur's Gate"
"880","","en","Ash Barrens","","1","fb71aebf-f5d3-45ee-91a4-51088f7141ec","clb","Commander Legends: Battle for Baldur's Gate"
"688","","en","Aven Mindcensor","","1","d4cf468f-4e9d-4551-a0ed-10bd6a2316ad","clb","Commander Legends: Battle for Baldur's Gate"
"740","","en","Bloodsoaked Champion","","1","275d6137-5eff-4e82-8232-64e8679bc11c","clb","Commander Legends: Battle for Baldur's Gate"
"689","","en","Bygone Bishop","","1","cf879fc7-9f84-40a7-a7be-9cc98a720af5","clb","Commander Legends: Battle for Baldur's Gate"
"742","","en","Calculating Lich","","1","a5dccdab-9dda-4964-9b1a-eec6d31c7995","clb","Commander Legends: Battle for Baldur's Gate"
"884","","en","Castle Locthwain","","1","19336e3a-2242-4a30-a563-32f2e4fc18e9","clb","Commander Legends: Battle for Baldur's Gate"
"743","","en","Changeling Outcast","","1","0d2c053f-0ef8-45f2-b2af-24cbb9a7fec4","clb","Commander Legends: Battle for Baldur's Gate"
"744","","en","Corpse Augur","","1","600eaa36-5497-42dc-8d21-a5fcdd01fa79","clb","Commander Legends: Battle for Baldur's Gate"
"692","","en","Eight-and-a-Half-Tails","","1","ef722374-0305-4c30-ab45-cb772b252faf","clb","Commander Legends: Battle for Baldur's Gate"
"693","","en","Frontline Medic","","1","3e9ad9ce-f862-4663-9a36-caf0844eb416","clb","Commander Legends: Battle for Baldur's Gate"
"696","","en","Irregular Cohort","","1","61775227-34ad-469a-a4d4-ee8ce69dd10f","clb","Commander Legends: Battle for Baldur's Gate"
"697","","en","Jazal Goldmane","","1","9d17b05a-7753-451b-a7b4-ee1fe3b51110","clb","Commander Legends: Battle for Baldur's Gate"
"699","","en","Magus of the Balance","","1","e63074e4-2c4c-411c-b320-c90d3a4a96d0","clb","Commander Legends: Battle for Baldur's Gate"
"698","","en","Mage's Attendant","","1","e7039d47-276b-4c7c-acc3-94a9baae97e5","clb","Commander Legends: Battle for Baldur's Gate"
"761","","en","Mardu Strike Leader","","1","626ed059-9bd1-4a18-ac85-7b00b8057426","clb","Commander Legends: Battle for Baldur's Gate"
"865","","en","Maskwood Nexus","","1","1246c42d-57c0-4cba-959a-15ad89d8a50b","clb","Commander Legends: Battle for Baldur's Gate"
"700","","en","Mikaeus, the Lunarch","","1","6f18de2a-4aab-47a1-b162-6b8cf18e7bbf","clb","Commander Legends: Battle for Baldur's Gate"
"762","","en","Mindblade Render","","1","459c5f18-13a3-42c9-b9d7-bf789eefe249","clb","Commander Legends: Battle for Baldur's Gate"
"701","","en","Mirror Entity","","1","3d9149ed-0e59-48b3-b48c-d5ea77b7239e","clb","Commander Legends: Battle for Baldur's Gate"
"702","","en","Mother of Runes","","1","a5e19147-e459-43a6-8ef0-e37968a462e3","clb","Commander Legends: Battle for Baldur's Gate"
"903","","en","Mutavault","","1","52cc2f10-142d-4e6a-984e-b25f566cc960","clb","Commander Legends: Battle for Baldur's Gate"
"763","","en","Nighthawk Scavenger","","1","63cf5e98-9d40-4cb0-83de-043751b1382f","clb","Commander Legends: Battle for Baldur's Gate"
"703","","en","Order of Whiteclay","","1","0caaa62f-4959-4321-a2d5-dc255f1e5eaf","clb","Commander Legends: Battle for Baldur's Gate"
"867","","en","Orzhov Signet","","1","ddb325f3-3c39-410b-b7a6-1615a7c4fe54","clb","Commander Legends: Battle for Baldur's Gate"
"906","","en","Orzhov Basilica","","1","61ed0bb4-91b8-4144-b3d6-f92d6821d979","clb","Commander Legends: Battle for Baldur's Gate"
"914","","en","Shambling Vent","","1","1f5bf05a-04a1-4dde-845b-eced21a785fa","clb","Commander Legends: Battle for Baldur's Gate"
"915","","en","Snowfield Sinkhole","","1","3c6e17f2-b1e4-4189-a02f-92fa4b13a1ed","clb","Commander Legends: Battle for Baldur's Gate"
"708","","en","Solemn Recruit","","1","4b93ee66-bc1d-42ad-8839-d77ab5992f14","clb","Commander Legends: Battle for Baldur's Gate"
"707","","en","Sevinne's Reclamation","","1","458db878-07ba-42cc-9bee-910957685596","clb","Commander Legends: Battle for Baldur's Gate"
"924","","en","Temple of Silence","","1","2a3288ba-038c-4d8e-939d-c513a76fbfbf","clb","Commander Legends: Battle for Baldur's Gate"
"706","","en","Selfless Spirit","","1","ef8d8d0c-cb0e-4745-a0fb-d556c9324428","clb","Commander Legends: Battle for Baldur's Gate"
"773","","en","Thwart the Grave","","1","cc339d3b-9c89-4679-bc83-8399d9a864c7","clb","Commander Legends: Battle for Baldur's Gate"
"919","","en","Tainted Field","","1","67f04e85-1b2b-4eb6-8332-4c13c2149d39","clb","Commander Legends: Battle for Baldur's Gate"
"929","","en","War Room","","1","ed5cebc0-6a58-468d-a75e-46087ea2eb46","clb","Commander Legends: Battle for Baldur's Gate"
"710","","en","Unbreakable Formation","","1","123ae9bd-896c-4f50-afe3-880cea85eee0","clb","Commander Legends: Battle for Baldur's Gate"
"709","","en","Squad Commander","","1","5390bbf3-9906-46a9-81d3-60e23eb89ca1","clb","Commander Legends: Battle for Baldur's Gate"
"917","","en","Starlit Sanctum","","1","f5774836-0140-420a-9a0f-8ba291cc5ca8","clb","Commander Legends: Battle for Baldur's Gate"
"927","","en","Vault of the Archangel","","1","e1004cea-51d4-4d69-ad98-37a2e02492e0","clb","Commander Legends: Battle for Baldur's Gate"
"711","","en","Valiant Changeling","","1","014fbb81-5d54-4f8f-8c91-071521b9cd33","clb","Commander Legends: Battle for Baldur's Gate"
"930","","en","Windbrisk Heights","","1","cc4aa7d1-e168-4fa0-baf0-1102086dc717","clb","Commander Legends: Battle for Baldur's Gate"
"878","","en","Talisman of Hierarchy","","1","2299c93e-f3a6-4b41-857b-e3d1aff0f622","clb","Commander Legends: Battle for Baldur's Gate"
"775","","en","Zulaport Cutthroat","","1","52ef00c1-613a-4cbd-8972-77c41f649431","clb","Commander Legends: Battle for Baldur's Gate"
"451","","en","Plains","","10","14f5f561-39fd-4cdf-b22e-40cfd6a19d12","clb","Commander Legends: Battle for Baldur's Gate"
"459","","en","Swamp","","10","fc4111be-6dae-4ca5-bd58-c1ce7cfa9cf6","clb","Commander Legends: Battle for Baldur's Gate"
"653","foil","en","Burakos, Party Leader","","1","899e278d-5d4e-461a-9878-2b85de16b38d","clb","Commander Legends: Battle for Baldur's Gate"
"650","foil","en","Folk Hero","","1","a8b3aae8-fc36-45ed-84ed-efb8f543cada","clb","Commander Legends: Battle for Baldur's Gate"
