collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Ms. Bumbleflower","","1","42bbedc1-6b83-46b4-8b3b-a4e05ce77d87","blc","Bloomburrow Commander"
"100","foil","en","Tamiyo, Field Researcher","","1","5899d4c5-e6b8-48e9-9044-b5b34a1284f9","blc","Bloomburrow Commander"
"6","foil","en","Mr. Foxglove","","1","cba58beb-9524-46d4-ac63-119f19d9d44f","blc","Bloomburrow Commander"
"203","","en","Wear Down","","1","fded2b83-3b7d-4c8c-83c4-0624a1069628","blb","Bloomburrow"
"188","","en","Peerless Recycling","","1","5f72466c-505b-4371-9366-0fde525a37e6","blb","Bloomburrow"
"58","","en","Long River's Pull","","1","1c81d0fa-81a1-4f9b-a5fd-5a648fd01dea","blb","Bloomburrow"
"29","","en","Communal Brewing","","1","acf6399f-f389-4b13-8563-a078a5d198f4","blc","Bloomburrow Commander"
"36","","en","Fisher's Talent","","1","47f0e0b9-d137-46ac-a6e4-13a529e30bb5","blc","Bloomburrow Commander"
"37","","en","Octomancer","","1","f260197a-0297-4673-96de-dee915d79353","blc","Bloomburrow Commander"
"13","","en","Tempt with Bunnies","","1","90cc0369-dc9b-4e75-8e3c-ec0783fa13a9","blc","Bloomburrow Commander"
"12","","en","Steelburr Champion","","1","73b1f962-22b7-4394-9796-24f7b0f8a42f","blc","Bloomburrow Commander"
"16","","en","Twenty-Toed Toad","","1","5479009c-9da5-4646-9894-fb9ec73dc9a9","blc","Bloomburrow Commander"
"27","","en","Bloodroot Apothecary","","1","d39e0024-9a91-49d6-bfbf-9dbf7d228687","blc","Bloomburrow Commander"
"19","","en","Jolly Gerbils","","1","0eab51d6-ba17-4a8c-8834-25db363f2b6b","blb","Bloomburrow"
"106","","en","Generous Gift","","1","ee0e17cb-a729-4be9-9fe3-e71ba45f0a6e","blc","Bloomburrow Commander"
"127","","en","Arcane Signet","","1","28180667-cc1e-4f64-9a69-00425ef85ba0","blc","Bloomburrow Commander"
"112","","en","Wizard Class","","1","6b429f7a-da0c-4570-87ed-9945a657fe11","blc","Bloomburrow Commander"
"119","","en","Farseek","","1","6c41b3c9-bbed-447d-a952-250bb7091a9e","blc","Bloomburrow Commander"
"122","","en","Rites of Flourishing","","1","36459b89-b273-43c9-aeab-86bcd60edfd1","blc","Bloomburrow Commander"
"130","","en","Command Tower","","1","63a39996-48b7-42bb-9759-a42382ee0468","blc","Bloomburrow Commander"
"124","","en","Tempt with Discovery","","1","580bbd5b-795e-41fe-b061-579c42218670","blc","Bloomburrow Commander"
"108","","en","Martial Impetus","","1","5b114cfe-3cec-43b8-b20f-01a1436aa25a","blc","Bloomburrow Commander"
"129","","en","Sol Ring","","1","fff440c0-7e6a-46c2-9989-f1b5af20fd44","blc","Bloomburrow Commander"
"11","","en","Perch Protection","","1","1f81d6ea-9a76-43b9-b030-d40c5cfbeefe","blc","Bloomburrow Commander"
"345","","en","Terramorphic Expanse","","1","21bb96d8-483c-4fde-97ea-08be9570c289","blc","Bloomburrow Commander"
"131","","en","Exotic Orchard","","1","e6d8d98d-29b2-4ca2-bbda-4db2e8f6ae0b","blc","Bloomburrow Commander"
"109","","en","Swords to Plowshares","","1","948cdb9d-adae-4161-a233-7f7d28b3e1a7","blc","Bloomburrow Commander"
"291","","en","Adarkar Wastes","","1","d501527c-1bf5-4b59-9bff-e4562181a096","blc","Bloomburrow Commander"
"170","","en","An Offer You Can't Refuse","","1","b9ee82ee-4899-496e-80a6-e3403f6b364f","blc","Bloomburrow Commander"
"135","","en","Baird, Steward of Argive","","1","5165b4fa-ce48-49c3-9cb3-dc6ece8c0f08","blc","Bloomburrow Commander"
"208","","en","Broken Wings","","1","bb9136d4-cacd-4e51-a2e8-aaf96d7a546d","blc","Bloomburrow Commander"
