collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"19","","en","Teferi, Temporal Archmage","","1","80eec0bd-9eb4-4360-b97b-9c7985a63343","c14","Commander 2014"
"11","","en","Aether Gale","","1","d1ae3672-8361-4bdb-979a-75dd909d77ba","c14","Commander 2014"
"62","","en","Artisan of Kozilek","","1","8aa2bcb6-f6c5-42a5-a436-b75b2be76225","c14","Commander 2014"
"53","","en","Assault Suit","","1","5074e318-ef4e-4779-988c-d2e043c41cfb","c14","Commander 2014"
"98","","en","Azure Mage","","1","fbcc8a09-3437-4737-98f5-229d7c64dedc","c14","Commander 2014"
"99","","en","Brine Elemental","","1","0b93a80e-7b93-4ea8-96b7-f48d5159360f","c14","Commander 2014"
"12","","en","Breaching Leviathan","","1","e02e3d91-7723-46b8-a393-855b6e89d877","c14","Commander 2014"
"100","","en","Cackling Counterpart","","1","5a040326-2412-4d7b-b96d-07047c3433c8","c14","Commander 2014"
"101","","en","Call to Mind","","1","9218f8f4-89fd-46a1-928b-2e0e8e2b4458","c14","Commander 2014"
"54","","en","Commander's Sphere","","1","61e0a922-1689-484f-abb3-902ce1c964ca","c14","Commander 2014"
"102","","en","Compulsive Research","","1","d983c51e-b35a-49ba-a1f5-4319a79fa089","c14","Commander 2014"
"103","","en","Concentrate","","1","83d15e43-1c51-47f1-aebf-1adf65e9fef7","c14","Commander 2014"
"107","","en","Distorting Wake","","1","77e28743-3694-48ef-9f16-0a3a4ff7e934","c14","Commander 2014"
"13","","en","Domineering Will","","1","daec34ec-964f-456b-b1af-4eb4fb41c968","c14","Commander 2014"
"236","","en","Dreamstone Hedron","","1","873354bb-f13f-4bf7-a699-20cea5cdf641","c14","Commander 2014"
"106","","en","Dismiss","","1","3ad95896-897a-460b-9356-8f2bf6cc4994","c14","Commander 2014"
"14","","en","Dulcet Sirens","","1","045e15fd-6e2b-40a9-89ba-2f4c9e445416","c14","Commander 2014"
"104","","en","Cyclonic Rift","","1","1fadf1e3-4f4f-4f58-b8a9-11e14bb550f8","c14","Commander 2014"
"105","","en","Deep-Sea Kraken","","1","f08d001b-de70-4f9f-8a3a-f16327ddddc0","c14","Commander 2014"
"287","","en","Coral Atoll","","1","b92121b6-b12e-4fe3-9afb-f2c77c2796ac","c14","Commander 2014"
"55","","en","Crown of Doom","","1","201a7054-e4e8-4e5a-a002-319fcd210994","c14","Commander 2014"
"108","","en","Exclude","","1","970864e0-5488-4b6f-9316-3e3b4098770e","c14","Commander 2014"
"239","","en","Everflowing Chalice","","1","2dd9f287-fc13-4bb1-851f-8d76c5cc12d8","c14","Commander 2014"
"109","","en","Fathom Seer","","1","a80b0701-2f79-4c94-9796-01fb9f5422b9","c14","Commander 2014"
"111","","en","Fool's Demise","","1","3ed39bd7-d059-4a44-9f03-0f628dcdb119","c14","Commander 2014"
"112","","en","Frost Titan","","1","bb9eec79-1926-46eb-b9e0-6ba12a441495","c14","Commander 2014"
"110","","en","Fog Bank","","1","7600b28a-6ea3-46d1-9cb3-2b031aa872ba","c14","Commander 2014"
"298","","en","Ghost Quarter","","1","ccc1c460-64c5-47be-a633-439863baa6a1","c14","Commander 2014"
"115","","en","Into the Roil","","1","8637eef0-f5a8-41ce-b885-7d4b26e417d3","c14","Commander 2014"
"15","","en","Intellectual Offering","","1","63de9e39-3c16-452f-9f06-4c1298752f57","c14","Commander 2014"
"113","","en","Hoverguard Sweepers","","1","0e2ec92b-dab0-4c9e-af7d-0041b22e852f","c14","Commander 2014"
"114","","en","Infinite Reflection","","1","bb6c9287-7af5-4741-9555-c256b82c5b76","c14","Commander 2014"
"116","","en","Ixidron","","1","adb5abf8-ee5a-449f-86e9-f826db3c2ff7","c14","Commander 2014"
"304","","en","Lonely Sandbar","","1","f4060ed0-127c-46af-85b1-a76e89d4b7d5","c14","Commander 2014"
"250","","en","Mind Stone","","1","b793a8e9-5870-4190-a204-c241b0e67f97","c14","Commander 2014"
"117","","en","Lorthos, the Tidemaker","","1","f32bd753-1677-49ef-8717-27276bd44f38","c14","Commander 2014"
"118","","en","Mulldrifter","","1","4f3deefe-28bc-4e45-a0a0-ab03167e2e81","c14","Commander 2014"
"61","","en","Myriad Landscape","","1","8aef73ec-5c98-4ac5-82a7-8e838cd36562","c14","Commander 2014"
"257","","en","Nevinyrral's Disk","","1","f68f0da7-133e-474f-9db9-b576bbaf9511","c14","Commander 2014"
"119","","en","Phyrexian Ingester","","1","c633c12c-0f47-4212-bf87-4e444da0bf52","c14","Commander 2014"
"120","","en","Pongify","","1","726b3de5-f2c1-4a92-9039-f61ae9575839","c14","Commander 2014"
"309","","en","Remote Isle","","1","34aa8ed8-1790-4fd3-9fe4-bef7b2884739","c14","Commander 2014"
"121","","en","Riptide Survivor","","1","cedabc94-2ed9-4a1e-a4d3-d004da959380","c14","Commander 2014"
"16","","en","Reef Worm","","1","b35e03a9-73e7-4577-a544-d39470678c76","c14","Commander 2014"
"123","","en","Rush of Knowledge","","1","a77a20a0-257c-4c58-9761-9d39e7a1bce0","c14","Commander 2014"
"122","","en","Rite of Replication","","1","863c3968-d23d-4bf3-97ab-fbf2f6015a70","c14","Commander 2014"
"266","","en","Sapphire Medallion","","1","afdbb860-2bea-4cf6-8959-6a19ba1de56c","c14","Commander 2014"
"124","","en","Sea Gate Oracle","","1","84290bc3-a157-41ba-911a-a480a760632c","c14","Commander 2014"
"125","","en","Shaper Parasite","","1","60c6d339-6a2b-41d1-b534-0e7daa3738df","c14","Commander 2014"
"269","","en","Sky Diamond","","1","61d27478-5a03-47a8-a185-8a0c9b4e0474","c14","Commander 2014"
"270","","en","Sol Ring","","1","b79cb394-eb91-4b3b-91d4-c6a0f723feb1","c14","Commander 2014"
"126","","en","Sphinx of Jwar Isle","","1","1304a4e9-fd62-4b97-b652-b4ebc0f6ebe8","c14","Commander 2014"
"127","","en","Sphinx of Magosi","","1","1b92959c-0995-4bcc-b937-fc272c4540e9","c14","Commander 2014"
"128","","en","Sphinx of Uthuun","","1","77a77dbb-4737-44dc-aa78-2df77ba53a57","c14","Commander 2014"
"17","","en","Stitcher Geralf","","1","156945db-4575-48ae-b9c9-e3b341353cd7","c14","Commander 2014"
"273","","en","Steel Hellkite","","1","bac51f10-77e4-49ee-a817-c8e56c48198a","c14","Commander 2014"
"18","","en","Stormsurge Kraken","","1","ed1c1121-593d-4780-a1d0-5fbd2c09a9f2","c14","Commander 2014"
"129","","en","Stroke of Genius","","1","cb387039-8451-4dd8-84e9-6eacda25be89","c14","Commander 2014"
"275","","en","Swiftfoot Boots","","1","4b224614-6374-4c42-8715-daa0b73ca05c","c14","Commander 2014"
"313","","en","Tectonic Edge","","1","94b9d7af-3e6f-4227-bb7d-a17d6f250535","c14","Commander 2014"
"277","","en","Thran Dynamo","","1","66820678-d3f0-44c2-9820-438f85a224e2","c14","Commander 2014"
"278","","en","Tormod's Crypt","","1","930d2796-9766-4d15-8999-26b668fe2cf6","c14","Commander 2014"
"20","","en","Well of Ideas","","1","54227dc5-ca00-4b23-9fb0-f1dd7ff5691a","c14","Commander 2014"
"58","","en","Unstable Obelisk","","1","b331b231-f31f-479f-80a9-f32c64d35096","c14","Commander 2014"
"130","","en","Turn to Frog","","1","3df2fb18-f029-4126-b7b4-10ad2d156520","c14","Commander 2014"
"280","","en","Ur-Golem's Eye","","1","7a2ea921-8ef9-4a31-b484-73375e828d34","c14","Commander 2014"
"282","","en","Worn Powerstone","","1","f2372952-fe79-4301-916b-e7332ab45794","c14","Commander 2014"
"131","","en","Willbender","","1","4101979b-852e-432d-bf45-cddbaa0d86ea","c14","Commander 2014"
"317","","en","Zoetic Cavern","","1","efe046b5-50dd-46ce-acad-d14c18cca0fd","c14","Commander 2014"
"323","","en","Island","","31","dbce0da1-9c0c-42b8-aac6-7925d663ee6b","c14","Commander 2014"
