collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Ranar the Ever-Watchful","","1","1c8c41dd-8551-4ce8-a9be-9b9f65718852","khc","Kaldheim Commander"
"87","","en","Migratory Route","","1","ae79df80-b1f0-4035-807d-0364208dbd75","khc","Kaldheim Commander"
"101","","en","Meteor Golem","","1","0abc2aa2-b505-4e6b-8a37-4e818a8561bc","khc","Kaldheim Commander"
"114","","en","Meandering River","","1","e283db9e-6a51-4b28-9f6c-0c040a9d6d8c","khc","Kaldheim Commander"
"29","","en","Marshal's Anthem","","1","2077d11c-22b6-43ff-a894-4f8c2c2acafc","khc","Kaldheim Commander"
"100","","en","Marble Diamond","","1","cdc41213-3cc2-4de5-9b33-56623b65918d","khc","Kaldheim Commander"
"28","","en","Kor Cartographer","","1","6226b346-ca4c-45ea-871c-1a8fb7f9be0d","khc","Kaldheim Commander"
"26","","en","Ghostly Prison","","1","1132a103-3dd7-4a17-afdc-27200b8cfbfc","khc","Kaldheim Commander"
"27","","en","Goldnight Commander","","1","80be2fea-3fe6-477e-bcb8-63f441d6cfc1","khc","Kaldheim Commander"
"39","","en","Ghostly Flicker","","1","485ab561-9c2a-4f99-9317-8726bcdae364","khc","Kaldheim Commander"
"24","","en","Flickerwisp","","1","edacc6f3-e105-4648-8dcc-a5c54c7ad043","khc","Kaldheim Commander"
"23","","en","Evangel of Heliod","","1","ccc00c82-7c2a-4699-8058-e57f690ece96","khc","Kaldheim Commander"
"85","","en","Empyrean Eagle","","1","a2a0f40e-12de-4ee8-8b1e-6989dbfa9a4d","khc","Kaldheim Commander"
"22","","en","Eerie Interlude","","1","4ba9f15f-00d2-4797-9228-91b320e85705","khc","Kaldheim Commander"
"109","","en","Cryptic Caves","","1","03d864b7-8049-4ef7-ae50-ad28df7d87d9","khc","Kaldheim Commander"
"37","","en","Curse of the Swine","","1","227c0e9c-4f8f-4402-bdd1-dd744dc49927","khc","Kaldheim Commander"
"108","","en","Command Tower","","1","74c5bc49-318c-44fc-b276-f6d036fdf054","khc","Kaldheim Commander"
"21","","en","Cloudgoat Ranger","","1","6dfaa74a-0ef0-44bb-b8b5-6d121278b5a2","khc","Kaldheim Commander"
"99","","en","Commander's Sphere","","1","443c9ff1-8b30-4c19-9011-17de40659442","khc","Kaldheim Commander"
"84","","en","Cloudblazer","","1","edab81f0-dd20-45bd-946d-75b682e1d3d0","khc","Kaldheim Commander"
