collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Prosper, Tome-Bound","","1","d743336e-d5c7-4053-a23d-92ec7581f74e","afc","Forgotten Realms Commander"
"277","","en","Mountain","","13","cf9095db-44ad-444b-bd9d-4a06102fe230","afr","Adventures in the Forgotten Realms"
"273","","en","Swamp","","14","166fc328-20d1-4158-bcb6-3cebcf788ef5","afr","Adventures in the Forgotten Realms"
"169","","en","You Find Some Prisoners","","1","0f2a95ae-feb2-42c3-99b4-9ea7a491d326","afr","Adventures in the Forgotten Realms"
"136","","en","Chaos Channeler","","1","7b9bb587-f732-42c9-a2a7-152629889997","afr","Adventures in the Forgotten Realms"
"125","","en","Warlock Class","","1","b7faf899-96b7-454e-b634-6684c2d72f26","afr","Adventures in the Forgotten Realms"
"33","","en","Reckless Endeavor","","1","ba98a4bd-e217-4dba-aee9-315b4f843cdf","afc","Forgotten Realms Commander"
"57","","en","Bucknard's Everfull Purse","","1","57073533-dcd8-4a86-9aa8-d7205d3799e1","afc","Forgotten Realms Commander"
"60","","en","Ebony Fly","","1","7f11245d-9e80-42b0-b371-21e990a2e6ef","afc","Forgotten Realms Commander"
"36","","en","Wild-Magic Sorcerer","","1","a48df69d-ef3d-46b1-8811-b6a1be777cdc","afc","Forgotten Realms Commander"
"62","","en","Underdark Rift","","1","da7b5c5b-fba1-4993-9779-bef96bcb0064","afc","Forgotten Realms Commander"
"34","","en","Share the Spoils","","1","5e35d719-8766-47dc-8c0d-8e2b37b907a8","afc","Forgotten Realms Commander"
"25","","en","Grim Hireling","","1","08c6872d-4cb5-4a59-b1dd-38c107906660","afc","Forgotten Realms Commander"
"47","","en","Fevered Suspicion","","1","82c35cce-5b13-4870-8710-1b05af2c5c40","afc","Forgotten Realms Commander"
"48","","en","Hurl Through Hell","","1","47a3321c-28ed-4cd7-84d8-c8cecc09348b","afc","Forgotten Realms Commander"
"27","","en","Lorcan, Warlock Collector","","1","5f6f90ae-340c-4eb7-b091-58db550be742","afc","Forgotten Realms Commander"
"23","","en","Death Tyrant","","1","b9e508e9-c190-4db2-a278-9dbb09515ae2","afc","Forgotten Realms Commander"
"26","","en","Hellish Rebuke","","1","b4b558cf-8754-4c4f-87f1-8e6d84b93658","afc","Forgotten Realms Commander"
"22","","en","Danse Macabre","","1","5151b81b-6d10-40de-9e65-89923e4c03d9","afc","Forgotten Realms Commander"
"31","","en","Fiendlash","","1","9cbc0e7e-b478-431e-abaf-ce7113057730","afc","Forgotten Realms Commander"
"21","","en","Bag of Devouring","","1","d183e52b-432d-4b4d-803c-33f7a5f178f1","afc","Forgotten Realms Commander"
"215","","en","Sol Ring","","1","2c52c96d-e20f-4025-b759-674b36cf0db3","afc","Forgotten Realms Commander"
"114","","en","Apex of Power","","1","dc922e89-c816-476a-82c3-3c6b9fd196a9","afc","Forgotten Realms Commander"
"197","","en","Arcane Signet","","1","552be01e-cd54-46ba-b38a-96883a48d985","afc","Forgotten Realms Commander"
"179","","en","Bedevil","","1","ffd34d49-9c77-499d-a9ad-a491f5d169d0","afc","Forgotten Realms Commander"
"181","","en","Bituminous Blast","","1","af8613ee-4b67-49b8-920b-3b5a25897f64","afc","Forgotten Realms Commander"
"226","","en","Bojuka Bog","","1","6e1d1e83-c34a-46af-8aec-ff698446099f","afc","Forgotten Realms Commander"
"201","","en","Chaos Wand","","1","4d50a9d5-4eb7-4eb9-bdf5-5a7703b4c6b6","afc","Forgotten Realms Commander"
"95","","en","Chittering Witch","","1","b57c76be-082e-4552-9830-403a98992619","afc","Forgotten Realms Commander"
"117","","en","Chaos Warp","","1","63cf7776-1b1a-4539-8f53-b8c30addc7de","afc","Forgotten Realms Commander"
"96","","en","Consuming Vapors","","1","7b6e74a3-f390-4ad2-93de-930af0e5585c","afc","Forgotten Realms Commander"
"203","","en","Commander's Sphere","","1","08e8b5a4-ea2b-42fe-880c-f6a4f5456b66","afc","Forgotten Realms Commander"
"118","","en","Commune with Lava","","1","862771b6-8e82-45b7-922f-4f40322a607e","afc","Forgotten Realms Commander"
"230","","en","Command Tower","","1","3edb78c2-0a3c-46e1-a7ff-97dbd8402495","afc","Forgotten Realms Commander"
"119","","en","Dark-Dweller Oracle","","1","4055e8a0-eb0d-4754-b07a-399cb914917c","afc","Forgotten Realms Commander"
"97","","en","Dead Man's Chest","","1","7a0b60a2-50de-4328-85dc-040bf8a4dac9","afc","Forgotten Realms Commander"
"122","","en","Disrupt Decorum","","1","bc91f0d5-6d50-4f71-a229-286364984e61","afc","Forgotten Realms Commander"
"121","","en","Dire Fleet Daredevil","","1","28c3c7d7-bf25-4dd7-8fbf-4c8ae6603dd1","afc","Forgotten Realms Commander"
"125","","en","Dream Pillager","","1","f872b587-0afe-4aeb-b0bf-43ec692d495a","afc","Forgotten Realms Commander"
"126","","en","Etali, Primal Storm","","1","5ed1070d-fc21-4f4c-8e6e-5e4a2e6e2dce","afc","Forgotten Realms Commander"
"236","","en","Exotic Orchard","","1","c5a8de0f-726a-4ea3-9215-5188f7181951","afc","Forgotten Realms Commander"
"206","","en","Fellwar Stone","","1","07be53ef-c7b7-44fe-9754-b76871c6b55f","afc","Forgotten Realms Commander"
"99","","en","Fiend of the Shadows","","1","373f24b1-e763-475c-9760-aefae4be3ea0","afc","Forgotten Realms Commander"
"238","","en","Foreboding Ruins","","1","1ce2c480-6a5a-4e7c-b3d7-7dc9cc589912","afc","Forgotten Realms Commander"
"100","","en","Gonti, Lord of Luxury","","1","85ea4d39-14cd-4d11-b021-c09556f1e0ee","afc","Forgotten Realms Commander"
"101","","en","Hex","","1","c5c84b30-4b52-43b4-a17b-120fc62a4dd2","afc","Forgotten Realms Commander"
"129","","en","Ignite the Future","","1","6fdc6fcf-2fd7-4751-b352-0992bc880132","afc","Forgotten Realms Commander"
"130","","en","Izzet Chemister","","1","4073a490-1977-41c0-9e0d-953235b7f2b0","afc","Forgotten Realms Commander"
"131","","en","Light Up the Stage","","1","351de611-2162-4d3e-9080-ad29fb300243","afc","Forgotten Realms Commander"
"211","","en","Mind Stone","","1","02a34135-0955-4045-9558-6e61338baaf0","afc","Forgotten Realms Commander"
"249","","en","Mortuary Mire","","1","44082a22-406f-4050-b1be-de4f3e0fde5e","afc","Forgotten Realms Commander"
"132","","en","Loyal Apprentice","","1","dab85ca8-1ce8-43df-a6a1-00fef6b1d1c0","afc","Forgotten Realms Commander"
"102","","en","Marionette Master","","1","dd21a925-c76f-4c1d-b5b8-8d3352730e5f","afc","Forgotten Realms Commander"
"104","","en","Ogre Slumlord","","1","729f662d-e6b3-41ae-aed8-ef1c27b793d9","afc","Forgotten Realms Commander"
"213","","en","Orazca Relic","","1","fd9e5b05-11b5-46fc-a1c8-484f41a0cee6","afc","Forgotten Realms Commander"
"105","","en","Phthisis","","1","98b84356-fa97-4f61-bd84-e8efd7f46e38","afc","Forgotten Realms Commander"
"106","","en","Piper of the Swarm","","1","b4810704-beb8-499c-a921-26f672fd33b2","afc","Forgotten Realms Commander"
"108","","en","Pontiff of Blight","","1","c421b851-f61a-4db6-9063-d1d5289a7d78","afc","Forgotten Realms Commander"
"190","","en","Rakdos Charm","","1","3632fbff-c3cc-4f6f-b15d-c7ca3cb77a7c","afc","Forgotten Realms Commander"
"257","","en","Rakdos Carnarium","","1","b18103c9-b92f-4f65-93ba-d18d3fd5b557","afc","Forgotten Realms Commander"
"214","","en","Rakdos Signet","","1","0bc3c10a-c3be-4e46-9871-282dad8bc7a4","afc","Forgotten Realms Commander"
"259","","en","Shadowblood Ridge","","1","74c0016a-6761-4764-bf4a-ecde26061a90","afc","Forgotten Realms Commander"
"138","","en","Shiny Impetus","","1","82bf32e5-5841-448b-b5e7-cba87a726295","afc","Forgotten Realms Commander"
"262","","en","Smoldering Marsh","","1","02d90054-65da-4562-bfe7-48c381757b30","afc","Forgotten Realms Commander"
"263","","en","Spinerock Knoll","","1","6bfb3dac-94d7-4b94-9a9e-6392d5ce5bf2","afc","Forgotten Realms Commander"
"219","","en","Talisman of Indulgence","","1","fa6c62c7-8fd4-46f1-a7f4-fc6e74d34b35","afc","Forgotten Realms Commander"
"193","","en","Terminate","","1","4c942af8-e5c1-47e0-a662-d9ef531f0dad","afc","Forgotten Realms Commander"
"266","","en","Tainted Peak","","1","e5dd195d-6f81-4ff8-b950-455ab462ec7d","afc","Forgotten Realms Commander"
"144","","en","Tectonic Giant","","1","8eb94800-1d87-4140-91cb-ba9ca49572ad","afc","Forgotten Realms Commander"
"194","","en","Theater of Horrors","","1","72651e82-ab11-4ec7-812a-8cff8d7e7a2e","afc","Forgotten Realms Commander"
"146","","en","Throes of Chaos","","1","d27a6cfc-9864-4081-93ab-9dfb254c1cd0","afc","Forgotten Realms Commander"
"220","","en","Unstable Obelisk","","1","96f90a63-fe42-4bd5-8126-dd1f48397d4e","afc","Forgotten Realms Commander"
"148","","en","Vandalblast","","1","6239c8c9-113f-410b-8894-94d7287ac8d4","afc","Forgotten Realms Commander"
"273","","en","Zhalfirin Void","","1","d481d871-d1e3-439b-bfd5-5b2212f9b0c8","afc","Forgotten Realms Commander"
"49","foil","en","Karazikar, the Eye Tyrant","","1","da46b47b-0156-4a01-b4b1-28526a6826f4","afc","Forgotten Realms Commander"
