collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"706","foil","en","Commodore Guff","","1","92870fc6-a6bc-4198-bb31-397e07e0e835","cmm","Commander Masters"
"410","","en","Sol Ring","","1","46ca0b66-a000-4483-b916-f5b89e710244","cmm","Commander Masters"
"420","","en","Command Tower","","1","14019383-0327-404b-ab4d-c65c3fa8c50d","cmm","Commander Masters"
"382","","en","Fellwar Stone","","1","fad9cac1-8b2b-42d6-9f0b-d679689ba862","cmm","Commander Masters"
"367","","en","Arcane Signet","","1","0539b83c-4459-41b5-a001-d15a1c9ddf23","cmm","Commander Masters"
"18","","en","Cartographer's Hawk","","1","12d0b07f-9823-45b7-89bb-0a2a71833d46","cmm","Commander Masters"
"42","","en","Mangara, the Diplomat","","1","09e77ae5-a1a6-4e51-9853-10e81ca2dd2c","cmm","Commander Masters"
"425","","en","Reliquary Tower","","1","ec1d8a99-8a06-4e51-9277-96edb6899b29","cmm","Commander Masters"
"993","","en","Exotic Orchard","","1","63325755-47d5-4bb2-a21c-f324c27e1bbd","cmm","Commander Masters"
"1014","","en","Mystic Monastery","","1","c26d3961-cc3f-408a-821e-2d9ea025c51e","cmm","Commander Masters"
"1020","","en","Prairie Stream","","1","53ac634a-d792-4cca-8735-41a9a663f775","cmm","Commander Masters"
"735","","en","Chandra, Legacy of Fire","","1","6b764e0d-ded0-4036-83b1-de49c6ee8f7e","cmm","Commander Masters"
"725","","en","Teyo, Geometric Tactician","","1","c66fa93a-6888-4297-b22e-7d69fd25c0d7","cmm","Commander Masters"
"729","","en","Vronos, Masked Inquisitor","","1","fdd2504b-ff9b-464c-9595-7dffab3bc5b9","cmm","Commander Masters"
"726","","en","Sparkshaper Visionary","","1","5e941849-033b-499b-b691-6ad9250d9ecd","cmm","Commander Masters"
"721","","en","Gatewatch Beacon","","1","08b3a1bb-1191-4484-80b0-71cf9f8e510b","cmm","Commander Masters"
"737","","en","Guff Rewrites History","","1","e16c6ab7-cab9-4ee3-9f17-d6817f61efcc","cmm","Commander Masters"
"722","","en","Onakke Oathkeeper","","1","55d0caac-50c0-434e-af77-9ebd2a466415","cmm","Commander Masters"
"738","","en","Jaya's Phoenix","","1","aca45c6b-8cce-44db-9f5b-fa66075db6f6","cmm","Commander Masters"
"876","","en","Chandra, Torch of Defiance","","1","2eac0eaa-55b2-444a-863d-c66769aab4ee","cmm","Commander Masters"
"875","","en","Chandra, Awakened Inferno","","1","0d4fb926-fe8c-4640-ac8d-ef418b8945d5","cmm","Commander Masters"
"1013","","en","Mystic Gate","","1","6f99714f-43bc-4048-b650-97dfef4c10fe","cmm","Commander Masters"
"852","","en","Jace, Mirror Mage","","1","86d34cbf-e424-461a-adf3-003d556a7859","cmm","Commander Masters"
"820","","en","Elspeth, Sun's Champion","","1","08382257-68d5-493e-8754-2ff72e9321e9","cmm","Commander Masters"
"935","","en","Saheeli, Sublime Artificer","","1","ce35a39a-6dcd-4bbc-b43b-bd1a5425cb05","cmm","Commander Masters"
"833","","en","Promise of Loyalty","","1","2a0ae3bb-c22f-495f-82e3-cf909e8a8e49","cmm","Commander Masters"
"880","","en","Sarkhan the Masterless","","1","2aced16a-ebbd-47bb-a4c4-9454afa9971c","cmm","Commander Masters"
"856","","en","Spark Double","","1","cdbb32db-fb1d-4f47-a258-fa1a0a00bd76","cmm","Commander Masters"
"830","","en","Oath of Gideon","","1","b8a3f02b-9408-46a5-8d25-f5cec553d600","cmm","Commander Masters"
"813","","en","Ajani Steadfast","","1","51825d35-cdb2-40fa-ab89-1625161b04af","cmm","Commander Masters"
"941","","en","Azorius Signet","","1","f012f5c8-a974-40a4-9375-071e4d95182a","cmm","Commander Masters"
"872","","en","Blasphemous Act","","1","cd15a627-f7a6-4d66-abb5-5aaa167b41a9","cmm","Commander Masters"
"942","","en","Boros Signet","","1","0c6e02b3-be4c-45b8-9cb8-6b3142b30c6b","cmm","Commander Masters"
"990","","en","Cascade Bluffs","","1","15406173-530f-4f4f-82f3-f3e193979fd7","cmm","Commander Masters"
"844","","en","Deepglow Skate","","1","94e8e7b9-042e-4d01-87dd-27dc95257113","cmm","Commander Masters"
"819","","en","Deploy the Gatewatch","","1","34f4c453-97b4-4cd5-a766-85e5647f71d5","cmm","Commander Masters"
"847","","en","Flux Channeler","","1","3c520263-6bad-4521-ba9e-192ca8223b07","cmm","Commander Masters"
"848","","en","Fog Bank","","1","c14fb062-ff43-43eb-aaaf-304a876d5962","cmm","Commander Masters"
"995","","en","Forge of Heroes","","1","5f11f053-5150-4a76-b2ca-9df3a0629911","cmm","Commander Masters"
"998","","en","Frostboil Snarl","","1","6c295e4b-0b52-4422-85bc-e631a93d9e5f","cmm","Commander Masters"
"999","","en","Furycalm Snarl","","1","703f058c-6fc4-4e06-8570-a094ffe44574","cmm","Commander Masters"
"822","","en","Gideon Jura","","1","d608df31-bcc6-4fec-89f1-5cefe5c2ec99","cmm","Commander Masters"
"824","","en","Grateful Apparition","","1","5e1cf888-dd41-4cc2-a16e-3414ef7a78ed","cmm","Commander Masters"
"954","","en","Honor-Worn Shaku","","1","dd39f563-2ea9-4ddd-8d76-900fa14b480c","cmm","Commander Masters"
"1004","","en","Interplanar Beacon","","1","bc1bed72-2440-4364-a69f-a9d7c4fe3fea","cmm","Commander Masters"
"957","","en","Izzet Signet","","1","e894c45f-30fa-493c-af9e-20261c37d1e1","cmm","Commander Masters"
"851","","en","Jace, Architect of Thought","","1","7051cdfa-509e-4d84-bbae-f77556c861e4","cmm","Commander Masters"
"850","","en","Jace Beleren","","1","806d4e61-004f-4e52-b2e8-ba11b922cc7d","cmm","Commander Masters"
"1007","","en","Karn's Bastion","","1","875ca80a-3eb8-434c-8114-536caab23211","cmm","Commander Masters"
"237","","en","Kazuul, Tyrant of the Cliffs","","1","9a7c54ed-594d-40d7-a64a-a57db6d5ba16","cmm","Commander Masters"
"1011","","en","Mobilized District","","1","c7921b97-083b-480a-a7df-f2ab82e6f8fb","cmm","Commander Masters"
"421","","en","Myriad Landscape","","1","643f0ee9-9eba-4aa8-9f68-1f57313fc030","cmm","Commander Masters"
"929","","en","Nahiri, the Harbinger","","1","c0b2cc03-5d07-43e1-a8d9-298d17a5af44","cmm","Commander Masters"
"930","","en","Narset of the Ancient Way","","1","300f766f-9609-4105-9ed5-4299c48f7fa7","cmm","Commander Masters"
"931","","en","Narset, Enlightened Master","","1","de4b0d5f-1071-4030-be16-2b4dadbdf9e9","cmm","Commander Masters"
"853","","en","Narset, Parter of Veils","","1","4e6e5c63-b6e5-4756-bf23-6c6f8669442d","cmm","Commander Masters"
"965","","en","Nevinyrral's Disk","","1","36fb6ee3-bd54-4e5b-b055-c2c42515c162","cmm","Commander Masters"
"829","","en","Norn's Annex","","1","d25bbe18-709c-4ed3-a047-5578ecfaaba7","cmm","Commander Masters"
"934","","en","Oath of Teferi","","1","f7474f9e-a994-4ed7-83df-22edd8219e24","cmm","Commander Masters"
"854","","en","Oath of Jace","","1","da62e9a8-d1aa-4fea-abb7-50c10d40fa6a","cmm","Commander Masters"
"832","","en","Oreskos Explorer","","1","5ebabe38-a035-4c2d-89b5-760712f311b8","cmm","Commander Masters"
"1019","","en","Port Town","","1","d15c035d-1309-4286-a758-07517f323f34","cmm","Commander Masters"
"879","","en","Repeated Reverberation","","1","1cb03593-9369-4c26-bfcc-8819648dc018","cmm","Commander Masters"
"1022","","en","Rugged Prairie","","1","bbec2908-0b96-4b91-a269-3d7bc75be168","cmm","Commander Masters"
"834","","en","Semester's End","","1","db2bb091-ac6d-4c99-bdf6-70ffb6291ef0","cmm","Commander Masters"
"972","","en","Silent Arbiter","","1","14f42cc9-8b7f-4f8a-8d68-8480e668c239","cmm","Commander Masters"
"1035","","en","Skycloud Expanse","","1","0c1c9810-c6bf-4bce-b131-37ea34f3f840","cmm","Commander Masters"
"841","","en","Swords to Plowshares","","1","42ecba4b-9624-428f-a8af-dd88139ab13c","cmm","Commander Masters"
"979","","en","Talisman of Creativity","","1","8ebb2086-3d9c-4322-bd3f-1366a4354578","cmm","Commander Masters"
"978","","en","Talisman of Conviction","","1","293a58b9-2cf5-4898-8261-b7c51edc2051","cmm","Commander Masters"
"980","","en","Talisman of Progress","","1","32c406a0-607a-49eb-b506-bee60234fe6d","cmm","Commander Masters"
"1041","","en","Temple of Enlightenment","","1","6ef1c3e3-f038-4ec3-84a1-756c52b5dbe1","cmm","Commander Masters"
"1042","","en","Temple of Epiphany","","1","d77363b9-276b-421d-b422-8c9a3838d118","cmm","Commander Masters"
"1047","","en","Temple of Triumph","","1","f0ead529-accb-4b6f-ab60-d715d80b3c99","cmm","Commander Masters"
"943","","en","The Chain Veil","","1","1ca66955-d900-45b6-9a40-38467689a68d","cmm","Commander Masters"
"843","","en","The Wanderer","","1","c6ec3686-cecd-4dee-8a68-c3e4baec25ca","cmm","Commander Masters"
"858","","en","Thrummingbird","","1","86ff84d8-1b89-42cc-a8c0-4ac6fa26ce65","cmm","Commander Masters"
"842","","en","Urza's Ruinous Blast","","1","76b10977-64eb-4a50-a481-d67cc2950f56","cmm","Commander Masters"
"939","","en","Wall of Denial","","1","049ce45b-ab07-4bce-bb4a-83f5720b6ee7","cmm","Commander Masters"
"983","","en","Wayfarer's Bauble","","1","b61a30eb-66b2-4a59-ada3-400580cc9c36","cmm","Commander Masters"
"49","","en","Path to Exile","","1","4970389b-08f4-4a15-a128-954b072a8137","cmm","Commander Masters"
