collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"186","foil","en","Meren of Clan Nel Toth","","1","17d6703c-ad79-457b-a1b5-c2284e363085","cma","Commander Anthology"
"45","","en","Altar's Reap","","1","1db55625-25a5-46eb-9d9c-9b3ed219359f","cma","Commander Anthology"
"90","","en","Acidic Slime","","1","54f0b514-a85d-4e0c-b331-1dbaa316842d","cma","Commander Anthology"
"46","","en","Ambition's Cost","","1","808a8b36-532f-4f38-9cfc-6c715d4ee4f6","cma","Commander Anthology"
"48","","en","Barter in Blood","","1","37d5b6d7-1b3f-4586-8969-8c5d7457b75f","cma","Commander Anthology"
"49","","en","Blood Bairn","","1","433821dd-9a38-4ace-b9d2-cd081784e957","cma","Commander Anthology"
"47","","en","Banshee of the Dread Choir","","1","b019f6b5-ce8f-4b95-8fcb-72dc4931b3aa","cma","Commander Anthology"
"50","","en","Butcher of Malakir","","1","709379fe-208e-465f-8b33-d0ae9b2ba928","cma","Commander Anthology"
"93","","en","Bloodspore Thrinax","","1","d5eef7b6-66f8-4b5e-9427-e377c84e92c2","cma","Commander Anthology"
"211","","en","Bonehoard","","1","31ed2d63-5eb6-4027-b702-ef9265fda4b6","cma","Commander Anthology"
"51","","en","Champion of Stray Souls","","1","ea04dd17-4ecf-4fd0-ae47-80d4dcfde837","cma","Commander Anthology"
"96","","en","Cloudthresher","","1","4e18bff6-bf0b-48f8-93e2-09d435247596","cma","Commander Anthology"
"95","","en","Centaur Vinecrasher","","1","468bfb2f-31a4-482a-bfa6-b55e14458dd3","cma","Commander Anthology"
"94","","en","Caller of the Pack","","1","08620dc9-3a83-4d09-a6d4-b25a7d0ac644","cma","Commander Anthology"
"245","","en","Command Tower","","1","5f66d99c-7c2d-40b9-ae07-c3a84f018a0d","cma","Commander Anthology"
"52","","en","Corpse Augur","","1","1b21cd81-9205-4f08-9ec3-478ce7e0ea82","cma","Commander Anthology"
"56","","en","Dread Summons","","1","f4bb62df-5248-46fe-85be-8243fafefca9","cma","Commander Anthology"
"216","","en","Eldrazi Monument","","1","d5439677-d3db-4083-8dd9-0d654016bd79","cma","Commander Anthology"
"57","","en","Eater of Hope","","1","2e53342b-2df4-4a4e-969f-1e71e45e394d","cma","Commander Anthology"
