collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"204","","en","Prossh, Skyraider of Kher","","1","fc411c52-3ee2-4fe4-983d-3fa43b516237","c13","Commander 2013"
"272","","en","Akoum Refuge","","1","0b32023d-454a-456c-92fa-ebd591d2b854","c13","Commander 2013"
"235","","en","Armillary Sphere","","1","a87dd615-565d-4b79-a346-f8c6bb0a8340","c13","Commander 2013"
"101","","en","Blood Rites","","1","89d77b63-eeee-4d8a-9622-b1ea36dc70de","c13","Commander 2013"
"180","","en","Charnelhoard Wurm","","1","1c0ec55e-88df-40f8-b08d-6185cdb4a3cc","c13","Commander 2013"
"281","","en","Command Tower","","1","7b2de1d7-0b13-423b-b0ca-31eb38b5b81f","c13","Commander 2013"
"238","","en","Carnage Altar","","1","c08486d3-3d94-49c7-b8c9-61eb8a3e6428","c13","Commander 2013"
"102","","en","Capricious Efreet","","1","48d3c44d-1a2f-4e2a-8d5a-592719cb92f4","c13","Commander 2013"
"138","","en","Brooding Saurian","","1","b3ec586d-14c7-4d3a-9bb5-f6afdf87657c","c13","Commander 2013"
"105","","en","Curse of Chaos","","1","fd95b9aa-1abb-4a10-a622-51a2bb578d17","c13","Commander 2013"
"140","","en","Curse of Predation","","1","d28f824e-8cd4-4915-a46f-6e3c646c6378","c13","Commander 2013"
"71","","en","Curse of Shallow Graves","","1","849996e2-fb62-428f-88f1-4ac419617395","c13","Commander 2013"
"184","","en","Deathbringer Thoctar","","1","fdffa46e-8802-4479-a669-d33618f75d4f","c13","Commander 2013"
"73","","en","Dirge of Dread","","1","a938b00e-a829-4860-a53a-83110493d0bd","c13","Commander 2013"
"185","","en","Deepfire Elemental","","1","d81fc89c-6eb8-4b75-bbaf-a7eb9679bab2","c13","Commander 2013"
"76","","en","Endrek Sahr, Master Breeder","","1","48eac047-f888-49c7-aa7e-339f900f558f","c13","Commander 2013"
"143","","en","Elvish Skysweeper","","1","ff4b950c-bd01-45e0-bd60-5b55640a50a8","c13","Commander 2013"
"287","","en","Evolving Wilds","","1","f0244872-9cd7-4a23-87a5-7658fd4a8c2e","c13","Commander 2013"
"75","","en","Endless Cockroaches","","1","de7f26a4-da23-4508-b8b4-817a66d7852a","c13","Commander 2013"
"145","","en","Fecundity","","1","4b67a55e-58fe-4ebe-abed-027bb523a280","c13","Commander 2013"
"78","","en","Fell Shepherd","","1","afd27b8d-3c1f-401b-aad1-268a7aa79f0f","c13","Commander 2013"
"109","","en","Furnace Celebration","","1","9d90b132-f668-47e1-b89c-7aa569525117","c13","Commander 2013"
"146","","en","Foster","","1","00f86a0b-0f46-4ce1-bbeb-7f46881e1627","c13","Commander 2013"
"111","","en","Goblin Sharpshooter","","1","4f72e9e2-ed47-40ff-bc2e-8446ef545022","c13","Commander 2013"
"294","","en","Gruul Guildgate","","1","d5d7efbc-0863-4993-a6e9-58818378e8af","c13","Commander 2013"
"110","","en","Goblin Bombardment","","1","cef7d5ac-d7a4-45a8-b780-6f19e2adc4c6","c13","Commander 2013"
"291","","en","Golgari Rot Farm","","1","5cd0bb20-669a-47ad-9fd7-f44aa48c8ce2","c13","Commander 2013"
"229","","en","Golgari Guildmage","","1","890faae2-cf6a-400a-9f17-8772991b0eef","c13","Commander 2013"
"290","","en","Golgari Guildgate","","1","80658042-3998-49ca-88ef-f87320a5bd43","c13","Commander 2013"
"292","","en","Grim Backwoods","","1","7586de16-1341-4c6c-a30c-a3a8f4655411","c13","Commander 2013"
"80","","en","Hooded Horror","","1","15414338-506b-458f-a067-1a2053373594","c13","Commander 2013"
"114","","en","Inferno Titan","","1","446a99f8-29e9-41c8-bf68-c50a2c21e056","c13","Commander 2013"
"149","","en","Hua Tuo, Honored Physician","","1","8bbdc7c5-71a1-4db8-98b2-8883bf648dca","c13","Commander 2013"
"150","","en","Hunted Troll","","1","cfe19e16-33f6-4594-9dd3-2699a66ba0e8","c13","Commander 2013"
"151","","en","Jade Mage","","1","3d57bc86-7625-4669-9d33-b662263bd5bf","c13","Commander 2013"
"195","","en","Jund Charm","","1","df91979c-fb60-433b-8780-366ce1effd9c","c13","Commander 2013"
"298","","en","Jund Panorama","","1","d4219a68-9962-43d7-a12b-be6f09deb03a","c13","Commander 2013"
"244","","en","Jar of Eyeballs","","1","72da56bd-dd1c-4b3c-a655-afa31e9adca0","c13","Commander 2013"
"301","","en","Kazandu Refuge","","1","94d5eb61-4f38-42a0-92b2-1f25019bd436","c13","Commander 2013"
"302","","en","Khalni Garden","","1","55d17634-db36-47e3-855f-7c3a8419cce7","c13","Commander 2013"
"303","","en","Kher Keep","","1","ee9b8031-3681-46ba-955a-ae54fc0bbe8b","c13","Commander 2013"
"304","","en","Llanowar Reborn","","1","20311caa-0ab7-4273-98a6-5e7dd1b7ab38","c13","Commander 2013"
"116","","en","Mass Mutiny","","1","9607cb06-e788-4480-ba42-088beb19ad3b","c13","Commander 2013"
"310","","en","Opal Palace","","1","e8b912d9-5682-4462-954a-b4c2eb1aebbb","c13","Commander 2013"
"158","","en","Night Soil","","1","52a0eca1-f936-4f5a-820b-fa12542c593d","c13","Commander 2013"
"252","","en","Obelisk of Jund","","1","1fe43306-f48f-4812-8d40-1903cc6f19d2","c13","Commander 2013"
"84","","en","Ophiomancer","","1","66d80dd1-b944-4cb2-8578-b4dbcabbbc1e","c13","Commander 2013"
"254","","en","Plague Boiler","","1","869e27e3-1707-4e1d-b04a-8309da2e41b4","c13","Commander 2013"
"162","","en","Primal Vigor","","1","dafea0d1-6986-46b3-affc-1337ef564947","c13","Commander 2013"
"166","","en","Reincarnation","","1","7ee379cd-b3fb-487b-846c-eab02902de79","c13","Commander 2013"
"314","","en","Rakdos Guildgate","","1","e7c71a39-42a5-4a77-99fa-b7b59339818a","c13","Commander 2013"
"90","","en","Quagmire Druid","","1","ccb57a8b-1b2e-4119-a90e-b2b3de79e791","c13","Commander 2013"
"167","","en","Restore","","1","a8664e35-a0bf-4df7-8530-91d2f7dfcc0a","c13","Commander 2013"
