collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"42","foil","en","Ghired, Conclave Exile","","1","d0825bcd-8cf8-498a-a61e-406f136e1f3f","c19","Commander 2019"
"227","","en","Ash Barrens","","1","d78e34c2-6a1e-4559-9b3f-ac45d330d515","c19","Commander 2019"
"61","","en","Angel of Sanctions","","1","f3f7f258-7ac0-4149-9d8c-712b5ea7f0a8","c19","Commander 2019"
"157","","en","Beast Within","","1","edf4a131-5f29-46c0-9c73-719d1112d57a","c19","Commander 2019"
"231","","en","Blossoming Sands","","1","01a33a23-994f-44f4-89c0-3f40ba1fbad3","c19","Commander 2019"
"233","","en","Boros Garrison","","1","a4a3a23c-544d-4ed4-90ad-dbf04f676af3","c19","Commander 2019"
"236","","en","Cinder Glade","","1","719bd033-77f8-4e0e-b173-63e30ad28970","c19","Commander 2019"
"1","","en","Cliffside Rescuer","","1","c998d2ba-d2ca-4a85-b22a-ce8f42bb0d2f","c19","Commander 2019"
"158","","en","Colossal Majesty","","1","56f8fd3b-5b1c-4d8c-86c7-ee3ba7de69c7","c19","Commander 2019"
"2","","en","Commander's Insignia","","1","44cccb23-a515-4e49-b4ae-a12d81f7d6ef","c19","Commander 2019"
"159","","en","Cultivate","","1","faf2ef91-fb95-4cc0-a2a6-53fac5cd807d","c19","Commander 2019"
"237","","en","Command Tower","","1","c328d8ac-97df-4240-ac38-7cab363c5da1","c19","Commander 2019"
"60","","en","Desolation Twin","","1","ced8fc21-221d-40b6-a1e0-175f03b248db","c19","Commander 2019"
"3","","en","Doomed Artisan","","1","ded9c409-7131-4b3f-a6b9-25fa32c5ec2c","c19","Commander 2019"
"139","","en","Dragonmaster Outcast","","1","c1479b6e-b1a2-4089-8ab5-56a6864dbbc0","c19","Commander 2019"
"242","","en","Exotic Orchard","","1","23de2dc2-348f-4eeb-ae0c-dda422d654b0","c19","Commander 2019"
"163","","en","Elemental Bond","","1","516ebdba-0f25-459a-a26b-f6fa928b96e6","c19","Commander 2019"
"241","","en","Evolving Wilds","","1","b6f4f0c7-63c8-4d43-9ccb-920733980de0","c19","Commander 2019"
"164","","en","Explore","","1","da397007-e9a8-4228-a35d-a606e93e37be","c19","Commander 2019"
"162","","en","Druid's Deliverance","","1","eabb6ba4-4256-401c-96eb-6e2a14c50602","c19","Commander 2019"
"191","","en","Emmara Tandris","","1","7d415858-5f7d-406c-bb30-b4c48ebaad08","c19","Commander 2019"
"165","","en","Farseek","","1","061f0032-eb14-4c63-8231-aa61472396c2","c19","Commander 2019"
"141","","en","Feldon of the Third Path","","1","4c257487-5494-4251-9e93-43bd9cc6558f","c19","Commander 2019"
"245","","en","Gargoyle Castle","","1","9834b4e1-7e9f-4f93-a2aa-13a52e8a11fc","c19","Commander 2019"
"32","","en","Full Flowering","","1","ea2e9f4c-b6b4-4199-93ae-10df75590715","c19","Commander 2019"
"143","","en","Flamerush Rider","","1","c074adc3-50f1-4443-ae9b-47f8d9fdf3a2","c19","Commander 2019"
"166","","en","Fresh Meat","","1","78bbdc81-d47f-4f0a-b359-c146cc07931d","c19","Commander 2019"
"168","","en","Garruk's Packleader","","1","dafeafa0-b937-4387-8626-449a810486b4","c19","Commander 2019"
"249","","en","Graypelt Refuge","","1","0849b6dd-0330-4b7e-b7da-98e767adb4a0","c19","Commander 2019"
"167","","en","Garruk, Primal Hunter","","1","a6274dbf-f541-4b7b-a3dc-302197a4410e","c19","Commander 2019"
"169","","en","Giant Adephage","","1","4fe2d4dd-983a-41d5-addb-67e748b5e339","c19","Commander 2019"
"25","","en","Ghired's Belligerence","","1","b8348ef6-f2ae-4277-ae04-7849c508f0e4","c19","Commander 2019"
"171","","en","Harmonize","","1","bb163285-dabe-448b-a82b-86a828d5bd93","c19","Commander 2019"
"146","","en","Heart-Piercer Manticore","","1","6cd213a1-92f6-49dd-9ea9-41a00879faaa","c19","Commander 2019"
"250","","en","Gruul Turf","","1","20e5e73b-0ac9-483f-9de5-609db1334e41","c19","Commander 2019"
"26","","en","Hate Mirage","","1","9e58b2ad-0c5e-468e-983a-45d412454a67","c19","Commander 2019"
"193","","en","Growing Ranks","","1","6ea45414-4047-4921-b77d-dfcba2fe7694","c19","Commander 2019"
"55","","en","Idol of Oblivion","","1","daed8456-011e-44e2-b180-6a8a75089257","c19","Commander 2019"
"67","","en","Intangible Virtue","","1","b08f5d19-55ec-4cb9-b836-4d432cd9da33","c19","Commander 2019"
"65","","en","Hour of Reckoning","","1","d12768a5-8ee6-407b-87cf-703e69a0c32a","c19","Commander 2019"
"257","","en","Krosan Verge","","1","ea793198-7768-4844-98d2-cc6fba11a32d","c19","Commander 2019"
"217","","en","Lightning Greaves","","1","9e01e0e4-7e2b-41b5-86de-8e022170b3fc","c19","Commander 2019"
"255","","en","Jungle Shrine","","1","2678d0f4-cafe-4e7e-9443-6b7917af0182","c19","Commander 2019"
"256","","en","Kazandu Refuge","","1","6ca097f1-eef0-4e18-ab5d-49bb4aeb74e2","c19","Commander 2019"
"219","","en","Mimic Vat","","1","9050cd01-44c9-4e87-a165-a8b88c8e5d45","c19","Commander 2019"
"173","","en","Momentous Fall","","1","ca079f33-2764-462e-ba6a-961cbb8318c3","c19","Commander 2019"
"261","","en","Myriad Landscape","","1","3a1c15b9-8039-4de3-a060-d1c38f9e5518","c19","Commander 2019"
"195","","en","Naya Charm","","1","0345854e-860f-4ee0-8a97-591bb41a0212","c19","Commander 2019"
"263","","en","Naya Panorama","","1","9b01e2a8-1103-425f-8774-55667c607301","c19","Commander 2019"
"33","","en","Ohran Frostfang","","1","9eb08e11-c247-404c-9f40-a12cb7087d0c","c19","Commander 2019"
"68","","en","Phyrexian Rebirth","","1","9e222a33-6ec6-4114-9660-2b7260ad7755","c19","Commander 2019"
"176","","en","Rampaging Baloths","","1","805c9be0-d3aa-4f81-a70f-f66d0bb43b73","c19","Commander 2019"
"177","","en","Sakura-Tribe Elder","","1","114328dd-6c4f-4b6b-b9b7-dfa8c9b79495","c19","Commander 2019"
"270","","en","Rogue's Passage","","1","58f4384e-9aca-4533-8714-3dcaf709dee3","c19","Commander 2019"
"74","","en","Rootborn Defenses","","1","ecfcf55c-44d8-4585-9722-e91993e41888","c19","Commander 2019"
"271","","en","Rugged Highlands","","1","92e5c392-9b17-4554-ac53-d255112636ee","c19","Commander 2019"
"73","","en","Roc Egg","","1","a84a12d7-ffb3-4c05-973f-e00fbc2ab6c4","c19","Commander 2019"
"57","","en","Scaretiller","","1","7729fb41-3025-4e7b-8cf3-003fdc10300b","c19","Commander 2019"
"180","","en","Shamanic Revelation","","1","ac906fdc-a871-4bf8-8b23-6baed64926c6","c19","Commander 2019"
"272","","en","Selesnya Sanctuary","","1","2261ab48-289d-437e-8e50-b01894e8fe69","c19","Commander 2019"
"178","","en","Second Harvest","","1","22b01c98-c24b-4255-921f-4820f3d395ea","c19","Commander 2019"
"35","","en","Selesnya Eulogist","","1","3e65d501-6a11-4278-949b-53a3f3502fcc","c19","Commander 2019"
"181","","en","Slice in Twain","","1","d7129e47-f502-4df6-b21c-5713c3f8c775","c19","Commander 2019"
"277","","en","Sungrass Prairie","","1","e4473d07-5c08-4a64-8c72-9e8d1ce8daa0","c19","Commander 2019"
"221","","en","Sol Ring","","1","e672d408-997c-4a19-810a-3da8411eecf2","c19","Commander 2019"
"182","","en","Soul of Zendikar","","1","108a4330-d9dd-429d-a2f8-c355ff914883","c19","Commander 2019"
"6","","en","Song of the Worldsoul","","1","bb73ec0d-f582-4f74-9b5c-180fe3aedcf6","c19","Commander 2019"
"203","","en","Sundering Growth","","1","96feebe2-0a6b-4df8-8e7d-ee0bb82ac0c1","c19","Commander 2019"
"223","","en","Soul Foundry","","1","6c7a441b-e4af-41ba-85a4-fcb4f40534c3","c19","Commander 2019"
"281","","en","Terramorphic Expanse","","1","9acbdb64-fa26-4c77-b513-33e44ac86e20","c19","Commander 2019"
