collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Zaffai, Thunder Conductor","","1","ea1ab937-8647-4c83-99d5-6a40dffa4c9b","c21","Commander 2021"
"115","","en","Storm-Kiln Artist","","1","fa96b8dc-233a-4884-ab84-235cbc7df0b6","stx","Strixhaven: School of Mages"
"186","","en","Expressive Iteration","","1","31b770cc-09e7-4c0b-b2a4-462ab4f7200d","stx","Strixhaven: School of Mages"
"227","","en","Rootha, Mercurial Artist","","1","acb8f24d-8d1d-48aa-a534-238e969a474c","stx","Strixhaven: School of Mages"
"51","","en","Resculpt","","1","1bfb1fcb-a411-4c1c-b8fc-496242ae3a9b","stx","Strixhaven: School of Mages"
"270","","en","Prismari Campus","","1","768120f5-9401-4e52-924e-3374bde65b3d","stx","Strixhaven: School of Mages"
"182","","en","Elemental Masterpiece","","1","4331a7a6-e98e-4517-b0f9-ace379426a94","stx","Strixhaven: School of Mages"
"256","","en","Letter of Acceptance","","1","34750231-34aa-401c-b192-47b56588923a","stx","Strixhaven: School of Mages"
"80","","en","Study Hall","","1","a3de9859-98b6-4efe-847a-43bac5b1ef9f","c21","Commander 2021"
"234","","en","Arcane Signet","","1","01b186af-8825-4257-80fd-9c1ecdb21414","c21","Commander 2021"
"168","","en","Faithless Looting","","1","1d6e5cc9-bd48-41b6-ac20-5a3e38aecdc5","c21","Commander 2021"
"244","","en","Hedron Archive","","1","f8900980-6e0d-4d78-91a7-60a2e8cc92a5","c21","Commander 2021"
"251","","en","Mind Stone","","1","8c899cbd-cddd-43f9-a95d-a6e5af990362","c21","Commander 2021"
"263","","en","Sol Ring","","1","4cbc6901-6a4a-4d0a-83ea-7eefa3b35021","c21","Commander 2021"
"55","","en","Rionya, Fire Dancer","","1","b1e92b9c-4234-436d-a741-37c5e45859e5","c21","Commander 2021"
"49","","en","Creative Technique","","1","ce4f0474-48dc-4310-a016-0ec21bc29efb","c21","Commander 2021"
"58","","en","Surge to Victory","","1","0f02698f-d954-42e0-b4d6-9daf65f29e36","c21","Commander 2021"
"32","","en","Sly Instigator","","1","72f0773c-e2cf-435e-945c-51c7f834a6a6","c21","Commander 2021"
"29","","en","Octavia, Living Thesis","","1","eb5e63cc-eb4f-40c6-b298-99cb8fe8585f","c21","Commander 2021"
"28","","en","Muse Vortex","","1","c11b6560-51e8-42d2-a51d-fca70a5807b5","c21","Commander 2021"
"25","","en","Dazzling Sphinx","","1","47287f15-c480-4c93-8f04-10f57a089c2e","c21","Commander 2021"
"52","","en","Inferno Project","","1","ca760378-fa30-47ac-b3e0-7dc2e72b3422","c21","Commander 2021"
"51","","en","Fiery Encore","","1","ae544d03-2d12-4994-b573-424c41ecc91d","c21","Commander 2021"
"73","","en","Reinterpret","","1","765e64ae-699c-46bd-a8cc-c8c1075d644f","c21","Commander 2021"
"76","","en","Elementalist's Palette","","1","d66053f6-9313-4ff1-9618-3403c2cc6ec8","c21","Commander 2021"
"54","","en","Radiant Performer","","1","e8faedf4-1178-4f5d-8f46-7277dfe1ae2c","c21","Commander 2021"
"27","","en","Inspiring Refrain","","1","a66076f9-c1b0-4718-8609-3e2efe6114ab","c21","Commander 2021"
"56","","en","Rousing Refrain","","1","dc2a5627-8726-45d6-bb1b-a6172096a28a","c21","Commander 2021"
"167","","en","Etali, Primal Storm","","1","a9ac0e01-9732-470c-abd1-560386e30f80","c21","Commander 2021"
"130","","en","Swarm Intelligence","","1","2c573d12-4c69-4a54-b1b9-236c003ba98a","c21","Commander 2021"
"182","","en","Volcanic Vision","","1","f973e1a6-c6f9-47f5-9bf0-b7fa06959bd4","c21","Commander 2021"
"159","","en","Blasphemous Act","","1","827bc177-e0d4-4607-97f6-18bb40d16ec8","c21","Commander 2021"
"162","","en","Charmbreaker Devils","","1","4abf9b03-4157-42f0-ab3d-484bd9b64bb2","c21","Commander 2021"
"113","","en","Aether Gale","","1","9f04015b-0286-4230-a72f-36c511d89f45","c21","Commander 2021"
"211","","en","Call the Skybreaker","","1","6cbcf7d1-ed1c-4d80-b724-7d7e88547bae","c21","Commander 2021"
"115","","en","Brainstorm","","1","0359f212-9564-41a9-870b-d2c57455a695","c21","Commander 2021"
"114","","en","Aetherspouts","","1","04a19129-312b-47e3-abed-1dc39e432921","c21","Commander 2021"
"119","","en","Dig Through Time","","1","cf2a7655-9749-4ff6-b3b3-5a023b74a100","c21","Commander 2021"
"160","","en","Brass's Bounty","","1","571797ef-1e44-4b1c-9c88-3d4c60358175","c21","Commander 2021"
"287","","en","Desert of the Mindful","","1","517f71a7-ec5b-46a6-b5ff-8c06abf0a630","c21","Commander 2021"
"158","","en","Apex of Power","","1","458cb0db-6311-42eb-8e2b-b12895536a8a","c21","Commander 2021"
"279","","en","Blighted Cataract","","1","a6d03a79-4219-492f-bf9a-0b810e97e5f5","c21","Commander 2021"
"120","","en","Diluvian Primordial","","1","eb580daa-0cf3-4816-b8c5-49927682a91d","c21","Commander 2021"
"286","","en","Desert of the Fervent","","1","873ed0cd-60ea-4869-b794-e626f0058871","c21","Commander 2021"
"213","","en","Crackling Drake","","1","9cc51727-e39d-46b5-82cd-0c84c6572155","c21","Commander 2021"
"165","","en","Dualcaster Mage","","1","defcc4a3-40e0-4f5d-b23c-6cd6a614abc1","c21","Commander 2021"
"166","","en","Erratic Cyclops","","1","48dae537-ff11-438f-8367-46121a88f60f","c21","Commander 2021"
"216","","en","Epic Experiment","","1","b672f90f-c03a-4eab-b52a-5bbca3c4294c","c21","Commander 2021"
"170","","en","Fiery Fall","","1","b9bb28d4-c902-49e2-9fb9-746f2591af36","c21","Commander 2021"
"174","","en","Humble Defector","","1","e2093386-ad77-4b35-982b-518ee4c05cc6","c21","Commander 2021"
"294","","en","Izzet Boilerworks","","1","67576adb-6942-4dd2-a4a3-25ddb2dc971f","c21","Commander 2021"
"247","","en","Izzet Signet","","1","a3407b0e-4c4d-4a1c-a5eb-2723ab576e1b","c21","Commander 2021"
"301","","en","Memorial to Genius","","1","1d96dd97-ce88-4576-8261-c7866a06275d","c21","Commander 2021"
"176","","en","Mana Geyser","","1","109447b2-d507-433a-a81c-3a7a255444b1","c21","Commander 2021"
"123","","en","Mind's Desire","","1","17ef3058-46b8-4ec4-950f-c721919c4ac1","c21","Commander 2021"
