collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"9","foil","en","Adrix and Nev, Twincasters","","1","d495e084-92ec-4675-b6aa-8ade2775b796","c21","Commander 2021"
"209","","en","Biomass Mutation","","1","80fc2879-c73d-41c7-987c-cbeaca02cc45","c21","Commander 2021"
"212","","en","Coiling Oracle","","1","bb8acaa5-5194-4ab3-92b8-4123a903eca3","c21","Commander 2021"
"118","","en","Curse of the Swine","","1","12753691-00b2-40d5-afc3-7af42ee27c38","c21","Commander 2021"
"188","","en","Ezuri's Predation","","1","3103505c-b071-4ae9-bf82-978e582d030c","c21","Commander 2021"
"246","","en","Idol of Oblivion","","1","b13f6c2f-c4f3-4fd4-b6f9-997c69c9ff06","c21","Commander 2021"
"195","","en","Incubation Druid","","1","bd3071c4-6269-4c6b-9324-3d2284ec616d","c21","Commander 2021"
"219","","en","Incubation // Incongruity","","1","099b1265-11a5-48e2-9529-24fa3ea46377","c21","Commander 2021"
"196","","en","Kazandu Tuskcaller","","1","f5453591-6377-40de-892c-e8dd46687d11","c21","Commander 2021"
"221","","en","Kaseto, Orochi Archmage","","1","3cae9bae-bcea-4b4b-965f-8b14339e724b","c21","Commander 2021"
"197","","en","Kodama's Reach","","1","8da1bbb5-7884-46a9-962b-cfc9fe35500a","c21","Commander 2021"
"198","","en","Krosan Grip","","1","d3571dee-7b90-4c0c-abc7-59b515ffa129","c21","Commander 2021"
"296","","en","Llanowar Reborn","","1","b77f3af2-0ebd-47b4-8011-fc402a887744","c21","Commander 2021"
"299","","en","Lumbering Falls","","1","5d0edcbd-94d8-42e0-a76c-b98c2a126847","c21","Commander 2021"
"199","","en","Managorger Hydra","","1","234b6ddf-c2d9-45d5-9dd6-caae2a96a755","c21","Commander 2021"
"303","","en","Mosswort Bridge","","1","3ed79e47-e91b-40c6-adc2-7ec5d3ad17cf","c21","Commander 2021"
"200","","en","Nissa's Expedition","","1","815701df-3ed1-417a-bd9a-fdb9f4802c39","c21","Commander 2021"
"305","","en","Novijen, Heart of Progress","","1","9a1e15e7-4ba6-41ad-b27b-aee2d037b6a7","c21","Commander 2021"
"307","","en","Oran-Rief, the Vastwood","","1","89db8b69-05e7-4514-9b7f-394beb152bf3","c21","Commander 2021"
"226","","en","Plaxcaster Frogling","","1","13a5413a-a082-4f9d-93f5-123e689b3b72","c21","Commander 2021"
"227","","en","Primal Empathy","","1","656c2277-7420-4e4d-bed5-3683ec1c70de","c21","Commander 2021"
"127","","en","Reef Worm","","1","e715bb21-db06-475a-b71e-4f2313817b8d","c21","Commander 2021"
"203","","en","Rampaging Baloths","","1","32bbe3c3-d00f-4d53-8738-e4aceb6a01ab","c21","Commander 2021"
"126","","en","Rapid Hybridization","","1","6b5c6ed5-0fb9-40d4-bdce-bcaff40ef9a6","c21","Commander 2021"
"205","","en","Return of the Wildspeaker","","1","110cf870-7e8c-43e2-9184-4d8c43f9f480","c21","Commander 2021"
"128","","en","Rite of Replication","","1","7935570c-f7e0-4add-864a-4c804b26555e","c21","Commander 2021"
"206","","en","Shamanic Revelation","","1","3a750bc4-407d-4160-be80-6f1977dbc31e","c21","Commander 2021"
"317","","en","Simic Growth Chamber","","1","27ba2a33-a9f2-414c-889b-d80b175bec92","c21","Commander 2021"
"262","","en","Simic Signet","","1","4cb9a0b9-ddc8-4cdc-b352-0289c66f6fed","c21","Commander 2021"
"229","","en","Spitting Image","","1","d5f68c73-4794-4659-b494-edf89105beab","c21","Commander 2021"
"324","","en","Temple of Mystery","","1","12f00434-b616-48d2-a486-0fc17a0ccce4","c21","Commander 2021"
"408","","en","Tranquil Thicket","","1","d213bb6c-b6e1-4603-8e01-a2e28af5a15f","c21","Commander 2021"
"207","","en","Terastodon","","1","63195796-197e-47ec-85f0-d4ec0065f6e6","c21","Commander 2021"
