collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Stella Lee, Wild Card","","1","2a8a7696-b5d9-4378-9d5c-2c9007e4df63","otc","Outlaws of Thunder Junction Commander"
"30","","en","Smoldering Stagecoach","","1","a39d6484-6530-4237-84b9-68ab8a056e7c","otc","Outlaws of Thunder Junction Commander"
"17","","en","Thunderclap Drake","","1","4867e49b-ec5d-47df-bdc7-1211f97868c8","otc","Outlaws of Thunder Junction Commander"
"29","","en","Pyretic Charge","","1","dc7a4733-63d9-4b47-8a2e-85d30fe82569","otc","Outlaws of Thunder Junction Commander"
"27","","en","Elemental Eruption","","1","32126592-a988-4171-b52e-cca80b881aff","otc","Outlaws of Thunder Junction Commander"
"25","","en","Crackling Spellslinger","","1","aa735e13-f784-4174-91fc-3751aaa559d1","otc","Outlaws of Thunder Junction Commander"
"39","","en","Leyline Dowser","","1","bd08616b-84a0-4e82-8bd8-a228e4c57be6","otc","Outlaws of Thunder Junction Commander"
"14","","en","Forger's Foundry","","1","16c32c5a-e011-4729-a4a0-b2deac7d5056","otc","Outlaws of Thunder Junction Commander"
"15","","en","Lock and Load","","1","7a35de4b-5d98-4034-acc9-f38dc8c8f7d6","otc","Outlaws of Thunder Junction Commander"
"89","","en","Arcane Denial","","1","66ca1ade-0a74-4aab-9040-b3696706f060","otc","Outlaws of Thunder Junction Commander"
"106","","en","Pongify","","1","37ff06d0-d652-4694-a3f5-bf7385e9e850","otc","Outlaws of Thunder Junction Commander"
"116","","en","Talrand, Sky Summoner","","1","1be3ed47-072e-481a-b3d9-dc232ac4b24f","otc","Outlaws of Thunder Junction Commander"
"102","","en","Murmuring Mystic","","1","9e68dcc2-bba4-4efa-97bb-3ed892037595","otc","Outlaws of Thunder Junction Commander"
"91","","en","Baral's Expertise","","1","0f3bb535-dd33-430d-aace-7cf73d437890","otc","Outlaws of Thunder Junction Commander"
"95","","en","Dig Through Time","","1","2868636e-85e3-41e4-a68e-fe5c5a6dabf0","otc","Outlaws of Thunder Junction Commander"
"104","","en","Opt","","1","67bcf3fd-fca0-4cdb-b625-bac5fadd00e3","otc","Outlaws of Thunder Junction Commander"
"100","","en","Midnight Clock","","1","0b3c33b7-5b15-4b61-bfd6-1ffa823eb28a","otc","Outlaws of Thunder Junction Commander"
"90","","en","Archmage Emeritus","","1","c3dbdc3b-4855-48aa-b06d-a31166161eab","otc","Outlaws of Thunder Junction Commander"
"120","","en","Treasure Cruise","","1","d653b8ac-f643-4e0a-bfd4-edc658a18d9c","otc","Outlaws of Thunder Junction Commander"
"92","","en","Curse of the Swine","","1","c423ecbc-518e-4ff9-ac0c-38c8eec66b54","otc","Outlaws of Thunder Junction Commander"
"94","","en","Deep Analysis","","1","6bb58d70-8944-4507-aeca-6b3d5f792a91","otc","Outlaws of Thunder Junction Commander"
"97","","en","Finale of Revelation","","1","9bbe8f2e-3dfd-4ca9-999f-47524ec089c2","otc","Outlaws of Thunder Junction Commander"
"99","","en","Haughty Djinn","","1","21228052-e7bf-4e6c-9d88-674caca5b678","otc","Outlaws of Thunder Junction Commander"
"103","","en","Octavia, Living Thesis","","1","e9591647-bad3-4015-90d1-1646a9eb4d14","otc","Outlaws of Thunder Junction Commander"
"105","","en","Ponder","","1","5af43ceb-56d2-47d4-ab43-853338ab293c","otc","Outlaws of Thunder Junction Commander"
"108","","en","Propaganda","","1","e175bba4-c131-48f4-8e31-16ec07a12e59","otc","Outlaws of Thunder Junction Commander"
"107","","en","Preordain","","1","122f2cc2-5f4d-497c-96b5-ed5698f28b51","otc","Outlaws of Thunder Junction Commander"
"109","","en","Pteramander","","1","0072bbbf-a695-47dd-9615-db2659f357db","otc","Outlaws of Thunder Junction Commander"
"110","","en","Radical Idea","","1","aa32ec44-d29b-4ebe-82f5-4fe67bca07eb","otc","Outlaws of Thunder Junction Commander"
"112","","en","Serum Visions","","1","5b75eb6b-d76c-4b92-b042-13493f9ef164","otc","Outlaws of Thunder Junction Commander"
"113","","en","Shark Typhoon","","1","4d410cf5-a70e-4680-a68f-fbb4aa3b7174","otc","Outlaws of Thunder Junction Commander"
"117","","en","Tezzeret's Gambit","","1","15b2188f-06c8-4771-bba6-e6fc531ebc9a","otc","Outlaws of Thunder Junction Commander"
"119","","en","Think Twice","","1","d4d6d21e-4941-4b99-bed1-491b5a524d47","otc","Outlaws of Thunder Junction Commander"
"123","","en","Windfall","","1","9ce7113b-08f7-4584-b65f-a7b5caa90c2f","otc","Outlaws of Thunder Junction Commander"
"124","","en","Winged Boots","","1","116361c4-fddd-440a-ad02-8d71df733231","otc","Outlaws of Thunder Junction Commander"
"175","","en","Mizzix's Mastery","","1","4fa2d7f2-05b3-468f-9f2c-a61b46bad88e","otc","Outlaws of Thunder Junction Commander"
"181","","en","Storm-Kiln Artist","","1","01482a58-5156-41ba-bf9e-11095cc3f9ef","otc","Outlaws of Thunder Junction Commander"
"155","","en","Big Score","","1","5377da39-2152-414f-8b7e-638cb2e127e3","otc","Outlaws of Thunder Junction Commander"
"165","","en","Faithless Looting","","1","1ea23c17-6960-44fd-bae3-e24595b00c22","otc","Outlaws of Thunder Junction Commander"
