collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1508","foil","en","Rin and Seri, Inseparable","","1","a129558c-45a1-441c-97f0-b70b4e9d8a56","sld","Secret Lair Drop"
"AKH-8","","en","Cast Out","","1","21e3e8c5-2c6c-4c54-866d-91a795b558e5","plst","The List"
"DTK-140","","en","Impact Tremors","","1","acabeb7d-6f8f-4750-a29d-e0dd4e781c52","plst","The List"
"E02-3","","en","Path to Exile","","1","f37b9440-64fb-4467-9840-92610f19ccd7","plst","The List"
"RAV-150","","en","Warp World","","1","1e1a5e62-9170-4117-ae38-761293b11de4","plst","The List"
"AKH-24","","en","Regal Caracal","","1","4588351e-bbc6-4866-b7b3-6491b8131f02","plst","The List"
"C17-53","","en","Herald's Horn","","1","d6fa81d5-2ae1-433a-812b-9cf8ecb89a09","plst","The List"
"C17-56","","en","Path of Ancestry","","1","cbd35684-4ce2-45e7-9858-4d2a9efe2e54","plst","The List"
"AKH-247","","en","Scattered Groves","","1","7d54be3b-319f-48e4-afd5-a2ab4522a73f","plst","The List"
"CON-142","","en","Exotic Orchard","","1","a7b4b602-ea21-4798-af07-3a713aafee41","plst","The List"
"AKH-248","","en","Sheltered Thicket","","1","f473eb12-bae3-445a-aa68-0e609aca38ba","plst","The List"
"C17-31","","en","Hungry Lynx","","1","9f067c0a-a9f1-4afd-b2b5-da07b2650f32","plst","The List"
"ELD-172","","en","Return of the Wildspeaker","","1","6d0aa2f7-3259-480f-a74a-7d31fc4cbe31","plst","The List"
"MOR-109","","en","Taurean Mauler","","1","7a176d6c-914c-46ba-ba1b-5c916f3832a1","plst","The List"
"AKH-233","","en","Oketra's Monument","","1","01bdc760-a5c9-45a9-9d83-dd3780f8ed6f","plst","The List"
"XLN-251","","en","Vanquisher's Banner","","1","a5b7aaea-c0d4-475c-818a-6cff35538a86","plst","The List"
"BRO-30","","en","Tocasia's Welcome","","1","2743b855-4db0-4334-a68b-496f2285de31","plst","The List"
"C17-1","","en","Alms Collector","","1","26839137-ce40-46af-b785-53da21b3020f","plst","The List"
"M21-242","","en","Animal Sanctuary","","1","902f2a7a-566e-4388-a280-4f68e5f6c1d5","plst","The List"
"MIC-157","","en","Arcane Signet","","1","f4cf38b4-941a-4eee-95e0-105b3eb7e506","plst","The List"
"2XM-233","","en","Basilisk Collar","","1","bc2935fa-e271-4c7b-aac3-15cb159e143c","plst","The List"
"ZEN-159","","en","Beastmaster Ascension","","1","0d14de0d-0caa-41a1-92e2-20b86b1cdb06","plst","The List"
"KHM-235","","en","Bloodline Pretender","","1","6d4af123-eb59-487a-bc25-f2e7019e72d1","plst","The List"
"BNG-5","","en","Brimaz, King of Oreskos","","1","c38475d3-b398-40da-99c3-37c7edf152aa","plst","The List"
"BFZ-234","","en","Canopy Vista","","1","3cd951ad-9b99-4b55-9adf-c3f24a86e79c","plst","The List"
"BFZ-235","","en","Cinder Glade","","1","f31a6668-4a2e-4f31-81f3-52bf487a7b04","plst","The List"
"DOM-239","","en","Clifftop Retreat","","1","90612cf2-51d6-4a37-93e5-8446c18bb72b","plst","The List"
"MIC-170","","en","Command Tower","","1","55c9f778-6c0b-4cbe-a4c8-d7943aaa2895","plst","The List"
"LRW-11","","en","Crib Swap","","1","9780fd8f-489e-4978-ba98-92732b88e826","plst","The List"
"NCC-285","","en","Cultivate","","1","782ec69b-89c5-484e-a5ce-9cbea75dcc3e","plst","The List"
"C21-50","","en","Cursed Mirror","","1","7bfeb9a2-c741-4ac7-935f-cdbea3f2609a","plst","The List"
"CLB-691","","en","Dusk // Dawn","","1","5c35dfea-0061-4b5c-95b2-cc9e6b2240e0","plst","The List"
"NCC-290","","en","Farseek","","1","34800c89-a964-4db3-be7c-11b607a5f6c9","plst","The List"
"ZNR-16","","en","Felidar Retreat","","1","58fe41c4-7c8a-4e96-8ec1-549d64375607","plst","The List"
"M21-180","","en","Feline Sovereign","","1","c4aabecd-f042-46c1-a621-3286fa4e0715","plst","The List"
"PLS-108","","en","Fleetfoot Panther","","1","16132610-76a5-45be-8217-11df9ffa30c7","plst","The List"
"NCC-404","","en","Fortified Village","","1","4e958092-060a-4a0e-9a05-79ea74ef23bb","plst","The List"
"NCC-405","","en","Game Trail","","1","78c6c6a0-6730-48fc-9a80-88dfaf2e27a4","plst","The List"
"NEO-189","","en","Greater Tanuki","","1","12179355-93db-41c1-9e3c-d2ad2491a6d3","plst","The List"
"GN2-1","","en","Highcliff Felidar","","1","a914df4d-1e50-4f3b-8e30-c4d599d07305","plst","The List"
"DMC-102","","en","Jazal Goldmane","","1","bea40972-d29b-47f7-9955-e31f9ee54735","plst","The List"
"SNC-250","","en","Jetmir's Garden","","1","3f8f6f02-ca8e-457c-be21-26da4c812588","plst","The List"
"E02-46","","en","Jungle Shrine","","1","7740b91f-95b9-4a13-93ee-f08878bad16f","plst","The List"
"ELD-163","","en","Keeper of Fables","","1","80e652f5-696e-43d9-bb10-100700dffc09","plst","The List"
"MH1-16","","en","King of the Pride","","1","5ed191a4-5310-482a-86bd-9b9f6a8a2564","plst","The List"
"NCC-4","","en","Kitt Kanto, Mayhem Diva","","1","82862454-5edc-421c-9078-bee0337fa827","plst","The List"
"NEC-21","","en","Komainu Battle Armor","","1","5f21d1d1-9500-48c6-bf26-3bcd0c2c732e","plst","The List"
"ZNC-134","","en","Krosan Verge","","1","95f96865-2dac-4011-9b3e-e2e7d962a9c5","plst","The List"
"NEO-26","","en","Lion Sash","","1","ac406a70-f0d1-413d-86dd-060523cc80c4","plst","The List"
"AFR-23","","en","Loyal Warhound","","1","f280bd2a-4506-4dfa-96d6-f97846c57abe","plst","The List"
"M10-190","","en","Lurking Predators","","1","1144698b-502e-4814-9d74-d16ae6a0f0c5","plst","The List"
"C19-46","","en","Marisi, Breaker of the Coil","","1","345f0b32-d897-48ae-9a17-a5927301d18b","plst","The List"
"KHM-184","","en","Masked Vandal","","1","d6f47fe1-36c6-4af9-a9eb-f2919e8e3446","plst","The List"
"KHM-240","","en","Maskwood Nexus","","1","9e1aef13-3a5d-4a83-8851-e667a4cb5a67","plst","The List"
"LRW-31","","en","Mirror Entity","","1","f4b75286-9ccf-43b4-b212-49439079c927","plst","The List"
"FUT-147","","en","Nacatl War-Pride","","1","d8d1d52f-2551-4f2e-a752-4332dc5ff1db","plst","The List"
"DMR-170","","en","Nature's Lore","","1","cbea76e1-7d51-4868-a7a4-74b4933c7c5b","plst","The List"
"C21-98","","en","Oreskos Explorer","","1","541a205a-7f44-43e4-b72a-2d1f2bdb2057","plst","The List"
"M21-29","","en","Pack Leader","","1","32fb6113-fa0e-4163-8dfe-7a1713c74210","plst","The List"
"NCC-9","","en","Phabine, Boss's Confidant","","1","b04ddd08-b1eb-4100-b0a2-62bee5d89c20","plst","The List"
"C17-33","","en","Qasali Slingers","","1","aad24af7-119d-42fd-9246-e559336fb63d","plst","The List"
"KHM-188","","en","Realmwalker","","1","903ba152-4ece-4fb7-bbd2-2bead3699faf","plst","The List"
"M10-227","","en","Rootbound Crag","","1","0475a52a-c78d-41ee-9db2-420e7f3643d8","plst","The List"
"FUT-31","","en","Seht's Tiger","","1","5070b50e-3ca5-4ec0-9b32-df82371d4e07","plst","The List"
"KHM-229","","en","Showdown of the Skalds","","1","c749caaa-93d0-4fbb-9297-0b831f606418","plst","The List"
"C20-251","","en","Skullclamp","","1","29c8c5a0-3487-4afe-ac98-fdea631fe4ce","plst","The List"
"ONC-21","","en","Skyhunter Strike Force","","1","d77b0ae2-e26a-4536-8f19-ed15328c039c","plst","The List"
"NEO-38","","en","Spirited Companion","","1","fbfbcd67-914c-44df-8476-b7f16bc2bd53","plst","The List"
