collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Neyali, Suns' Vanguard","","1","2b5df03d-2463-468b-b444-d946eeb1c96d","onc","Phyrexia: All Will Be One Commander"
"272","","en","Plains","","11","db14da86-6721-4e22-9b61-4a5680d4e5a3","one","Phyrexia: All Will Be One"
"275","","en","Mountain","","11","cd95f833-27ce-447c-b505-02137daaba4c","one","Phyrexia: All Will Be One"
"15","","en","Roar of Resistance","","1","f5eb9570-6203-4a03-9a3e-e5c679df5903","onc","Phyrexia: All Will Be One Commander"
"5","","en","Clever Concealment","","1","5d84cc58-0965-4c7f-a408-7630f23fb8f3","onc","Phyrexia: All Will Be One Commander"
"7","","en","Kemba's Banner","","1","5e50c148-9f30-4131-8ec1-85e9ba8cafbb","onc","Phyrexia: All Will Be One Commander"
"10","","en","Staff of the Storyteller","","1","ab1d1461-1625-4163-aacd-a939f4871fad","onc","Phyrexia: All Will Be One Commander"
"14","","en","Hexplate Wallbreaker","","1","f75e6145-79a4-4400-8e0a-c334e4a780fb","onc","Phyrexia: All Will Be One Commander"
"6","","en","Glimmer Lens","","1","c9262000-e6f3-4da1-ad1c-038f65d3bef6","onc","Phyrexia: All Will Be One Commander"
"16","","en","Vulshok Factory","","1","b1c40dd7-6839-49ae-9901-443fd5748877","onc","Phyrexia: All Will Be One Commander"
"13","","en","Goldwardens' Gambit","","1","0cb7f413-f9b9-4b1c-898a-c49c571613f0","onc","Phyrexia: All Will Be One Commander"
"64","","en","Elspeth Tirel","","1","59dedcb3-6c03-4484-a493-e6f808a33ead","onc","Phyrexia: All Will Be One Commander"
"62","","en","Court of Grace","","1","e4e3e867-95e7-47bc-95c4-77c686ddf82a","onc","Phyrexia: All Will Be One Commander"
"59","","en","Battle Screech","","1","8577272c-d493-48c3-9a3e-5a6e896da71e","onc","Phyrexia: All Will Be One Commander"
"65","","en","Emeria Angel","","1","b2c4b875-b4fd-4a5d-bdcc-3e02ffcc46de","onc","Phyrexia: All Will Be One Commander"
"70","","en","Generous Gift","","1","ac9f5e80-2034-407b-a9ac-1c9d5880799d","onc","Phyrexia: All Will Be One Commander"
