collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Mirko, Obsessive Theorist","","1","690acbbf-5e92-4323-b939-31bdb07f9905","mkc","Murders at Karlov Manor Commander"
"279","","en","Island","","9","6908b583-4a52-4819-82a3-9db9c860aeb6","mkm","Murders at Karlov Manor"
"281","","en","Swamp","","9","70d0ef58-c0b3-4bcd-b470-0cf41219a4e6","mkm","Murders at Karlov Manor"
"22","","en","Final-Word Phantom","","1","7a51d392-58dc-483e-81f7-2d51e64e54ff","mkc","Murders at Karlov Manor Commander"
"19","","en","Case of the Shifting Visage","","1","65463a1b-39c1-4fc8-8de2-85224de810ac","mkc","Murders at Karlov Manor Commander"
"26","","en","Charnel Serenade","","1","05a2477e-a9a2-49fb-86e6-53d3e153a965","mkc","Murders at Karlov Manor Commander"
"28","","en","Foreboding Steamboat","","1","cbd9a0cb-e1ea-446e-aa57-4305d4b3b92e","mkc","Murders at Karlov Manor Commander"
"41","","en","Counterpoint","","1","b74caf65-1e6c-444e-9121-906ba7e8ea20","mkc","Murders at Karlov Manor Commander"
"27","","en","Eye of Duskmantle","","1","905fa4ed-e496-43d8-9c4a-38e85d9b7651","mkc","Murders at Karlov Manor Commander"
"29","","en","Unshakable Tail","","1","053183e7-b505-49d2-b614-b704e984cb1a","mkc","Murders at Karlov Manor Commander"
"25","","en","Watcher of Hours","","1","d827fc3c-bc86-4ee9-9db9-461cb0276f6b","mkc","Murders at Karlov Manor Commander"
"48","","en","Ransom Note","","1","24a93c86-e0a5-4d94-8df3-f6ebf8b42892","mkc","Murders at Karlov Manor Commander"
"20","","en","Copy Catchers","","1","af6b5cec-49fa-4f8d-8493-4bb7f3e291e8","mkc","Murders at Karlov Manor Commander"
"300","","en","Tainted Isle","","1","867c8386-c317-4131-83d1-a8bdfb746380","mkc","Murders at Karlov Manor Commander"
"299","","en","Sunken Hollow","","1","d9352f50-1289-4fa9-a595-226dd6ca807c","mkc","Murders at Karlov Manor Commander"
"283","","en","River of Tears","","1","67b626cc-1c12-4059-afa5-e5a1221ea1ba","mkc","Murders at Karlov Manor Commander"
"280","","en","Port of Karfell","","1","c1377ca1-aa54-4fed-b289-45309eb2f6b6","mkc","Murders at Karlov Manor Commander"
"261","","en","Fetid Pools","","1","404fb2b0-cce9-4fe2-8008-2c9fb29e710d","mkc","Murders at Karlov Manor Commander"
"257","","en","Darkwater Catacombs","","1","c5c68f5e-b6ce-4832-9e76-2ceb54afe29a","mkc","Murders at Karlov Manor Commander"
"254","","en","Choked Estuary","","1","e9ad18b2-1061-4893-9171-07ffe142a762","mkc","Murders at Karlov Manor Commander"
"250","","en","Bojuka Bog","","1","73d9ec0e-9d88-454e-aa48-a861b2bb8b77","mkc","Murders at Karlov Manor Commander"
"242","","en","Talisman of Dominance","","1","f6c8e0b5-218e-41dd-8b09-2d4aaec2c979","mkc","Murders at Karlov Manor Commander"
"256","","en","Command Tower","","1","96c3244e-930f-498c-959e-0f000151597d","mkc","Murders at Karlov Manor Commander"
"282","","en","Reliquary Tower","","1","f5a1db89-d37f-4839-8ca4-598686c5d6de","mkc","Murders at Karlov Manor Commander"
"258","","en","Dimir Aqueduct","","1","6fbf38d3-4922-42ec-ae3a-bea2172c3258","mkc","Murders at Karlov Manor Commander"
"259","","en","Drownyard Temple","","1","a2ac347e-3dad-42a2-b57f-fd2c70373730","mkc","Murders at Karlov Manor Commander"
"237","","en","Sol Ring","","1","d9e098aa-a886-430e-8f11-78fb6f2d8ada","mkc","Murders at Karlov Manor Commander"
"223","","en","Arcane Signet","","1","e593bb16-e709-4d92-bf6f-239f6a11f7db","mkc","Murders at Karlov Manor Commander"
"248","","en","Ash Barrens","","1","46b99a84-3733-48bf-b743-522e5f94aca3","mkc","Murders at Karlov Manor Commander"
"226","","en","Dimir Signet","","1","343a0d98-56b3-4113-a287-e36f2a1652f1","mkc","Murders at Karlov Manor Commander"
"227","","en","Everflowing Chalice","","1","e89eca1c-19f5-4db0-9330-cecb87be8b55","mkc","Murders at Karlov Manor Commander"
"266","","en","Hostile Desert","","1","d71031c2-7379-4d83-b6d6-61f3104593c4","mkc","Murders at Karlov Manor Commander"
"232","","en","Mind Stone","","1","b227672f-967e-4f8d-87f4-c6cd4622fe3f","mkc","Murders at Karlov Manor Commander"
"276","","en","Myriad Landscape","","1","bf4797b0-4d0a-433f-b891-b14f96fd1484","mkc","Murders at Karlov Manor Commander"
"277","","en","Mystic Sanctuary","","1","67652446-6d12-4e2a-bb51-ba685f2e79d1","mkc","Murders at Karlov Manor Commander"
"284","","en","Rogue's Passage","","1","670d6a0d-d10b-4b0a-961a-a95dbf413fc5","mkc","Murders at Karlov Manor Commander"
"305","","en","Temple of the False God","","1","2d21d25e-830a-4d32-b292-c24cdab7516a","mkc","Murders at Karlov Manor Commander"
"245","","en","Thought Vessel","","1","67b26b45-19bf-4675-86c4-fae4f3aca234","mkc","Murders at Karlov Manor Commander"
"308","","en","Tocasia's Dig Site","","1","bbb5d40b-f0e1-4e98-b4d3-1ee2cfa5b579","mkc","Murders at Karlov Manor Commander"
"99","","en","Curate","","1","78cd258b-431e-42f7-a938-76ebc80d528d","mkc","Murders at Karlov Manor Commander"
"115","","en","Otherworldly Gaze","","1","2ed35631-2435-4873-a45f-c620e86a60dd","mkc","Murders at Karlov Manor Commander"
"127","","en","Dogged Detective","","1","57d1f729-0d7c-4122-9bca-f3b08cf6fe4f","mkc","Murders at Karlov Manor Commander"
"140","","en","Sinister Starfish","","1","5f75b7f4-249c-4b10-a06d-6b7654cccc46","mkc","Murders at Karlov Manor Commander"
"200","","en","Baleful Strix","","1","679c1ac6-a015-45ec-a634-e665e377672b","mkc","Murders at Karlov Manor Commander"
"216","","en","Master of Death","","1","73903784-06c9-48ec-9d4a-e78461903617","mkc","Murders at Karlov Manor Commander"
"132","","en","Overseer of the Damned","","1","0a1a06a4-af73-43e3-a2cd-3a2f0f9b18f0","mkc","Murders at Karlov Manor Commander"
"129","","en","Grave Titan","","1","13680953-cf05-4e38-a3cf-22900c02fab7","mkc","Murders at Karlov Manor Commander"
"133","","en","Phyrexian Arena","","1","26bfb2b4-8dc2-4632-a393-d3477f6c3c40","mkc","Murders at Karlov Manor Commander"
"142","","en","Toxic Deluge","","1","64d3d8ad-927f-4c4e-96cf-03e98bec3987","mkc","Murders at Karlov Manor Commander"
"125","","en","Animate Dead","","1","1489943b-c010-488e-9c9d-87f4af67a4e4","mkc","Murders at Karlov Manor Commander"
"138","","en","Rise of the Dark Realms","","1","ceb5df52-4e03-4629-b8d5-d440d9cc5175","mkc","Murders at Karlov Manor Commander"
"95","","en","Amphin Mutineer","","1","0f54f429-80c2-4f55-bb99-236f2c697985","mkc","Murders at Karlov Manor Commander"
"126","","en","Black Sun's Zenith","","1","e842b4bb-a1b7-440b-a0da-856fb0eea4c4","mkc","Murders at Karlov Manor Commander"
"96","","en","Brainstorm","","1","84479779-d570-4eee-9982-f6e918b4d75b","mkc","Murders at Karlov Manor Commander"
"203","","en","Connive // Concoct","","1","d7481287-fce9-4ef0-a3a8-7801c9eb3fa8","mkc","Murders at Karlov Manor Commander"
"98","","en","Consider","","1","edd144f2-ab2d-486f-bf0a-8860022b7c35","mkc","Murders at Karlov Manor Commander"
"100","","en","Deep Analysis","","1","42ea52a4-15fa-4243-ae27-cd293bd176e7","mkc","Murders at Karlov Manor Commander"
"206","","en","Dimir Spybug","","1","69840910-eb86-49a4-915f-d21b5628fc04","mkc","Murders at Karlov Manor Commander"
"207","","en","Discovery // Dispersal","","1","8df2658a-6174-411c-9217-aa5d15b9fef2","mkc","Murders at Karlov Manor Commander"
"208","","en","Disinformation Campaign","","1","d34ea8c4-03b1-415f-80e1-7c3cf6933685","mkc","Murders at Karlov Manor Commander"
"128","","en","Doom Whisperer","","1","e8aabcaf-0968-402f-bc9f-289756e4d4b7","mkc","Murders at Karlov Manor Commander"
"101","","en","Dream Eater","","1","2b7b2d1b-aefd-4199-ac82-548da3025e82","mkc","Murders at Karlov Manor Commander"
"102","","en","Enhanced Surveillance","","1","42e6f705-2af7-47c2-961a-cf4c02b29f21","mkc","Murders at Karlov Manor Commander"
"103","","en","Ephara's Dispersal","","1","b622aad1-4f57-472e-9bd8-9404da88d6be","mkc","Murders at Karlov Manor Commander"
"214","","en","Lazav, the Multifarious","","1","662758ee-f7c8-4cba-b67b-48ac80c3b5ca","mkc","Murders at Karlov Manor Commander"
