collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Éowyn, Shieldmaiden","","1","dd4a00ff-2206-4e12-a0ab-61ed82c9e6c5","ltc","Tales of Middle-earth Commander"
"284","","en","Sol Ring","","1","5805f64c-dd88-4e94-8f0a-a01dae67e3ba","ltc","Tales of Middle-earth Commander"
"219","","en","Prince Imrahil the Fair","","1","7d486def-7c3f-41e9-bb28-4582450a7b9e","ltr","The Lord of the Rings: Tales of Middle-earth"
"308","","en","Field of Ruin","","1","8d9d6a9d-18a3-4cc8-8276-29fb826ed1fa","ltc","Tales of Middle-earth Commander"
"306","","en","Evolving Wilds","","1","e24ec4c1-5a28-450d-8e37-62a154749ee6","ltc","Tales of Middle-earth Commander"
"161","","en","Banishing Light","","1","961b1464-928e-41b9-bc73-c47df94e0e8e","ltc","Tales of Middle-earth Commander"
"233","","en","Théoden, King of Rohan","","1","f6dcd1ca-4943-46e4-bb5d-c14949e21e23","ltr","The Lord of the Rings: Tales of Middle-earth"
"22","","en","Lost to Legend","","1","c4e40481-aeaa-4b3d-a020-e9b6d7c11992","ltr","The Lord of the Rings: Tales of Middle-earth"
"123","","en","Erkenbrand, Lord of Westfold","","1","38f81e68-cddd-47f4-b1d1-a297c3298c25","ltr","The Lord of the Rings: Tales of Middle-earth"
"14","","en","Grey Host Reinforcements","","1","7d72498c-7ac0-41f7-8f8a-47fda31d99e5","ltc","Tales of Middle-earth Commander"
"9","","en","Beregond of the Guard","","1","6aad41a6-e894-43f8-a4b5-abc206836306","ltc","Tales of Middle-earth Commander"
"10","","en","Champions of Minas Tirith","","1","34301efe-7085-476b-90e6-7ecd778b2970","ltc","Tales of Middle-earth Commander"
"49","","en","Boromir, Gondor's Hope","","1","3c9b154f-808f-4338-ad95-a0a478460ad8","ltc","Tales of Middle-earth Commander"
"32","","en","Gimli of the Glittering Caves","","1","5afc0319-9e17-4e81-a0b6-e76645bacb04","ltc","Tales of Middle-earth Commander"
"52","","en","Éomer, King of Rohan","","1","5f48930a-d7bd-410b-995a-4e2837aabb25","ltc","Tales of Middle-earth Commander"
