collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Henzie ""Toolbox"" Torre","","1","ee228dcc-3170-4c24-80bc-28bcee07cb43","ncc","New Capenna Commander"
"217","","en","Riveteers Charm","","1","784a5915-bc42-49d6-8a1b-45da7749f03a","snc","Streets of New Capenna"
"107","","en","Glittering Stockpile","","1","973685e8-3df1-436b-b5c2-01573a92b61e","snc","Streets of New Capenna"
"255","","en","Riveteers Overlook","","1","1d161f81-c01a-4c91-b025-52dcb1881638","snc","Streets of New Capenna"
"39","","en","Protection Racket","","1","7723cf0b-de49-44f6-a52e-6e339a080457","ncc","New Capenna Commander"
"33","","en","Bellowing Mauler","","1","d885b5af-f77f-481c-be6c-bfc1980638c4","ncc","New Capenna Commander"
"41","","en","Wave of Rats","","1","154dc126-67ca-4759-a424-37f0eb52e1fa","ncc","New Capenna Commander"
"49","","en","Mezzio Mugger","","1","768e84a3-41b9-4f54-ae29-e5c7ae109e9a","ncc","New Capenna Commander"
"50","","en","Rain of Riches","","1","1c5241c1-ffe9-4490-b4df-7e91c372c27c","ncc","New Capenna Commander"
"47","","en","Industrial Advancement","","1","81f1416c-48bd-4168-aacd-a9b0a3afb8bc","ncc","New Capenna Commander"
"60","","en","First Responder","","1","3688a806-9bff-4106-a14e-81d00bc6c87c","ncc","New Capenna Commander"
"62","","en","Next of Kin","","1","51a4414b-3cab-463f-a2b5-e49104f251da","ncc","New Capenna Commander"
"318","","en","Treeshaker Chimera","","1","5f73b249-be19-4a51-8759-648a2f122e6d","ncc","New Capenna Commander"
"72","","en","Grime Gorger","","1","f22f9db1-1cc6-4fad-8e5f-fdb1e6872402","ncc","New Capenna Commander"
"264","","en","Blasphemous Act","","1","0b98a8ac-9255-416d-b86a-46621c4bea4f","ncc","New Capenna Commander"
"73","","en","Jolene, the Plunder Queen","","1","61c217d9-21d5-45ef-938a-138192a901f4","ncc","New Capenna Commander"
"79","","en","Riveteers Confluence","","1","eb15ba71-c3b3-4a9f-b000-bd788514211c","ncc","New Capenna Commander"
"54","","en","Turf War","","1","5e7fecbd-66f6-44b7-8fe4-b9b5bfce3e2c","ncc","New Capenna Commander"
"266","","en","Chaos Warp","","1","85ad8ccf-ff98-4184-905f-81b573608a66","ncc","New Capenna Commander"
"302","","en","Mitotic Slime","","1","8aacf055-e36f-4428-8a3c-f73fa4b4307c","ncc","New Capenna Commander"
"85","","en","Weathered Sentinels","","1","ead6a871-43e1-4ebb-a685-e6fdc39aa5cc","ncc","New Capenna Commander"
"261","","en","Victimize","","1","22000809-20ff-4620-82e9-ddc4299f6e95","ncc","New Capenna Commander"
"336","","en","Deathreap Ritual","","1","10a8b65c-d7b3-48b9-9400-158a60310367","ncc","New Capenna Commander"
"288","","en","Evolutionary Leap","","1","4d007d3c-3356-4394-9bcd-2b2c1031c20b","ncc","New Capenna Commander"
"360","","en","Arcane Signet","","1","f3ee9829-f4c0-44a0-8252-4097402e2f8d","ncc","New Capenna Commander"
"379","","en","Sol Ring","","1","e1187999-521d-4ed0-8673-6eb8f3c58bb8","ncc","New Capenna Commander"
"395","","en","Command Tower","","1","43a32bdf-c430-46a0-9d23-8b8e8468391b","ncc","New Capenna Commander"
"400","","en","Exotic Orchard","","1","7ebb6c13-e495-4953-a036-b99426e507ef","ncc","New Capenna Commander"
"403","","en","Foreboding Ruins","","1","39fe4a43-22a9-4c05-8c57-bca3a61e935e","ncc","New Capenna Commander"
"290","","en","Farseek","","1","2745f337-6b03-4001-9e24-e91d8ffd0b59","ncc","New Capenna Commander"
"277","","en","Warstorm Surge","","1","afd0838e-5056-4c19-810c-86a87f5c5389","ncc","New Capenna Commander"
"380","","en","Solemn Simulacrum","","1","9ee7eb71-5399-4ef6-b80f-be79eb307ca6","ncc","New Capenna Commander"
"315","","en","Temur Sabertooth","","1","c3a5a175-e963-42cc-a0ba-d8914bb93c00","ncc","New Capenna Commander"
