collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"8","foil","en","Jirina Kudro","","1","6e660d42-f5d3-452a-9662-74e18a1ae9e4","c20","Commander 2020"
"129","","en","Ambition's Cost","","1","4cd601fb-7c8d-4975-a11d-9ec67841646a","c20","Commander 2020"
"200","","en","Adriana, Captain of the Guard","","1","d29569dd-6d79-412d-bc14-674cd1705260","c20","Commander 2020"
"143","","en","Alesha, Who Smiles at Death","","1","0088e145-d402-42bb-98b5-af33901de44a","c20","Commander 2020"
"237","","en","Arcane Signet","","1","1486170d-4ad3-4318-bf72-f948617d567f","c20","Commander 2020"
"77","","en","Banisher Priest","","1","85d2ecc7-4a49-48f1-9036-6c3f0f0296c3","c20","Commander 2020"
"259","","en","Bojuka Bog","","1","01769b12-4841-4a1a-a089-e061442203ed","c20","Commander 2020"
"67","","en","Bonder's Ornament","","1","5afe425c-50a7-4d29-ac14-0edb094fc770","c20","Commander 2020"
"257","","en","Battlefield Forge","","1","eb139e09-4e88-498a-908e-d16b5ddf1320","c20","Commander 2020"
"260","","en","Boros Garrison","","1","7fbc73e9-a17f-475c-8a23-f9673e1930ae","c20","Commander 2020"
"78","","en","Bounty Agent","","1","1542ad81-169e-4ac8-bd85-038494489594","c20","Commander 2020"
"239","","en","Boros Signet","","1","c6b1edb0-47ee-4679-93e8-0a06138f9c5e","c20","Commander 2020"
"144","","en","Captivating Crew","","1","4f0ba1fb-30b1-413e-9b7c-790055e2d911","c20","Commander 2020"
"81","","en","Cavalry Pegasus","","1","c552cb9e-41f2-4006-8ff4-5e214b91652e","c20","Commander 2020"
"23","","en","Call the Coppercoats","","1","e11cb353-d864-4b22-bdaf-1d42c25f0918","c20","Commander 2020"
"240","","en","Commander's Sphere","","1","89c29c9c-9d4b-4809-9a95-796adfbce22a","c20","Commander 2020"
"82","","en","Citywide Bust","","1","33d1a51a-abf0-458c-98ae-98fcf4063fd9","c20","Commander 2020"
"264","","en","Command Tower","","1","37691c08-7763-42bd-b882-3cb0624a2098","c20","Commander 2020"
"83","","en","Cleansing Nova","","1","9b576ac4-a4b4-4d2c-820c-cf9fcc0c57c0","c20","Commander 2020"
"205","","en","Crackling Doom","","1","665ef5e0-e4c5-45e8-860d-6dded23a45a8","c20","Commander 2020"
"87","","en","Devout Chaplain","","1","4be0f70c-6bee-4208-8111-735b2fa31b4d","c20","Commander 2020"
"132","","en","Disciple of Bolas","","1","48c9f786-c84e-4275-8077-c12d3092304d","c20","Commander 2020"
"84","","en","Dearly Departed","","1","70af02f5-f16d-47d6-ad99-4717750a96c7","c20","Commander 2020"
"273","","en","Exotic Orchard","","1","f623a2c3-ebe5-4f43-8b87-59b4d6991ff0","c20","Commander 2020"
"26","","en","Flawless Maneuver","","1","c972abe6-c732-4745-bde4-8b51698f05be","c20","Commander 2020"
"51","","en","Fireflux Squad","","1","4bcff20b-06f7-4228-a99c-6ff46e73e353","c20","Commander 2020"
"89","","en","Frontline Medic","","1","984f0514-e9a9-4f22-9f7d-96fd62338db2","c20","Commander 2020"
"152","","en","Fumiko the Lowblood","","1","d3ee3011-3d17-435d-a483-79b0419b589b","c20","Commander 2020"
"213","","en","Garna, the Bloodflame","","1","6fefe4d2-262d-4a45-8a75-c168a9846cfc","c20","Commander 2020"
"52","","en","Frontier Warmonger","","1","233e1a27-c8d6-46de-a128-89791e7f2e9b","c20","Commander 2020"
"242","","en","Heirloom Blade","","1","6bbf8881-0e23-4745-95cd-cec18084e4b1","c20","Commander 2020"
"93","","en","Knight of the White Orchid","","1","b548e817-912b-4922-8b73-f1009aeb2ab8","c20","Commander 2020"
"91","","en","Increasing Devotion","","1","0c786c28-1085-4b3e-9164-5fa3adfa5010","c20","Commander 2020"
"154","","en","Humble Defector","","1","4248ee86-a269-4ffc-9050-e9a51612ba75","c20","Commander 2020"
"28","","en","Martial Impetus","","1","25656d3d-dc5a-4085-8461-cab11b96e70a","c20","Commander 2020"
"156","","en","Magus of the Wheel","","1","42fda8b4-17d6-4a34-9108-b4b4a9ad9378","c20","Commander 2020"
"292","","en","Myriad Landscape","","1","42bb5732-5c17-447f-9fcd-dc12136fa145","c20","Commander 2020"
"94","","en","Magus of the Disk","","1","70cdad7a-f041-4bbe-87ed-876ac6d0c31b","c20","Commander 2020"
"223","","en","Nahiri, the Harbinger","","1","ddbecd25-250e-4a49-b007-698b36551254","c20","Commander 2020"
"54","","en","Molten Echoes","","1","8ca1dbc4-2177-477e-88e2-d07cefb542e4","c20","Commander 2020"
"134","","en","Painful Truths","","1","bb641fee-e929-4980-adf8-0d451a860b76","c20","Commander 2020"
"294","","en","Nomad Outpost","","1","f32ff85d-0a5d-4bab-adc3-27a140ebef1d","c20","Commander 2020"
"157","","en","Outpost Siege","","1","ad63f120-f6d0-4394-b12a-f3e1cf728a2f","c20","Commander 2020"
"297","","en","Orzhov Basilica","","1","a732e2cc-325f-429b-a933-fc4cbcc395c9","c20","Commander 2020"
"247","","en","Orzhov Signet","","1","9b5a2cd7-5b31-44e5-bbde-2feac5fb161c","c20","Commander 2020"
"96","","en","Odric, Master Tactician","","1","00111afb-26fe-487b-8d12-087cd8a8fe86","c20","Commander 2020"
"300","","en","Rakdos Carnarium","","1","719ceec2-bc20-49b7-9e87-6af1a7992b5a","c20","Commander 2020"
"249","","en","Rakdos Signet","","1","62d34fba-bc41-4903-9505-0c1a78b5eb03","c20","Commander 2020"
"46","","en","Parasitic Impetus","","1","b51e0d11-e970-4535-87ac-49ae8ad594df","c20","Commander 2020"
"298","","en","Path of Ancestry","","1","d2731103-47ef-41d3-bf5f-5773b60c7948","c20","Commander 2020"
"98","","en","Riders of Gavony","","1","496e810a-692e-4895-a439-08bbe155adeb","c20","Commander 2020"
"69","","en","Sanctuary Blade","","1","c9cf2480-10cd-4200-a47e-cc7f49182692","c20","Commander 2020"
"309","","en","Shadowblood Ridge","","1","093fd241-d251-41a0-8363-0b4238a9bbea","c20","Commander 2020"
"251","","en","Skullclamp","","1","8854e9a7-a799-47d0-8662-95aa527d3210","c20","Commander 2020"
"158","","en","Shared Animosity","","1","bb7a56c4-5f20-4fd0-8f95-44061dec1df8","c20","Commander 2020"
"55","","en","Shiny Impetus","","1","0aa80931-0501-4712-a11b-563a3cd1e1c9","c20","Commander 2020"
"314","","en","Smoldering Marsh","","1","a31c6923-8b25-4e5b-ad98-ce8f644c0a29","c20","Commander 2020"
"252","","en","Sol Ring","","1","286bea73-8ad8-4423-8a7c-8497420fdb54","c20","Commander 2020"
"47","","en","Species Specialist","","1","bb2cbf12-7f35-4162-b1a0-89a1632728c7","c20","Commander 2020"
"316","","en","Spinerock Knoll","","1","8d275f23-f6e6-4db8-ab98-de0519aa9772","c20","Commander 2020"
"319","","en","Temple of the False God","","1","b69cc893-4e71-4724-8df3-fcc0a037e399","c20","Commander 2020"
"103","","en","Thalia's Lieutenant","","1","9c2000ef-3e6b-4f44-8bd6-ed8119336d5a","c20","Commander 2020"
"231","","en","Terminate","","1","1a2ba191-f11c-47d3-8459-34b0e0e56fd9","c20","Commander 2020"
"104","","en","Thraben Doomsayer","","1","0e0fa5ab-c4d1-4b2d-ad62-feb651e4b11c","c20","Commander 2020"
"320","","en","Unclaimed Territory","","1","b96a5b3a-ee54-4864-a84c-385a97b8cb7b","c20","Commander 2020"
"48","","en","Titan Hunter","","1","eb564473-7416-4cf7-971a-e6dc5eb10445","c20","Commander 2020"
