collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","Dr. Madison Li","","1","95af426d-a8af-4314-9ad0-ac61935e8e8e","pip","Fallout"
"137","","en","Nuka-Cola Vending Machine","","1","405df7c7-0e37-499e-9826-6bf9f5db7a40","pip","Fallout"
"117","","en","Rex, Cyber-Hound","","1","dae95822-d4a9-4698-bd11-c504414fc160","pip","Fallout"
"259","","en","Command Tower","","1","952cb8cb-633c-468f-8ef5-54ff91ddfb22","pip","Fallout"
"134","","en","Intelligence Bobblehead","","1","e6546c0d-6be2-4ced-9d7c-4269df8dea76","pip","Fallout"
"18","","en","Overencumbered","","1","47058eaa-348d-4bbb-8df5-b931eba067f3","pip","Fallout"
"145","","en","T-45 Power Armor","","1","203b1cb3-5eae-469a-8a5a-2e56dc859f78","pip","Fallout"
"148","","en","Ferrous Lake","","1","0406ff96-419b-44bc-b836-a39eaa55ae78","pip","Fallout"
"35","","en","Nick Valentine, Private Eye","","1","0a7c9553-d4a8-4d51-8e8a-8a0ffbdf1715","pip","Fallout"
"224","","en","Arcane Signet","","1","8bafeaa8-5e77-4303-b30a-23fd137b7c35","pip","Fallout"
"178","","en","Mechanized Production","","1","40dca7cb-4724-48d6-a0e0-2cbb5a7fa4f7","pip","Fallout"
"123","","en","Vault 112: Sadistic Simulation","","1","0a0acee2-f6dc-4e92-937b-01e2c07adc55","pip","Fallout"
"239","","en","Sol Ring","","1","e675f7e2-5c9f-4912-8fdd-daaeda284a3d","pip","Fallout"
"253","","en","Ash Barrens","","1","78a90148-5ed9-42db-a64f-4735676d82e3","pip","Fallout"
"263","","en","Evolving Wilds","","1","912837ca-054a-49a8-a5c5-5e65631b0575","pip","Fallout"
"168","","en","Open the Vaults","","1","8cd2e9d0-3691-40a4-a0e8-42ca29bfcc10","pip","Fallout"
"279","","en","Path of Ancestry","","1","ff6415d9-14fb-4a58-aa86-bf2063037684","pip","Fallout"
"240","","en","Solemn Simulacrum","","1","cc91d8b8-ed18-45bf-a9e0-2f6afe6dd23c","pip","Fallout"
"313","","en","Terramorphic Expanse","","1","548805de-3e2e-4f1f-aafc-d89fddf8288a","pip","Fallout"
"258","","en","Clifftop Retreat","","1","e6454d4c-5820-4cb8-b625-3d9a09778513","pip","Fallout"
"264","","en","Exotic Orchard","","1","75f07a84-2788-4f5b-bd76-701bab10f01b","pip","Fallout"
"254","","en","Buried Ruin","","1","8b3ebfce-47cd-4ebe-bfeb-2cb22a1bd9ec","pip","Fallout"
"274","","en","Myriad Landscape","","1","4afe6542-9f4b-4afa-8568-272916125b4a","pip","Fallout"
"40","","en","Synth Infiltrator","","1","3fe16bc4-8457-4c5f-902a-0746112e80a4","pip","Fallout"
"243","","en","Talisman of Conviction","","1","dec517e7-bc4d-4986-ba3c-89866a29991d","pip","Fallout"
"34","","en","Nerd Rage","","1","e9857669-5fad-458a-8eda-c1790298add7","pip","Fallout"
"10","","en","Automated Assembly Line","","1","fe9e2a76-1324-4b8e-b23c-10c04aca1870","pip","Fallout"
"13","","en","Brotherhood Scribe","","1","b751250e-ebf2-42b1-9a45-779b39974ba7","pip","Fallout"
"54","","en","Assaultron Dominator","","1","4112fadb-da03-441a-beeb-1dc90425e3f3","pip","Fallout"
"31","","en","James, Wandering Dad // Follow Him","","1","31fed516-04e1-4453-b955-dfbd32bab2f3","pip","Fallout"
"30","","en","Curie, Emergent Intelligence","","1","54870f19-96f3-4cde-ae44-a9c5bbb0dbc1","pip","Fallout"
"22","","en","The Prydwen, Steel Flagship","","1","9c0a8eda-bfeb-4fd9-9e41-12fce02883d8","pip","Fallout"
"92","","en","Arcade Gannon","","1","36356522-15fc-41e2-bf14-a745e5a96a50","pip","Fallout"
"64","","en","Plasma Caster","","1","c1654256-25ea-4467-812d-25f32fe65cdd","pip","Fallout"
"38","","en","Robobrain War Mind","","1","19c0791d-f0c5-4673-a0c5-40540c1e6d8c","pip","Fallout"
"24","","en","Sentry Bot","","1","b16b0143-3511-4f79-bdb1-1ff7af55f051","pip","Fallout"
"67","","en","Synth Eradicator","","1","87fc7b54-26e5-4b0d-b2bb-be8f977f752b","pip","Fallout"
"119","","en","Shaun, Father of Synths","","1","68af449f-3c30-43ea-be60-d85061d7adbd","pip","Fallout"
"62","","en","The Motherlode, Excavator","","1","3b9df394-522c-4458-bc36-cf24ad763718","pip","Fallout"
"55","","en","Bottle-Cap Blast","","1","8bdceec0-0950-4d52-86fc-d0f04e8487ce","pip","Fallout"
"116","","en","Red Death, Shipwrecker","","1","edf616fa-b9a0-4f7a-b7ee-32ce3a08d466","pip","Fallout"
"20","","en","Paladin Danse, Steel Maverick","","1","f0e7ee3a-18f1-4771-86d6-db1e0b2aa542","pip","Fallout"
"127","","en","Behemoth of Vault 0","","1","592d6e5b-a94e-460c-ab2f-21fd842c3d9a","pip","Fallout"
"104","","en","Electrosiphon","","1","8377fce8-edc8-4926-bf75-57162ff6df9f","pip","Fallout"
"118","","en","Sentinel Sarah Lyons","","1","23b76965-528c-48f9-9ee6-332b09cae664","pip","Fallout"
"103","","en","Elder Owyn Lyons","","1","d923c845-59e0-403e-b57b-955fec528f1e","pip","Fallout"
"26","","en","Vault 13: Dweller's Journey","","1","a22ad436-215a-4da1-b12e-1faac474f948","pip","Fallout"
"149","","en","HELIOS One","","1","4102d28e-437b-440b-bf9b-8b4f6fb85a6c","pip","Fallout"
"133","","en","Expert-Level Safe","","1","499f4bdc-8b6a-4e87-92fd-8368537a6ced","pip","Fallout"
"128","","en","Brotherhood Vertibird","","1","c207c76d-5f10-4fd9-9826-cf0611bfa2d0","pip","Fallout"
"129","","en","C.A.M.P.","","1","034d4543-2c53-4cda-acfd-7f26b8dd17fb","pip","Fallout"
"132","","en","Endurance Bobblehead","","1","8768789b-c414-4e35-bff3-d06a69dccff6","pip","Fallout"
"190","","en","Loyal Apprentice","","1","f5cd0e82-d2aa-4614-93a2-b84828866742","pip","Fallout"
"233","","en","Lightning Greaves","","1","8ec824ef-fd09-4f7e-a350-ac80005c261f","pip","Fallout"
"266","","en","Glacial Fortress","","1","9f303a30-e3d9-4b31-aa67-608a627fc6ff","pip","Fallout"
"176","","en","Glimmer of Genius","","1","49d84305-2143-470a-bf1f-12fb6d4d63b9","pip","Fallout"
"156","","en","Austere Command","","1","5215c18d-90cd-45df-ac14-99909c97c69e","pip","Fallout"
"158","","en","Crush Contraband","","1","e0941279-8695-4b71-b27a-5477a1858525","pip","Fallout"
"285","","en","Rustvale Bridge","","1","45dd5b22-c7f8-4c00-a27b-437da0136177","pip","Fallout"
"290","","en","Silverbluff Bridge","","1","820485ab-0a31-4278-9316-ec5b909f4d11","pip","Fallout"
"291","","en","Skycloud Expanse","","1","53b8f769-57c8-45e7-b451-7b4fe7e80bf8","pip","Fallout"
"293","","en","Spire of Industry","","1","cdda2ce8-23d1-4814-8e81-d6cf40f75a13","pip","Fallout"
"241","","en","Steel Overseer","","1","ca078f45-b4eb-4b5b-87cb-80b6c0ba5f31","pip","Fallout"
"294","","en","Sulfur Falls","","1","c6821409-3793-4a7c-962b-7d501fa50fe5","pip","Fallout"
"173","","en","Swords to Plowshares","","1","ed55827d-1d72-4884-8a4f-fe7acbedab2c","pip","Fallout"
"244","","en","Talisman of Creativity","","1","89d318b7-5c82-40a7-a63e-d8e72938624f","pip","Fallout"
"249","","en","Talisman of Progress","","1","3290b095-7f4f-452d-b54d-b4290d182c8d","pip","Fallout"
"304","","en","Temple of Enlightenment","","1","658fec13-a62d-4701-ad8b-9cb08d960253","pip","Fallout"
