collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Dogmeat, Ever Loyal","","1","86b45e3e-8460-4678-87d1-d74479936c83","pip","Fallout"
"28","","en","Vault 101: Birthday Party","","1","fc513659-ea88-4d04-82bd-5bb2e740d957","pip","Fallout"
"17","","en","Idolized","","1","687133cb-3754-475c-9e21-b6a33aa58bb0","pip","Fallout"
"259","","en","Command Tower","","1","952cb8cb-633c-468f-8ef5-54ff91ddfb22","pip","Fallout"
"90","","en","Almost Perfect","","1","564a9bff-969f-49c1-be02-40cb45858f19","pip","Fallout"
"8","","en","Preston Garvey, Minuteman","","1","22b60168-1e7b-4c80-bb93-6841c1e961bb","pip","Fallout"
"15","","en","Commander Sofia Daguerre","","1","712697a4-69b4-4237-9340-96f0e5a32229","pip","Fallout"
"120","","en","Three Dog, Galaxy News DJ","","1","ab34e869-be7a-4632-95b3-5f200b4edcca","pip","Fallout"
"139","","en","Perception Bobblehead","","1","e2a8c89c-2cd1-4f68-9758-449177be2880","pip","Fallout"
"224","","en","Arcane Signet","","1","8bafeaa8-5e77-4303-b30a-23fd137b7c35","pip","Fallout"
"69","","en","Vault 21: House Gambit","","1","40972644-a284-4c7c-a451-d70eff7488ab","pip","Fallout"
"97","","en","Cass, Hand of Vengeance","","1","5b6d7fa6-4de6-4bc8-b250-2ed6eb559618","pip","Fallout"
"105","","en","Inventory Management","","1","7a1acb59-a679-4c6d-8458-8fe5556b9d4d","pip","Fallout"
"136","","en","Mister Gutsy","","1","9f09166a-78de-4136-8a3c-034e1ef73ede","pip","Fallout"
"239","","en","Sol Ring","","1","e675f7e2-5c9f-4912-8fdd-daaeda284a3d","pip","Fallout"
"142","","en","Silver Shroud Costume","","1","f21fba59-330b-4daf-bf77-6dd817327a64","pip","Fallout"
"165","","en","Mantle of the Ancients","","1","56ec4350-05fa-4452-ade3-3cf2c319eb0b","pip","Fallout"
"96","","en","Cait, Cage Brawler","","1","fca61d02-2819-483f-9d30-862f0650ab0a","pip","Fallout"
"202","","en","Heroic Intervention","","1","0bdaecd3-fc71-4c86-a65e-27681e1ba41f","pip","Fallout"
"72","","en","Animal Friend","","1","af31a045-0387-44ff-b735-54e19b04d925","pip","Fallout"
"253","","en","Ash Barrens","","1","78a90148-5ed9-42db-a64f-4735676d82e3","pip","Fallout"
"188","","en","Blasphemous Act","","1","de9c16b7-63c2-4071-9117-184cb1a04f14","pip","Fallout"
"263","","en","Evolving Wilds","","1","912837ca-054a-49a8-a5c5-5e65631b0575","pip","Fallout"
"59","","en","Ian the Reckless","","1","4cd46b6a-eb20-4ffa-94e0-47d1d2d46087","pip","Fallout"
"279","","en","Path of Ancestry","","1","ff6415d9-14fb-4a58-aa86-bf2063037684","pip","Fallout"
"170","","en","Puresteel Paladin","","1","73e496f4-ec53-4e3c-a27d-5c1b5a54a642","pip","Fallout"
"153","","en","Sunscorched Divide","","1","f84a8f54-9ede-40ee-a783-e58a7e4f2e94","pip","Fallout"
"313","","en","Terramorphic Expanse","","1","548805de-3e2e-4f1f-aafc-d89fddf8288a","pip","Fallout"
"53","","en","Acquired Mutation","","1","19586946-a6a6-4154-a544-15a052483f96","pip","Fallout"
"93","","en","Armory Paladin","","1","4e5ffa95-5c5f-449b-820a-7d5bc1688d29","pip","Fallout"
"73","","en","Bighorner Rancher","","1","861361bc-b357-4ff8-931b-a48d08817191","pip","Fallout"
"231","","en","Explorer's Scope","","1","e66cbdcb-c42c-4f30-871f-f1bc11f475df","pip","Fallout"
"58","","en","Grim Reaper's Sprint","","1","18e76286-9e06-42de-b322-eb8aa2cdca3a","pip","Fallout"
"155","","en","All That Glitters","","1","15d9fb74-9f2d-40f1-88b8-514a460a4f86","pip","Fallout"
"56","","en","Crimson Caravaneer","","1","3acc522b-6297-455e-8bb5-6187061496d0","pip","Fallout"
"57","","en","Duchess, Wayward Tavernkeep","","1","38c0a17f-787b-41ac-8375-d9532dce1f4f","pip","Fallout"
"74","","en","Break Down","","1","3389f9d7-b8ae-4c51-90f9-b6385517914a","pip","Fallout"
"189","","en","Chaos Warp","","1","9a4d0e40-d771-458e-b705-1d2bef8c200e","pip","Fallout"
"255","","en","Canopy Vista","","1","3076b36b-292a-4b14-8284-28e623c20e30","pip","Fallout"
"258","","en","Clifftop Retreat","","1","e6454d4c-5820-4cb8-b625-3d9a09778513","pip","Fallout"
"264","","en","Exotic Orchard","","1","75f07a84-2788-4f5b-bd76-701bab10f01b","pip","Fallout"
"194","","en","Abundant Growth","","1","120b71f5-3c4d-4e00-9a3d-6872416a4373","pip","Fallout"
"211","","en","Behemoth Sledge","","1","0053d366-fc35-443b-a8dd-4ab0c3362c81","pip","Fallout"
"85","","en","Super Mutant Scavenger","","1","41f48a99-eaf7-42ec-bab3-9ebbc735a82a","pip","Fallout"
"198","","en","Fertile Ground","","1","88d3b2bb-2be0-4de9-9de0-1a07da693e4f","pip","Fallout"
"283","","en","Rogue's Passage","","1","6e0d5ed6-baa9-42b7-87e2-372e4513b771","pip","Fallout"
"21","","en","Pre-War Formalwear","","1","19018f23-b63b-45af-8419-8959f41472d4","pip","Fallout"
"70","","en","Veronica, Dissident Scribe","","1","2325aa29-7050-42a5-a0b4-c162db2192c9","pip","Fallout"
