collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"50","","en","Mizzix of the Izmagnus","","1","d0ea2c3a-c36d-44e8-bc46-5361f5f9d0e7","c15","Commander 2015"
"141","","en","Act of Aggression","","1","8d34c3aa-7d74-4a8b-898c-cb62b1f05989","c15","Commander 2015"
"9","","en","Aethersnatch","","1","0ce562a9-ca35-4f31-8618-bc26d3d40169","c15","Commander 2015"
"85","","en","Aetherize","","1","22c45d43-95dd-48fd-a8e6-cf56ceb59122","c15","Commander 2015"
"42","","en","Arjun, the Shifting Flame","","1","4cfcf0e1-1918-4442-b18a-e872f5055f30","c15","Commander 2015"
"24","","en","Awaken the Sky Tyrant","","1","5c3d57d1-1031-45e0-97d1-8e8e3e6ab516","c15","Commander 2015"
"87","","en","Blatant Thievery","","1","0210b3b4-d253-464f-b533-b79bf67d47a4","c15","Commander 2015"
"88","","en","Blue Sun's Zenith","","1","8287b55b-ed12-4a86-b2ca-e462457570f4","c15","Commander 2015"
"89","","en","Blustersquall","","1","1736aaf7-b61d-426e-af5e-f70272e7b07e","c15","Commander 2015"
"90","","en","Brainstorm","","1","91b564f2-e27d-48f3-a7a8-5b0afd801634","c15","Commander 2015"
"10","","en","Broodbirth Viper","","1","ebf51c44-aa06-476e-b081-b71c11b1e8ba","c15","Commander 2015"
"240","","en","Call the Skybreaker","","1","294a3c03-3751-4878-8b4e-0e45ba3611c5","c15","Commander 2015"
"145","","en","Charmbreaker Devils","","1","3a74a695-036e-4d34-8312-809802d42e81","c15","Commander 2015"
"144","","en","Chain Reaction","","1","288fd67a-46ee-417d-b2ce-05944e30011e","c15","Commander 2015"
"146","","en","Comet Storm","","1","90fe90c4-0d14-4b86-9683-40ac07e14040","c15","Commander 2015"
"214","","en","Counterflux","","1","5178d975-88b8-4bd3-a5f5-b84f05172683","c15","Commander 2015"
"281","","en","Command Tower","","1","d1ef9e19-a948-4d34-99df-623ac03d339b","c15","Commander 2015"
"93","","en","Echoing Truth","","1","e508c3b6-bf92-4fbe-8076-f979763ed293","c15","Commander 2015"
"92","","en","Dominate","","1","b9cfd7fc-22a5-4f21-bebf-d4823db48841","c15","Commander 2015"
"149","","en","Desperate Ravings","","1","43e57605-9936-48d3-9bae-f6244045573e","c15","Commander 2015"
"151","","en","Dragon Mage","","1","e44f5ddd-29fb-4f79-a17a-50474d82fcaf","c15","Commander 2015"
"217","","en","Etherium-Horn Sorcerer","","1","b8e3b336-ac81-4ca8-8ce4-c68070695d7e","c15","Commander 2015"
"94","","en","Fact or Fiction","","1","e7b08d9b-b259-4f41-8109-bd1ee000d7f3","c15","Commander 2015"
"216","","en","Epic Experiment","","1","02c4b106-5838-49cc-97a5-f7a209348c77","c15","Commander 2015"
"283","","en","Evolving Wilds","","1","e7ee2fa1-5aed-4612-bfa9-cfbf5d282c9b","c15","Commander 2015"
"153","","en","Faithless Looting","","1","cebee949-f16a-413c-92b0-8ee64584c924","c15","Commander 2015"
"218","","en","Firemind's Foresight","","1","37f2f696-bc69-48f4-93e3-c72aa4d4991b","c15","Commander 2015"
"220","","en","Goblin Electromancer","","1","489af7f6-c521-4891-b370-f3907304346b","c15","Commander 2015"
"11","","en","Gigantoplasm","","1","27163b43-61e2-495c-b544-55c349eba99c","c15","Commander 2015"
"12","","en","Illusory Ambusher","","1","5178477b-73e6-4497-a9d4-5dedf966e412","c15","Commander 2015"
"290","","en","Izzet Boilerworks","","1","26c27faf-ea5e-4973-a6f8-5305fca5fd22","c15","Commander 2015"
"291","","en","Izzet Guildgate","","1","24425f5f-2271-4fd8-a201-f18c7873928d","c15","Commander 2015"
"256","","en","Izzet Signet","","1","f6b88bc9-375f-411f-8bb8-6d2546196fd6","c15","Commander 2015"
"95","","en","Jace's Archivist","","1","3c21df8e-a24f-4ce1-aa8a-1467f9f9423a","c15","Commander 2015"
"96","","en","Lone Revenant","","1","5cb09a51-07c1-4047-81cd-67219c01e9b3","c15","Commander 2015"
"162","","en","Magmaquake","","1","e34f0871-c044-47a9-8c5c-3bd4705e5dbc","c15","Commander 2015"
"13","","en","Mirror Match","","1","0e0b8b4c-75ce-4b1d-8943-c54555e9f015","c15","Commander 2015"
"227","","en","Melek, Izzet Paragon","","1","1a9a3b8d-a100-4a53-bf3c-10509d587c45","c15","Commander 2015"
"28","","en","Meteor Blast","","1","b68d4f2a-77e7-42c4-9aed-07d33d717c9c","c15","Commander 2015"
"163","","en","Mizzium Mortars","","1","85e72d7b-8d0f-4953-b8b1-7ddfaaa9fc06","c15","Commander 2015"
"29","","en","Mizzix's Mastery","","1","6b5e28e8-1e6d-4e7f-bc85-427bb39ae14b","c15","Commander 2015"
"14","","en","Mystic Confluence","","1","81bbffc2-6f58-4baa-8f95-168eab106b15","c15","Commander 2015"
"98","","en","Mystic Retrieval","","1","ac0422b5-2edd-4594-8c91-3c7cbac499cc","c15","Commander 2015"
"101","","en","Preordain","","1","78d22ece-0cb1-4faf-a871-995449c1a41f","c15","Commander 2015"
"231","","en","Prophetic Bolt","","1","ab8e64d9-7eda-4e9c-8afc-bd43b8f0bbab","c15","Commander 2015"
"103","","en","Reins of Power","","1","548d78bc-3968-4877-92f7-0c418238279c","c15","Commander 2015"
"301","","en","Reliquary Tower","","1","6af9f0e4-56de-4c19-9319-90ead1676c7e","c15","Commander 2015"
"263","","en","Psychosis Crawler","","1","d6451759-b6d2-4eb9-9b14-dd245293b08a","c15","Commander 2015"
"105","","en","Rite of Replication","","1","67432030-2ff6-4926-8320-3d813ed5888a","c15","Commander 2015"
"104","","en","Repeal","","1","db5f59ca-6125-45ca-a9db-1962be003741","c15","Commander 2015"
"30","","en","Rite of the Raging Storm","","1","d44411e5-4046-422e-bf85-c0883c0f16ab","c15","Commander 2015"
"302","","en","Rogue's Passage","","1","a92994a8-94b5-4ac9-80b5-265c8ac4100d","c15","Commander 2015"
"54","","en","Seal of the Guildpact","","1","b6188abb-2402-4ac8-96e9-d4ee8d52ef1b","c15","Commander 2015"
"106","","en","Sleep","","1","7130fe8b-e02f-4957-a049-d28df8f6939d","c15","Commander 2015"
"268","","en","Sol Ring","","1","3459b229-7c46-4f70-87d4-bb31c2c17dd9","c15","Commander 2015"
"309","","en","Spinerock Knoll","","1","48f09add-2ec3-4447-84d3-3a4b268b17ca","c15","Commander 2015"
"108","","en","Stroke of Genius","","1","5ecb5078-4439-4fdc-88e8-aac3becbbad8","c15","Commander 2015"
"109","","en","Talrand, Sky Summoner","","1","85c0d00b-7faf-4a1a-b439-49704f6f1349","c15","Commander 2015"
"314","","en","Terramorphic Expanse","","1","9107cd73-9d0b-44b2-b47e-4f20c6c505bc","c15","Commander 2015"
"107","","en","Stolen Goods","","1","57b6f501-a5f8-4a54-bd77-d9b11ab430ff","c15","Commander 2015"
"233","","en","Steam Augury","","1","3bb510af-2cc7-4992-aeef-556e8a63f146","c15","Commander 2015"
"313","","en","Temple of the False God","","1","2a1276e8-4b90-45b6-ad6b-de6303d03d23","c15","Commander 2015"
"310","","en","Swiftwater Cliffs","","1","1bc760ff-1085-45d4-8b18-59d715c357d1","c15","Commander 2015"
"55","","en","Thought Vessel","","1","e0cd769e-1aaf-458c-849f-3b6ebc7fd8c5","c15","Commander 2015"
"110","","en","Thought Reflection","","1","45b3a8f4-ce60-44d2-a494-00d7267a254a","c15","Commander 2015"
"31","","en","Warchief Giant","","1","b914dfce-3eb9-43e5-aecb-9137e140278c","c15","Commander 2015"
"169","","en","Urza's Rage","","1","8ecb1e80-9514-4b96-ab06-3225ebe386d9","c15","Commander 2015"
"170","","en","Vandalblast","","1","52cf5c10-99aa-4580-8016-9bbb43dbdb00","c15","Commander 2015"
"111","","en","Windfall","","1","711843d5-307f-4266-b2fe-dd19d93aefbd","c15","Commander 2015"
"316","","en","Vivid Crag","","1","ed2564b4-0fa2-49cc-b571-0a997fc73c56","c15","Commander 2015"
"317","","en","Vivid Creek","","1","05e8d46b-5c67-4829-b27d-d21526f1bc6a","c15","Commander 2015"
"172","","en","Word of Seizing","","1","84260f0d-3484-4557-a5bd-8a10a82e9878","c15","Commander 2015"
"275","","en","Worn Powerstone","","1","b8a648ba-8918-4c71-aefb-64dc10f16711","c15","Commander 2015"
"328","","en","Island","","14","b7ea4e7c-c393-4ef3-9ce8-84f5199f44fe","c15","Commander 2015"
"335","","en","Mountain","","13","b560a15d-240e-42d0-ac06-19d8363d2080","c15","Commander 2015"
