collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Breena, the Demagogue","","1","6cb82b10-d785-4e20-84ac-0660d49be8ad","c21","Commander 2021"
"367","","en","Plains","","14","49f7e5de-1fa8-406e-a411-fc8a11937000","stx","Strixhaven: School of Mages"
"371","","en","Swamp","","10","11093e3f-092e-49d9-aef9-b9855b040bf2","stx","Strixhaven: School of Mages"
"26","","en","Secret Rendezvous","","1","39528cf0-343e-499b-a69f-c5c3c2898c25","stx","Strixhaven: School of Mages"
"273","","en","Silverquill Campus","","1","42583850-ba5c-4a71-8717-406b5c6d048f","stx","Strixhaven: School of Mages"
"188","","en","Fracture","","1","a11224f8-06ea-4ec3-85e6-d5c8d906840c","stx","Strixhaven: School of Mages"
"80","","en","Study Hall","","1","a3de9859-98b6-4efe-847a-43bac5b1ef9f","c21","Commander 2021"
"234","","en","Arcane Signet","","1","01b186af-8825-4257-80fd-9c1ecdb21414","c21","Commander 2021"
"251","","en","Mind Stone","","1","8c899cbd-cddd-43f9-a95d-a6e5af990362","c21","Commander 2021"
"263","","en","Sol Ring","","1","4cbc6901-6a4a-4d0a-83ea-7eefa3b35021","c21","Commander 2021"
"71","","en","Inkshield","","1","5e1c14a0-cd68-45fc-a127-422ca6113048","c21","Commander 2021"
"78","","en","Tempting Contract","","1","94ac96b6-5e67-43fb-ba65-fbcccb82bf1c","c21","Commander 2021"
"44","","en","Stinging Study","","1","b8840226-1693-44bc-a067-e50198c5e17e","c21","Commander 2021"
"40","","en","Fain, the Broker","","1","26acb9db-1a2f-4b08-b121-88f953e597e5","c21","Commander 2021"
"41","","en","Incarnation Technique","","1","9655deda-f02b-47a0-89a3-2904b11b84aa","c21","Commander 2021"
"38","","en","Cunning Rhetoric","","1","356d9d36-cf03-41f2-abfa-eb45176ce18d","c21","Commander 2021"
"42","","en","Keen Duelist","","1","04f9eb05-7c1d-49f5-a9dc-c44e1a1add89","c21","Commander 2021"
"37","","en","Bold Plagiarist","","1","b0e0f5f6-8b63-4c63-bd1d-445613bc106b","c21","Commander 2021"
"35","","en","Author of Shadows","","1","95b5fc08-5c50-4ec9-9788-54f95c4ce916","c21","Commander 2021"
"22","","en","Scholarship Sponsor","","1","ed238d90-72b5-44c4-bea7-20f71788088f","c21","Commander 2021"
"20","","en","Nils, Discipline Enforcer","","1","873f5d0c-7fee-4921-90d3-379c483e2882","c21","Commander 2021"
"14","","en","Combat Calligrapher","","1","d3b9136e-7f71-40d5-bdfb-d710cd39912d","c21","Commander 2021"
"21","","en","Promise of Loyalty","","1","fc21e7d5-3641-47fe-add0-8becf5173e28","c21","Commander 2021"
"17","","en","Guardian Archon","","1","6168ca14-b8d6-4149-bc61-dc1965d2f5b4","c21","Commander 2021"
"281","","en","Bojuka Bog","","1","f8435c7e-39ce-48a6-8536-739dd5511a33","c21","Commander 2021"
"83","","en","Angel of Serenity","","1","60301fbc-1bd4-4c37-ad19-660d625a090a","c21","Commander 2021"
"277","","en","Barren Moor","","1","b38d7666-0791-44b4-877e-8fd33ce008aa","c21","Commander 2021"
"235","","en","Bloodthirsty Blade","","1","b69c43bc-3dda-4658-8cef-d5f90ba30d0a","c21","Commander 2021"
"84","","en","Boreas Charger","","1","d68003e1-11ea-417f-89d0-39456bf47b34","c21","Commander 2021"
"283","","en","Caves of Koilos","","1","e9c93f28-a523-4998-928c-5fe581dca5a3","c21","Commander 2021"
"85","","en","Citadel Siege","","1","c6e693ad-3e49-4692-a35a-06e9e4e8027e","c21","Commander 2021"
"240","","en","Coveted Jewel","","1","5a70b63b-d7b7-4e3d-83ab-8e7f1efd7a49","c21","Commander 2021"
"138","","en","Curse of Disturbance","","1","80d42b98-62d2-4ca6-8478-36222d709048","c21","Commander 2021"
"214","","en","Deathbringer Liege","","1","371f5fdf-b436-4a4b-a181-68b08c9f2ea6","c21","Commander 2021"
"141","","en","Deathbringer Regent","","1","3a379508-90e5-48a3-a6e9-fe4fa638edbc","c21","Commander 2021"
"215","","en","Debtors' Knell","","1","c9618200-f4ea-4572-9f17-9db8b785982e","c21","Commander 2021"
"90","","en","Duelist's Heritage","","1","dc75cd5d-70e1-4507-b767-feb503d0a10f","c21","Commander 2021"
"91","","en","Elite Scaleguard","","1","2f3498b6-c03f-40c3-9a75-8d196f494670","c21","Commander 2021"
"92","","en","Ghostly Prison","","1","c601064b-9edd-4c7b-aea2-782ae63851ce","c21","Commander 2021"
"93","","en","Gideon, Champion of Justice","","1","cf6d8ac0-4dd2-4a34-bb12-7cfede95e14b","c21","Commander 2021"
"146","","en","Infernal Offering","","1","8af751fd-bfac-43cb-af3b-6116fd643703","c21","Commander 2021"
"94","","en","Hunted Lammasu","","1","ea6daa57-1520-40a9-90c7-fa7283f4a687","c21","Commander 2021"
"95","","en","Knight of the White Orchid","","1","00aef0cf-8b96-4120-9ef4-16203b7c6b9b","c21","Commander 2021"
"223","","en","Magister of Worth","","1","e32b7d4b-60ac-4970-9af0-8c50623f6d64","c21","Commander 2021"
"96","","en","Martial Impetus","","1","e73d6ae2-ac26-43fd-a786-9d6bde261bb9","c21","Commander 2021"
