collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"707","foil","en","Sliver Gravemother","","1","9f5d253e-9eb2-423c-90ee-68f27ec6bf88","cmm","Commander Masters"
"410","","en","Sol Ring","","1","46ca0b66-a000-4483-b916-f5b89e710244","cmm","Commander Masters"
"420","","en","Command Tower","","1","14019383-0327-404b-ab4d-c65c3fa8c50d","cmm","Commander Masters"
"382","","en","Fellwar Stone","","1","fad9cac1-8b2b-42d6-9f0b-d679689ba862","cmm","Commander Masters"
"367","","en","Arcane Signet","","1","0539b83c-4459-41b5-a001-d15a1c9ddf23","cmm","Commander Masters"
"423","","en","Path of Ancestry","","1","42522c12-874e-450f-bdea-901646eb2821","cmm","Commander Masters"
"863","","en","Crypt Sliver","","1","2b90c9a9-098b-463a-8588-b078fb0364dd","cmm","Commander Masters"
"815","","en","Bonescythe Sliver","","1","7ae24f37-0788-4f53-af5a-c6c1f2b64894","cmm","Commander Masters"
"887","","en","Brood Sliver","","1","441a387b-e18a-41c7-84bb-bb7e354f4f2d","cmm","Commander Masters"
"861","","en","Clot Sliver","","1","486fb777-0cbb-4c04-8b30-f2806366a957","cmm","Commander Masters"
"873","","en","Blur Sliver","","1","d44db4fa-8b13-4eb2-a66e-a55b2e0c0fb3","cmm","Commander Masters"
"919","","en","Cloudshredder Sliver","","1","9f523765-7704-4faf-a72b-8a2c414bb179","cmm","Commander Masters"
"953","","en","Herald's Horn","","1","c2cc583b-4ca1-4e34-bf66-693d69e4f77e","cmm","Commander Masters"
"849","","en","Galerider Sliver","","1","566dc671-b666-4003-a3a6-ff5b081bca54","cmm","Commander Masters"
"874","","en","Bonesplitter Sliver","","1","83327f18-f9f6-4f9b-b72a-68f85ad96b00","cmm","Commander Masters"
"894","","en","Farseek","","1","14b7c0df-5af2-4a01-86b3-b2ed5d60e613","cmm","Commander Masters"
"904","","en","Nature's Lore","","1","a78584e8-bb82-4977-a27d-68b1befe9b3b","cmm","Commander Masters"
"913","","en","Three Visits","","1","7c0b6126-c134-4d7d-aa06-ac0f409a9f74","cmm","Commander Masters"
"871","","en","Blade Sliver","","1","6e1165c2-9ea9-459b-a56a-5c0d0e9ae66a","cmm","Commander Masters"
"923","","en","Firewake Sliver","","1","f6201bcd-1009-4753-b7ac-5c25cc1a4d79","cmm","Commander Masters"
"734","","en","Capricious Sliver","","1","48938cd4-9158-4eb8-acb7-21ce7a11cfa7","cmm","Commander Masters"
"741","","en","Hatchery Sliver","","1","15d2737c-d8ef-4b03-9316-be3f61288d3c","cmm","Commander Masters"
"733","","en","Lazotep Sliver","","1","517f7b4d-2997-412b-8e25-315d93d1603a","cmm","Commander Masters"
"724","","en","Regal Sliver","","1","9b081723-41a1-4139-88ee-01c0238e50c3","cmm","Commander Masters"
"740","","en","For the Ancestors","","1","0da1b0a5-b6ca-41f8-be1c-05a56383c9a9","cmm","Commander Masters"
"727","","en","Taunting Sliver","","1","3db8a900-b15a-42eb-a240-35764d57c155","cmm","Commander Masters"
"728","","en","Titan of Littjara","","1","62807f83-b219-4769-afdd-2870deeb93c0","cmm","Commander Masters"
"736","","en","Descendants' Fury","","1","53117fac-5bb0-4bc3-b9ec-f0453c38d7f8","cmm","Commander Masters"
