collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Anowon, the Ruin Thief","","1","bca84fc4-4710-44c8-b90a-73ef888714d8","znc","Zendikar Rising Commander"
"70","","en","Merfolk Windrobber","","1","112077b8-1514-4320-a70f-b23f3c7ce18a","znr","Zendikar Rising"
"83","","en","Sure-Footed Infiltrator","","1","0505053c-8a9c-43ed-b44a-b52c56ba4f77","znr","Zendikar Rising"
"236","","en","Soaring Thought-Thief","","1","0d73c9c4-8955-499f-8f87-6500b35b4977","znr","Zendikar Rising"
"5","","en","Whispersteel Dagger","","1","2bcf89c2-32cc-4c26-8fe4-8cf54f5a2675","znc","Zendikar Rising Commander"
"4","","en","Enigma Thief","","1","3536a97f-565b-45c6-a54b-96afd2a268ec","znc","Zendikar Rising Commander"
"39","","en","Whirler Rogue","","1","ec604fd6-5cbe-4066-9324-156eb26dc27b","znc","Zendikar Rising Commander"
"118","","en","Scytheclaw","","1","fd8f1665-5884-411a-9449-08938713df6b","znc","Zendikar Rising Commander"
"107","","en","Blackblade Reforged","","1","aa4146f0-0c8c-4b8a-8d24-b6c5e33eba3d","znc","Zendikar Rising Commander"
"108","","en","Bonehoard","","1","6d91ba59-4d52-43aa-b894-16d794a8d006","znc","Zendikar Rising Commander"
"23","","en","Aetherize","","1","a022eacd-1cdd-42d7-8a4c-88e8a6527144","znc","Zendikar Rising Commander"
"106","","en","Arcane Signet","","1","89ed88b1-c2b8-4c6e-87a6-168035b2f8c8","znc","Zendikar Rising Commander"
"133","","en","Jwar Isle Refuge","","1","6d103181-25a1-4928-ac37-adf11038d5b5","znc","Zendikar Rising Commander"
"27","","en","Invisible Stalker","","1","14d265aa-c1d8-4faa-b282-5c273ab725fd","znc","Zendikar Rising Commander"
"45","","en","In Garruk's Wake","","1","c6d60af9-d006-4441-974e-117599283ee3","znc","Zendikar Rising Commander"
"113","","en","Heirloom Blade","","1","49b11cb5-fe30-418d-abe5-65c4a8d77a8a","znc","Zendikar Rising Commander"
"44","","en","Gonti, Lord of Luxury","","1","59356854-e84f-4cf6-92ca-e47a2108a8df","znc","Zendikar Rising Commander"
"30","","en","Master Thief","","1","703f57d5-d8bb-4fb6-9dc9-71a5b4308f04","znc","Zendikar Rising Commander"
"52","","en","Price of Fame","","1","26125983-e007-4a73-999d-fb2617a80261","znc","Zendikar Rising Commander"
"53","","en","Rise from the Grave","","1","f0f85057-5f4b-47d8-bb00-d993bed1a755","znc","Zendikar Rising Commander"
"138","","en","Rogue's Passage","","1","809f04b8-21f2-48b1-a926-a4d750d131f7","znc","Zendikar Rising Commander"
"35","","en","Scourge of Fleets","","1","c7c2eba3-a772-48e2-ad32-0b850f8f3bd4","znc","Zendikar Rising Commander"
"56","","en","Syr Konrad, the Grim","","1","685faa53-c0b3-4dbb-abd9-bf09067f6f91","znc","Zendikar Rising Commander"
"38","","en","Triton Shorestalker","","1","d86d8c25-016b-4607-a3f7-01f7b3158a24","znc","Zendikar Rising Commander"
"57","","en","Zulaport Cutthroat","","1","7a264eb1-9fd4-4cf3-8eff-0def0ccbfbd7","znc","Zendikar Rising Commander"
