collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"1","foil","en","Millicent, Restless Revenant","","1","2b86b538-0766-440d-a2cd-f5d5bfcfb010","voc","Crimson Vow Commander"
"399","","en","Island","","11","f82b281f-d3c7-4eb8-9a10-b4808ca6cfcd","vow","Innistrad: Crimson Vow"
"398","","en","Plains","","12","20ddb0be-d62d-46fa-b753-36dfab935e8a","vow","Innistrad: Crimson Vow"
"29","","en","Disorder in the Court","","1","576bee63-54d8-4d5c-ab30-6c9b2a72a501","voc","Crimson Vow Commander"
"12","","en","Ethereal Investigator","","1","a81b1492-ef70-4d8d-9458-c25a084107a7","voc","Crimson Vow Commander"
"159","","en","Arcane Signet","","1","46f17b66-2484-49f4-80db-408bfda95aa9","voc","Crimson Vow Commander"
"155","","en","Geist of Saint Traft","","1","541b9d55-f237-4ff2-9e47-c58a381f0633","voc","Crimson Vow Commander"
"13","","en","Haunting Imitation","","1","8418fd80-2c92-40d4-87de-0c149f6815bc","voc","Crimson Vow Commander"
"7","","en","Priest of the Blessed Graf","","1","5b3947c1-f497-4407-ae29-287a490cceee","voc","Crimson Vow Commander"
"14","","en","Occult Epiphany","","1","6920c895-bc98-4871-a53f-219fa27a74e5","voc","Crimson Vow Commander"
"104","","en","Flood of Tears","","1","440383de-d56a-47dd-ba8a-fae61f57f83b","voc","Crimson Vow Commander"
"88","","en","Hallowed Spiritkeeper","","1","dc8037d5-79fa-47e3-9d3b-eb29643ecae7","voc","Crimson Vow Commander"
"8","","en","Rhoda, Geist Avenger","","1","c434e774-c908-46b9-ba18-52e1efe092de","voc","Crimson Vow Commander"
"9","","en","Storm of Souls","","1","30cb1c3f-19d4-47d3-960e-f2de828e6feb","voc","Crimson Vow Commander"
"108","","en","Midnight Clock","","1","106fc548-a50c-4c0a-820d-b4fc0d4a0495","voc","Crimson Vow Commander"
"16","","en","Timin, Youthful Geist","","1","a3d4102e-b48c-4da8-b181-092c7ab1849a","voc","Crimson Vow Commander"
"110","","en","Rattlechains","","1","709f6376-9a33-4900-a7ae-00767fb9f9bf","voc","Crimson Vow Commander"
"154","","en","Drogskol Captain","","1","c88e7e22-6300-4871-9af8-923eedfe4b32","voc","Crimson Vow Commander"
"98","","en","Spectral Shepherd","","1","6eb29718-0bdf-4a8e-9d5c-9e3f486762cc","voc","Crimson Vow Commander"
"15","","en","Spectral Arcanist","","1","f65bb20b-e207-49da-9d15-a8718b53783e","voc","Crimson Vow Commander"
"101","","en","Windborn Muse","","1","b098ad05-3e30-4a73-b327-da1cdc22786d","voc","Crimson Vow Commander"
"114","","en","Spectral Sailor","","1","d6e1dd43-8ce8-4225-8a04-d6f071f5fb31","voc","Crimson Vow Commander"
"112","","en","Shacklegeist","","1","d69b40d5-25e7-4c59-b00a-aa7d7367504e","voc","Crimson Vow Commander"
"96","","en","Promise of Bunrei","","1","a40e9071-7b27-4070-bc3a-c095c2128953","voc","Crimson Vow Commander"
"178","","en","Port Town","","1","e12191d0-f808-416a-b277-2dd851e7d52b","voc","Crimson Vow Commander"
"109","","en","Nebelgast Herald","","1","2b972aca-b24b-4628-aef9-95dec6546b0a","voc","Crimson Vow Commander"
"5","","en","Drogskol Reinforcements","","1","c86bdb28-9b0c-426d-b603-cc10cd301cc6","voc","Crimson Vow Commander"
"103","","en","Distant Melody","","1","46a65855-9d03-4b74-8339-b35481eb4a68","voc","Crimson Vow Commander"
"11","","en","Breath of the Sleepless","","1","8c59af37-5c01-4f65-97f6-2478aa29949a","voc","Crimson Vow Commander"
"78","","en","Benevolent Offering","","1","d080c35d-f2c6-4f4e-8f7c-305b319d4cde","voc","Crimson Vow Commander"
