collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Hazel of the Rootbloom","","1","1269ca79-907e-4932-9e77-a9a5d2929060","blc","Bloomburrow Commander"
"167","","en","Cache Grab","","1","dfd977dc-a7c3-4d0a-aca7-b25bd154e963","blb","Bloomburrow"
"209","","en","Chatterfang, Squirrel General","","1","72ab0422-eba0-4e1e-9626-ef31b836dcd2","blc","Bloomburrow Commander"
"178","","en","Honored Dreyleader","","1","bc5ee537-52e1-474a-9326-dfacc2a758ab","blb","Bloomburrow"
"127","","en","Arcane Signet","","1","28180667-cc1e-4f64-9a69-00425ef85ba0","blc","Bloomburrow Commander"
"130","","en","Command Tower","","1","63a39996-48b7-42bb-9759-a42382ee0468","blc","Bloomburrow Commander"
"31","","en","Gourmand's Talent","","1","89670a1b-a6f1-491d-bbb4-92e3382da653","blc","Bloomburrow Commander"
"17","","en","Hazel's Brewmaster","","1","52af8b70-a9c8-40d7-99da-fa51dc293688","blc","Bloomburrow Commander"
"32","","en","Rootcast Apprenticeship","","1","00756441-a734-4960-9c69-f03a508a1522","blc","Bloomburrow Commander"
"18","","en","Insatiable Frugivore","","1","2ef58a8f-ce72-40c2-b032-818cc16267ce","blc","Bloomburrow Commander"
"19","","en","Moonstone Eulogist","","1","13158f3b-9d85-4689-9afa-7d9a8a2d1b09","blc","Bloomburrow Commander"
"20","","en","Swarmyard Massacre","","1","8486f472-afad-4fdd-a57a-d20d8871b543","blc","Bloomburrow Commander"
"33","","en","Scurry of Squirrels","","1","c343b965-af2b-45c3-babb-9242736cf1e5","blc","Bloomburrow Commander"
"40","","en","Sword of the Squeak","","1","a3f4d41d-69a5-412f-aa25-f1acc5cacab2","blc","Bloomburrow Commander"
"123","","en","Second Harvest","","1","1ee78a73-10af-461a-9fd3-962fc1f0ccb0","blc","Bloomburrow Commander"
"118","","en","Beastmaster Ascension","","1","1bccf8a9-d135-431e-bcc0-15ab29f8f8cb","blc","Bloomburrow Commander"
"121","","en","Prosperous Innkeeper","","1","eed76e15-6456-4ddc-addf-f0e6eff8bb6a","blc","Bloomburrow Commander"
"129","","en","Sol Ring","","1","fff440c0-7e6a-46c2-9989-f1b5af20fd44","blc","Bloomburrow Commander"
"125","","en","Casualties of War","","1","c579edb6-acba-4e44-b3d6-693cd4e0e2d8","blc","Bloomburrow Commander"
"113","","en","Saw in Half","","1","90f8de01-c1bd-4533-9e98-61e7d25dcf88","blc","Bloomburrow Commander"
"133","","en","Swarmyard","","1","5dd51c2a-99ad-4866-9e0c-162746cb04d3","blc","Bloomburrow Commander"
"345","","en","Terramorphic Expanse","","1","21bb96d8-483c-4fde-97ea-08be9570c289","blc","Bloomburrow Commander"
"126","","en","Maelstrom Pulse","","1","d8f4d07b-2fc1-4d86-865b-b35526850c8e","blc","Bloomburrow Commander"
"131","","en","Exotic Orchard","","1","e6d8d98d-29b2-4ca2-bbda-4db2e8f6ae0b","blc","Bloomburrow Commander"
"264","","en","Academy Manufactor","","1","2f5b4544-70d9-45ee-84a3-fa6253a53a82","blc","Bloomburrow Commander"
"205","","en","Arasta of the Endless Web","","1","6dda8d6b-fd31-4908-a953-20c180a33e56","blc","Bloomburrow Commander"
"181","","en","Deadly Dispute","","1","61f2155e-c3b2-4c8e-b5b0-25dd5e29228c","blc","Bloomburrow Commander"
"221","","en","Gilded Goose","","1","8d3facb6-314c-4dd2-a570-4515c596163c","blc","Bloomburrow Commander"
"248","","en","Binding the Old Gods","","1","c04bcc93-78b6-4e30-9129-76e2f4b60230","blc","Bloomburrow Commander"
"247","","en","Beledros Witherbloom","","1","ac47e057-86e0-4774-a3e9-b256ab317ba0","blc","Bloomburrow Commander"
"179","","en","Bastion of Remembrance","","1","3be363dc-70f0-4de3-b7de-5e4db2264883","blc","Bloomburrow Commander"
"292","","en","Barren Moor","","1","1517f3b6-579d-472f-a44e-ad7545407509","blc","Bloomburrow Commander"
"294","","en","Bojuka Bog","","1","7519b793-8fcb-40ea-bed9-285c390ded64","blc","Bloomburrow Commander"
"211","","en","Chitterspitter","","1","f0b80608-1455-4899-9d19-1b1d2d068744","blc","Bloomburrow Commander"
"210","","en","Chatterstorm","","1","9426c906-e665-40a4-823a-0245bc39fbda","blc","Bloomburrow Commander"
"180","","en","Chittering Witch","","1","16e8e655-2da1-46c9-b9fb-223dd366698b","blc","Bloomburrow Commander"
"213","","en","Deep Forest Hermit","","1","f712e233-1de8-45e4-9225-790d608ac90b","blc","Bloomburrow Commander"
"182","","en","Decree of Pain","","1","e64e60e8-67a3-4329-8232-d0f73c09be62","blc","Bloomburrow Commander"
"302","","en","Evolving Wilds","","1","516d6669-929e-4884-ae92-9a98cb7f9376","blc","Bloomburrow Commander"
"214","","en","End-Raze Forerunners","","1","6e4566f9-a6f5-420e-8ab8-ca505facc3d9","blc","Bloomburrow Commander"
"309","","en","Grim Backwoods","","1","dcad6aed-4694-4a5e-9a27-e9cced43a29f","blc","Bloomburrow Commander"
"272","","en","Golgari Signet","","1","6a41e111-659e-4521-890f-19d814054dfc","blc","Bloomburrow Commander"
"308","","en","Golgari Rot Farm","","1","5fe6e199-26b5-4744-9748-f64ecadefc2f","blc","Bloomburrow Commander"
"277","","en","Idol of Oblivion","","1","6b87b385-0ad9-4aa7-8a7e-c42b9c002a99","blc","Bloomburrow Commander"
"274","","en","Haywire Mite","","1","de49db1e-3cb7-4f1a-9637-23e5820a0144","blc","Bloomburrow Commander"
"311","","en","Haunted Mire","","1","a3ed4f23-b237-425e-9d26-f90d70713f7b","blc","Bloomburrow Commander"
"313","","en","Jungle Hollow","","1","5401ef4c-b1e8-4f37-abe8-25c405d4f6ea","blc","Bloomburrow Commander"
"315","","en","Llanowar Wastes","","1","f01e0e0e-f8c1-416d-bf4b-2b7661924e9b","blc","Bloomburrow Commander"
"279","","en","Maskwood Nexus","","1","9a8456d9-30dd-4acf-9255-e9540886df37","blc","Bloomburrow Commander"
"255","","en","Moldervine Reclamation","","1","ab923455-5d5d-495e-ac93-ae0f01e0605e","blc","Bloomburrow Commander"
"183","","en","Morbid Opportunist","","1","318370d0-1c12-4228-b2c9-2a766e234091","blc","Bloomburrow Commander"
"319","","en","Necroblossom Snarl","","1","078de083-d86c-4d51-b38f-58991c0d0e0a","blc","Bloomburrow Commander"
"184","","en","Nadier's Nightblade","","1","b533e358-3b30-4719-a2a3-13fb9ea817c6","blc","Bloomburrow Commander"
"185","","en","Nested Shambler","","1","202011d5-755e-497b-b4a7-f2b6e6a0b464","blc","Bloomburrow Commander"
"322","","en","Path of Ancestry","","1","821cb722-146d-447e-907d-dc97baa5bc4f","blc","Bloomburrow Commander"
"320","","en","Oran-Rief, the Vastwood","","1","fc3d73d8-47cd-481c-ae13-9d993fd54420","blc","Bloomburrow Commander"
"186","","en","Ogre Slumlord","","1","b70293ae-d50d-44bf-aaa3-689727056ec5","blc","Bloomburrow Commander"
"187","","en","Plaguecrafter","","1","7092aa38-4f05-4b18-b894-d55ca9fe9b15","blc","Bloomburrow Commander"
"256","","en","Poison-Tip Archer","","1","b7e92375-037c-4be1-8183-6261e0666e12","blc","Bloomburrow Commander"
"188","","en","Plumb the Forbidden","","1","eaea189c-9973-435e-975d-dc47a331b28a","blc","Bloomburrow Commander"
"246","","en","Wolfwillow Haven","","1","8506e3eb-07c1-4f5c-a2a7-c210acf6be16","blc","Bloomburrow Commander"
"243","","en","Tireless Provisioner","","1","ac73d130-ceb6-41ea-af0d-314d5adba9e6","blc","Bloomburrow Commander"
"239","","en","Squirrel Nest","","1","bac26044-b41f-4c75-8bc1-26359250d8bc","blc","Bloomburrow Commander"
