collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"36","foil","en","Kynaios and Tiro of Meletis","","1","97fa8615-2b6c-445a-bcaf-44a7e847bf65","c16","Commander 2016"
"241","","en","Akroan Horse","","1","31a8954f-467d-4eb9-8a48-d25bae9529b8","c16","Commander 2016"
"242","","en","Assault Suit","","1","4ec86f19-2ed6-411b-bcd0-c386e1fd9bf4","c16","Commander 2016"
"56","","en","Ash Barrens","","1","9d7ac112-bb20-4ea4-b797-5d21f6b7c121","c16","Commander 2016"
"83","","en","Arcane Denial","","1","a4746d2d-7bb8-4f97-b07e-ed0682892d8e","c16","Commander 2016"
"282","","en","Azorius Chancery","","1","16389f46-fd96-4a11-ba78-0867cab80282","c16","Commander 2016"
"141","","en","Beast Within","","1","bfd8bfec-4714-4779-b478-847f44e1d863","c16","Commander 2016"
"21","","en","Benefactor's Draught","","1","e40f3dfb-3c5d-468a-9e0e-610ad3e11787","c16","Commander 2016"
"120","","en","Blasphemous Act","","1","4412df00-abfd-4e8f-882d-4566eaa74ee4","c16","Commander 2016"
"58","","en","Blazing Archon","","1","3c6cc01f-a14b-462d-9bfc-8f38d46a546a","c16","Commander 2016"
"85","","en","Chasm Skulker","","1","97df5b12-bd8e-44dd-8b6c-1511eaa080c3","c16","Commander 2016"
"248","","en","Commander's Sphere","","1","28e23091-dc18-4964-af54-0ab282811a06","c16","Commander 2016"
"286","","en","Command Tower","","1","6a759aca-50a4-44ba-8a9d-a764da55bfb7","c16","Commander 2016"
"145","","en","Collective Voyage","","1","3f2d44f0-c71e-4061-bb7c-1f91fbce8f51","c16","Commander 2016"
"146","","en","Cultivate","","1","ef49fe58-9839-44e1-934d-ff744d3da35a","c16","Commander 2016"
"2","","en","Entrapment Maneuver","","1","f4dcebe1-bfc7-4f7d-ad8c-91a4b9f23eef","c16","Commander 2016"
"294","","en","Evolving Wilds","","1","2b3c0b62-39d7-4710-b3ce-f9d614a09841","c16","Commander 2016"
"22","","en","Evolutionary Escalation","","1","399d4b05-d671-4462-9d5d-4cfe3457727e","c16","Commander 2016"
"295","","en","Exotic Orchard","","1","a95134ee-68d3-44d8-9098-403f100dc73b","c16","Commander 2016"
"195","","en","Edric, Spymaster of Trest","","1","2183cfb3-6bf5-4fbc-b535-a42ba954e8a3","c16","Commander 2016"
"251","","en","Empyrial Plate","","1","d9086f9e-2c29-48ee-b0af-889351e86152","c16","Commander 2016"
"296","","en","Forbidden Orchard","","1","54e03a6c-1c0a-4a24-a3fe-2f3244938769","c16","Commander 2016"
"297","","en","Frontier Bivouac","","1","a561361b-990f-4cca-9ba4-3bd4e7a1f8a0","c16","Commander 2016"
"202","","en","Gwafa Hazid, Profiteer","","1","aeb9b027-7586-46e6-9801-15072ffe7779","c16","Commander 2016"
"300","","en","Gruul Turf","","1","a8ce122f-5424-4ac0-9d39-95d48e3d5049","c16","Commander 2016"
"66","","en","Ghostly Prison","","1","33d9f600-095e-4f3c-bec0-177e8aeb2422","c16","Commander 2016"
"130","","en","Kazuul, Tyrant of the Cliffs","","1","ab4e66a7-332d-4f98-b0da-3e9e965534fd","c16","Commander 2016"
"306","","en","Krosan Verge","","1","22bf947c-41c0-44b1-a9bb-f1327a4b6dd1","c16","Commander 2016"
"155","","en","Kodama's Reach","","1","86d22eed-f017-42d9-9433-efec7c39830c","c16","Commander 2016"
"304","","en","Jungle Shrine","","1","cb0c705b-cbb4-4837-9c62-fe069fff03ad","c16","Commander 2016"
"259","","en","Keening Stone","","1","442b8c31-f346-4984-9159-2dce6a7485ac","c16","Commander 2016"
"68","","en","Hushwing Gryff","","1","604b8ad4-b606-4be2-b3de-ad9f24b01eac","c16","Commander 2016"
"301","","en","Homeward Path","","1","54734347-eee7-4c52-b514-7342afeccabd","c16","Commander 2016"
"67","","en","Hoofprints of the Stag","","1","f050e383-8532-4577-8db8-26b06be59ad5","c16","Commander 2016"
"257","","en","Howling Mine","","1","cdae9939-03a4-4561-92cd-01f498d29a7a","c16","Commander 2016"
"129","","en","Humble Defector","","1","f0e58cc0-000f-45fb-b2c8-6e9b77121ddc","c16","Commander 2016"
"204","","en","Horizon Chimera","","1","7022506d-8685-41e0-bd1a-2c27c964128b","c16","Commander 2016"
"302","","en","Izzet Boilerworks","","1","62b101ed-ab98-4f56-bcf1-e4e357ab7e18","c16","Commander 2016"
"156","","en","Lurking Predators","","1","6dd20d13-3c80-4585-b57b-9219ae7f1acb","c16","Commander 2016"
"93","","en","Minds Aglow","","1","4e2c50ba-ea58-4bb0-8ea9-3f8c37cf49f6","c16","Commander 2016"
"38","","en","Migratory Route","","1","9006ff3d-446d-411d-948d-9baee8ea9691","c16","Commander 2016"
"309","","en","Myriad Landscape","","1","725cae0d-4407-4f83-818e-d42de5d3ff78","c16","Commander 2016"
"310","","en","Mystic Monastery","","1","2770621f-3906-4762-bfbd-e6e32b52ea92","c16","Commander 2016"
"71","","en","Oblation","","1","c8ed494e-e285-4baf-bc8f-b7f5a0a1b58a","c16","Commander 2016"
"312","","en","Opal Palace","","1","17e02be7-a09d-4d74-a2d0-8f87244fd4bb","c16","Commander 2016"
"159","","en","Oath of Druids","","1","9dad6b50-c415-4c55-8eac-bbc9d656c2fc","c16","Commander 2016"
