collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"37","foil","en","Aminatou, the Fateshifter","","1","16b9f43a-9c3f-4bfa-9eb1-734189a4bb1f","c18","Commander 2018"
"168","","en","Aethermage's Touch","","1","67f8a6f6-afe3-4126-9d2a-c645f041637a","c18","Commander 2018"
"6","","en","Aminatou's Augury","","1","ee3bc0e6-5e47-4a04-af15-faea70f3983a","c18","Commander 2018"
"232","","en","Arcane Sanctum","","1","cd6e86fc-1f51-4837-9b92-bd76700e62f2","c18","Commander 2018"
"60","","en","Adarkar Valkyrie","","1","fc2a4abc-85da-46a6-a616-9aa607ce7372","c18","Commander 2018"
"62","","en","Akroma's Vengeance","","1","106ca190-3109-4d43-b314-0a2cc7c2a3f7","c18","Commander 2018"
"113","","en","Army of the Damned","","1","9aae1c1b-96f0-4529-995d-a53874a74c75","c18","Commander 2018"
"233","","en","Azorius Chancery","","1","0784336e-89ed-44ad-a9c4-58c5ee1fc01a","c18","Commander 2018"
"234","","en","Azorius Guildgate","","1","9c116304-0e37-498a-898d-51d1b75d54c7","c18","Commander 2018"
"196","","en","Azorius Signet","","1","20daf226-12c3-460c-b66a-e447346076d2","c18","Commander 2018"
"63","","en","Banishing Stroke","","1","aad93570-b50a-405a-ad73-03f97594061f","c18","Commander 2018"
"235","","en","Barren Moor","","1","b06aea08-b7e9-4400-820c-2b1fc6e34eae","c18","Commander 2018"
"82","","en","Brainstorm","","1","821f1c26-6253-4ecc-a243-a5662c637a4a","c18","Commander 2018"
"1","","en","Boreas Charger","","1","5cd3b85b-7d8d-402e-829a-6080fd4eb7a1","c18","Commander 2018"
"83","","en","Cloudform","","1","00e3ff89-9901-48ba-900c-5778cdd1b112","c18","Commander 2018"
"200","","en","Commander's Sphere","","1","8b991b05-60e4-49a6-9024-3465082d4932","c18","Commander 2018"
"65","","en","Crib Swap","","1","6ee74bfb-d207-4887-8deb-22467a621060","c18","Commander 2018"
"85","","en","Devastation Tide","","1","2d493bd6-af71-45be-bd4c-1d8f94bca19e","c18","Commander 2018"
"240","","en","Command Tower","","1","6d28946e-a478-4e0b-b39b-ec0236ddc9a5","c18","Commander 2018"
"84","","en","Conundrum Sphinx","","1","2905cea6-77cb-4d9b-93f4-e22211af25e1","c18","Commander 2018"
"201","","en","Crystal Ball","","1","d344d88f-a63b-4593-990f-af6346cad91a","c18","Commander 2018"
"176","","en","Duskmantle Seer","","1","9c58a1e6-be79-4eb3-94a9-d94b40a7cb15","c18","Commander 2018"
"88","","en","Dream Cache","","1","d7da182c-cde3-40d8-976e-a88427a1edb8","c18","Commander 2018"
"242","","en","Dimir Aqueduct","","1","da2b44df-167b-4a7b-9b68-8dade4ab8550","c18","Commander 2018"
"243","","en","Dimir Guildgate","","1","f7a4c925-156f-4534-bd26-dc285efdef18","c18","Commander 2018"
"203","","en","Dimir Signet","","1","cf671e9e-333e-4c9d-b9f3-0e61822634b0","c18","Commander 2018"
"244","","en","Dismal Backwater","","1","ebfed84b-6fc7-41c4-91f0-4b46dcd46aed","c18","Commander 2018"
"87","","en","Djinn of Wishes","","1","a5491962-ad47-4919-b59c-510408bed29e","c18","Commander 2018"
"179","","en","Esper Charm","","1","62add4fe-c19e-40bd-82f6-cb1307a331b1","c18","Commander 2018"
"178","","en","Enigma Sphinx","","1","40b62ed0-356c-4552-b76d-48ff54410e70","c18","Commander 2018"
"67","","en","Entreat the Angels","","1","09aa3482-a068-4018-bbbf-8097a8d1482b","c18","Commander 2018"
"15","","en","Entreat the Dead","","1","31a147bb-37ef-4a52-82e2-160a53323516","c18","Commander 2018"
"56","","en","Geode Golem","","1","05faf1a6-df6b-49fa-bbba-aaf52c39643f","c18","Commander 2018"
"247","","en","Forsaken Sanctuary","","1","f3e0b983-62e7-43fb-b5d5-402ea60a64d7","c18","Commander 2018"
"58","","en","Forge of Heroes","","1","826ff8c2-8a1d-45f5-a7e2-d8bf826fcadc","c18","Commander 2018"
"253","","en","Halimar Depths","","1","29479ab2-c492-479c-82ba-441703b27c0c","c18","Commander 2018"
"260","","en","Jwar Isle Refuge","","1","8d66860e-be48-436e-bc96-6b7ffda5be0b","c18","Commander 2018"
"183","","en","High Priest of Penance","","1","b1b784b2-27a8-4101-a05f-1d60f6f9b72d","c18","Commander 2018"
"93","","en","Jeskai Infiltrator","","1","4efcf6ba-e466-4947-94b2-725cc77b6e05","c18","Commander 2018"
"59","","en","Isolated Watchtower","","1","9ee3c4f0-ec6b-48cd-b1be-4620aea337d6","c18","Commander 2018"
"264","","en","Lonely Sandbar","","1","b477c36b-e4c1-4d3a-9147-01ac7365c7e6","c18","Commander 2018"
"4","","en","Loyal Unicorn","","1","7d2fb006-3376-4322-8473-69de9b745412","c18","Commander 2018"
"16","","en","Loyal Subordinate","","1","f4df5ec3-86f2-4124-92a3-4a093667c0e2","c18","Commander 2018"
"68","","en","Lightform","","1","82b194d0-8f1c-4864-b2dd-603cbe1d9dc6","c18","Commander 2018"
"5","","en","Magus of the Balance","","1","d90b230d-7d73-4066-87cc-f8f26b09d10e","c18","Commander 2018"
"186","","en","Mortify","","1","439aea5f-c64c-4460-b473-b4bc2c82c048","c18","Commander 2018"
"265","","en","Meandering River","","1","4e582648-dc5a-416b-90b0-68161e56fd6b","c18","Commander 2018"
"210","","en","Mind Stone","","1","42bd038d-1005-4095-9310-108caa56465f","c18","Commander 2018"
"266","","en","Mortuary Mire","","1","c56b8712-bc71-4be9-bfc3-e0f6df087b0c","c18","Commander 2018"
"17","","en","Night Incarnate","","1","c665b8b7-166f-4651-9a76-9e89695343ee","c18","Commander 2018"
"272","","en","Orzhov Guildgate","","1","6e688f49-cbba-404d-8d03-40848a6a527b","c18","Commander 2018"
"213","","en","Orzhov Signet","","1","9a9a516d-1480-47d4-a4e7-e3df0c12c0e3","c18","Commander 2018"
"115","","en","Phyrexian Delver","","1","de66606d-6fe2-4c63-8d27-e808da7d4980","c18","Commander 2018"
"270","","en","New Benalia","","1","a11a0f9c-2253-468f-a9c0-42e1e38aad96","c18","Commander 2018"
"95","","en","Ninja of the Deep Hours","","1","5fea7980-55e1-47c1-ab18-a89c976b55fc","c18","Commander 2018"
"94","","en","Mulldrifter","","1","6757e07f-fb3e-42a2-9684-d4f53030255d","c18","Commander 2018"
"271","","en","Orzhov Basilica","","1","86c5aa4d-c81c-46ef-9240-08bb09b95827","c18","Commander 2018"
"97","","en","Portent","","1","e01a59e7-bde1-4150-bb4f-a19d769764f2","c18","Commander 2018"
"214","","en","Pilgrim's Eye","","1","9726a45e-9860-4d6a-b017-061f99ae09d5","c18","Commander 2018"
"96","","en","Ponder","","1","91382955-bcfc-4fb6-8cce-dc107e5b4c32","c18","Commander 2018"
"98","","en","Predict","","1","349ac7e6-af38-4dc3-abfe-369564c75630","c18","Commander 2018"
"12","","en","Primordial Mist","","1","e6e8229f-a47e-4492-8f4b-10de141eb821","c18","Commander 2018"
"71","","en","Return to Dust","","1","5fe91687-52cd-44a4-b2d8-6b5740ce713b","c18","Commander 2018"
"220","","en","Seer's Lantern","","1","9bc4aaf3-328d-4cb5-b9e7-128e12a88313","c18","Commander 2018"
"73","","en","Serra Avatar","","1","6ff6cd2f-3cef-408d-82a9-45338469f390","c18","Commander 2018"
"102","","en","Sigiled Starfish","","1","69b3df55-f664-4922-9bc8-ab227d87da53","c18","Commander 2018"
"276","","en","Scoured Barrens","","1","9627b9d9-3418-4cad-97ef-cdd4736fa869","c18","Commander 2018"
"279","","en","Secluded Steppe","","1","ba8926ac-6c7b-4914-ac8a-05336f5e7b9f","c18","Commander 2018"
"280","","en","Sejiri Refuge","","1","2d08b239-cd23-4215-8e02-4156a187e96d","c18","Commander 2018"
"191","","en","Silent-Blade Oni","","1","f0016f82-f428-4ee4-bf60-0199b22b8453","c18","Commander 2018"
"18","","en","Skull Storm","","1","05e95b4c-1b59-4eec-8392-794b35202aad","c18","Commander 2018"
"222","","en","Sol Ring","","1","83a0f2eb-2f6d-4aaa-b7a9-ea06d5de7eca","c18","Commander 2018"
"103","","en","Sphinx of Jwar Isle","","1","a38387c9-cee0-4ec1-800a-877d6a7edc2d","c18","Commander 2018"
"283","","en","Submerged Boneyard","","1","4490b5fe-6a69-4d76-91f2-1b8dc016e2b5","c18","Commander 2018"
"19","","en","Sower of Discord","","1","b111df04-7687-47f9-8ffc-5cf25bc3e9bf","c18","Commander 2018"
"104","","en","Sphinx of Uthuun","","1","1e31e8c5-1d7c-4e23-91fa-92adefe57347","c18","Commander 2018"
"105","","en","Telling Time","","1","9f86e04d-6b66-4281-8350-0e32ce891284","c18","Commander 2018"
"77","","en","Terminus","","1","c726193f-e7bf-45b0-8eb5-2e9f62f5e7b0","c18","Commander 2018"
"288","","en","Tranquil Cove","","1","a52d8ef5-725a-4dbd-b209-3d55c3adfc7a","c18","Commander 2018"
"109","","en","Treasure Hunt","","1","76a2cb0e-3630-4307-ac80-bd850c1c256f","c18","Commander 2018"
"193","","en","Utter End","","1","978c548e-adea-48c8-8af4-94cac2691a31","c18","Commander 2018"
"52","","en","Yuriko, the Tiger's Shadow","","1","3bd81ae6-e628-447a-a36b-597e63ede295","c18","Commander 2018"
"297","","en","Island","","5","d4302a8a-573e-416e-a9f4-f27110cc994a","c18","Commander 2018"
"293","","en","Plains","","8","83fbc748-fe45-4b06-b2ec-71087f7225ec","c18","Commander 2018"
"301","","en","Swamp","","3","cb5fabce-2488-470a-82ce-e40992657811","c18","Commander 2018"
"48","foil","en","Varina, Lich Queen","","1","715af497-ea9d-440e-90eb-5da45a61c1ac","c18","Commander 2018"
"51","foil","en","Yennett, Cryptic Sovereign","","1","fb51b2a8-035c-44e6-92db-2e2385066470","c18","Commander 2018"
