collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"44","","en","Ezuri, Claw of Progress","","1","ef1b62ff-dbb3-4500-9d64-a3047ce193ec","c15","Commander 2015"
"32","","en","Arachnogenesis","","1","7967cb69-1868-45c0-92d1-39dabe30f2a2","c15","Commander 2015"
"174","","en","Arbor Colossus","","1","87a12eac-c104-4a91-a9d3-ccc450d5114c","c15","Commander 2015"
"239","","en","Biomantic Mastery","","1","8d63d4b7-5378-4ba9-9a5f-3ab385d83568","c15","Commander 2015"
"86","","en","Bident of Thassa","","1","57af7aa5-8626-4de2-843f-a2dc250e1381","c15","Commander 2015"
"176","","en","Beastmaster Ascension","","1","34731fa7-5379-4822-ae74-5ffd8acd099b","c15","Commander 2015"
"175","","en","Bane of Progress","","1","ecef9f48-da4f-433a-888f-a428ca774bf9","c15","Commander 2015"
"10","","en","Broodbirth Viper","","1","ebf51c44-aa06-476e-b081-b71c11b1e8ba","c15","Commander 2015"
"177","","en","Caller of the Claw","","1","917c5e37-c15e-4260-b380-f1c73df2bf41","c15","Commander 2015"
"34","","en","Caller of the Pack","","1","1286208b-896b-4f41-a837-1c8a2b199a0f","c15","Commander 2015"
"178","","en","Chameleon Colossus","","1","2f4acc60-77eb-4b37-82ff-3658182ed3a1","c15","Commander 2015"
"213","","en","Coiling Oracle","","1","ab0aca0f-0f14-46d4-bfbc-ccfdfa2a2690","c15","Commander 2015"
"180","","en","Cobra Trap","","1","a8954f5e-9904-426f-9b66-8cdf86438f6a","c15","Commander 2015"
"241","","en","Cold-Eyed Selkie","","1","55cbf9b5-414e-4ca0-a217-5c000f14d1a9","c15","Commander 2015"
"56","","en","Command Beacon","","1","166fa02f-e456-48ca-8ac3-d217afceff4d","c15","Commander 2015"
"91","","en","Day of the Dragons","","1","33aac116-e138-404d-a3c3-95a8b5d9d22f","c15","Commander 2015"
"281","","en","Command Tower","","1","d1ef9e19-a948-4d34-99df-623ac03d339b","c15","Commander 2015"
"181","","en","Desert Twister","","1","574c1c9c-1dcd-44f6-bb60-88890e0e6c1b","c15","Commander 2015"
"182","","en","Elvish Visionary","","1","73ea09b8-b9b8-402c-8862-82beaa0c68b8","c15","Commander 2015"
