collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"27","","en","Ob Nixilis of the Black Oath","","1","bf472be9-f375-455e-a800-7af5258f4e59","c14","Commander 2014"
"284","","en","Barren Moor","","1","874143b7-3f04-401d-bdef-93f2f1009788","c14","Commander 2014"
"59","","en","Arcane Lighthouse","","1","977e3112-b141-44c0-9e8d-d7a0b93092b9","c14","Commander 2014"
"133","","en","Aether Snap","","1","c89eed52-aa5b-4a59-9bc6-cea65e504deb","c14","Commander 2014"
"132","","en","Abyssal Persecutor","","1","2ff15389-10a1-49d7-b1c2-d7a13e151612","c14","Commander 2014"
"136","","en","Black Sun's Zenith","","1","90b217bf-9a62-4239-be24-e23c106b8212","c14","Commander 2014"
"285","","en","Bojuka Bog","","1","0ac2a3ab-a221-47a7-b1c1-a9306fa48b0c","c14","Commander 2014"
"137","","en","Bloodgift Demon","","1","6a2e1d4a-8df4-472f-a98f-d6b71c1dd1c4","c14","Commander 2014"
"135","","en","Bad Moon","","1","d2a766a1-8382-4dc7-aba8-ebc325f7e61f","c14","Commander 2014"
"138","","en","Butcher of Malakir","","1","35055620-0f04-4b71-b35c-ac9fc9e637fa","c14","Commander 2014"
"232","","en","Burnished Hart","","1","d8f71a69-85c3-4233-ab3f-04731c81d4f5","c14","Commander 2014"
"134","","en","Annihilate","","1","ebb91862-832b-42ba-bace-4d4f461df507","c14","Commander 2014"
"235","","en","Charcoal Diamond","","1","ea9f9b9a-f5dc-47d5-8d01-baf79842ea65","c14","Commander 2014"
"54","","en","Commander's Sphere","","1","61e0a922-1689-484f-abb3-902ce1c964ca","c14","Commander 2014"
"141","","en","Drana, Kalastria Bloodchief","","1","a33a16f7-434b-4d12-ab7d-95c900b9295e","c14","Commander 2014"
"142","","en","Dread Return","","1","1a61bf42-1dc1-49ed-8cb8-60ce484feef0","c14","Commander 2014"
"143","","en","Dregs of Sorrow","","1","3c004cd1-9190-4356-ad68-5012c7ef63de","c14","Commander 2014"
"140","","en","Disciple of Bolas","","1","0c4fc28d-8be6-4639-bb9d-7b9fdd47e0d9","c14","Commander 2014"
"139","","en","Crypt Ghast","","1","623c9804-42c4-4b69-bc39-f70d96929d07","c14","Commander 2014"
"288","","en","Crypt of Agadeem","","1","ba4c4c6b-65bf-480f-bdd5-e7acc8a512bf","c14","Commander 2014"
"21","","en","Demon of Wailing Agonies","","1","ace249fc-0d05-4132-8c0c-4abdc3b42119","c14","Commander 2014"
"294","","en","Everglades","","1","5f82ffe7-c5a2-453d-9820-3c576b6f263c","c14","Commander 2014"
"144","","en","Evernight Shade","","1","96ab331f-41eb-40af-b02d-1df0c5760e85","c14","Commander 2014"
"22","","en","Flesh Carver","","1","cf0f88d9-681c-4152-bb45-628850717430","c14","Commander 2014"
"298","","en","Ghost Quarter","","1","ccc1c460-64c5-47be-a633-439863baa6a1","c14","Commander 2014"
"23","","en","Ghoulcaller Gisa","","1","bbd9aba4-6db6-417b-8515-5617f0acdc9b","c14","Commander 2014"
"145","","en","Grave Titan","","1","68ce4c64-9f82-4be1-aa3b-ba885b2d4307","c14","Commander 2014"
"146","","en","Gray Merchant of Asphodel","","1","430fcd3e-a70a-4554-9c48-1a1b11d0a95c","c14","Commander 2014"
"24","","en","Infernal Offering","","1","86e47496-5578-42a7-bddb-16d583c0c51c","c14","Commander 2014"
"147","","en","Liliana's Reaver","","1","d3c5a91e-cd04-4d3e-a83d-07e55bfaebfc","c14","Commander 2014"
"250","","en","Mind Stone","","1","b793a8e9-5870-4190-a204-c241b0e67f97","c14","Commander 2014"
"25","","en","Malicious Affliction","","1","d6ea704f-a06c-4d3b-80a3-d23f739c74aa","c14","Commander 2014"
"243","","en","Jet Medallion","","1","7f85698a-821f-452d-9e31-e525c0100f2d","c14","Commander 2014"
"245","","en","Lashwrithe","","1","de21d433-5c2c-49c0-80d1-bf6e8471f9d4","c14","Commander 2014"
"148","","en","Magus of the Coffers","","1","962a16bb-516c-4e74-b8dd-edd4c63c5fff","c14","Commander 2014"
"149","","en","Morkrut Banshee","","1","d951be27-d0ad-42ff-9a20-d41a32500da5","c14","Commander 2014"
"61","","en","Myriad Landscape","","1","8aef73ec-5c98-4ac5-82a7-8e838cd36562","c14","Commander 2014"
"150","","en","Mutilate","","1","38d662a5-8ae1-42b6-8086-b7615e58da08","c14","Commander 2014"
"151","","en","Nantuko Shade","","1","8032dd8b-bd4f-4d44-8d7a-daac5497c8e8","c14","Commander 2014"
"26","","en","Necromantic Selection","","1","9462680e-b83d-44cc-a7a6-505fbc69ab41","c14","Commander 2014"
"153","","en","Pestilence Demon","","1","63b5db50-219f-4a87-a208-2d45a4a76a2d","c14","Commander 2014"
"152","","en","Nekrataal","","1","106417fa-ebb7-4821-90a5-37a5e30835fb","c14","Commander 2014"
"28","","en","Overseer of the Damned","","1","d1a73408-27b3-45d8-9153-ca964d99fe80","c14","Commander 2014"
"154","","en","Phyrexian Gargantua","","1","f09ea203-ad9a-4376-b3c5-700da26292d0","c14","Commander 2014"
