collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"10","foil","en","Kathril, Aspect Warper","","1","ebc57f73-a517-463e-8d55-56aa996d091e","c20","Commander 2020"
"199","","en","Abzan Charm","","1","8a3bd3e8-a408-4d64-9cb5-d5053fae1e64","c20","Commander 2020"
"201","","en","Ajani Unyielding","","1","9675ba74-3e3c-4570-bdc0-44b90de7953b","c20","Commander 2020"
"165","","en","Acidic Slime","","1","a8a1d9db-0da2-4b9d-ba3b-d647deab6754","c20","Commander 2020"
"72","","en","Aerial Responder","","1","8833065e-5022-4f48-b2fd-6fe5647c0a07","c20","Commander 2020"
"237","","en","Arcane Signet","","1","1486170d-4ad3-4318-bf72-f948617d567f","c20","Commander 2020"
"73","","en","Akroma, Angel of Wrath","","1","bf1ef8ec-d915-41f2-b087-3d6d82e3db85","c20","Commander 2020"
"198","","en","Abzan Ascendancy","","1","63e735b1-7643-48db-9731-aea0212d0e2b","c20","Commander 2020"
"75","","en","Angel of Finality","","1","5e199cea-ab34-4eca-9d52-56959d648a16","c20","Commander 2020"
"202","","en","Archon of Valor's Reach","","1","7f51e677-1278-401e-a892-33cd8ffed6fe","c20","Commander 2020"
"67","","en","Bonder's Ornament","","1","5afe425c-50a7-4d29-ac14-0edb094fc770","c20","Commander 2020"
"258","","en","Blighted Woodland","","1","b4073c69-fce0-4755-97f2-0a10fabed3e4","c20","Commander 2020"
"22","","en","Avenging Huntbonder","","1","24ad6b07-3487-4e19-b554-196697a413df","c20","Commander 2020"
"80","","en","Cataclysmic Gearhulk","","1","4d1d09e1-ed55-4f13-8e80-4d2b4b162ca0","c20","Commander 2020"
"262","","en","Caves of Koilos","","1","6358592c-b6e8-4263-b96b-c548fdac5193","c20","Commander 2020"
"130","","en","Cairn Wanderer","","1","f84b53c7-10db-40f6-a1d4-0baab88355e5","c20","Commander 2020"
"261","","en","Canopy Vista","","1","d625f96a-6d61-4fe8-8fe3-6205c86b6846","c20","Commander 2020"
"24","","en","Cartographer's Hawk","","1","1b1d26c3-ce06-4d46-87fc-7623edae85b2","c20","Commander 2020"
"240","","en","Commander's Sphere","","1","89c29c9c-9d4b-4809-9a95-796adfbce22a","c20","Commander 2020"
"264","","en","Command Tower","","1","37691c08-7763-42bd-b882-3cb0624a2098","c20","Commander 2020"
"170","","en","Cultivate","","1","69c90a17-42ad-4f27-ab1b-3790bc0813b3","c20","Commander 2020"
"41","","en","Daring Fiendbonder","","1","27dd910a-a3ca-46ac-9350-f2a22496f4e6","c20","Commander 2020"
"211","","en","Duneblast","","1","9623959c-c20d-409b-b172-fe00e68e8c55","c20","Commander 2020"
"207","","en","Deadbridge Chant","","1","21d6eb98-d716-4908-8d95-06f1fbbd2086","c20","Commander 2020"
"209","","en","Despark","","1","4a8bb7d9-14d3-41e3-8721-4a9036468dfc","c20","Commander 2020"
"208","","en","Deathsprout","","1","26a0ae4f-a48c-4333-a53f-70702b5b4c9e","c20","Commander 2020"
"133","","en","Ever After","","1","a4e6a08b-e0d6-4d41-b143-e09ac53b6249","c20","Commander 2020"
"273","","en","Exotic Orchard","","1","f623a2c3-ebe5-4f43-8b87-59b4d6991ff0","c20","Commander 2020"
"276","","en","Gavony Township","","1","74d53774-f654-4c86-9261-b676d332e41e","c20","Commander 2020"
"173","","en","Harmonize","","1","0015ef55-4b85-4147-9974-b3ff4a1487c3","c20","Commander 2020"
"215","","en","Grisly Salvage","","1","d5b4768f-fe15-4632-8bc5-bac35dc0e9e8","c20","Commander 2020"
"277","","en","Golgari Rot Farm","","1","4c9d6ad5-fa8a-46a4-87a7-51f2ccb2062c","c20","Commander 2020"
"278","","en","Grim Backwoods","","1","2b4517f7-1479-4cdb-8b7e-c27eef6c4659","c20","Commander 2020"
"176","","en","Hornet Queen","","1","b7f7d1e1-9472-4aba-915c-a2de499f23df","c20","Commander 2020"
"218","","en","Karametra, God of Harvests","","1","2bd9d26e-984c-4cf8-8c46-447f9776668f","c20","Commander 2020"
"285","","en","Krosan Verge","","1","f0c6047f-c246-4c9c-bee0-de2d5f13d475","c20","Commander 2020"
"92","","en","Kalemne's Captain","","1","8c6fd0bf-25de-422b-b042-121460b01b17","c20","Commander 2020"
"182","","en","Majestic Myriarch","","1","457d66b3-f059-4b2f-91b0-96568e1b17f5","c20","Commander 2020"
"246","","en","Mimic Vat","","1","f99c44c1-daff-43a2-9a8e-ec4be217a81a","c20","Commander 2020"
"28","","en","Martial Impetus","","1","25656d3d-dc5a-4085-8461-cab11b96e70a","c20","Commander 2020"
"292","","en","Myriad Landscape","","1","42bb5732-5c17-447f-9fcd-dc12136fa145","c20","Commander 2020"
"288","","en","Memorial to Folly","","1","df6d131e-785c-4609-af11-bdc535641a7b","c20","Commander 2020"
"45","","en","Netherborn Altar","","1","541151af-f1a3-494f-858e-2c3fe447e036","c20","Commander 2020"
"71","","en","Nesting Grounds","","1","cf559d4e-07a7-4ca4-b76a-d0615222cb60","c20","Commander 2020"
"95","","en","Odric, Lunarch Marshal","","1","78f86da3-6caa-4507-882f-3d0476b79bc9","c20","Commander 2020"
"297","","en","Orzhov Basilica","","1","a732e2cc-325f-429b-a933-fc4cbcc395c9","c20","Commander 2020"
"226","","en","Nyx Weaver","","1","de71b145-6db9-490c-9e86-b441fcb107c8","c20","Commander 2020"
"61","","en","Obscuring Haze","","1","c1ae35e6-5401-481a-8104-24f53e3d160f","c20","Commander 2020"
"62","","en","Predatory Impetus","","1","13c29179-99f4-4e02-bc04-2ffe6ca4a7c3","c20","Commander 2020"
"46","","en","Parasitic Impetus","","1","b51e0d11-e970-4535-87ac-49ae8ad594df","c20","Commander 2020"
"97","","en","Reveillark","","1","7db7e70c-ce79-4a52-b97b-f1bd46e0768c","c20","Commander 2020"
"308","","en","Selesnya Sanctuary","","1","b082e600-4cfe-44ce-aeb2-b0c22c3482c1","c20","Commander 2020"
"305","","en","Sandsteppe Citadel","","1","76357d95-9c86-411b-a115-36de5c2f123a","c20","Commander 2020"
"187","","en","Sakura-Tribe Elder","","1","c83be2b7-0373-4389-9aa0-523db58f4d2a","c20","Commander 2020"
"188","","en","Satyr Wayfinder","","1","aa090955-59dd-4145-a148-7d0f64722f7e","c20","Commander 2020"
"65","","en","Selective Adaptation","","1","adbd8ffa-c7d3-4ef6-b3a7-8a967b50ce49","c20","Commander 2020"
"189","","en","Skullwinder","","1","6133735c-37ea-4c91-a848-59bc47dcb0b7","c20","Commander 2020"
"66","","en","Slippery Bogbonder","","1","c2f9c4a7-ea53-4da0-9746-2195579f98f6","c20","Commander 2020"
"99","","en","Solemn Recruit","","1","f42e1e2e-6559-42c1-bab4-e2e868723b43","c20","Commander 2020"
"252","","en","Sol Ring","","1","286bea73-8ad8-4423-8a7c-8497420fdb54","c20","Commander 2020"
"137","","en","Soul of Innistrad","","1","31155467-5444-4a9b-a602-ec7cdad89e8b","c20","Commander 2020"
"138","","en","Soulflayer","","1","e249a406-6783-4502-952a-27ec744a38b3","c20","Commander 2020"
"102","","en","Sunblast Angel","","1","b879f5fa-7e1f-444a-bc28-dc9f6313842c","c20","Commander 2020"
"191","","en","Splinterfright","","1","686e97c2-24a8-42ac-9b96-8e152ab0dc89","c20","Commander 2020"
"317","","en","Sungrass Prairie","","1","cf6e4f8e-5c02-4aa4-b065-4fe0b0ed2772","c20","Commander 2020"
"254","","en","Swiftfoot Boots","","1","5819a8bc-1e4f-4274-b1ee-e583337acdf8","c20","Commander 2020"
"105","","en","Together Forever","","1","8abdea02-8d56-488d-b042-f25d1ba523f5","c20","Commander 2020"
"139","","en","Unburial Rites","","1","e639e1cc-9d6d-4c96-95a5-6ab8554889ce","c20","Commander 2020"
"140","","en","Vampire Nighthawk","","1","5832552d-fa6e-40c2-9a0e-ac8c9ba57a2d","c20","Commander 2020"
"30","","en","Vitality Hunter","","1","2bec0d43-f321-49eb-9402-83632d00d4be","c20","Commander 2020"
"107","","en","Zetalpa, Primal Dawn","","1","8d5b29be-2b1a-4ba5-8958-60eee4e3bac1","c20","Commander 2020"
"244","","en","Blossoming Sands","","1","828044d6-0f53-4caf-a581-d71919df4175","iko","Ikoria: Lair of Behemoths"
"75","","en","Blood Curdle","","1","4184c851-1419-476c-ba9c-9f0cb1137114","iko","Ikoria: Lair of Behemoths"
"247","","en","Evolving Wilds","","1","8e3d6745-8904-4905-a98f-d43f18b51d6d","iko","Ikoria: Lair of Behemoths"
"249","","en","Jungle Hollow","","1","01926862-bf2d-4a2b-af94-1ea5e4dd7444","iko","Ikoria: Lair of Behemoths"
"254","","en","Scoured Barrens","","1","2282018a-46c8-41ca-ab93-f7dbf32cd295","iko","Ikoria: Lair of Behemoths"
"174","","en","Titanoth Rex","","1","9d02e1e8-b85b-4e26-8ab8-ca2f49d05b88","iko","Ikoria: Lair of Behemoths"
"101","","en","Unbreakable Bond","","1","c9da02a1-7b39-4a0e-8466-6512a02f3e3b","iko","Ikoria: Lair of Behemoths"
"104","","en","Void Beckoner","","1","a1523cda-c47d-4419-a5d3-fd6ed9867c56","iko","Ikoria: Lair of Behemoths"
"3","foil","en","Nikara, Lair Scavenger","","1","00b9ac91-51e4-4653-ac2a-da166a894f2a","c20","Commander 2020"
"16","foil","en","Tayam, Luminous Enigma","","1","05b837a2-5773-4340-87f9-b4d6a43deb27","c20","Commander 2020"
"19","foil","en","Yannik, Scavenging Sentinel","","1","11c0e89b-ab29-4739-a88e-1e7966d87d25","c20","Commander 2020"
"272","","en","Forest","","4","9c348494-f60c-4bd1-9077-bff24f2e634b","iko","Ikoria: Lair of Behemoths"
"260","","en","Plains","","7","16ebbce9-fd10-4c14-b52d-cf82c0c1a58c","iko","Ikoria: Lair of Behemoths"
"267","","en","Swamp","","7","e1d99025-46bc-4848-bcbc-bee858ed906c","iko","Ikoria: Lair of Behemoths"
