collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","Sauron, Lord of the Rings","","1","fc53dec0-79fe-4f6f-9d5b-cf298588e808","ltc","Tales of Middle-earth Commander"
"279","","en","Mountain","","7","af1b83d9-078b-44dc-a118-4659201f4854","ltr","The Lord of the Rings: Tales of Middle-earth"
"284","","en","Sol Ring","","1","5805f64c-dd88-4e94-8f0a-a01dae67e3ba","ltc","Tales of Middle-earth Commander"
"113","","en","Voracious Fell Beast","","1","d9b7d7f8-503d-4660-9a18-6a8e2fcaa25f","ltr","The Lord of the Rings: Tales of Middle-earth"
"74","","en","Treason of Isengard","","1","71f97505-c961-4890-acd0-32a63919ac2a","ltr","The Lord of the Rings: Tales of Middle-earth"
"134","","en","Grishnákh, Brash Instigator","","1","6385e769-f805-499d-9f47-494533362152","ltr","The Lord of the Rings: Tales of Middle-earth"
"308","","en","Field of Ruin","","1","8d9d6a9d-18a3-4cc8-8276-29fb826ed1fa","ltc","Tales of Middle-earth Commander"
"282","","en","Mind Stone","","1","23dd6cb6-31ee-467e-9f67-39046197bcb6","ltc","Tales of Middle-earth Commander"
"306","","en","Evolving Wilds","","1","e24ec4c1-5a28-450d-8e37-62a154749ee6","ltc","Tales of Middle-earth Commander"
"77","","en","Bitter Downfall","","1","e4b83aa1-33ce-4b8d-ae5a-72f64eef5f09","ltr","The Lord of the Rings: Tales of Middle-earth"
"111","","en","Troll of Khazad-dûm","","1","a6539e26-b63b-4725-9407-caaf451de084","ltr","The Lord of the Rings: Tales of Middle-earth"
"216","","en","The Mouth of Sauron","","1","76a88814-aa30-4297-b338-3d851bfe7256","ltr","The Lord of the Rings: Tales of Middle-earth"
"126","","en","Fiery Inscription","","1","8c321159-43e5-40fc-9f0c-4ecc4f6cfd20","ltr","The Lord of the Rings: Tales of Middle-earth"
"19","","en","Corsairs of Umbar","","1","159727a9-0bc4-497d-8fb2-4a66923726d8","ltc","Tales of Middle-earth Commander"
"22","","en","Monstrosity of the Lake","","1","d72aa8fc-6808-4865-879e-417a300c40de","ltc","Tales of Middle-earth Commander"
"29","","en","Shelob, Dread Weaver","","1","83944c19-6f9b-4043-9eeb-1a4ca452f698","ltc","Tales of Middle-earth Commander"
"31","","en","Cavern-Hoard Dragon","","1","c67e509e-a219-4f7f-b7eb-8c446cc0620a","ltc","Tales of Middle-earth Commander"
"33","","en","Orcish Siegemaster","","1","1e9f9869-0f43-4eac-892f-26cd8a614330","ltc","Tales of Middle-earth Commander"
"34","","en","Rampaging War Mammoth","","1","dc13dbf0-c0ff-4c76-96c6-d3ee88ab2fce","ltc","Tales of Middle-earth Commander"
"46","","en","The Balrog of Moria","","1","2a3fcfdc-f2cf-42d8-8bb4-7308bc12746e","ltc","Tales of Middle-earth Commander"
"57","","en","Gríma, Saruman's Footman","","1","00f40514-d37d-423f-aa0c-1875300f43a8","ltc","Tales of Middle-earth Commander"
"60","","en","Lord of the Nazgûl","","1","41e3d118-8f97-4c68-acff-2f90a055af5b","ltc","Tales of Middle-earth Commander"
"59","","en","Lidless Gaze","","1","6937954b-353a-47ac-a0c0-f731fe3881a6","ltc","Tales of Middle-earth Commander"
"58","","en","In the Darkness Bind Them","","1","f7f7413b-0a65-4338-90eb-4b4c5462c21c","ltc","Tales of Middle-earth Commander"
"24","","en","Subjugate the Hobbits","","1","6206d9f1-6a57-46a2-942f-6f20e33e5d6a","ltc","Tales of Middle-earth Commander"
"63","","en","Moria Scavenger","","1","ea926187-ac8e-4197-8fd4-ac6b8d818d83","ltc","Tales of Middle-earth Commander"
