collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Abaddon the Despoiler","","1","c9f1fc97-00c0-492b-a4a3-b179afc2f95d","40k","Warhammer 40,000 Commander"
"130★","foil","en","Lucius the Eternal","","1","d82d439a-cb48-4ad3-ad9b-2960c489b7cb","40k","Warhammer 40,000 Commander"
"24★","foil","en","Lord of Change","","1","fa55fc18-b000-4efb-b4af-5a2a34676845","40k","Warhammer 40,000 Commander"
"80★","foil","en","Knight Rampager","","1","2914deed-da95-4f34-9227-0dbaaadd7cba","40k","Warhammer 40,000 Commander"
"81★","foil","en","Let the Galaxy Burn","","1","30d809d9-a6a7-4a45-afe1-70463ea2483b","40k","Warhammer 40,000 Commander"
"128★","foil","en","Kill! Maim! Burn!","","1","3aa75527-99bc-426a-bdae-ca9cd17beeec","40k","Warhammer 40,000 Commander"
"79★","foil","en","Khârn the Betrayer","","1","1e05c133-ff44-446f-95f7-44aa9fbf4923","40k","Warhammer 40,000 Commander"
"78★","foil","en","Keeper of Secrets","","1","6277a423-3aae-4e9d-82d2-f3ca98f1cdad","40k","Warhammer 40,000 Commander"
"23★","foil","en","Heralds of Tzeentch","","1","ad145868-bb3a-4a7a-a8ca-51f3ebc2c11e","40k","Warhammer 40,000 Commander"
"77★","foil","en","Herald of Slaanesh","","1","14a8fc31-207b-425d-84a9-f0e3699f7579","40k","Warhammer 40,000 Commander"
"125★","foil","en","Helbrute","","1","f9054599-f6ea-43e2-81ff-7d118e878ba1","40k","Warhammer 40,000 Commander"
"280★","foil","en","Forgotten Cave","","1","4f13da40-7826-4d4b-bd67-c6a2ad7e372f","40k","Warhammer 40,000 Commander"
"279★","foil","en","Foreboding Ruins","","1","a1576630-64ca-4f0c-93c3-8ac4a0098e07","40k","Warhammer 40,000 Commander"
"119★","foil","en","Exalted Flamer of Tzeentch","","1","b4859462-1a80-40a7-ab42-38ccb6443ea4","40k","Warhammer 40,000 Commander"
"277★","foil","en","Evolving Wilds","","1","fff47e4d-01d2-43e0-9137-25ad5e2b4b1b","40k","Warhammer 40,000 Commander"
"117★","foil","en","Drach'Nyen","","1","b77507dd-18e8-4a76-85ba-a47c2699b95f","40k","Warhammer 40,000 Commander"
"276★","foil","en","Dismal Backwater","","1","8ddfec47-8c56-4f6e-9a52-8b7d80a82a4d","40k","Warhammer 40,000 Commander"
"223★","foil","en","Deny Reality","","1","ccf7a56a-de23-432f-8226-08f7dc5b9227","40k","Warhammer 40,000 Commander"
"198★","foil","en","Decree of Pain","","1","fd1fb7ca-b4b7-4cc3-be27-351288c63a85","40k","Warhammer 40,000 Commander"
"196★","foil","en","Dark Ritual","","1","464127e8-9d82-44a3-95a3-6e7535e6fa2f","40k","Warhammer 40,000 Commander"
"75★","foil","en","Dark Apostle","","1","7462463d-8f07-4e81-a260-8a0ec58ded74","40k","Warhammer 40,000 Commander"
"273★","foil","en","Crumbling Necropolis","","1","11d59a91-7a83-4b86-8b1b-22058a237515","40k","Warhammer 40,000 Commander"
"271★","foil","en","Command Tower","","1","d071fec0-850d-4b6c-83b8-68d2922943fc","40k","Warhammer 40,000 Commander"
"235★","foil","en","Commander's Sphere","","1","71b68a41-71c5-4036-9f6d-b097e637a0df","40k","Warhammer 40,000 Commander"
"232★","foil","en","Chromatic Lantern","","1","132efa1b-e198-4455-8e1b-c14e16583039","40k","Warhammer 40,000 Commander"
"205★","foil","en","Chaos Warp","","1","ecca9ccd-9e16-4140-a625-d8bd295f2ca6","40k","Warhammer 40,000 Commander"
"74★","foil","en","Chaos Terminator Lord","","1","38b1cb12-cd1c-45f5-a589-cdd4be14e185","40k","Warhammer 40,000 Commander"
