collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"7","foil","en","Gavi, Nest Warden","","1","80bc07d5-bdbb-4a6d-8958-0c172ea80245","c20","Commander 2020"
"49","","en","Agitator Ant","","1","29d1122e-ac2d-4d95-829b-7b3b54159a4a","c20","Commander 2020"
"74","","en","Akroma's Vengeance","","1","e45b4cba-cd60-4491-a334-30976d0990b7","c20","Commander 2020"
"256","","en","Azorius Chancery","","1","382b28ea-3706-480c-b7cc-4f16160d5d6b","c20","Commander 2020"
"67","","en","Bonder's Ornament","","1","5afe425c-50a7-4d29-ac14-0edb094fc770","c20","Commander 2020"
"238","","en","Azorius Signet","","1","20c8186f-4874-4870-b99f-73d333045d9a","c20","Commander 2020"
"239","","en","Boros Signet","","1","c6b1edb0-47ee-4679-93e8-0a06138f9c5e","c20","Commander 2020"
"145","","en","Chandra, Flamecaller","","1","a83ca3a1-82a9-4f47-b0b8-21687afd705b","c20","Commander 2020"
"240","","en","Commander's Sphere","","1","89c29c9c-9d4b-4809-9a95-796adfbce22a","c20","Commander 2020"
"264","","en","Command Tower","","1","37691c08-7763-42bd-b882-3cb0624a2098","c20","Commander 2020"
"31","","en","Crystalline Resonance","","1","93f20664-c3d0-4dbd-93dc-4f69a0cbff46","c20","Commander 2020"
"21","","en","Cryptic Trilobite","","1","a73c630c-c98d-4f8a-9e6a-2576d5fec4ee","c20","Commander 2020"
"109","","en","Curator of Mysteries","","1","127c28d5-dd5f-4678-b5ed-604aefc98947","c20","Commander 2020"
"25","","en","Dismantling Wave","","1","9db4c1ec-ddd6-4443-8d93-8628e67aa6bb","c20","Commander 2020"
"86","","en","Descend upon the Sinful","","1","98e42eb8-b556-4ea6-aded-d0087d243b75","c20","Commander 2020"
"267","","en","Desert of the Mindful","","1","16444255-dcb9-442e-b015-feaa6dea8a26","c20","Commander 2020"
"266","","en","Desert of the Fervent","","1","0f80b293-e586-4d0d-9387-1c497ae8e5a0","c20","Commander 2020"
"271","","en","Drifting Meadow","","1","64dde056-f16f-495b-bba6-2e6edc8cb63a","c20","Commander 2020"
"88","","en","Eternal Dragon","","1","e659b6ea-8522-4644-9f73-5c9312e28c81","c20","Commander 2020"
"110","","en","Drake Haven","","1","e2502a3a-2c1d-490e-b958-969dfc7f875a","c20","Commander 2020"
"268","","en","Desert of the True","","1","3f96abac-9876-4fb6-af56-6c0c47c9d86b","c20","Commander 2020"
"274","","en","Forgotten Cave","","1","c4b2e22e-ad34-4d4a-beb6-82a64b3127e5","c20","Commander 2020"
"273","","en","Exotic Orchard","","1","f623a2c3-ebe5-4f43-8b87-59b4d6991ff0","c20","Commander 2020"
"35","","en","Fierce Guardianship","","1","4c5ffa83-c88d-4f5d-851e-a642b229d596","c20","Commander 2020"
"34","","en","Ethereal Forager","","1","97543d69-547e-41f8-9a4f-908e5eb0ee4a","c20","Commander 2020"
"241","","en","Fluctuator","","1","c06a2fb3-d933-461f-bcf8-5c614bb75d0b","c20","Commander 2020"
"281","","en","Hostile Desert","","1","90b7872c-0702-43f8-841c-22ff7923ca29","c20","Commander 2020"
"112","","en","Hieroglyphic Illumination","","1","0bd05638-d621-4967-b7e3-63121c88f18b","c20","Commander 2020"
"283","","en","Izzet Boilerworks","","1","2d96b00c-8b73-4b4a-b784-4c7e779f8fd7","c20","Commander 2020"
"243","","en","Izzet Signet","","1","1de256fd-367f-4517-90c4-19d826c11a48","c20","Commander 2020"
"217","","en","Isperia, Supreme Judge","","1","1e3b82a7-ebef-4190-9f50-40b992ba89c9","c20","Commander 2020"
"27","","en","Herald of the Forgotten","","1","c3dba1c4-ee9a-4ea6-bf66-f639d38711cd","c20","Commander 2020"
"282","","en","Irrigated Farmland","","1","54065d26-39ae-412c-b60e-d22d7f3e78be","c20","Commander 2020"
"155","","en","Lightning Rift","","1","c6d8746d-3a8c-48a9-91ad-354b69a402c6","c20","Commander 2020"
