collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"3","foil","en","The Tenth Doctor","","1","f1499f49-793b-4265-9ad0-883a431941ab","who","Doctor Who"
"5","foil","en","Rose Tyler","","1","3aa8d034-f98c-4e27-b6af-850eadf59941","who","Doctor Who"
"198","","en","Island","","3","ca98e0fb-5f07-40c8-9958-84379bcdc35c","who","Doctor Who"
"203","","en","Mountain","","3","49f1fe4e-8da1-4879-8129-bd8a440a45be","who","Doctor Who"
"197","","en","Plains","","3","1aaea970-a19c-400a-a8cb-5d30f9cc2672","who","Doctor Who"
"315","","en","Temple of Enlightenment","","1","c345eb1f-3a44-432c-8bee-39099e1947e6","who","Doctor Who"
"239","","en","Arcane Signet","","1","d87d58eb-b95a-48d9-a174-e2d72a29c167","who","Doctor Who"
"264","","en","Command Tower","","1","d5bd4f68-f006-4ad5-9bf8-8757e498736a","who","Doctor Who"
"275","","en","Evolving Wilds","","1","7387895f-8697-4755-8abb-7f81af4a2717","who","Doctor Who"
"208","","en","Grasp of Fate","","1","4bae9eca-8cc9-490b-a9b5-ba2a083bcb08","who","Doctor Who"
"243","","en","Lightning Greaves","","1","59cb10b3-6856-4355-94a7-a14c516887d5","who","Doctor Who"
"244","","en","Mind Stone","","1","6ac8db7a-009a-4141-bba7-b5fdfaf8d245","who","Doctor Who"
"299","","en","Rogue's Passage","","1","74f3b1cb-e436-40f9-904c-f5696aa6f383","who","Doctor Who"
"245","","en","Sol Ring","","1","0f44a54b-512e-45ef-80ee-7982d2eaf762","who","Doctor Who"
"320","","en","Temple of the False God","","1","3ca70d08-1468-407d-80e6-a58c6655b4f0","who","Doctor Who"
"255","","en","Thought Vessel","","1","84506a3f-46ee-4482-9f7d-0409c2699ae4","who","Doctor Who"
"316","","en","Temple of Epiphany","","1","a7df0f35-81a1-439f-a9b0-0c3afd4bce68","who","Doctor Who"
"321","","en","Temple of Triumph","","1","d59e7e74-07ac-4aed-b58f-f4b045730cfe","who","Doctor Who"
"276","","en","Exotic Orchard","","1","c2bc648d-def5-4442-9cfe-0f93fee631f4","who","Doctor Who"
"236","","en","Fractured Identity","","1","ac1e9cd6-7be2-4c9a-a94f-3ea7e69e49db","who","Doctor Who"
"293","","en","Path of Ancestry","","1","30c6f93e-e03f-4749-8b30-9375c79f10f4","who","Doctor Who"
"290","","en","Myriad Landscape","","1","23bcfd8e-e069-4489-8498-2c7b742bf4fe","who","Doctor Who"
"291","","en","Mystic Monastery","","1","698de613-bd07-49b8-bbc3-d89d26565593","who","Doctor Who"
"295","","en","Prairie Stream","","1","e32fcfa0-50df-4815-ad8f-0e0db32c307b","who","Doctor Who"
