collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","","en","Emmara, Soul of the Accord","","1","e8510a1e-62ca-462c-b036-d1312729f27d","scd","Starter Commander Decks"
"217","","en","Aura Mutation","","1","31bddc53-fa0c-4aa5-a92a-fa247e5330db","scd","Starter Commander Decks"
"212","","en","Sporemound","","1","8faa01c6-f6c6-4348-a6f3-39793b5ef6d0","scd","Starter Commander Decks"
"241","","en","Selesnya Evangel","","1","8f5d1f97-ebb9-4320-9d5f-408cf9de826d","scd","Starter Commander Decks"
"193","","en","Jade Mage","","1","cbfba01e-2836-479b-afce-21e1e6e99c08","scd","Starter Commander Decks"
"214","","en","Verdant Force","","1","c9c5e3b2-fbb6-45af-8977-833922302eb3","scd","Starter Commander Decks"
"332","","en","Vitu-Ghazi, the City-Tree","","1","4c593a74-cf36-43a1-be4e-63ab2fbd180e","scd","Starter Commander Decks"
"242","","en","Selesnya Guildmage","","1","91d023e6-b50f-4bfa-8b05-aa349552d29a","scd","Starter Commander Decks"
"209","","en","Scatter the Seeds","","1","39f59d34-8166-4ac9-8684-33efa315e4db","scd","Starter Commander Decks"
"189","","en","Hornet Nest","","1","579b6909-a2e1-45d1-aa02-9318c468f9b0","scd","Starter Commander Decks"
"203","","en","Presence of Gond","","1","cd68e154-d092-4004-bc58-5554d807e26a","scd","Starter Commander Decks"
"6","","en","Ajani, Caller of the Pride","","1","6121cf58-93d0-4430-a4a2-91778ba65249","scd","Starter Commander Decks"
"171","","en","Avacyn's Pilgrim","","1","418bf817-433a-4d9a-bea7-827014184269","scd","Starter Commander Decks"
"174","","en","Champion of Lambholt","","1","812c252d-9947-4bd4-8097-670be91c338e","scd","Starter Commander Decks"
"297","","en","Command Tower","","1","cae0c9e0-3be9-4151-9d59-658a032c30e9","scd","Starter Commander Decks"
"41","","en","White Sun's Zenith","","1","b46f1b5a-da71-4723-afc6-4ab2a569311b","scd","Starter Commander Decks"
"19","","en","Dictate of Heliod","","1","fe2f3830-d822-4cb5-a88a-df5c5b9020a4","scd","Starter Commander Decks"
"253","","en","Trostani Discordant","","1","d1706e61-1804-410b-b82f-8e862555fe1a","scd","Starter Commander Decks"
"17","","en","Dawn of Hope","","1","a02540fc-42ee-4f61-99c8-efdd1a70373c","scd","Starter Commander Decks"
"261","","en","Commander's Sphere","","1","686b4c7f-5b42-4625-8ff9-782795eec264","scd","Starter Commander Decks"
"292","","en","Canopy Vista","","1","4098ed6f-a0aa-41c3-97d5-22013ffee175","scd","Starter Commander Decks"
"210","","en","Scavenging Ooze","","1","c63cf563-11c5-4068-8df3-7bfdaac08144","scd","Starter Commander Decks"
"276","","en","Sol Ring","","1","1b023575-4cb5-434f-92ef-d3b81aaa3c3e","scd","Starter Commander Decks"
"257","","en","Arcane Signet","","1","02cb9420-fbfb-4123-a830-a992ff470db6","scd","Starter Commander Decks"
"291","","en","Blossoming Sands","","1","8957976e-d8f5-428a-a775-a73acb898401","scd","Starter Commander Decks"
"219","","en","Camaraderie","","1","3842aa5c-304d-4827-94e6-e597bb49af97","scd","Starter Commander Decks"
"175","","en","Citanul Hierophants","","1","79c3190a-a18b-41b6-9626-5fd12edb4e36","scd","Starter Commander Decks"
"11","","en","Citywide Bust","","1","c249e9db-41a7-4da8-99b3-d7854c538713","scd","Starter Commander Decks"
"222","","en","Collective Blessing","","1","9d04689e-d673-40fd-93f0-d228d3bb338f","scd","Starter Commander Decks"
"176","","en","Collective Unconscious","","1","1219978f-c269-4b59-9ec1-0e7bc83059fe","scd","Starter Commander Decks"
"14","","en","Conclave Tribunal","","1","1dc26b58-1b10-41a3-8155-bbc8f189de15","scd","Starter Commander Decks"
"13","","en","Commander's Insignia","","1","12b2b04b-27d1-4b5d-9bd6-9678f203cf20","scd","Starter Commander Decks"
