collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"2","foil","en","Omo, Queen of Vesuva","","1","e5d1c814-4c22-4917-95ae-dffaf491db32","m3c","Modern Horizons 3 Commander"
"313","","en","Island","","3","d4f54250-74a9-4f77-bf60-bf13585c1a1b","mh3","Modern Horizons 3"
"318","","en","Forest","","4","7ac34881-de32-42c7-af60-f992638e1da2","mh3","Modern Horizons 3"
"225","","en","Dryad of the Ilysian Grove","","1","9898dd33-63fb-49d3-bea4-5346d6d56f30","m3c","Modern Horizons 3 Commander"
"277","","en","Uro, Titan of Nature's Wrath","","1","e0b06619-d672-4542-a025-2ec3a62b761d","m3c","Modern Horizons 3 Commander"
"283","","en","Arcane Signet","","1","156a1ca1-e4b1-4e0c-a786-fd80fe189896","m3c","Modern Horizons 3 Commander"
"331","","en","Command Tower","","1","27e36832-09ca-4070-8511-94580014c3ed","m3c","Modern Horizons 3 Commander"
"396","","en","Thornwood Falls","","1","df41b4c8-eb2f-494d-9627-6e2fd2d4fb11","m3c","Modern Horizons 3 Commander"
"218","","en","Acidic Slime","","1","7dfeb1d1-7b2d-4235-902f-22a62af5dc0f","m3c","Modern Horizons 3 Commander"
"176","","en","Arcane Denial","","1","13eda3d5-7d10-4d69-b7f2-cdeebda63e99","m3c","Modern Horizons 3 Commander"
"223","","en","Beast Within","","1","70ead8c3-e350-4d85-9e06-818da15cb266","m3c","Modern Horizons 3 Commander"
"285","","en","Chromatic Lantern","","1","69d76fe8-3ef1-491f-a69f-560f11611e42","m3c","Modern Horizons 3 Commander"
"186","","en","Fog Bank","","1","c5188208-c9bc-4e6e-aa0c-9cc2fc9f3768","m3c","Modern Horizons 3 Commander"
"231","","en","Harmonize","","1","8f9848e6-df86-4c83-ac2a-46583328472e","m3c","Modern Horizons 3 Commander"
"191","","en","Propaganda","","1","0806d4a1-4d2f-454b-b830-5ab58e13a452","m3c","Modern Horizons 3 Commander"
"305","","en","Sol Ring","","1","19911e6e-7c35-4281-b31c-266382f052cc","m3c","Modern Horizons 3 Commander"
"248","","en","Sylvan Scrying","","1","d5f11a08-8324-461a-8dbd-ecef0e511dee","m3c","Modern Horizons 3 Commander"
"273","","en","Tatyova, Benthic Druid","","1","319bdbe9-1446-4a4a-a73e-599419221d5b","m3c","Modern Horizons 3 Commander"
"195","","en","Treasure Cruise","","1","eea26297-52e2-46a6-8231-f378d41ee269","m3c","Modern Horizons 3 Commander"
"276","","en","Urban Evolution","","1","6eecff8f-89c6-425d-baf7-1148b3cfc381","m3c","Modern Horizons 3 Commander"
"390","","en","Temple of Mystery","","1","35e64dea-7eac-41c3-8ae6-85e5a10c9b3b","m3c","Modern Horizons 3 Commander"
"303","","en","Oblivion Stone","","1","2994bab5-59ae-4545-a125-67032850b4de","m3c","Modern Horizons 3 Commander"
"377","","en","Simic Growth Chamber","","1","4397591f-7a3c-4dee-82b0-52e4f1d94ef3","m3c","Modern Horizons 3 Commander"
"304","","en","Seer's Sundial","","1","bde9a59a-ff01-4e0f-b438-1d1fe49ec660","m3c","Modern Horizons 3 Commander"
"239","","en","Rampaging Baloths","","1","a187a731-2179-4eee-b65f-3256144eb275","m3c","Modern Horizons 3 Commander"
"378","","en","Simic Guildgate","","1","70eadba2-da8d-4f92-ba8c-a7fc05c3b113","m3c","Modern Horizons 3 Commander"
"395","","en","Thespian's Stage","","1","10c1ac95-c277-4430-8499-a005200e85aa","m3c","Modern Horizons 3 Commander"
"410","","en","Yavimaya Coast","","1","0378af42-0e35-4ee0-96ed-d588a71c0bea","m3c","Modern Horizons 3 Commander"
"401","","en","Urza's Mine","","1","32dbc719-d8aa-47ff-b7ea-20adadc99ec7","m3c","Modern Horizons 3 Commander"
"402","","en","Urza's Power Plant","","1","5e5786d5-355d-454c-b09b-e307a7a324d4","m3c","Modern Horizons 3 Commander"
"403","","en","Urza's Tower","","1","7693a698-65be-4d85-8b9d-c02c1596b99d","m3c","Modern Horizons 3 Commander"
"184","","en","Evacuation","","1","854ccd5e-64af-40f6-a831-8d0cd4a0b204","m3c","Modern Horizons 3 Commander"
"221","","en","Avenger of Zendikar","","1","de1a78e9-8ccf-41ab-96cb-d1f881482465","m3c","Modern Horizons 3 Commander"
"236","","en","Magus of the Candelabra","","1","593b618e-6882-429b-80f1-ab02ac72cfbc","m3c","Modern Horizons 3 Commander"
"233","","en","Hydra Broodmaster","","1","d9947547-5f16-4972-ba1e-33bed3e49d34","m3c","Modern Horizons 3 Commander"
"355","","en","Lumbering Falls","","1","c1a5d35b-8f33-4110-9bb3-298e0a263bda","m3c","Modern Horizons 3 Commander"
"250","","en","Ulvenwald Hydra","","1","4ade356e-ed2f-4373-b898-c3ccb46324a1","m3c","Modern Horizons 3 Commander"
"193","","en","Summary Dismissal","","1","57acf96b-2595-4200-99a0-b34f0231d241","m3c","Modern Horizons 3 Commander"
"244","","en","Satyr Wayfinder","","1","434bb07c-7b70-415e-80dd-317af0ef8bf7","m3c","Modern Horizons 3 Commander"
"247","","en","Skullwinder","","1","0d53c93a-3d02-4a89-bf3a-58c19d861f9b","m3c","Modern Horizons 3 Commander"
"249","","en","Terastodon","","1","f25e0ef9-29e1-45fe-b9b1-b228594939ab","m3c","Modern Horizons 3 Commander"
"334","","en","Dark Depths","","1","13a4a3e6-77d4-453e-9978-68352fcf8d29","m3c","Modern Horizons 3 Commander"
"265","","en","Growth Spiral","","1","bbc5995d-6b94-421b-b535-79657e29d70f","m3c","Modern Horizons 3 Commander"
"266","","en","Hydroid Krasis","","1","ae6677cc-f7d2-4c37-8fde-7c637b08cce0","m3c","Modern Horizons 3 Commander"
"270","","en","Nissa, Steward of Elements","","1","d24cb7c1-3553-4bd6-9b87-237c6fc82b19","m3c","Modern Horizons 3 Commander"
"336","","en","Desert of the Indomitable","","1","c8ff47b8-467b-4fdc-8ba1-3460301b1de7","m3c","Modern Horizons 3 Commander"
"337","","en","Desert of the Mindful","","1","6e687c40-94af-4bf8-bcbe-0b74fff19ae6","m3c","Modern Horizons 3 Commander"
"347","","en","Hashep Oasis","","1","1e8afbcf-c5a6-428c-8d91-a309821362b3","m3c","Modern Horizons 3 Commander"
"232","","en","Hour of Promise","","1","d74c66da-d247-46dc-9ccd-536f8af6bbe0","m3c","Modern Horizons 3 Commander"
"300","","en","Mirage Mirror","","1","8acbbe8f-9373-499f-bf15-1785fc800770","m3c","Modern Horizons 3 Commander"
"241","","en","Ramunap Excavator","","1","7e098506-b69d-4ab0-8ee9-af0d8c7efb8d","m3c","Modern Horizons 3 Commander"
"342","","en","Flooded Grove","","1","fc2cfb2a-24e7-4ee4-9dd6-878b91abd841","m3c","Modern Horizons 3 Commander"
"346","","en","Glimmerpost","","1","3ba372ea-b4a0-4db3-baec-9cbf5d3384b1","m3c","Modern Horizons 3 Commander"
"330","","en","Cloudpost","","1","5355eecf-c03e-406c-9e7d-70e73dcd7510","m3c","Modern Horizons 3 Commander"
"322","","en","Blast Zone","","1","a7b27f7b-7219-414d-bfed-84c4a6b9a887","m3c","Modern Horizons 3 Commander"
"185","","en","Finale of Revelation","","1","4e80c2f5-985e-44b1-946c-403d6fd3daac","m3c","Modern Horizons 3 Commander"
"292","","en","Expedition Map","","1","8710f97d-28c7-4809-a4cd-81d08a7e3909","m3c","Modern Horizons 3 Commander"
"404","","en","Vesuva","","1","40c17aee-1e93-4db8-b491-cb2c10d0cc67","m3c","Modern Horizons 3 Commander"
"237","","en","Mana Reflection","","1","d863ff4a-c79f-4018-ac20-f40ad1fcfb36","m3c","Modern Horizons 3 Commander"
"190","","en","Pongify","","1","cb504714-b034-4938-93ad-7cb2ae320829","m3c","Modern Horizons 3 Commander"
"226","","en","Elvish Rejuvenator","","1","5deb7010-131c-40e9-a4c2-dee1b700e6c9","m3c","Modern Horizons 3 Commander"
"252","","en","Vivien Reid","","1","8a5a7ad7-99e3-445f-8e9a-c6d3bf923379","m3c","Modern Horizons 3 Commander"
"179","","en","Curse of the Swine","","1","96a3dc1b-3819-4b6b-ba5f-725ccf43dd61","m3c","Modern Horizons 3 Commander"
"245","","en","Scute Swarm","","1","1abdf386-56bc-4575-af89-6edc9a38cd43","m3c","Modern Horizons 3 Commander"
"220","","en","Apex Devastator","","1","ca9783bc-0e1b-42da-b0f3-89dd0db83743","m3c","Modern Horizons 3 Commander"
"405","","en","Vineglimmer Snarl","","1","308a9e1d-4b61-4e3a-af45-38b714509c1e","m3c","Modern Horizons 3 Commander"
"366","","en","Quandrix Campus","","1","adbafde4-d7bf-48fb-afe6-4a1ef23a3e91","m3c","Modern Horizons 3 Commander"
"260","","en","Eureka Moment","","1","791d719f-c114-4574-9718-32597126e151","m3c","Modern Horizons 3 Commander"
"192","","en","Replication Technique","","1","53db61f7-6411-4c2b-b0fd-2d70f2035798","m3c","Modern Horizons 3 Commander"
"409","","en","Yavimaya, Cradle of Growth","","1","8a12b4f7-8f6b-4a3c-9114-825e1b2099a0","m3c","Modern Horizons 3 Commander"
"353","","en","Lair of the Hydra","","1","51aabe5e-161b-4c8a-bdb2-983f402a29ef","m3c","Modern Horizons 3 Commander"
"181","","en","Drown in Dreams","","1","7f631b8e-a85f-47df-a0d9-115d9ab66941","m3c","Modern Horizons 3 Commander"
"338","","en","Dreamroot Cascade","","1","9aedaceb-ce4d-4159-a389-11e357b9e0da","m3c","Modern Horizons 3 Commander"
"320","","en","Basilisk Gate","","1","935f3dfa-7d8d-459a-8ac2-37892cb9545f","m3c","Modern Horizons 3 Commander"
"228","","en","Floriferous Vinewall","","1","c3c27704-7886-4cce-ad66-fb94668822c4","m3c","Modern Horizons 3 Commander"
"349","","en","Hidden Nursery","","1","fcd447b3-4d96-4d85-924d-2c5043ba054f","m3c","Modern Horizons 3 Commander"
"348","","en","Hidden Cataract","","1","a3b53320-57bf-4b9f-903d-f14ff0afdd19","m3c","Modern Horizons 3 Commander"
"238","","en","Poison Dart Frog","","1","e99d6e94-2fb7-45ef-bb35-4bf4b92d4f4d","m3c","Modern Horizons 3 Commander"
"407","","en","Volatile Fault","","1","d9a42082-615c-4387-a77c-97ee94153c57","m3c","Modern Horizons 3 Commander"
"362","","en","Overflowing Basin","","1","f8f7a227-90a0-4c0b-9c86-17edf65ba6ea","m3c","Modern Horizons 3 Commander"
"356","","en","Lush Oasis","","1","ba0932e2-30da-478d-b295-40db01556eb0","m3c","Modern Horizons 3 Commander"
"132","","en","Planar Nexus","","1","6429e625-1f18-413a-b7d7-6eb2814ee5a2","m3c","Modern Horizons 3 Commander"
"100","","en","March from Velis Vel","","1","4ef5716a-5f4d-4e51-a91f-6990a2f8413f","m3c","Modern Horizons 3 Commander"
"101","","en","Wonderscape Sage","","1","64dd6309-110d-44a0-a227-34a20e33ebdc","m3c","Modern Horizons 3 Commander"
