collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"141","foil","en","Omo, Queen of Vesuva","","1","bf5a3655-cd08-46a3-b099-253708c6539e","m3c","Modern Horizons 3 Commander"
"48","foil","en","March from Velis Vel","","1","32c2f269-e635-4459-a5a2-79e49c5401e5","m3c","Modern Horizons 3 Commander"
"80","foil","en","Planar Nexus","","1","28603c1c-f9b4-4001-bc56-d1453d5cacf5","m3c","Modern Horizons 3 Commander"
"220","foil","en","Apex Devastator","","1","ca9783bc-0e1b-42da-b0f3-89dd0db83743","m3c","Modern Horizons 3 Commander"
"69","foil","en","Aggressive Biomancy","","1","24cf121b-c6ad-4425-a2fc-7ce185cd30ef","m3c","Modern Horizons 3 Commander"
"47","foil","en","Copy Land","","1","c3d44c0e-733b-4ad3-b45b-6a3b09c12fb0","m3c","Modern Horizons 3 Commander"
"78","foil","en","Horizon of Progress","","1","5ae3a9c8-194e-421b-b77d-9c8784442651","m3c","Modern Horizons 3 Commander"
"407","foil","en","Volatile Fault","","1","d9a42082-615c-4387-a77c-97ee94153c57","m3c","Modern Horizons 3 Commander"
"64","foil","en","Desert Warfare","","1","bc7778d4-f1b6-4295-adb9-78ba7c185e9d","m3c","Modern Horizons 3 Commander"
"395","foil","en","Thespian's Stage","","1","10c1ac95-c277-4430-8499-a005200e85aa","m3c","Modern Horizons 3 Commander"
"225","foil","en","Dryad of the Ilysian Grove","","1","9898dd33-63fb-49d3-bea4-5346d6d56f30","m3c","Modern Horizons 3 Commander"
"342","foil","en","Flooded Grove","","1","fc2cfb2a-24e7-4ee4-9dd6-878b91abd841","m3c","Modern Horizons 3 Commander"
"362","foil","en","Overflowing Basin","","1","f8f7a227-90a0-4c0b-9c86-17edf65ba6ea","m3c","Modern Horizons 3 Commander"
"238","foil","en","Poison Dart Frog","","1","e99d6e94-2fb7-45ef-bb35-4bf4b92d4f4d","m3c","Modern Horizons 3 Commander"
"404","foil","en","Vesuva","","1","40c17aee-1e93-4db8-b491-cb2c10d0cc67","m3c","Modern Horizons 3 Commander"
"330","foil","en","Cloudpost","","1","5355eecf-c03e-406c-9e7d-70e73dcd7510","m3c","Modern Horizons 3 Commander"
"346","foil","en","Glimmerpost","","1","3ba372ea-b4a0-4db3-baec-9cbf5d3384b1","m3c","Modern Horizons 3 Commander"
"347","foil","en","Hashep Oasis","","1","1e8afbcf-c5a6-428c-8d91-a309821362b3","m3c","Modern Horizons 3 Commander"
"66","foil","en","Rampant Frogantua","","1","8549b26f-f1fb-42d2-b20d-987e6461d191","m3c","Modern Horizons 3 Commander"
"49","foil","en","Wonderscape Sage","","1","c949c600-cfb5-43e1-a410-e718cf36164a","m3c","Modern Horizons 3 Commander"
"67","foil","en","Sage of the Maze","","1","d420385a-3f20-411c-b686-fecdbae29717","m3c","Modern Horizons 3 Commander"
"191","foil","en","Propaganda","","1","0806d4a1-4d2f-454b-b830-5ab58e13a452","m3c","Modern Horizons 3 Commander"
"320","foil","en","Basilisk Gate","","1","935f3dfa-7d8d-459a-8ac2-37892cb9545f","m3c","Modern Horizons 3 Commander"
"176","foil","en","Arcane Denial","","1","13eda3d5-7d10-4d69-b7f2-cdeebda63e99","m3c","Modern Horizons 3 Commander"
"245","foil","en","Scute Swarm","","1","1abdf386-56bc-4575-af89-6edc9a38cd43","m3c","Modern Horizons 3 Commander"
"248","foil","en","Sylvan Scrying","","1","d5f11a08-8324-461a-8dbd-ecef0e511dee","m3c","Modern Horizons 3 Commander"
"273","foil","en","Tatyova, Benthic Druid","","1","319bdbe9-1446-4a4a-a73e-599419221d5b","m3c","Modern Horizons 3 Commander"
"277","foil","en","Uro, Titan of Nature's Wrath","","1","e0b06619-d672-4542-a025-2ec3a62b761d","m3c","Modern Horizons 3 Commander"
"401","foil","en","Urza's Mine","","1","32dbc719-d8aa-47ff-b7ea-20adadc99ec7","m3c","Modern Horizons 3 Commander"
"403","foil","en","Urza's Tower","","1","7693a698-65be-4d85-8b9d-c02c1596b99d","m3c","Modern Horizons 3 Commander"
"402","foil","en","Urza's Power Plant","","1","5e5786d5-355d-454c-b09b-e307a7a324d4","m3c","Modern Horizons 3 Commander"
"218","foil","en","Acidic Slime","","1","7dfeb1d1-7b2d-4235-902f-22a62af5dc0f","m3c","Modern Horizons 3 Commander"
"223","foil","en","Beast Within","","1","70ead8c3-e350-4d85-9e06-818da15cb266","m3c","Modern Horizons 3 Commander"
"322","foil","en","Blast Zone","","1","a7b27f7b-7219-414d-bfed-84c4a6b9a887","m3c","Modern Horizons 3 Commander"
"285","foil","en","Chromatic Lantern","","1","69d76fe8-3ef1-491f-a69f-560f11611e42","m3c","Modern Horizons 3 Commander"
"337","foil","en","Desert of the Mindful","","1","6e687c40-94af-4bf8-bcbe-0b74fff19ae6","m3c","Modern Horizons 3 Commander"
"179","foil","en","Curse of the Swine","","1","96a3dc1b-3819-4b6b-ba5f-725ccf43dd61","m3c","Modern Horizons 3 Commander"
"336","foil","en","Desert of the Indomitable","","1","c8ff47b8-467b-4fdc-8ba1-3460301b1de7","m3c","Modern Horizons 3 Commander"
"181","foil","en","Drown in Dreams","","1","7f631b8e-a85f-47df-a0d9-115d9ab66941","m3c","Modern Horizons 3 Commander"
"184","foil","en","Evacuation","","1","854ccd5e-64af-40f6-a831-8d0cd4a0b204","m3c","Modern Horizons 3 Commander"
"260","foil","en","Eureka Moment","","1","791d719f-c114-4574-9718-32597126e151","m3c","Modern Horizons 3 Commander"
"226","foil","en","Elvish Rejuvenator","","1","5deb7010-131c-40e9-a4c2-dee1b700e6c9","m3c","Modern Horizons 3 Commander"
"265","foil","en","Growth Spiral","","1","bbc5995d-6b94-421b-b535-79657e29d70f","m3c","Modern Horizons 3 Commander"
"228","foil","en","Floriferous Vinewall","","1","c3c27704-7886-4cce-ad66-fb94668822c4","m3c","Modern Horizons 3 Commander"
"186","foil","en","Fog Bank","","1","c5188208-c9bc-4e6e-aa0c-9cc2fc9f3768","m3c","Modern Horizons 3 Commander"
"185","foil","en","Finale of Revelation","","1","4e80c2f5-985e-44b1-946c-403d6fd3daac","m3c","Modern Horizons 3 Commander"
"233","foil","en","Hydra Broodmaster","","1","d9947547-5f16-4972-ba1e-33bed3e49d34","m3c","Modern Horizons 3 Commander"
"266","foil","en","Hydroid Krasis","","1","ae6677cc-f7d2-4c37-8fde-7c637b08cce0","m3c","Modern Horizons 3 Commander"
"334","foil","en","Dark Depths","","1","13a4a3e6-77d4-453e-9978-68352fcf8d29","m3c","Modern Horizons 3 Commander"
"221","foil","en","Avenger of Zendikar","","1","de1a78e9-8ccf-41ab-96cb-d1f881482465","m3c","Modern Horizons 3 Commander"
"409","foil","en","Yavimaya, Cradle of Growth","","1","8a12b4f7-8f6b-4a3c-9114-825e1b2099a0","m3c","Modern Horizons 3 Commander"
"244","foil","en","Satyr Wayfinder","","1","434bb07c-7b70-415e-80dd-317af0ef8bf7","m3c","Modern Horizons 3 Commander"
"338","foil","en","Dreamroot Cascade","","1","9aedaceb-ce4d-4159-a389-11e357b9e0da","m3c","Modern Horizons 3 Commander"
"236","foil","en","Magus of the Candelabra","","1","593b618e-6882-429b-80f1-ab02ac72cfbc","m3c","Modern Horizons 3 Commander"
"292","foil","en","Expedition Map","","1","8710f97d-28c7-4809-a4cd-81d08a7e3909","m3c","Modern Horizons 3 Commander"
"231","foil","en","Harmonize","","1","8f9848e6-df86-4c83-ac2a-46583328472e","m3c","Modern Horizons 3 Commander"
"232","foil","en","Hour of Promise","","1","d74c66da-d247-46dc-9ccd-536f8af6bbe0","m3c","Modern Horizons 3 Commander"
"410","foil","en","Yavimaya Coast","","1","0378af42-0e35-4ee0-96ed-d588a71c0bea","m3c","Modern Horizons 3 Commander"
"331","foil","en","Command Tower","","1","27e36832-09ca-4070-8511-94580014c3ed","m3c","Modern Horizons 3 Commander"
"305","foil","en","Sol Ring","","1","19911e6e-7c35-4281-b31c-266382f052cc","m3c","Modern Horizons 3 Commander"
"283","foil","en","Arcane Signet","","1","156a1ca1-e4b1-4e0c-a786-fd80fe189896","m3c","Modern Horizons 3 Commander"
