collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"4","foil","en","The Swarmlord","","1","d5c4077c-604e-4e8a-b448-0807849040ca","40k","Warhammer 40,000 Commander"
"7","foil","en","Magus Lucea Kane","","1","4f86e7cc-2b6e-49d0-964e-bba0c51cc11d","40k","Warhammer 40,000 Commander"
"84★","foil","en","Screamer-Killer","","1","d3426983-17cc-4071-a2fe-1058d4ee906c","40k","Warhammer 40,000 Commander"
"278★","foil","en","Exotic Orchard","","1","6380eae9-9839-4b89-9b5f-cfdb8fad6b6b","40k","Warhammer 40,000 Commander"
"89★","foil","en","Broodlord","","1","9a4bf3cd-6348-4bac-b863-ee4b835c006d","40k","Warhammer 40,000 Commander"
"94★","foil","en","Lictor","","1","686b98c3-cb9a-4d39-a986-319c0ebb3081","40k","Warhammer 40,000 Commander"
"96★","foil","en","Old One Eye","","1","214a778a-61d5-4bbe-b0e1-e9eb542f441d","40k","Warhammer 40,000 Commander"
"100★","foil","en","Tervigon","","1","516a00d3-2406-4280-b09e-af9b69a59d96","40k","Warhammer 40,000 Commander"
"144★","foil","en","Tyranid Harridan","","1","f8134623-b695-4a6e-af4c-aa9bdd2117d3","40k","Warhammer 40,000 Commander"
"102★","foil","en","Tyranid Invasion","","1","ca8d47cc-dea8-47e8-94dc-10eab3d693a7","40k","Warhammer 40,000 Commander"
"99★","foil","en","Termagant Swarm","","1","a26e2afc-7109-4430-9f92-c32a753374d3","40k","Warhammer 40,000 Commander"
"123★","foil","en","Gargoyle Flock","","1","2dae69f5-ae25-4048-9e81-771a740f28c7","40k","Warhammer 40,000 Commander"
"191★","foil","en","Aetherize","","1","d191fc5c-d6d2-4440-a2fa-ceaa8a7dd51a","40k","Warhammer 40,000 Commander"
"86★","foil","en","Aberrant","","1","c6559806-08b8-4a1f-ad93-9a38f67a1252","40k","Warhammer 40,000 Commander"
"70★","foil","en","Acolyte Hybrid","","1","cfe4c7ae-788a-4e57-be55-5ca8a695db65","40k","Warhammer 40,000 Commander"
"210★","foil","en","Abundance","","1","c2413999-49c8-4aee-9f1e-90728089d15f","40k","Warhammer 40,000 Commander"
"227★","foil","en","Arcane Signet","","1","bd4485e0-cf88-4aac-889a-e7d299c11e1c","40k","Warhammer 40,000 Commander"
"265★","foil","en","Ash Barrens","","1","9bf074bb-b1ec-4c26-8d3a-b60ea7fba510","40k","Warhammer 40,000 Commander"
"105★","foil","en","Atalan Jackal","","1","6e21aeef-d0b6-4143-ad0b-f8c5a5db47e1","40k","Warhammer 40,000 Commander"
"87★","foil","en","Biophagus","","1","c8c2a5b2-9c29-4f00-9d29-f18dce3b3c0b","40k","Warhammer 40,000 Commander"
"88★","foil","en","Bone Sabres","","1","970707a1-199b-4c92-8645-b96df0616399","40k","Warhammer 40,000 Commander"
"222★","foil","en","Bred for the Hunt","","1","5d82552d-d3aa-4018-9fc5-8d1d16087f9d","40k","Warhammer 40,000 Commander"
"267★","foil","en","Cave of Temptation","","1","59337c61-d8c0-4eca-8810-9a7498c1c8cf","40k","Warhammer 40,000 Commander"
"269★","foil","en","Cinder Glade","","1","550257be-583b-42e8-a8f9-61898a123126","40k","Warhammer 40,000 Commander"
"90★","foil","en","Clamavus","","1","06b0d9da-01c9-4af7-a77a-8d7e65061626","40k","Warhammer 40,000 Commander"
"270★","foil","en","Command Tower","","1","6d32723c-f62e-4dfe-9d7c-7a5276ed6151","40k","Warhammer 40,000 Commander"
"211★","foil","en","Cultivate","","1","44a70f85-2909-49f5-8e11-8fc806dce3b2","40k","Warhammer 40,000 Commander"
"115★","foil","en","Deathleaper, Terror Weapon","","1","651939e8-5de0-4a6b-b318-a3a25ee50fc1","40k","Warhammer 40,000 Commander"
"212★","foil","en","Death's Presence","","1","bec96ee5-91c3-4c97-9af2-51cc576035c2","40k","Warhammer 40,000 Commander"
"277★","foil","en","Evolving Wilds","","1","fff47e4d-01d2-43e0-9137-25ad5e2b4b1b","40k","Warhammer 40,000 Commander"
"76★","foil","en","Exocrine","","1","93c8a8c6-3d0c-4e01-b16f-d3d1d56a2eb9","40k","Warhammer 40,000 Commander"
"213★","foil","en","Explore","","1","a742f2a5-6837-4fa7-9c06-b6b63977fc68","40k","Warhammer 40,000 Commander"
"214★","foil","en","Farseek","","1","cfe30362-de79-484b-a4ff-511f95431213","40k","Warhammer 40,000 Commander"
"281★","foil","en","Frontier Bivouac","","1","1fda7be4-9524-488b-aeb2-955e147bf8a1","40k","Warhammer 40,000 Commander"
"282★","foil","en","Game Trail","","1","f6a7c2c3-3fdc-4bb2-8a1c-1bbc890a5223","40k","Warhammer 40,000 Commander"
"21★","foil","en","Genestealer Locus","","1","d8a221b5-8297-4d47-b7c1-7d32757cc7b6","40k","Warhammer 40,000 Commander"
"22★","foil","en","Genestealer Patriarch","","1","a8d09d18-5f82-4007-ba82-336cb429bcbf","40k","Warhammer 40,000 Commander"
"124★","foil","en","Ghyrson Starn, Kelermorph","","1","28383124-df99-4002-9966-0a6da67be881","40k","Warhammer 40,000 Commander"
"158★","foil","en","Goliath Truck","","1","e2601739-b645-428f-ae1b-be1fa5446960","40k","Warhammer 40,000 Commander"
"215★","foil","en","Hardened Scales","","1","8ddaff73-7226-44f2-b072-134f494bc45f","40k","Warhammer 40,000 Commander"
"216★","foil","en","Harrow","","1","f5b8d3ed-b241-4408-b9b6-bd22925da223","40k","Warhammer 40,000 Commander"
"91★","foil","en","Haruspex","","1","7127218e-420a-4db5-b812-340f2558aab3","40k","Warhammer 40,000 Commander"
"241★","foil","en","Herald's Horn","","1","ace66caf-38a1-41bc-bad9-15c57db9e9fa","40k","Warhammer 40,000 Commander"
"92★","foil","en","Hierophant Bio-Titan","","1","a7626f4e-aab7-40b9-8f26-e033ba10112f","40k","Warhammer 40,000 Commander"
"93★","foil","en","Hormagaunt Horde","","1","0666bb2e-bd40-4487-953f-8eece37ad0df","40k","Warhammer 40,000 Commander"
"224★","foil","en","Hull Breach","","1","6aba7c81-7c14-406d-8d7d-2c87064d082f","40k","Warhammer 40,000 Commander"
"242★","foil","en","Icon of Ancestry","","1","51fe598b-5b31-4cac-911c-fd6f566ef50f","40k","Warhammer 40,000 Commander"
"217★","foil","en","Inspiring Call","","1","a7278ec2-4011-4f78-ae1a-b28927524564","40k","Warhammer 40,000 Commander"
"132★","foil","en","Malanthrope","","1","faea6e1a-cc99-40b8-840e-e5ecf577c7ed","40k","Warhammer 40,000 Commander"
"133★","foil","en","Mawloc","","1","eb5ec97a-6816-4ca9-aa92-88da9f643c68","40k","Warhammer 40,000 Commander"
"218★","foil","en","New Horizons","","1","3a1e5e88-feaa-42b0-9ce5-d943a7b8b7d7","40k","Warhammer 40,000 Commander"
"95★","foil","en","Nexos","","1","bd826543-0d8f-4938-b351-f2aeacc7646a","40k","Warhammer 40,000 Commander"
"286★","foil","en","Opal Palace","","1","3c0b64b3-2aeb-45cf-bbca-e3168899f028","40k","Warhammer 40,000 Commander"
"219★","foil","en","Overgrowth","","1","39f8599c-fd68-4ff7-a27c-a0a9bf9c550a","40k","Warhammer 40,000 Commander"
"287★","foil","en","Path of Ancestry","","1","d41dac35-2b91-4e3b-b9c8-21187e215a2c","40k","Warhammer 40,000 Commander"
