collector_number,extras,language,name,oracle_id,quantity,scryfall_id,set_code,set_name
"176","foil","en","The Swarmlord","","1","c9dbba5a-fb9a-422e-87a1-a29d2c17a04e","40k","Warhammer 40,000 Commander"
"249","","en","Sol Ring","","1","33773feb-5b49-4d44-adca-93b99009acc0","40k","Warhammer 40,000 Commander"
"115","","en","Deathleaper, Terror Weapon","","1","9819d50f-aae8-4e92-8dab-01eebace3c1e","40k","Warhammer 40,000 Commander"
"96","","en","Old One Eye","","1","b5aaaee0-9a61-45df-821e-cce516f8de6a","40k","Warhammer 40,000 Commander"
"89","","en","Broodlord","","1","a5e700b9-ea2f-47a0-8a18-6231c8f2e1e9","40k","Warhammer 40,000 Commander"
"210","","en","Abundance","","1","51d27db7-3c11-4896-a8f9-2f7f7beeec18","40k","Warhammer 40,000 Commander"
"121","","en","The First Tyrannic War","","1","64c814f3-8d4e-4c64-ad00-fd8b836b48b1","40k","Warhammer 40,000 Commander"
"270","","en","Command Tower","","1","7cf39d35-1426-4edb-98ae-d1f1a470629f","40k","Warhammer 40,000 Commander"
"227","","en","Arcane Signet","","1","44ff370e-b72d-4a6c-b6dd-8434820559cc","40k","Warhammer 40,000 Commander"
"215","","en","Hardened Scales","","1","7034ba14-14b0-430e-899b-50601a220d8c","40k","Warhammer 40,000 Commander"
"101","","en","Toxicrene","","1","a9b0fe26-18af-4b2e-861e-568d2f6208fd","40k","Warhammer 40,000 Commander"
"93","","en","Hormagaunt Horde","","1","6a623ab2-4cdf-4e2e-a14d-6a709cf34cf1","40k","Warhammer 40,000 Commander"
"144","","en","Tyranid Harridan","","1","dff00a51-977e-43ba-a4bf-b251e62f1100","40k","Warhammer 40,000 Commander"
"22","","en","Genestealer Patriarch","","1","a0df01d1-6131-4ef7-abea-ba084f3b0954","40k","Warhammer 40,000 Commander"
"124","","en","Ghyrson Starn, Kelermorph","","1","fa7349d9-c82f-4cf8-a852-92168d1f4966","40k","Warhammer 40,000 Commander"
"87","","en","Biophagus","","1","cfd188ec-5e63-414e-a949-20a0daa82690","40k","Warhammer 40,000 Commander"
"148","","en","Winged Hive Tyrant","","1","58b0df1c-d7ce-4883-b0d1-23069770514d","40k","Warhammer 40,000 Commander"
"95","","en","Nexos","","1","73ca0549-5775-4778-bd47-f5f234a71201","40k","Warhammer 40,000 Commander"
"242","","en","Icon of Ancestry","","1","612250ac-16fc-4d65-be38-25256f9cc164","40k","Warhammer 40,000 Commander"
"217","","en","Inspiring Call","","1","a0c450e4-3ae4-4d69-a40e-cf29c383e5c3","40k","Warhammer 40,000 Commander"
"98","","en","Sporocyst","","1","72101d5f-f3a4-4490-a6f5-c320f3aeb242","40k","Warhammer 40,000 Commander"
"133","","en","Mawloc","","1","bbec97ff-bb84-4496-9e09-d4fc1570c516","40k","Warhammer 40,000 Commander"
"92","","en","Hierophant Bio-Titan","","1","be8a8e26-39cb-440a-a428-58b49ff8d017","40k","Warhammer 40,000 Commander"
"132","","en","Malanthrope","","1","28d4eb51-a6ec-488a-a79a-ec4676d7af52","40k","Warhammer 40,000 Commander"
"103","","en","Tyrant Guard","","1","4e785abe-ae43-4e6b-9d6d-56e39ea348ef","40k","Warhammer 40,000 Commander"
"123","","en","Gargoyle Flock","","1","0b8c7302-a5ae-484e-8ba5-397ffeb3b19c","40k","Warhammer 40,000 Commander"
"105","","en","Atalan Jackal","","1","3fc069f7-2445-44ff-bcff-5b0741841690","40k","Warhammer 40,000 Commander"
"86","","en","Aberrant","","1","49dfee68-c242-4579-94b1-c23238f8c87d","40k","Warhammer 40,000 Commander"
"100","","en","Tervigon","","1","50909e0e-0bed-423a-beb4-a24b14e95edc","40k","Warhammer 40,000 Commander"
"138","","en","Ravener","","1","b6a9ed40-78d7-4de2-816f-1791e12fbb0c","40k","Warhammer 40,000 Commander"
"99","","en","Termagant Swarm","","1","31079fcb-49bf-41a2-a9b4-07c96f93399d","40k","Warhammer 40,000 Commander"
"140","","en","Shadow in the Warp","","1","bd60cd99-1511-4903-b678-ff5a1853a742","40k","Warhammer 40,000 Commander"
"97","","en","Purestrain Genestealer","","1","4f15be08-085a-464a-aad5-e4305279e04a","40k","Warhammer 40,000 Commander"
"76","","en","Exocrine","","1","5b8c1303-6829-4c82-96de-a67bc0d72e42","40k","Warhammer 40,000 Commander"
"149","","en","Zoanthrope","","1","a71d6605-4a8a-473b-9f8d-0ba2f70a34e0","40k","Warhammer 40,000 Commander"
"102","","en","Tyranid Invasion","","1","7082df45-6c2f-4a92-8c73-a582e9ea1948","40k","Warhammer 40,000 Commander"
"94","","en","Lictor","","1","3c4d8f36-461f-48a6-a4e4-9ddfb388de19","40k","Warhammer 40,000 Commander"
"84","","en","Screamer-Killer","","1","078b560f-9b86-401a-afff-21ddb1ebed61","40k","Warhammer 40,000 Commander"
"88","","en","Bone Sabres","","1","73d9374d-72b8-4397-9c46-be9216fab911","40k","Warhammer 40,000 Commander"
"145","","en","Tyranid Prime","","1","6f6546f2-0db3-4969-b7d9-2e2138997155","40k","Warhammer 40,000 Commander"
"147","","en","Venomthrope","","1","e2284a8a-caf3-4eef-8cd2-6b2f507e7154","40k","Warhammer 40,000 Commander"
"21","","en","Genestealer Locus","","1","4cdc3172-6df0-48a8-85d6-c4b727202f83","40k","Warhammer 40,000 Commander"
"91","","en","Haruspex","","1","76e93d5d-c255-45a6-9217-84ac270740a7","40k","Warhammer 40,000 Commander"
"83","","en","The Red Terror","","1","1d16f75d-988d-4417-9a5e-549b785f9dc4","40k","Warhammer 40,000 Commander"
"143","","en","Trygon Prime","","1","f6a419b2-6586-4abf-9751-eabe568066ab","40k","Warhammer 40,000 Commander"
"90","","en","Clamavus","","1","127e9c03-f8de-497e-b94d-d6c484cab7fd","40k","Warhammer 40,000 Commander"
"158","","en","Goliath Truck","","1","347a5d65-ef0f-4859-b433-807af500f52d","40k","Warhammer 40,000 Commander"
"191","","en","Aetherize","","1","45a3b89a-d20c-43d0-a34c-644a58040421","40k","Warhammer 40,000 Commander"
"70","","en","Acolyte Hybrid","","1","b229697e-b6ff-450b-8020-45c454da9b3e","40k","Warhammer 40,000 Commander"
"299","","en","Temple of Mystery","","1","659c3062-2a60-4186-a531-0d29b048804e","40k","Warhammer 40,000 Commander"
"216","","en","Harrow","","1","699b2ef2-84e1-4c5a-8b8a-e669de05aedb","40k","Warhammer 40,000 Commander"
"211","","en","Cultivate","","1","8bc964b1-26bc-4dd2-99e3-4f421c2f8e67","40k","Warhammer 40,000 Commander"
"269","","en","Cinder Glade","","1","f0654ea5-d192-4c2e-ba48-fa516d4a3f94","40k","Warhammer 40,000 Commander"
"278","","en","Exotic Orchard","","1","ec9c7011-694b-4705-b85c-bf4edf26e437","40k","Warhammer 40,000 Commander"
"220","","en","Rampant Growth","","1","ba3026d2-334d-41bd-8c6b-7de7d78e54e0","40k","Warhammer 40,000 Commander"
"219","","en","Overgrowth","","1","d8c7c4ec-30da-426d-8be7-f1b8705052f1","40k","Warhammer 40,000 Commander"
"222","","en","Bred for the Hunt","","1","e747ba48-8088-43be-b97b-ba5d1c23781f","40k","Warhammer 40,000 Commander"
"267","","en","Cave of Temptation","","1","3405206b-992b-4912-817c-d90b2eecbac5","40k","Warhammer 40,000 Commander"
"212","","en","Death's Presence","","1","fe4069fc-947d-4902-ab96-3994df4cc0d8","40k","Warhammer 40,000 Commander"
"213","","en","Explore","","1","b6838782-079a-47d0-bdab-cdcc975feab4","40k","Warhammer 40,000 Commander"
"214","","en","Farseek","","1","7873fe27-392e-4273-b1a3-e64fa0cd03e6","40k","Warhammer 40,000 Commander"
"281","","en","Frontier Bivouac","","1","0cae4207-868b-45a0-b356-6f789aa6ae78","40k","Warhammer 40,000 Commander"
"282","","en","Game Trail","","1","f2777ccc-342d-4a1a-8566-94810decee11","40k","Warhammer 40,000 Commander"
"241","","en","Herald's Horn","","1","e7ac5242-6b78-438f-b609-ccd5970481e8","40k","Warhammer 40,000 Commander"
"224","","en","Hull Breach","","1","a644b428-44b4-4f76-a1e7-0bbd134774da","40k","Warhammer 40,000 Commander"
"218","","en","New Horizons","","1","4ffbe455-f08a-4f9b-a5e7-19370c0f2919","40k","Warhammer 40,000 Commander"
"286","","en","Opal Palace","","1","eb4e0145-c339-4c60-aacf-67d8e785df49","40k","Warhammer 40,000 Commander"
"287","","en","Path of Ancestry","","1","5410dbe8-006d-4267-92f1-b9bd7b1069e3","40k","Warhammer 40,000 Commander"
"292","","en","Rugged Highlands","","1","420cb35b-1d76-4e86-9e88-47a8ec9e13bd","40k","Warhammer 40,000 Commander"
"208","","en","Starstorm","","1","b45264cb-67d0-4dfb-9229-61c4e90c760a","40k","Warhammer 40,000 Commander"
"297","","en","Temple of Abandon","","1","c12a751e-82e9-4181-bb9d-f9412b9c6df3","40k","Warhammer 40,000 Commander"
"298","","en","Temple of Epiphany","","1","5faecebe-1688-40e9-89a4-1a523a8bd8d6","40k","Warhammer 40,000 Commander"
"302","","en","Thornwood Falls","","1","3ed70d84-d5f5-48ec-bbd9-08d0377c3e17","40k","Warhammer 40,000 Commander"
"304","","en","Unclaimed Territory","","1","0d167949-2fd2-4b85-b2fa-f598b55b4915","40k","Warhammer 40,000 Commander"
"277","","en","Evolving Wilds","","1","184e5367-e901-4a0b-a2f5-06db42e6cf31","40k","Warhammer 40,000 Commander"
"301","","en","Terramorphic Expanse","","1","67161521-aae6-4017-abf8-46f3a41b59bc","40k","Warhammer 40,000 Commander"
"265","","en","Ash Barrens","","1","2816a820-bde0-404a-ba2c-86fbe461e01b","40k","Warhammer 40,000 Commander"
"317","","en","Forest","","8","d1d15705-981c-44db-9070-592dbeace299","40k","Warhammer 40,000 Commander"
"315","","en","Mountain","","7","a1ba2d4f-7a9b-4cf7-98fd-17b1b8c70bcd","40k","Warhammer 40,000 Commander"
"309","","en","Island","","7","8956b4c4-3703-433f-b147-a1f67e728017","40k","Warhammer 40,000 Commander"
"174","foil","en","Magus Lucea Kane","","1","419ac203-d8b9-46df-99a8-65dfcea07ff5","40k","Warhammer 40,000 Commander"
